카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년03월_남_50~59세,"38,442",414,"1,634",502,"1,383","1,741","1,017","1,142",654,849,"1,509",576,"2,416",630,"2,552","2,858","2,049","2,275","3,590","1,795","2,638","2,725","1,331","2,162"
2020년03월_남_60~69세,"24,752",338,"1,240",457,846,"1,101",938,783,551,719,"1,241",484,"1,655",591,"1,634","2,005","1,461","1,408","1,557","1,205","1,706",914,"1,084",834
2020년03월_남_70~79세,"11,772",219,671,199,448,613,494,390,312,417,728,208,654,286,823,790,621,698,622,502,664,412,582,419
2020년03월_남_80~89세,"4,030",67,285,50,159,208,197,118,121,147,260,81,234,106,211,189,251,198,233,173,260,196,136,150
2020년03월_남_90~99세,260,6,28,7,18,9,7,13,8,6,20,3,9,7,11,10,16,11,19,9,13,6,13,11
2020년03월_남_100세 이상,17,2,1,1,0,0,2,0,0,0,5,1,1,0,0,1,0,0,0,0,1,1,1,0
2020년03월_여_총인구수,"219,178","2,088","12,190","2,018","10,166","10,775","4,954","5,796","4,361","4,191","9,315","3,418","14,052","3,510","14,458","19,018","11,223","12,840","18,801","8,722","13,766","15,153","6,063","12,300"
2020년03월_여_연령구간인구수,"219,178","2,088","12,190","2,018","10,166","10,775","4,954","5,796","4,361","4,191","9,315","3,418","14,052","3,510","14,458","19,018","11,223","12,840","18,801","8,722","13,766","15,153","6,063","12,300"
2020년03월_여_0~9세,"17,070",65,"1,262",88,"1,195",914,138,316,156,156,668,103,"1,053",186,"1,336","2,307",740,830,"1,452",522,878,"1,200",351,"1,154"
2020년03월_여_10~19세,"21,426",120,"1,048",102,"1,104","1,207",242,477,243,229,599,189,"1,450",227,"1,713","1,547",849,"1,247","2,547",856,"1,221","2,269",339,"1,601"
