년도,월,전국,서울,강북14개구,강남11개구,수도권,6개광역시,5개광역시,기타지방,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남
2020,1,37803,86997,65592,106266,52802,28308,28534,17571,28840,31164,27472,27985,27874,23553,31282,37039,16197,14870,17249,16924,17056,15176,18404
2020,2,38778,89864,67891,109175,53542,28487,28699,17644,28958,31288,27700,28010,28408,23662,33167,37695,16181,14841,17305,16911,17113,15136,18433
2020,3,39409,91201,69411,110352,54614,28806,28927,17746,29138,31388,28358,28109,29101,23879,35269,38704,16185,14865,17376,16932,17193,15103,18482
2020,4,39597,91458,69910,110397,54921,28968,29048,17749,29243,31423,28670,28144,29516,23966,35585,39040,16169,14862,17386,16930,17261,15055,18461
2020,5,39698,91530,70092,110372,55076,29082,29118,17766,29252,31505,28949,28141,29765,24052,35771,39216,16128,14904,17469,16948,17313,15034,18435
2020,6,40169,92509,71160,111273,55775,29405,29420,17926,29493,31698,29348,28159,30677,24378,37329,39816,16135,15403,17625,16966,17425,15067,18481
2020,7,41014,95033,73147,114268,57186,29717,29723,18115,29840,31987,29694,28182,31293,24583,39733,40806,16171,15510,17768,17031,17674,15144,18602
2020,8,41930,98503,76257,118195,58943,30345,30272,18513,30904,32507,30610,27766,31931,25090,45569,42189,16242,15959,18076,16971,17778,15288,19027
2020,9,42322,100312,77784,120356,59815,30803,30661,18813,31783,32855,31320,27268,32352,25496,49508,42999,16293,16387,18365,16921,17819,15401,19398
2020,10,43074,100971,78637,120600,60455,30665,30759,18643,30924,33232,30315,28413,32897,25463,48483,43085,16383,15719,18039,17149,18008,15309,18912
2020,11,44060,102767,80360,122460,61692,31629,31910,18932,32614,34313,30585,28927,33820,26482,49771,44210,16524,15882,18263,17232,18203,15515,19377
2020,12,45017,104299,81660,124198,62845,32618,33054,19293,34232,35380,30999,29549,34458,27905,51549,45305,16635,16080,18587,17398,18416,15991,19803
2021,1,45961,106108,83210,126232,64216,33264,33739,19594,35184,36031,31500,29906,34935,28671,53835,46616,16732,16253,18813,17626,18469,16302,20122
2021,2,47094,108192,84914,128650,65971,33928,34430,19853,35916,36737,32065,30244,36000,29236,56000,48451,16924,16525,18989,17747,18513,16549,20341
2021,3,48077,109993,86660,130500,67514,34558,34969,20097,36401,37392,33032,30495,36854,29681,56451,49972,17129,16801,19291,17905,18655,16797,20577
2021,4,48822,111123,87834,131592,68676,35099,35352,20321,36851,37842,34159,30755,37194,29969,56872,51161,17357,16985,19634,18073,18795,17001,20779
2021,5,49468,112375,88823,133074,69652,35625,35775,20491,37478,38286,35067,30983,37568,30116,57118,51987,17482,17284,19790,18266,18859,17128,20926
2021,6,50462,114283,90290,135371,71184,36399,36376,20739,38386,38727,36486,31386,38276,30339,57300,53319,17847,17530,20096,18543,18997,17326,21104
2021,7,51257,115751,91460,137101,72406,36991,36848,20954,39133,38961,37518,31655,39012,30499,57259,54437,18273,17817,20322,18761,19088,17503,21270
2021,8,52322,117734,93079,139403,74063,37732,37404,21278,39980,39183,38949,32103,39722,30902,57223,55950,18722,18410,20634,19024,19175,17604,21657
2021,9,53624,119978,95944,142980,76392,38969,38324,22017,41682,39681,41376,32237,40667,31637,59955,58242,19375,19730,21389,19431,19297,18117,22520
2021,10,54132,121639,97025,144865,77249,39566,38782,22445,42717,39910,42471,31968,41055,32105,62409,59110,19584,20402,21787,19597,19386,18438,23116
2021,11,54954,123729,98356,147325,78388,40306,39357,22983,43859,40176,43814,31922,41761,32649,64803,60190,20085,21219,22311,19890,19500,18823,23852
2021,12,55322,124978,99172,148818,79081,40755,39701,23320,44508,40319,44642,31979,42085,32969,66050,60834,20499,21705,22636,20080,19598,19050,24308
