년도,월,나이,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020,1,총,"65,897","2,579","6,502","1,536","15,824","1,149","1,052",758,"4,575","1,541","2,095","4,755","5,239","5,773","5,474","7,045"
2020,1,0,"5,408",67,684,43,"2,145",27,15,10,218,44,66,268,383,544,274,620
2020,1,10,"6,798",113,750,78,"2,026",65,40,24,417,97,122,364,508,747,532,915
2020,1,20,"6,426",216,608,112,"1,449",69,48,50,544,135,187,410,582,580,587,849
2020,1,30,"8,006",210,780,96,"2,536",87,63,55,461,116,187,575,655,650,610,925
2020,1,40,"11,789",385,"1,244",208,"3,379",186,129,79,729,246,356,827,825,"1,058",859,"1,279"
2020,1,50,"11,674",582,"1,092",302,"2,246",249,227,187,905,318,444,949,844,"1,001","1,109","1,219"
2020,1,60,"9,435",559,782,353,"1,344",243,234,187,760,324,421,813,844,838,911,822
2020,1,70,"4,857",322,397,251,547,165,205,116,410,200,231,442,467,291,463,350
2020,1,80,"1,391",117,148,87,143,57,83,47,126,57,73,103,120,55,112,63
2020,1,90,105,8,16,6,9,1,8,3,4,4,8,4,8,8,16,2
2020,1,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020,2,총,"65,730","2,576","6,468","1,528","15,790","1,154","1,050",757,"4,577","1,540","2,079","4,751","5,214","5,762","5,455","7,029"
2020,2,0,"5,333",66,671,39,"2,116",26,17,10,218,44,65,262,381,539,267,612
2020,2,10,"6,776",113,742,78,"2,016",68,39,20,415,97,121,362,505,744,532,924
2020,2,20,"6,385",217,604,112,"1,446",69,48,53,550,137,177,411,570,574,584,833
2020,2,30,"7,884",206,765,96,"2,499",87,60,53,446,114,189,569,648,641,600,911
2020,2,40,"11,814",386,"1,244",205,"3,402",184,129,74,736,244,355,836,814,"1,062",861,"1,282"
2020,2,50,"11,649",584,"1,099",296,"2,242",252,224,187,898,321,443,948,844,993,"1,101","1,217"
2020,2,60,"9,508",556,782,358,"1,365",243,243,193,769,325,417,812,849,850,917,829
2020,2,70,"4,875",321,399,251,550,163,202,116,414,199,231,444,471,296,462,356
2020,2,80,"1,395",120,146,88,143,60,81,48,126,55,73,103,121,55,114,62
2020,2,90,103,7,15,5,11,2,7,3,4,4,8,4,8,7,16,2
2020,2,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020,3,총,"65,612","2,559","6,443","1,522","15,823","1,146","1,050",758,"4,543","1,544","2,067","4,732","5,214","5,738","5,457","7,016"
2020,3,0,"5,296",65,665,39,"2,103",25,17,10,214,44,64,261,387,528,266,608
2020,3,10,"6,753",113,742,77,"2,024",68,33,19,405,95,121,360,508,747,528,913
2020,3,20,"6,352",211,585,107,"1,453",66,51,53,546,141,169,409,563,565,594,839
2020,3,30,"7,804",200,765,93,"2,479",90,58,53,443,114,188,555,647,629,585,905
2020,3,40,"11,784",383,"1,241",202,"3,416",181,132,74,735,239,350,835,810,"1,057",857,"1,272"
2020,3,50,"11,639",578,"1,095",299,"2,263",251,227,188,879,325,441,937,842,992,"1,109","1,213"
2020,3,60,"9,563",553,787,360,"1,383",240,241,192,775,327,415,823,852,857,917,841
2020,3,70,"4,904",328,393,253,548,161,201,117,420,198,236,446,473,300,471,359
2020,3,80,"1,402",120,154,87,143,62,83,49,121,56,75,102,120,55,112,63
2020,3,90,107,8,15,5,11,2,7,3,4,5,8,4,9,7,17,2
2020,3,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020,4,총,"65,470","2,540","6,468","1,519","15,808","1,137","1,046",753,"4,527","1,526","2,058","4,713","5,217","5,715","5,438","7,005"
2020,4,0,"5,236",65,671,39,"2,068",26,17,12,208,43,63,262,385,520,261,596
2020,4,10,"6,739",112,743,75,"2,039",67,32,18,400,90,120,353,517,742,527,904
2020,4,20,"6,341",207,592,109,"1,443",64,51,50,548,136,168,413,559,572,589,840
2020,4,30,"7,734",198,759,90,"2,468",88,56,54,438,109,184,549,644,614,573,910
2020,4,40,"11,731",379,"1,241",197,"3,415",178,130,73,725,237,346,825,813,"1,044",862,"1,266"
2020,4,50,"11,631",571,"1,103",306,"2,280",250,226,182,879,326,440,929,836,992,"1,104","1,207"
2020,4,60,"9,591",553,793,359,"1,382",237,243,197,773,320,418,824,858,865,921,848
2020,4,70,"4,935",327,395,251,554,165,202,116,426,202,237,450,471,302,469,368
2020,4,80,"1,412",120,154,88,147,60,83,48,125,57,74,102,122,56,114,62
2020,4,90,112,8,16,5,12,2,6,3,4,6,8,6,9,7,17,3
2020,4,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020,5,총,"65,363","2,532","6,450","1,515","15,803","1,134","1,047",754,"4,512","1,533","2,051","4,682","5,219","5,696","5,414","7,021"
2020,5,0,"5,203",65,670,38,"2,056",26,16,10,211,43,62,261,377,512,259,597
2020,5,10,"6,712",110,741,74,"2,041",65,30,18,394,92,119,349,518,732,528,901
2020,5,20,"6,318",205,584,109,"1,445",64,54,51,544,140,168,411,560,579,564,840
2020,5,30,"7,673",197,748,90,"2,460",89,55,54,435,102,180,537,643,603,573,907
2020,5,40,"11,707",375,"1,239",195,"3,403",174,130,72,716,237,349,824,817,"1,043",857,"1,276"
2020,5,50,"11,630",572,"1,105",304,"2,292",249,225,182,882,331,437,911,836,984,"1,103","1,217"
2020,5,60,"9,607",549,799,355,"1,389",237,245,198,768,325,418,829,857,867,924,847
2020,5,70,"4,978",334,394,257,557,168,201,117,432,200,239,451,474,311,472,371
2020,5,80,"1,415",117,152,88,148,60,85,49,125,57,72,103,125,57,116,61
2020,5,90,112,8,17,5,12,2,6,3,4,6,7,6,9,7,17,3
2020,5,100,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020,6,총,"65,214","2,519","6,424","1,522","15,800","1,129","1,044",756,"4,505","1,525","2,044","4,674","5,205","5,676","5,394","6,997"
2020,6,0,"5,158",64,649,39,"2,049",25,16,10,208,41,63,263,373,505,255,598
2020,6,10,"6,709",111,734,75,"2,055",65,28,18,396,93,120,345,520,731,526,892
