년도,월,나이,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020,1,총,"38,451","10,373","2,107","1,949","2,347","3,184","2,192","5,094","3,462","2,838","2,067","2,838"
2020,1,0,"1,383",694,58,30,34,90,58,125,90,78,45,81
2020,1,10,"2,243","1,020",133,60,104,152,105,222,126,138,60,123
2020,1,20,"3,330","1,460",139,121,148,242,143,302,249,231,131,164
2020,1,30,"2,660","1,087",111,95,107,205,116,264,188,194,127,166
2020,1,40,"4,010","1,495",198,168,198,345,202,409,296,287,172,240
2020,1,50,"7,591","1,670",436,462,486,718,465,"1,129",723,537,402,563
2020,1,60,"8,143","1,422",488,477,601,659,505,"1,265",862,618,562,684
2020,1,70,"5,486",988,305,303,398,482,337,865,524,464,328,492
2020,1,80,"3,163",484,209,203,239,264,224,440,349,263,202,286
2020,1,90,415,50,29,29,28,25,37,68,52,27,35,35
2020,1,100,27,3,1,1,4,2,0,5,3,1,3,4
2020,2,총,"38,185","10,295","2,096","1,933","2,339","3,137","2,181","5,080","3,443","2,804","2,067","2,810"
2020,2,0,"1,364",687,58,32,37,88,55,123,87,75,43,79
2020,2,10,"2,196","1,004",131,57,99,151,103,217,126,128,60,120
2020,2,20,"3,210","1,414",130,116,142,226,145,296,232,224,126,159
2020,2,30,"2,618","1,081",107,95,107,200,106,258,192,189,127,156
2020,2,40,"3,978","1,488",200,167,198,329,201,406,293,284,174,238
2020,2,50,"7,542","1,659",432,450,480,716,466,"1,131",713,532,408,555
2020,2,60,"8,170","1,434",491,482,603,657,504,"1,268",867,619,559,686
2020,2,70,"5,460",980,306,300,395,479,341,866,522,461,327,483
2020,2,80,"3,195",495,212,204,243,263,221,439,355,266,202,295
2020,2,90,425,50,28,29,31,26,39,71,53,25,38,35
2020,2,100,27,3,1,1,4,2,0,5,3,1,3,4
2020,3,총,"37,896","10,182","2,070","1,904","2,316","3,129","2,182","5,072","3,414","2,775","2,080","2,772"
2020,3,0,"1,329",672,52,32,35,91,55,123,83,70,44,72
2020,3,10,"2,145",973,129,53,97,150,104,215,127,118,66,113
2020,3,20,"3,111","1,363",130,110,134,223,141,286,218,222,129,155
2020,3,30,"2,557","1,057",104,94,105,198,110,255,185,176,125,148
2020,3,40,"3,960","1,487",198,162,193,323,200,409,295,280,180,233
2020,3,50,"7,458","1,665",421,439,468,705,464,"1,107",708,534,403,544
2020,3,60,"8,204","1,436",492,480,606,663,505,"1,291",864,619,558,690
2020,3,70,"5,445",976,302,300,393,484,341,866,519,455,333,476
2020,3,80,"3,230",500,211,205,247,265,225,444,358,272,201,302
2020,3,90,431,50,30,28,34,25,37,72,54,28,38,35
2020,3,100,26,3,1,1,4,2,0,4,3,1,3,4
2020,4,총,"37,694","10,123","2,049","1,894","2,312","3,119","2,168","5,055","3,400","2,761","2,065","2,748"
2020,4,0,"1,311",660,51,33,34,92,54,121,83,68,46,69
2020,4,10,"2,117",965,128,53,94,151,99,211,122,120,64,110
2020,4,20,"3,028","1,323",122,107,134,217,141,279,214,217,123,151
2020,4,30,"2,519","1,049",105,94,99,193,109,251,183,170,123,143
2020,4,40,"3,935","1,493",188,162,193,324,195,406,290,280,179,225
