년도,월,나이,함안군,가야읍,칠원읍,함안면,군북면,법수면,대산면,칠서면,칠북면,산인면,여항면
2020,1,총,"65,491","18,930","20,068","2,451","6,337","2,908","3,551","5,579","2,001","2,768",898
2020,1,0,"4,544","1,428","2,133",65,333,61,74,343,26,65,16
2020,1,10,"6,172","2,048","2,696",127,322,96,151,503,73,129,27
2020,1,20,"5,845","2,110","1,695",172,521,194,257,465,134,238,59
2020,1,30,"6,254","2,030","2,344",152,589,153,164,479,104,189,50
2020,1,40,"9,722","2,978","3,930",234,609,292,319,856,168,269,67
2020,1,50,"11,483","3,377","3,150",437,"1,104",575,641,"1,059",374,582,184
2020,1,60,"10,449","2,584","2,337",548,"1,223",683,782,876,495,668,253
2020,1,70,"6,602","1,441","1,175",404,904,503,677,632,374,353,139
2020,1,80,"3,919",817,528,285,651,312,429,326,232,248,91
2020,1,90,493,114,77,27,79,39,57,40,21,27,12
2020,1,100,8,3,3,0,2,0,0,0,0,0,0
2020,2,총,"65,277","18,849","19,976","2,450","6,325","2,903","3,544","5,565","1,985","2,774",906
2020,2,0,"4,503","1,404","2,119",66,330,62,73,342,26,65,16
2020,2,10,"6,133","2,027","2,671",139,329,93,147,500,73,127,27
2020,2,20,"5,783","2,090","1,683",164,509,191,259,458,130,240,59
2020,2,30,"6,181","2,012","2,303",150,585,156,158,473,102,189,53
2020,2,40,"9,698","2,959","3,921",236,612,293,321,856,167,264,69
2020,2,50,"11,447","3,381","3,138",434,"1,097",571,636,"1,058",370,580,182
2020,2,60,"10,495","2,597","2,342",546,"1,229",684,792,878,494,678,255
2020,2,70,"6,600","1,444","1,176",404,899,499,675,635,373,355,140
2020,2,80,"3,920",814,537,284,649,315,424,324,231,249,93
2020,2,90,509,118,83,27,84,39,59,41,19,27,12
2020,2,100,8,3,3,0,2,0,0,0,0,0,0
2020,3,총,"65,089","18,812","19,930","2,430","6,294","2,899","3,535","5,537","1,978","2,769",905
2020,3,0,"4,467","1,393","2,102",66,328,65,73,336,25,64,15
2020,3,10,"6,087","2,020","2,669",128,319,91,141,491,71,129,28
2020,3,20,"5,716","2,077","1,662",164,497,188,261,446,130,236,55
2020,3,30,"6,107","2,008","2,255",151,578,152,156,472,99,184,52
2020,3,40,"9,652","2,942","3,927",227,604,292,315,847,167,263,68
