년도,월,나이,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020,1,총,"21,625","3,336","2,239","3,021","6,918","1,974","1,781","1,304","1,052"
2020,1,0,"1,387",247,110,205,621,81,66,35,22
2020,1,10,"1,893",284,148,259,814,153,114,77,44
2020,1,20,"1,673",270,148,163,686,136,136,69,65
2020,1,30,"1,995",327,146,307,830,140,119,76,50
2020,1,40,"3,083",472,278,416,"1,285",241,180,119,92
2020,1,50,"3,578",575,398,437,"1,037",374,379,205,173
2020,1,60,"3,824",581,488,571,856,449,338,301,240
2020,1,70,"2,698",374,358,424,515,268,263,277,219
2020,1,80,"1,267",173,130,202,237,111,157,129,128
2020,1,90,194,27,30,33,35,18,24,14,13
2020,1,100,33,6,5,4,2,3,5,2,6
2020,2,총,"21,535","3,322","2,238","3,028","6,850","1,968","1,786","1,298","1,045"
2020,2,0,"1,373",249,108,206,604,81,67,37,21
2020,2,10,"1,885",285,146,261,800,155,117,76,45
2020,2,20,"1,637",260,148,161,666,135,135,68,64
2020,2,30,"1,960",319,146,308,819,130,117,74,47
2020,2,40,"3,087",476,277,418,"1,274",243,189,118,92
2020,2,50,"3,559",570,400,434,"1,039",370,370,203,173
2020,2,60,"3,823",580,486,570,861,453,339,300,234
2020,2,70,"2,700",373,358,427,513,268,265,274,222
2020,2,80,"1,280",175,132,206,237,112,158,132,128
2020,2,90,197,29,32,32,35,18,24,14,13
2020,2,100,34,6,5,5,2,3,5,2,6
2020,3,총,"21,462","3,290","2,221","3,030","6,822","1,978","1,793","1,287","1,041"
2020,3,0,"1,346",244,105,205,590,81,66,36,19
2020,3,10,"1,870",278,141,259,795,154,122,73,48
2020,3,20,"1,622",257,146,163,650,142,135,68,61
2020,3,30,"1,939",315,141,311,807,127,118,72,48
2020,3,40,"3,087",473,276,414,"1,285",247,189,113,90
2020,3,50,"3,546",563,394,433,"1,041",372,371,200,172
2020,3,60,"3,819",579,486,570,856,453,341,299,235
2020,3,70,"2,701",367,362,427,517,266,267,274,221
2020,3,80,"1,299",179,136,209,244,114,154,135,128
2020,3,90,198,28,29,34,35,19,25,15,13
2020,3,100,35,7,5,5,2,3,5,2,6
2020,4,총,"21,395","3,285","2,213","3,029","6,791","1,974","1,788","1,273","1,042"
2020,4,0,"1,339",246,100,205,588,82,66,32,20
2020,4,10,"1,873",272,149,258,796,152,121,74,51
2020,4,20,"1,590",255,142,165,633,136,136,64,59
2020,4,30,"1,928",317,139,304,806,125,116,72,49
2020,4,40,"3,075",471,277,410,"1,280",247,191,111,88
2020,4,50,"3,528",568,388,435,"1,029",375,365,194,174
2020,4,60,"3,830",576,486,578,862,449,343,301,235
2020,4,70,"2,696",366,362,422,516,272,266,271,221
2020,4,80,"1,302",177,135,213,244,114,156,137,126
2020,4,90,199,30,30,34,35,19,23,15,13
2020,4,100,35,7,5,5,2,3,5,2,6
2020,5,총,"21,407","3,295","2,211","3,020","6,808","1,977","1,788","1,270","1,038"
2020,5,0,"1,326",245,100,197,584,82,65,32,21
2020,5,10,"1,881",270,149,260,806,151,123,71,51
2020,5,20,"1,589",257,143,161,636,136,138,63,55
2020,5,30,"1,917",314,138,302,804,124,113,74,48
2020,5,40,"3,073",474,275,405,"1,281",249,191,111,87
2020,5,50,"3,525",576,384,436,"1,027",377,362,193,170
2020,5,60,"3,841",576,485,579,874,446,342,299,240
2020,5,70,"2,710",370,365,426,516,276,265,271,221
2020,5,80,"1,308",176,136,215,242,114,161,138,126
2020,5,90,201,30,31,34,35,19,23,16,13
2020,5,100,36,7,5,5,3,3,5,2,6
2020,6,총,"21,364","3,290","2,205","3,007","6,814","1,966","1,787","1,265","1,030"
2020,6,0,"1,316",247,99,195,580,82,62,31,20
2020,6,10,"1,876",269,145,259,805,149,125,72,52
2020,6,20,"1,589",252,143,159,643,135,138,63,56
2020,6,30,"1,904",315,142,295,798,125,110,71,48
2020,6,40,"3,063",471,273,406,"1,279",243,192,113,86
2020,6,50,"3,492",566,377,426,"1,031",375,361,190,166
2020,6,60,"3,869",586,489,584,882,446,346,298,238
2020,6,70,"2,698",369,364,428,511,274,263,270,219
2020,6,80,"1,316",176,137,216,247,115,161,139,125
2020,6,90,205,32,31,34,35,19,24,16,14
2020,6,100,36,7,5,5,3,3,5,2,6
2020,7,총,"21,294","3,264","2,209","2,992","6,795","1,964","1,783","1,263","1,024"
2020,7,0,"1,303",237,99,190,581,83,62,31,20
2020,7,10,"1,867",267,146,261,801,150,121,71,50
2020,7,20,"1,573",248,140,159,635,128,140,67,56
2020,7,30,"1,876",308,138,290,788,127,107,71,47
2020,7,40,"3,058",469,275,403,"1,280",242,192,111,86
2020,7,50,"3,480",564,378,427,"1,035",373,354,188,161
2020,7,60,"3,877",587,493,579,879,450,352,296,241
2020,7,70,"2,698",371,361,430,512,275,262,271,216
2020,7,80,"1,319",172,143,215,246,113,164,139,127
2020,7,90,207,34,31,33,35,20,24,16,14
2020,7,100,36,7,5,5,3,3,5,2,6
2020,8,총,"21,231","3,269","2,218","2,981","6,756","1,944","1,782","1,260","1,021"
2020,8,0,"1,287",240,100,184,568,84,62,31,18
2020,8,10,"1,853",270,146,258,794,148,120,68,49
2020,8,20,"1,566",244,144,162,629,126,138,67,56
2020,8,30,"1,857",303,131,288,784,127,106,70,48
2020,8,40,"3,048",467,284,400,"1,271",235,192,113,86
2020,8,50,"3,460",570,370,425,"1,033",362,354,187,159
2020,8,60,"3,880",586,498,575,882,448,354,296,241
2020,8,70,"2,714",376,366,434,510,278,262,271,217
2020,8,80,"1,320",171,143,216,246,113,165,139,127
2020,8,90,210,35,31,34,36,20,24,16,14
2020,8,100,36,7,5,5,3,3,5,2,6
2020,9,총,"21,196","3,253","2,217","2,982","6,748","1,933","1,780","1,257","1,026"
2020,9,0,"1,276",236,100,182,560,81,64,33,20
2020,9,10,"1,850",272,149,258,793,144,120,66,48
2020,9,20,"1,562",240,141,168,629,128,137,65,54
2020,9,30,"1,836",295,132,285,777,125,104,70,48
2020,9,40,"3,039",464,284,400,"1,269",233,191,112,86
2020,9,50,"3,458",570,369,421,"1,036",359,352,188,163
2020,9,60,"3,875",585,497,578,880,452,353,291,239
2020,9,70,"2,727",381,365,434,515,277,263,273,219
2020,9,80,"1,326",167,145,216,250,111,167,141,129
2020,9,90,210,36,30,34,36,20,24,16,14
2020,9,100,37,7,5,6,3,3,5,2,6
2020,10,총,"21,184","3,257","2,204","2,976","6,732","1,930","1,790","1,264","1,031"
2020,10,0,"1,271",231,99,183,560,80,65,32,21
2020,10,10,"1,843",278,144,257,787,145,119,66,47
2020,10,20,"1,580",247,142,168,629,129,142,66,57
2020,10,30,"1,819",292,128,280,769,121,106,74,49
2020,10,40,"3,023",463,282,400,"1,263",228,191,111,85
2020,10,50,"3,459",573,367,417,"1,034",360,351,191,166
2020,10,60,"3,882",584,496,580,883,455,352,292,240
2020,10,70,"2,715",381,359,431,513,276,264,274,217
2020,10,80,"1,343",166,152,221,251,112,170,141,130
2020,10,90,211,34,30,33,40,21,25,15,13
2020,10,100,38,8,5,6,3,3,5,2,6
2020,11,총,"21,115","3,244","2,192","2,967","6,713","1,936","1,787","1,251","1,025"
2020,11,0,"1,253",229,97,178,551,78,67,32,21
2020,11,10,"1,835",275,141,256,783,151,120,63,46
2020,11,20,"1,573",247,141,165,623,133,141,66,57
2020,11,30,"1,800",286,128,277,766,121,102,73,47
2020,11,40,"3,013",462,281,398,"1,261",225,192,109,85
2020,11,50,"3,452",569,368,419,"1,035",360,348,188,165
2020,11,60,"3,883",586,490,581,884,457,355,289,241
2020,11,70,"2,712",381,360,431,514,275,262,273,216
2020,11,80,"1,341",166,150,222,253,112,169,141,128
2020,11,90,215,35,31,34,40,21,26,15,13
2020,11,100,38,8,5,6,3,3,5,2,6
2020,12,총,"21,079","3,246","2,186","2,971","6,684","1,946","1,783","1,244","1,019"
2020,12,0,"1,236",233,97,175,538,76,65,31,21
2020,12,10,"1,837",276,138,258,780,154,124,62,45
