년도,월,나이,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020,4,0,"21,728",58,642,36,"2,187",296,137,74,15,28,63,244,109,173,126,272,164,179,790,502,"1,381","1,472",755,841,"1,095","2,912","4,697","1,281","1,089",76,34
2020,4,10,"27,244",109,656,80,"2,119",329,312,140,42,38,85,292,219,320,240,348,266,271,976,666,"1,985","2,232","1,159","1,281",930,"4,092","4,500","2,211","1,123",148,75
2020,4,20,"33,950",196,756,132,"2,276",478,551,158,59,59,167,461,377,388,344,728,416,488,"1,342",765,"2,549","2,544","1,813","1,464","1,086","5,169","4,588","3,386",834,272,104
2020,4,30,"31,919",142,823,99,"2,767",468,384,131,60,36,150,459,317,368,307,594,337,486,"1,245",741,"2,146","2,194","1,328","1,239","1,429","4,083","5,709","2,363","1,257",183,74
2020,4,40,"42,563",265,"1,285",155,"3,214",743,661,261,95,87,229,577,370,587,502,796,465,632,"1,635",966,"2,874","3,280","1,843","1,780","1,573","5,731","6,431","3,426","1,640",315,145
2020,4,50,"48,863",501,"1,405",340,"3,548","1,079","1,248",470,191,148,481,743,513,755,681,"1,101",630,964,"2,188","1,188","3,494","3,400","2,270","1,877","1,565","5,906","5,899","4,555",994,491,238
2020,4,60,"39,423",611,"1,570",455,"2,434","1,201","1,347",645,288,162,455,965,600,954,867,"1,283",796,"1,242","2,076","1,317","2,880","2,643","1,589","1,330","1,504","3,183","3,072","2,621",668,449,216
2020,4,70,"23,847",551,981,380,"1,392","1,029","1,116",611,331,177,280,719,550,695,754,932,553,948,"1,281",739,"1,308","1,381",888,541,933,"1,372","1,218","1,208",438,349,192
2020,4,80,"10,404",292,441,245,727,611,649,354,202,103,156,221,204,242,252,312,236,339,403,218,588,579,378,188,353,555,545,558,151,184,118
2020,4,90,"1,561",53,58,36,102,100,117,44,47,17,29,42,19,26,36,43,33,35,40,37,77,88,49,39,53,91,93,94,13,28,22
2020,4,100,102,2,1,1,6,6,3,4,0,1,3,5,2,8,5,6,2,7,8,3,1,0,1,1,8,4,1,1,2,10,0
2020,5,총,"281,250","2,767","8,637","1,955","20,709","6,317","6,535","2,894","1,333",856,"2,078","4,713","3,276","4,521","4,095","6,396","3,900","5,588","11,961","7,100","19,226","19,775","12,067","10,571","10,512","33,084","36,810","21,650","8,227","2,493","1,204"
2020,5,0,"21,636",58,637,36,"2,174",294,140,75,15,27,62,244,107,169,123,273,164,182,793,489,"1,369","1,472",749,836,"1,081","2,906","4,706","1,269","1,079",73,34
2020,5,10,"27,139",108,662,79,"2,104",324,317,137,42,40,83,291,217,315,239,348,263,269,964,660,"1,980","2,210","1,153","1,284",938,"4,080","4,496","2,193","1,122",148,73
2020,5,20,"33,818",196,745,134,"2,255",473,549,160,57,59,163,452,378,392,342,711,415,486,"1,329",761,"2,546","2,535","1,818","1,449","1,083","5,155","4,587","3,363",849,272,104
2020,5,30,"31,753",133,827,99,"2,735",459,383,129,58,36,142,464,316,370,302,598,336,477,"1,246",727,"2,119","2,186","1,314","1,236","1,410","4,073","5,704","2,363","1,256",184,71
2020,5,40,"42,462",262,"1,284",152,"3,210",741,653,262,95,86,228,569,364,587,491,797,464,642,"1,629",961,"2,869","3,251","1,848","1,774","1,579","5,726","6,448","3,399","1,650",304,137
2020,5,50,"48,846",498,"1,411",341,"3,557","1,061","1,259",470,193,148,475,737,510,751,684,"1,091",631,960,"2,193","1,187","3,480","3,406","2,255","1,881","1,560","5,916","5,919","4,554",993,490,235
2020,5,60,"39,503",611,"1,574",446,"2,450","1,211","1,339",650,290,162,455,968,600,958,860,"1,285",797,"1,239","2,051","1,314","2,885","2,652","1,611","1,335","1,508","3,188","3,091","2,632",676,450,215
2020,5,70,"23,973",554,994,386,"1,389","1,031","1,127",609,334,176,283,723,556,699,762,929,559,950,"1,293",741,"1,314","1,389",890,552,935,"1,388","1,211","1,223",436,348,192
2020,5,80,"10,462",294,445,245,728,616,648,355,203,104,155,217,207,247,252,317,235,341,414,222,586,583,381,186,357,555,551,560,153,185,120
2020,5,90,"1,554",51,57,36,101,101,117,43,45,17,29,43,19,25,35,41,34,35,41,35,77,91,47,37,53,93,95,93,11,29,23
2020,5,100,104,2,1,1,6,6,3,4,1,1,3,5,2,8,5,6,2,7,8,3,1,0,1,1,8,4,2,1,2,10,0
2020,6,총,"281,121","2,763","8,668","1,947","20,627","6,324","6,540","2,885","1,345",850,"2,082","4,687","3,291","4,509","4,092","6,381","3,916","5,550","11,929","7,072","19,220","19,800","12,052","10,541","10,488","33,048","36,944","21,630","8,240","2,491","1,209"
2020,6,0,"21,598",58,641,37,"2,169",294,143,73,15,27,62,242,113,172,120,273,158,180,792,489,"1,368","1,471",746,837,"1,071","2,891","4,709","1,261","1,078",74,34
2020,6,10,"26,958",108,661,76,"2,092",317,318,136,40,39,84,283,217,313,239,335,263,261,955,656,"1,973","2,198","1,144","1,274",937,"4,047","4,483","2,168","1,121",147,73
2020,6,20,"33,790",194,751,133,"2,238",472,548,159,58,56,161,451,382,385,343,707,428,480,"1,323",756,"2,528","2,541","1,805","1,434","1,075","5,153","4,600","3,388",865,270,106
2020,6,30,"31,713",132,833,96,"2,731",460,380,128,59,36,145,461,322,375,298,607,335,466,"1,240",724,"2,113","2,180","1,315","1,224","1,396","4,065","5,731","2,358","1,248",187,68
2020,6,40,"42,449",260,"1,294",153,"3,201",747,650,255,95,84,229,565,370,587,494,793,464,641,"1,622",948,"2,880","3,259","1,846","1,776","1,575","5,707","6,492","3,374","1,644",304,140
2020,6,50,"48,622",491,"1,414",333,"3,530","1,053","1,261",470,197,147,476,733,506,745,683,"1,067",627,947,"2,166","1,178","3,458","3,395","2,244","1,866","1,552","5,895","5,933","4,536","1,002",484,233
2020,6,60,"39,782",619,"1,569",449,"2,457","1,223","1,350",648,296,163,458,965,599,956,856,"1,292",801,"1,242","2,065","1,319","2,907","2,685","1,638","1,342","1,524","3,222","3,131","2,660",676,449,221
2020,6,70,"24,073",553,998,388,"1,383","1,034","1,123",607,336,174,285,723,555,702,761,940,571,947,"1,302",747,"1,329","1,390",888,564,940,"1,405","1,220","1,228",438,351,191
2020,6,80,"10,472",295,448,244,720,617,645,359,202,105,151,217,205,240,258,320,233,342,415,219,586,586,379,186,358,569,549,564,154,185,121
2020,6,90,"1,560",51,58,37,100,101,119,46,46,18,28,42,20,26,35,41,34,37,41,33,77,95,46,37,52,90,94,92,12,30,22
2020,6,100,104,2,1,1,6,6,3,4,1,1,3,5,2,8,5,6,2,7,8,3,1,0,1,1,8,4,2,1,2,10,0
2020,7,총,"280,925","2,761","8,654","1,939","20,558","6,322","6,539","2,880","1,339",847,"2,101","4,682","3,268","4,498","4,091","6,368","3,881","5,530","11,920","7,049","19,151","19,804","12,017","10,534","10,524","32,993","37,162","21,555","8,257","2,494","1,207"
2020,7,0,"21,518",56,620,37,"2,150",288,141,73,15,25,63,241,109,168,120,270,160,181,794,489,"1,347","1,477",735,838,"1,073","2,882","4,745","1,253","1,062",74,32
