년도,월,나이,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020,1,총,"133,511","1,590","2,372","1,718","1,366","1,320","2,601","1,537","1,479","1,097","1,598","1,574","1,263","3,002","3,771","3,034","1,405","6,080","10,407","3,828","2,781","1,451","28,265","6,646","12,565","16,833","7,862","6,066"
2020,1,0,"10,977",50,288,94,36,37,90,44,60,22,57,67,68,115,193,94,29,470,"1,144",217,178,93,"3,576",354,990,"1,505",652,454
2020,1,10,"13,356",58,198,165,58,57,112,73,69,51,91,69,80,220,337,193,63,520,939,248,233,110,"3,779",593,"1,532","2,203",824,481
2020,1,20,"13,623",98,184,114,107,75,170,120,102,63,158,112,90,234,348,252,93,630,"1,177",346,254,126,"3,162",771,"1,404","2,000",836,597
2020,1,30,"15,459",81,373,117,62,68,185,88,98,52,107,124,111,238,321,210,91,782,"1,709",333,282,118,"4,336",655,"1,207","1,977",980,754
2020,1,40,"21,078",123,320,216,105,86,210,142,140,94,187,161,121,369,487,292,118,873,"1,627",501,378,194,"5,611",993,"2,167","3,256","1,366",941
2020,1,50,"21,170",276,335,230,235,217,376,301,296,175,357,215,200,499,589,501,232,966,"1,494",642,539,252,"3,728","1,290","2,073","2,733","1,376","1,043"
2020,1,60,"18,098",348,283,281,281,268,586,312,296,234,300,315,257,612,719,638,364,888,"1,255",760,481,259,"2,203","1,071","1,593","1,659",959,876
2020,1,70,"12,094",302,196,260,240,236,464,239,229,201,212,298,232,471,517,554,266,661,664,552,287,177,"1,199",610,940,979,547,561
2020,1,80,"6,459",209,167,198,194,228,337,180,157,172,115,178,86,203,223,256,122,251,339,194,120,101,572,260,570,458,259,310
2020,1,90,"1,120",42,28,43,44,45,66,34,31,31,13,29,14,35,33,41,25,37,57,33,29,20,97,49,86,59,57,42
2020,1,100,77,3,0,0,4,3,5,4,1,2,1,6,4,6,4,3,2,2,2,2,0,1,2,0,3,4,6,7
2020,2,총,"133,226","1,586","2,358","1,711","1,358","1,313","2,600","1,540","1,480","1,094","1,595","1,569","1,265","2,970","3,775","3,012","1,391","6,324","10,377","3,827","2,756","1,447","28,199","6,620","12,537","16,686","7,807","6,029"
2020,2,0,"10,861",48,283,91,35,38,90,43,59,22,58,67,68,109,191,90,27,509,"1,140",217,175,91,"3,537",347,982,"1,475",632,437
2020,2,10,"13,258",59,196,165,55,55,109,75,73,50,89,69,80,216,334,182,60,555,934,251,227,109,"3,753",592,"1,526","2,162",817,465
2020,2,20,"13,537",95,185,113,104,73,164,121,96,65,153,109,88,231,350,253,87,651,"1,145",347,250,125,"3,169",758,"1,399","1,980",829,597
2020,2,30,"15,327",79,367,114,63,68,188,87,99,51,103,122,110,235,318,200,93,820,"1,697",331,280,116,"4,299",645,"1,204","1,944",963,731
2020,2,40,"21,099",128,322,212,100,86,211,144,140,94,191,164,122,363,492,292,118,919,"1,644",502,368,194,"5,612",992,"2,156","3,213","1,372",948
2020,2,50,"21,128",275,332,230,237,212,371,298,300,171,350,212,200,485,586,498,225,995,"1,495",633,542,251,"3,728","1,284","2,071","2,733","1,369","1,045"
2020,2,60,"18,174",346,285,280,282,273,590,316,294,235,308,311,259,612,718,636,361,913,"1,259",758,474,261,"2,223","1,081","1,598","1,664",956,881
2020,2,70,"12,119",302,194,265,241,237,471,236,230,200,213,302,231,473,517,549,270,666,669,550,290,176,"1,199",607,943,980,548,560
2020,2,80,"6,494",206,165,198,189,221,332,182,157,172,115,178,89,205,231,265,121,257,336,203,119,103,575,263,569,468,261,314
2020,2,90,"1,152",45,29,43,48,47,68,34,31,32,14,30,14,35,34,44,27,37,56,33,31,20,102,51,86,63,54,44
2020,2,100,77,3,0,0,4,3,6,4,1,2,1,5,4,6,4,3,2,2,2,2,0,1,2,0,3,4,6,7
