년도,월,나이,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020,1,총,"210,275","12,127","16,405","15,021","12,179","8,321","9,857","17,649","8,905","12,587","5,368","17,998","7,070","4,829","8,407","7,526","12,842","19,528","13,656"
2020,1,0,"14,223",689,"1,386","1,305",815,597,659,"1,126",592,879,275,"1,326",262,153,655,214,509,"2,029",752
2020,1,10,"19,287",816,"1,580","1,587","1,063",575,"1,045","1,490",922,"1,596",271,"2,111",401,293,812,427,837,"2,382","1,079"
2020,1,20,"23,921","1,535","1,715","1,478","1,449",867,"1,445","2,738",976,"1,465",579,"1,939",757,490,"1,016",813,"1,166","1,956","1,537"
2020,1,30,"24,965","1,550","2,211","1,931","1,446","1,171","1,235","2,474",962,"1,324",657,"1,956",736,392,"1,065",552,975,"2,763","1,565"
2020,1,40,"35,427","1,831","2,925","2,722","2,158","1,398","1,919","2,971","1,508","2,457",661,"3,467",897,591,"1,382",866,"1,572","4,034","2,068"
2020,1,50,"37,309","2,105","2,829","2,623","2,130","1,549","1,594","3,177","1,649","2,301","1,028","3,136","1,345",963,"1,626","1,392","2,369","2,786","2,707"
2020,1,60,"29,045","1,905","1,996","1,893","1,622","1,249",902,"1,850","1,089","1,257",983,"2,240","1,352","1,018","1,121","1,437","2,642","2,134","2,355"
2020,1,70,"16,864","1,146","1,134",966,985,621,644,"1,126",701,788,552,"1,169",887,621,487,"1,226","1,807",967,"1,037"
2020,1,80,"7,895",446,520,437,444,251,365,621,449,455,306,562,376,266,207,499,819,396,476
2020,1,90,"1,227",85,104,78,55,38,49,75,57,65,52,92,44,38,35,83,126,77,74
2020,1,100,112,19,5,1,12,5,0,1,0,0,4,0,13,4,1,17,20,4,6
2020,2,총,"209,978","12,174","16,353","15,042","12,383","8,319","9,842","17,586","8,910","12,543","5,323","17,882","7,055","4,800","8,398","7,470","12,799","19,496","13,603"
2020,2,0,"14,174",685,"1,382","1,330",840,602,661,"1,098",604,863,269,"1,304",263,146,659,209,498,"2,023",738
