년도,월,나이,안산시,상록구,일동,이동,사동,사이동,해양동,본오1동,본오2동,본오3동,부곡동,월피동,성포동,반월동,안산동,단원구,와동,고잔동,중앙동,호수동,원곡동,백운동,신길동,초지동,선부1동,선부2동,선부3동,대부동
2020,1,총,"317,088","168,695","12,727","11,783","16,607","16,338","8,983","19,203","14,049","10,558","10,999","19,638","14,200","9,143","4,467","148,393","18,731","11,224","13,179","22,920","2,798","9,387","10,785","23,463","5,558","8,368","17,906","4,074"
2020,1,0,"22,650","11,648",997,683,"1,082","1,352",740,"1,428",882,573,816,"1,236",948,639,272,"11,002","1,369",694,888,"1,856",160,721,900,"2,024",352,517,"1,383",138
2020,1,10,"32,664","17,154","1,354",850,"1,570","1,904","1,143","2,149","1,614",953,"1,155","2,015","1,361",685,401,"15,510","2,009","1,023","1,220","2,774",156,950,"1,299","2,665",455,887,"1,897",175
2020,1,20,"49,238","26,555","1,869","2,194","2,777","2,445","1,408","2,875","2,205","1,773","1,728","3,335","2,366","1,030",550,"22,683","2,738","2,098","2,527","3,855",213,"1,412","1,369","3,459",706,"1,221","2,769",316
2020,1,30,"39,176","20,099","1,582","1,697","2,155","1,966","1,007","2,381","1,482","1,290","1,194","2,149","1,656","1,093",447,"19,077","2,425","1,428","1,961","2,744",286,"1,182","1,347","3,296",731,929,"2,466",282
2020,1,40,"54,750","28,949","2,232","1,912","2,904","2,932","1,663","3,569","2,564","1,739","1,868","3,369","2,241","1,284",672,"25,801","3,421","1,772","2,085","4,304",445,"1,539","1,919","4,321",873,"1,470","3,253",399
2020,1,50,"61,013","32,530","2,223","2,127","2,975","3,091","1,766","3,475","2,729","2,181","2,148","4,089","3,096","1,763",867,"28,483","3,462","2,082","2,453","4,615",649,"1,884","2,022","4,079","1,117","1,718","3,468",934
2020,1,60,"30,787","16,352","1,206","1,187","1,285","1,493",808,"1,665","1,249","1,009","1,041","1,801","1,460","1,452",696,"14,435","1,743","1,126","1,277","1,667",420,"1,085","1,136","1,943",695,890,"1,506",947
2020,1,70,"15,924","9,177",797,692,946,680,258,"1,038",814,647,650,933,589,788,345,"6,747",970,602,438,609,295,397,469,964,372,429,701,501
2020,1,80,"9,243","5,281",395,362,759,414,150,542,445,339,348,608,403,342,174,"3,962",508,353,262,416,149,185,277,594,227,267,406,318
2020,1,90,"1,560",907,69,73,144,56,39,80,64,54,49,99,76,65,39,653,83,42,66,78,20,25,44,113,30,38,54,60
2020,1,100,83,43,3,6,10,5,1,1,1,0,2,4,4,2,4,40,3,4,2,2,5,7,3,5,0,2,3,4
2020,2,총,"317,372","168,924","12,702","11,748","16,491","16,476","9,824","19,121","13,966","10,510","10,887","19,520","14,107","9,113","4,459","148,448","18,599","11,173","13,138","22,770","2,769","9,228","10,734","23,414","6,541","8,239","17,777","4,066"
2020,2,0,"22,589","11,675",982,669,"1,064","1,359",914,"1,416",861,559,801,"1,225",926,628,271,"10,914","1,355",683,874,"1,813",155,698,875,"2,009",462,498,"1,357",135
2020,2,10,"32,507","17,108","1,339",849,"1,544","1,890","1,275","2,131","1,607",943,"1,130","1,972","1,354",677,397,"15,399","1,982","1,011","1,199","2,738",158,923,"1,278","2,632",565,860,"1,877",176
2020,2,20,"49,287","26,561","1,885","2,183","2,778","2,488","1,479","2,849","2,186","1,772","1,704","3,313","2,345","1,030",549,"22,726","2,703","2,092","2,553","3,822",210,"1,370","1,372","3,460",873,"1,215","2,747",309
2020,2,30,"39,119","20,071","1,560","1,689","2,111","1,989","1,188","2,365","1,459","1,272","1,169","2,121","1,630","1,075",443,"19,048","2,391","1,409","1,943","2,753",277,"1,169","1,330","3,291",868,903,"2,440",274
2020,2,40,"54,740","28,992","2,235","1,900","2,883","2,937","1,841","3,558","2,539","1,739","1,858","3,331","2,218","1,285",668,"25,748","3,398","1,758","2,063","4,254",443,"1,509","1,905","4,306","1,049","1,431","3,226",406
2020,2,50,"61,123","32,565","2,215","2,128","2,972","3,123","1,825","3,462","2,731","2,167","2,127","4,107","3,088","1,756",864,"28,558","3,449","2,071","2,445","4,606",637,"1,854","2,024","4,085","1,292","1,717","3,448",930
2020,2,60,"31,126","16,529","1,211","1,205","1,294","1,526",846,"1,671","1,256","1,018","1,048","1,808","1,477","1,468",701,"14,597","1,753","1,148","1,286","1,686",422,"1,082","1,152","1,962",766,881,"1,507",952
2020,2,70,"15,963","9,192",804,692,938,683,265,"1,042",813,647,644,938,592,788,346,"6,771",967,597,439,606,295,406,471,967,388,428,706,501
2020,2,80,"9,275","5,278",397,358,755,418,153,546,447,340,354,603,397,336,174,"3,997",516,355,268,416,147,186,278,591,246,266,408,320
2020,2,90,"1,558",909,71,70,142,58,37,80,64,53,50,98,76,68,42,649,82,45,65,74,20,24,46,106,32,38,58,59
2020,2,100,85,44,3,5,10,5,1,1,3,0,2,4,4,2,4,41,3,4,3,2,5,7,3,5,0,2,3,4
2020,3,총,"318,138","170,224","12,630","11,612","16,294","16,441","12,278","18,943","13,863","10,426","10,823","19,385","14,008","9,082","4,439","147,914","18,448","11,130","13,037","22,447","2,749","9,160","10,621","23,147","7,317","8,118","17,660","4,080"
2020,3,0,"22,674","11,893",967,650,"1,036","1,350","1,353","1,392",839,539,782,"1,203",905,611,266,"10,781","1,340",670,864,"1,798",153,684,858,"1,935",520,492,"1,333",134
2020,3,10,"32,320","17,159","1,327",842,"1,518","1,858","1,531","2,096","1,579",931,"1,130","1,957","1,327",671,392,"15,161","1,941","1,000","1,186","2,642",157,909,"1,258","2,569",629,851,"1,841",178
2020,3,20,"49,482","26,735","1,888","2,144","2,759","2,497","1,785","2,819","2,184","1,765","1,682","3,293","2,345","1,032",542,"22,747","2,688","2,091","2,538","3,783",204,"1,361","1,355","3,474","1,001","1,199","2,746",307
2020,3,30,"39,252","20,247","1,528","1,652","2,051","2,003","1,690","2,311","1,440","1,231","1,156","2,080","1,615","1,053",437,"19,005","2,370","1,410","1,935","2,747",266,"1,165","1,301","3,238","1,006",885,"2,411",271
2020,3,40,"54,524","29,106","2,221","1,872","2,839","2,882","2,301","3,509","2,503","1,721","1,843","3,303","2,172","1,280",660,"25,418","3,361","1,738","2,041","4,117",435,"1,477","1,881","4,221","1,159","1,390","3,198",400
2020,3,50,"61,361","32,825","2,205","2,106","2,952","3,144","2,151","3,466","2,725","2,167","2,123","4,086","3,076","1,764",860,"28,536","3,425","2,065","2,402","4,569",638,"1,837","1,999","4,060","1,471","1,682","3,443",945
