년도,월,나이,장수군,장수읍,산서면,번암면,장계면,천천면,계남면,계북면
2020,1,총,"11,241","3,798","1,095","1,168","2,201","1,052","1,115",812
2020,1,0,593,288,38,32,122,30,45,38
2020,1,10,858,393,58,59,165,49,89,45
2020,1,20,773,315,61,67,175,49,71,35
2020,1,30,819,395,56,49,154,51,62,52
2020,1,40,"1,117",452,87,88,259,74,97,60
2020,1,50,"1,684",534,151,196,339,164,176,124
2020,1,60,"2,011",594,207,231,375,236,198,170
2020,1,70,"1,784",468,207,239,323,205,202,140
2020,1,80,"1,374",310,200,171,251,159,158,125
2020,1,90,213,47,28,34,31,33,17,23
2020,1,100,15,2,2,2,7,2,0,0
2020,2,총,"11,190","3,778","1,077","1,171","2,193","1,052","1,115",804
2020,2,0,585,289,36,29,121,29,45,36
2020,2,10,841,387,52,61,161,48,86,46
2020,2,20,756,304,58,68,172,51,70,33
2020,2,30,804,382,56,50,151,51,63,51
2020,2,40,"1,127",461,84,87,263,76,99,57
2020,2,50,"1,670",529,150,197,334,159,180,121
2020,2,60,"2,026",601,204,232,379,240,198,172
2020,2,70,"1,778",466,208,237,321,204,203,139
2020,2,80,"1,375",312,199,174,252,159,153,126
2020,2,90,212,45,28,34,32,32,18,23
2020,2,100,16,2,2,2,7,3,0,0
2020,3,총,"11,181","3,774","1,074","1,169","2,184","1,060","1,114",806
2020,3,0,582,287,35,30,119,29,46,36
2020,3,10,834,385,52,59,159,50,85,44
2020,3,20,748,305,57,70,162,50,69,35
2020,3,30,799,379,52,49,156,51,60,52
2020,3,40,"1,127",458,86,85,261,78,102,57
2020,3,50,"1,657",527,149,193,337,157,174,120
2020,3,60,"2,037",602,204,237,378,240,203,173
2020,3,70,"1,780",472,208,236,317,210,201,136
2020,3,80,"1,384",309,201,174,256,160,156,128
2020,3,90,215,48,28,34,32,32,16,25
2020,3,100,18,2,2,2,7,3,2,0
2020,4,총,"11,174","3,766","1,074","1,173","2,185","1,062","1,115",799
2020,4,0,580,287,33,31,120,29,44,36
2020,4,10,832,383,53,60,157,50,84,45
2020,4,20,745,301,57,70,159,51,71,36
2020,4,30,787,372,51,51,158,50,58,47
2020,4,40,"1,126",455,86,86,261,80,104,54
2020,4,50,"1,643",527,144,188,335,155,175,119
2020,4,60,"2,053",605,207,240,382,244,203,172
2020,4,70,"1,775",474,208,235,314,207,201,136
2020,4,80,"1,400",313,204,176,258,163,156,130
2020,4,90,215,47,29,34,34,30,17,24
2020,4,100,18,2,2,2,7,3,2,0
2020,5,총,"11,152","3,742","1,073","1,175","2,178","1,076","1,113",795
2020,5,0,580,288,34,28,123,29,43,35
2020,5,10,827,378,53,62,154,52,83,45
2020,5,20,735,298,55,70,156,50,70,36
2020,5,30,780,364,53,52,154,52,58,47
2020,5,40,"1,125",457,83,86,260,81,103,55
2020,5,50,"1,630",524,143,185,334,158,173,113
2020,5,60,"2,062",598,211,245,386,245,204,173
2020,5,70,"1,774",478,208,235,310,206,201,136
2020,5,80,"1,403",307,203,177,259,168,158,131
2020,5,90,218,48,29,33,34,32,18,24
2020,5,100,18,2,1,2,8,3,2,0
2020,6,총,"11,167","3,765","1,070","1,172","2,168","1,083","1,118",791
2020,6,0,586,287,34,28,126,32,42,37
2020,6,10,826,385,55,59,148,51,85,43
2020,6,20,732,299,52,70,155,51,71,34
2020,6,30,780,364,53,51,153,55,57,47
2020,6,40,"1,135",463,84,84,260,83,106,55
2020,6,50,"1,625",526,142,183,331,157,173,113
2020,6,60,"2,065",604,209,244,385,246,203,174
2020,6,70,"1,782",480,208,242,306,208,203,135
2020,6,80,"1,396",306,201,175,261,165,158,130
2020,6,90,222,49,31,34,35,32,18,23
2020,6,100,18,2,1,2,8,3,2,0
2020,7,총,"11,154","3,752","1,067","1,170","2,176","1,083","1,113",793
2020,7,0,576,280,31,28,125,32,43,37
2020,7,10,826,383,57,59,150,50,84,43
2020,7,20,732,300,51,69,158,50,70,34
2020,7,30,763,356,51,49,151,56,53,47
2020,7,40,"1,136",465,84,85,260,80,107,55
2020,7,50,"1,621",518,141,182,333,159,172,116
2020,7,60,"2,074",611,209,244,388,245,204,173
2020,7,70,"1,782",477,208,244,305,211,202,135
2020,7,80,"1,406",311,203,174,261,166,159,132
2020,7,90,220,49,31,34,37,31,17,21
2020,7,100,18,2,1,2,8,3,2,0
2020,8,총,"11,136","3,751","1,066","1,161","2,176","1,077","1,109",796
2020,8,0,572,278,31,27,126,32,42,36
2020,8,10,830,386,57,58,151,49,84,45
