년도,월,나이,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020,1,총,"592,797","137,912","11,863","20,722","15,456","15,476","21,745","10,058","9,964","14,565","10,082","7,981","184,010","5,317","11,677","9,963","20,117","19,101","12,488","23,154","23,135","12,184","25,455","12,934","8,485","87,227","2,774","5,026","4,509","12,134","13,835","5,807","10,512","8,726","18,764","5,140","183,648","9,428","7,743","17,521","11,365","19,065","18,506","12,509","16,177","15,918","14,211","26,701","14,504"
2020,1,0,"50,246","9,606",739,"1,646","1,339","1,071","1,852",449,601,808,748,353,"16,772",442,579,583,"1,571","1,292",766,"2,592","3,510",685,"2,898",902,952,"5,118",125,219,186,795,"1,049",233,495,649,"1,222",145,"18,750",648,497,"1,501",704,"2,293","1,889","1,320","1,405","1,739","2,156","2,862","1,736"
2020,1,10,"59,436","14,502",943,"2,167","1,710","1,624","3,574",624,847,"1,412","1,058",543,"16,588",316,821,783,"1,789","1,614","1,074","2,374","2,190",865,"2,631","1,187",944,"7,158",142,259,319,"1,192","1,581",377,759,882,"1,406",241,"21,188","1,015",772,"2,218","1,210","1,700","2,465","1,085","2,118","2,103","1,571","3,480","1,451"
2020,1,20,"88,112","20,097","1,557","3,943","2,022","2,079","2,988","1,320","1,489","2,113","1,507","1,079","26,390",763,"1,687","1,350","2,879","2,823","1,922","3,048","2,651","2,437","3,395","2,510",925,"13,414",386,842,517,"1,581","2,029",622,"1,505","1,610","3,595",727,"28,211","1,451","1,265","2,850","1,794","3,114","2,461","2,496","2,879","2,222","1,779","4,320","1,580"
2020,1,30,"89,034","16,497","1,431","2,825","1,918","1,883","2,454","1,148","1,352","1,560","1,129",797,"29,002",831,"1,565","1,250","2,744","2,590","1,548","3,506","4,926","2,048","4,385","2,397","1,212","11,693",391,777,486,"1,415","1,813",598,"1,323","1,118","3,223",549,"31,842","1,235",939,"2,559","1,550","3,891","2,962","2,956","2,206","2,599","3,129","4,990","2,826"
2020,1,40,"102,359","23,807","1,878","3,390","2,902","2,670","4,998","1,434","1,552","2,337","1,653",993,"29,978",702,"1,794","1,569","3,092","2,948","1,879","4,063","3,700","1,818","4,570","2,231","1,612","13,706",382,622,654,"2,013","2,501",797,"1,570","1,486","3,064",617,"34,868","1,672","1,294","3,434","2,104","3,282","3,834","2,110","3,319","3,077","2,642","5,489","2,611"
2020,1,50,"98,048","24,675","2,246","3,359","2,715","2,752","3,411","2,031","1,879","2,783","2,049","1,450","31,734",998,"2,214","1,781","3,858","3,428","2,526","3,895","3,074","2,160","4,284","2,134","1,382","15,167",502,923,853,"2,151","2,553","1,037","1,947","1,415","2,822",964,"26,472","1,671","1,437","2,688","1,960","2,275","2,840","1,433","2,555","2,532","1,758","3,246","2,077"
2020,1,60,"56,501","14,598","1,569","1,765","1,484","1,691","1,190","1,672","1,232","1,753",915,"1,327","18,646",682,"1,698","1,421","2,294","2,417","1,517","1,939","1,737","1,245","2,009",864,823,"10,959",423,724,781,"1,570","1,180","1,080","1,486",850,"1,913",952,"12,298",999,810,"1,208","1,127","1,423","1,073",551,889,917,685,"1,338","1,278"
2020,1,70,"30,434","8,568",927,963,828,"1,076",759,915,614,"1,067",562,857,"9,245",360,846,819,"1,152","1,283",759,"1,064",850,559,768,396,389,"6,465",265,423,485,952,685,697,945,448,942,623,"6,156",474,441,623,546,689,597,369,456,459,292,604,606
2020,1,80,"15,603","4,632",466,573,447,522,440,380,336,619,392,457,"4,753",176,398,334,602,603,433,581,433,313,418,249,213,"2,963",137,201,190,386,377,305,410,225,476,256,"3,255",217,239,377,313,326,327,165,292,224,168,312,295
