년도,월,나이,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020,1,총,"176,311","8,885","4,208","1,816","10,831","1,113","1,070","4,239","3,506","1,781","1,353","2,809","6,854","4,611","8,343","22,105","4,499","2,576","14,088","6,639","4,872","12,657","4,312","3,859","17,014","22,271"
2020,1,0,"14,131",641,219,53,"1,792",27,27,222,214,27,24,125,380,222,444,"1,702",198,89,990,549,382,952,164,251,"1,705","2,732"
2020,1,10,"17,617",846,273,72,868,52,41,308,341,61,55,182,651,420,914,"2,641",314,160,"1,182",579,560,"1,369",358,444,"2,059","2,867"
2020,1,20,"21,214",902,420,149,"1,205",49,71,681,434,102,104,385,826,575,"1,066","2,925",851,267,"2,052",881,489,"1,410",449,423,"1,903","2,595"
2020,1,30,"22,359",991,326,110,"2,644",43,42,405,372,75,111,281,646,399,742,"2,744",420,206,"1,804",849,567,"1,427",294,338,"2,485","4,038"
2020,1,40,"29,103","1,439",476,147,"1,678",56,84,527,594,133,112,340,996,641,"1,332","4,284",535,313,"2,226","1,027",879,"2,149",566,661,"3,413","4,495"
2020,1,50,"29,935","1,560",811,333,"1,224",190,219,758,641,392,242,541,"1,310",964,"1,616","3,722",780,486,"2,802","1,109",752,"2,285",846,736,"2,733","2,883"
2020,1,60,"21,026","1,147",810,394,775,280,247,652,466,459,279,457,995,683,"1,093","2,103",687,493,"1,743",825,616,"1,532",724,498,"1,584","1,484"
2020,1,70,"12,063",800,474,261,348,219,188,377,237,304,209,288,629,430,621,"1,236",424,339,726,510,394,894,520,265,668,702
2020,1,80,"7,489",474,341,264,248,170,123,267,168,197,176,189,363,231,439,642,239,175,468,259,204,552,332,194,376,398
2020,1,90,"1,291",80,56,33,45,26,26,41,39,31,36,19,53,43,75,101,45,45,86,47,26,85,53,44,84,72
2020,1,100,83,5,2,0,4,1,2,1,0,0,5,2,5,3,1,5,6,3,9,4,3,2,6,5,4,5
2020,2,총,"176,675","8,854","4,207","1,803","11,571","1,116","1,067","4,210","3,490","1,775","1,349","2,786","6,828","4,604","8,329","21,970","4,467","2,564","14,091","6,625","4,861","12,611","4,316","3,843","16,986","22,352"
2020,2,0,"14,117",637,212,48,"1,902",27,26,215,205,27,25,121,380,216,446,"1,671",192,83,978,549,380,935,163,245,"1,701","2,733"
2020,2,10,"17,561",830,277,73,962,53,38,302,335,59,52,177,636,424,913,"2,591",302,158,"1,175",577,552,"1,349",355,439,"2,050","2,882"
2020,2,20,"21,249",900,410,151,"1,279",50,69,679,432,101,105,381,829,570,"1,055","2,909",852,273,"2,065",875,484,"1,397",446,420,"1,922","2,595"
2020,2,30,"22,400",971,325,102,"2,838",43,44,394,369,72,110,283,648,387,740,"2,722",411,199,"1,805",850,570,"1,398",291,336,"2,455","4,037"
2020,2,40,"29,167","1,448",483,145,"1,806",57,83,523,599,126,114,330,981,652,"1,341","4,238",528,309,"2,220","1,018",860,"2,143",568,653,"3,421","4,521"
2020,2,50,"29,895","1,550",809,324,"1,303",189,218,746,642,390,238,541,"1,295",956,"1,599","3,714",778,487,"2,786","1,104",771,"2,288",845,736,"2,697","2,889"
2020,2,60,"21,297","1,160",816,403,812,280,249,665,466,463,278,453,"1,008",695,"1,103","2,129",690,494,"1,770",831,615,"1,558",738,502,"1,601","1,518"
2020,2,70,"12,087",799,475,260,362,220,190,373,236,309,211,292,625,426,618,"1,241",422,338,728,516,393,896,515,267,677,698
2020,2,80,"7,513",475,343,263,258,169,122,271,169,197,174,187,364,231,441,648,239,177,468,256,207,558,335,192,372,397
2020,2,90,"1,307",79,55,34,45,27,26,42,37,31,37,19,57,44,72,102,47,43,87,46,26,87,54,47,86,77
2020,2,100,82,5,2,0,4,1,2,0,0,0,5,2,5,3,1,5,6,3,9,3,3,2,6,6,4,5
2020,3,총,"176,775","8,828","4,175","1,799","12,092","1,119","1,078","4,176","3,489","1,769","1,340","2,763","6,801","4,592","8,261","21,913","4,469","2,539","14,142","6,594","4,863","12,586","4,307","3,821","16,959","22,300"
