년도,월,나이,영양군,영양읍,입암면,청기면,일월면,수비면,석보면
2020,1,총,"16,999","7,398","2,199","1,728","1,838","1,712","2,124"
2020,1,0,789,467,85,63,46,55,73
2020,1,10,"1,020",592,90,58,92,101,87
2020,1,20,"1,209",699,105,74,125,81,125
2020,1,30,"1,110",655,126,67,74,81,107
2020,1,40,"1,825",976,194,142,157,172,184
2020,1,50,"3,074","1,258",412,291,354,335,424
2020,1,60,"3,299","1,221",476,402,378,361,461
2020,1,70,"2,760",924,419,384,327,293,413
2020,1,80,"1,670",509,254,220,260,201,226
2020,1,90,216,88,36,24,23,27,18
2020,1,100,27,9,2,3,2,5,6
2020,2,총,"16,946","7,375","2,184","1,727","1,825","1,719","2,116"
2020,2,0,784,461,84,63,46,58,72
2020,2,10,"1,006",582,89,56,92,100,87
2020,2,20,"1,191",693,100,75,117,83,123
2020,2,30,"1,102",652,121,65,76,79,109
2020,2,40,"1,822",978,192,143,157,171,181
2020,2,50,"3,060","1,255",412,289,349,337,418
2020,2,60,"3,301","1,226",479,399,375,361,461
2020,2,70,"2,757",925,418,384,326,295,409
2020,2,80,"1,673",508,251,224,260,200,230
2020,2,90,224,87,36,26,25,30,20
2020,2,100,26,8,2,3,2,5,6
2020,3,총,"16,884","7,363","2,173","1,729","1,809","1,707","2,103"
2020,3,0,785,459,86,63,49,56,72
2020,3,10,991,581,88,55,87,98,82
2020,3,20,"1,183",687,100,74,114,84,124
2020,3,30,"1,087",652,115,66,73,75,106
2020,3,40,"1,817",976,194,141,153,172,181
2020,3,50,"3,029","1,245",403,291,346,326,418
2020,3,60,"3,315","1,234",482,402,375,364,458
2020,3,70,"2,739",918,413,379,323,298,408
2020,3,80,"1,685",515,253,229,263,196,229
2020,3,90,228,88,37,26,24,33,20
2020,3,100,25,8,2,3,2,5,5
2020,4,총,"16,844","7,364","2,166","1,727","1,795","1,694","2,098"
2020,4,0,773,455,83,62,47,54,72
2020,4,10,988,582,85,57,88,94,82
2020,4,20,"1,165",674,104,72,111,86,118
2020,4,30,"1,078",651,114,65,68,72,108
2020,4,40,"1,806",980,190,140,148,171,177
2020,4,50,"3,028","1,249",395,291,348,326,419
2020,4,60,"3,326","1,241",490,400,375,361,459
2020,4,70,"2,722",914,413,377,321,293,404
2020,4,80,"1,702",521,253,234,263,199,232
2020,4,90,230,89,37,25,24,33,22
2020,4,100,26,8,2,4,2,5,5
2020,5,총,"16,786","7,335","2,166","1,727","1,789","1,686","2,083"
2020,5,0,769,452,83,61,49,55,69
2020,5,10,981,577,86,57,87,92,82
2020,5,20,"1,158",669,104,74,109,88,114
2020,5,30,"1,065",643,114,66,67,71,104
2020,5,40,"1,792",979,188,135,146,168,176
2020,5,50,"3,012","1,244",391,294,346,321,416
2020,5,60,"3,331","1,244",495,400,376,362,454
2020,5,70,"2,720",911,414,375,319,295,406
2020,5,80,"1,701",518,252,237,263,195,236
2020,5,90,231,90,37,24,25,34,21
2020,5,100,26,8,2,4,2,5,5
2020,6,총,"16,748","7,321","2,161","1,725","1,780","1,685","2,076"
