년도,월,나이,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020,8,20,"12,979",619,"2,047",745,581,349,839,"1,253",146,169,81,"1,309","3,179",944,718
2020,8,30,"14,268",727,"2,418",838,620,266,"1,023","1,198",129,154,52,994,"4,365",914,570
2020,8,40,"16,856",985,"3,286",870,762,305,828,952,220,200,95,"1,335","5,460",846,712
2020,8,50,"16,898","1,222","2,538","1,204","1,066",488,906,936,395,408,216,"1,601","3,819","1,133",966
2020,8,60,"12,323","1,190","1,582",934,813,495,728,744,438,469,314,"1,255","1,710",913,738
2020,8,70,"7,022",765,850,520,485,317,446,484,295,346,208,602,819,484,401
2020,8,80,"4,207",513,489,267,296,196,276,251,224,259,215,327,464,252,178
2020,8,90,711,63,75,66,64,37,44,58,27,54,36,36,81,41,29
2020,8,100,45,7,4,4,5,1,4,3,2,3,3,4,1,2,2
2020,9,총,"105,876","7,223","17,160","6,489","5,486","2,923","6,722","7,094","2,054","2,262","1,307","8,708","26,993","6,438","5,017"
2020,9,0,"9,265",480,"1,680",511,386,151,731,598,64,98,29,481,"3,325",456,275
2020,9,10,"11,217",659,"2,172",490,408,315,864,629,116,107,58,757,"3,771",445,426
2020,9,20,"12,977",607,"2,055",759,582,343,844,"1,245",145,168,78,"1,313","3,184",943,711
2020,9,30,"14,245",727,"2,413",843,625,266,"1,034","1,192",129,154,53,991,"4,336",914,568
2020,9,40,"16,827",982,"3,276",876,753,307,835,953,216,194,96,"1,328","5,449",849,713
2020,9,50,"16,937","1,228","2,551","1,206","1,066",487,907,932,392,408,215,"1,603","3,849","1,126",967
2020,9,60,"12,417","1,193","1,595",940,815,499,734,754,444,472,320,"1,267","1,720",925,739
2020,9,70,"7,011",761,848,523,489,318,449,478,295,342,205,599,817,485,402
2020,9,80,"4,220",514,490,270,293,200,275,254,223,263,212,327,463,251,185
2020,9,90,714,65,76,67,64,36,45,56,28,52,38,38,78,42,29
2020,9,100,46,7,4,4,5,1,4,3,2,4,3,4,1,2,2
2020,10,총,"105,846","7,212","17,117","6,507","5,502","2,924","6,742","7,069","2,051","2,267","1,305","8,703","26,972","6,439","5,036"
2020,10,0,"9,197",481,"1,649",512,390,153,734,594,65,98,26,483,"3,286",454,272
2020,10,10,"11,171",652,"2,165",496,405,312,848,620,111,106,56,752,"3,773",444,431
2020,10,20,"13,003",607,"2,059",747,584,346,852,"1,241",142,169,82,"1,322","3,189",947,716
2020,10,30,"14,176",723,"2,388",844,625,266,"1,038","1,187",130,152,52,985,"4,313",908,565
2020,10,40,"16,812",980,"3,268",881,756,303,835,948,214,199,95,"1,324","5,440",846,723
2020,10,50,"16,966","1,220","2,564","1,215","1,070",491,913,936,391,403,214,"1,589","3,876","1,120",964
2020,10,60,"12,497","1,199","1,601",945,826,500,741,749,451,479,321,"1,278","1,734",928,745
2020,10,70,"7,035",766,851,530,484,318,453,481,293,344,206,599,817,490,403
2020,10,80,"4,231",512,492,269,296,198,278,254,222,259,214,328,468,255,186
2020,10,90,713,65,76,64,62,36,46,56,30,54,36,39,75,45,29
2020,10,100,45,7,4,4,4,1,4,3,2,4,3,4,1,2,2
2020,11,총,"105,857","7,214","17,124","6,543","5,524","2,916","6,752","7,077","2,040","2,261","1,299","8,686","26,935","6,452","5,034"
2020,11,0,"9,123",467,"1,635",513,390,152,726,591,64,95,26,484,"3,262",452,266
2020,11,10,"11,111",654,"2,150",492,410,311,847,611,106,109,55,750,"3,747",441,428
2020,11,20,"13,101",623,"2,096",754,588,342,847,"1,257",144,165,80,"1,328","3,209",953,715
2020,11,30,"14,148",715,"2,380",856,622,267,"1,060","1,179",128,150,54,972,"4,285",909,571
2020,11,40,"16,784",979,"3,251",880,761,297,837,957,210,197,92,"1,317","5,435",852,719
2020,11,50,"16,941","1,216","2,564","1,217","1,075",494,908,936,392,404,212,"1,571","3,883","1,105",964
2020,11,60,"12,604","1,206","1,622",957,826,502,743,755,451,477,325,"1,294","1,752",942,752
2020,11,70,"7,043",763,851,532,488,317,456,481,294,343,203,600,819,492,404
2020,11,80,"4,250",517,496,275,299,199,279,254,219,261,214,327,467,258,185
2020,11,90,708,67,75,63,61,34,45,54,30,56,35,39,75,46,28
2020,11,100,44,7,4,4,4,1,4,2,2,4,3,4,1,2,2
2020,12,총,"105,441","7,232","17,147","6,519","5,524","2,767","6,539","7,073","2,042","2,249","1,297","8,681","26,890","6,444","5,037"
2020,12,0,"9,094",482,"1,634",519,387,149,729,582,63,96,26,481,"3,226",452,268
2020,12,10,"10,672",648,"2,155",480,412,191,551,606,108,109,56,747,"3,750",435,424
2020,12,20,"13,068",622,"2,093",735,582,313,846,"1,282",139,159,78,"1,336","3,212",951,720
2020,12,30,"14,149",721,"2,399",856,619,262,"1,092","1,171",127,154,56,962,"4,256",906,568
2020,12,40,"16,750",973,"3,251",878,757,295,855,948,211,193,86,"1,317","5,422",852,712
2020,12,50,"16,919","1,209","2,556","1,215","1,072",494,926,930,391,400,208,"1,565","3,879","1,105",969
2020,12,60,"12,719","1,223","1,628",966,835,507,757,757,455,480,331,"1,299","1,778",951,752
2020,12,70,"7,052",759,852,523,493,321,455,485,296,344,204,604,825,485,406
2020,12,80,"4,263",517,500,278,301,200,275,258,220,257,214,327,468,260,188
2020,12,90,711,71,75,65,62,34,49,52,30,53,35,39,73,45,28
