년도,월,나이,보령시,웅천읍,주포면,오천면,오천면어항출장소,오천면원산도출장소,천북면,청소면,청라면,남포면,주산면,미산면,성주면,주교면,대천1동,대천2동,대천3동,대천4동,대천5동,원산도출장소
2020,1,총,"49,877","3,157",781,"1,056",776,533,"1,767","1,365","1,988","2,588","1,287",873,"1,185","2,575","7,499","3,573","8,450","7,233","3,191",
2020,1,0,"3,227",81,24,32,32,16,69,35,60,62,17,25,34,97,602,293,895,708,145,
2020,1,10,"4,129",173,48,63,44,29,84,40,113,141,53,27,60,181,785,328,973,782,205,
2020,1,20,"4,134",178,52,61,54,27,103,70,126,174,48,44,82,189,748,347,885,730,216,
2020,1,30,"4,563",155,42,52,60,20,88,64,93,134,56,39,81,177,805,367,"1,234",858,238,
2020,1,40,"6,431",272,68,95,78,39,149,97,150,215,84,40,103,285,"1,187",553,"1,475","1,239",302,
2020,1,50,"8,263",541,123,159,152,89,287,183,335,445,175,133,215,463,"1,296",574,"1,316","1,146",631,
2020,1,60,"8,333",735,176,256,166,122,387,293,424,550,271,187,266,516,"1,032",500,883,884,685,
2020,1,70,"6,117",553,138,174,100,97,296,293,360,450,303,198,210,370,662,384,494,542,493,
2020,1,80,"3,966",393,90,136,78,79,262,247,280,340,240,148,111,253,330,199,257,287,236,
2020,1,90,671,75,20,28,11,14,41,43,44,71,39,31,17,42,46,25,35,50,39,
2020,1,100,43,1,0,0,1,1,1,0,3,6,1,1,6,2,6,3,3,7,1,
2020,2,총,"49,812","3,150",789,"1,057",766,536,"1,764","1,358","1,973","2,591","1,277",877,"1,176","2,567","7,426","3,544","8,391","7,378","3,192",
2020,2,0,"3,209",79,25,31,29,16,71,32,59,67,17,25,33,95,583,290,890,720,147,
2020,2,10,"4,111",168,51,62,43,28,84,43,110,140,51,27,59,179,777,317,967,802,203,
2020,2,20,"4,093",177,51,60,52,26,97,68,120,169,49,46,81,183,738,342,875,746,213,
2020,2,30,"4,529",152,42,53,60,21,87,60,94,132,54,38,79,172,792,363,"1,217",873,240,
2020,2,40,"6,433",271,69,97,77,40,152,98,150,219,83,41,100,284,"1,168",551,"1,454","1,278",301,
2020,2,50,"8,246",534,124,159,150,89,283,185,331,442,170,135,214,463,"1,289",565,"1,311","1,179",623,
2020,2,60,"8,376",742,178,257,166,123,388,295,421,550,274,189,273,521,"1,035",503,879,886,696,
2020,2,70,"6,108",555,139,174,98,97,293,289,360,452,303,196,205,370,661,384,497,545,490,
2020,2,80,"3,983",393,89,134,79,81,268,246,281,341,234,148,112,254,333,199,261,292,238,
2020,2,90,680,78,21,30,11,14,40,42,43,73,41,31,15,44,44,27,37,49,40,
2020,2,100,44,1,0,0,1,1,1,0,4,6,1,1,5,2,6,3,3,8,1,
2020,3,총,"49,760","3,141",784,"1,050",768,534,"1,763","1,348","1,972","2,570","1,274",873,"1,171","2,575","7,347","3,519","8,377","7,516","3,178",
2020,3,0,"3,201",82,26,31,29,16,69,30,61,66,17,24,35,97,565,282,888,737,146,
2020,3,10,"4,079",162,50,62,43,27,85,43,111,136,52,26,56,178,771,309,961,806,201,
2020,3,20,"4,079",177,49,58,54,27,96,65,115,165,49,45,79,186,726,344,874,762,208,
2020,3,30,"4,487",151,41,51,57,20,87,59,92,130,50,38,79,166,762,352,"1,208",910,234,
2020,3,40,"6,430",270,68,94,78,39,155,95,151,216,84,41,97,286,"1,163",552,"1,446","1,300",295,
2020,3,50,"8,215",531,121,159,146,88,282,182,328,436,169,131,213,463,"1,274",561,"1,312","1,201",618,
2020,3,60,"8,402",732,180,255,170,123,387,294,424,546,274,191,277,524,"1,042",507,881,892,703,
2020,3,70,"6,123",562,138,177,96,98,289,288,362,455,302,197,204,370,660,379,500,555,491,
2020,3,80,"4,018",396,90,134,83,81,273,250,282,340,236,146,111,257,336,204,267,295,237,
2020,3,90,679,77,21,29,11,14,39,42,42,74,40,33,15,46,41,26,37,50,42,
2020,3,100,47,1,0,0,1,1,1,0,4,6,1,1,5,2,7,3,3,8,3,
2020,4,총,"49,715","3,136",780,"1,051",764,532,"1,757","1,352","1,966","2,563","1,271",865,"1,161","2,569","7,329","3,503","8,379","7,579","3,158",
2020,4,0,"3,183",80,26,31,27,17,67,30,63,67,17,24,33,96,558,278,881,742,146,
2020,4,10,"4,093",167,50,63,45,27,85,45,109,135,50,26,56,177,770,310,968,812,198,
2020,4,20,"4,041",171,45,59,52,28,95,65,116,162,45,43,76,182,720,342,865,770,205,
2020,4,30,"4,487",149,41,50,58,20,88,61,91,133,51,36,76,165,753,354,"1,208",918,235,
2020,4,40,"6,403",266,67,94,78,37,156,94,149,213,84,40,98,286,"1,156",547,"1,445","1,307",286,
2020,4,50,"8,172",528,122,159,143,87,275,181,328,434,169,130,208,459,"1,261",553,"1,308","1,210",617,
2020,4,60,"8,423",733,179,250,170,123,392,295,423,536,275,192,273,522,"1,056",506,890,906,702,
2020,4,70,"6,146",566,139,181,96,97,290,289,358,459,298,197,211,375,666,376,502,560,486,
2020,4,80,"4,037",398,91,134,83,81,268,249,284,342,239,146,109,258,340,208,273,297,237,
2020,4,90,684,77,20,30,11,14,40,43,41,76,42,30,16,47,42,26,36,50,43,
2020,4,100,46,1,0,0,1,1,1,0,4,6,1,1,5,2,7,3,3,7,3,
2020,5,총,"49,685","3,122",779,"1,039",775,531,"1,745","1,350","1,969","2,572","1,253",860,"1,166","2,560","7,307","3,494","8,370","7,641","3,152",
2020,5,0,"3,163",78,25,32,28,17,64,31,62,62,14,24,34,96,553,275,872,756,140,
2020,5,10,"4,083",163,51,63,46,27,87,43,109,137,50,25,56,170,763,308,971,815,199,
2020,5,20,"4,013",165,46,53,51,28,91,63,117,161,42,41,75,182,715,341,855,782,205,
2020,5,30,"4,476",144,41,48,59,21,88,64,89,131,48,37,74,164,750,350,"1,208",929,231,
2020,5,40,"6,404",270,65,93,78,38,152,95,147,214,81,39,102,284,"1,158",544,"1,444","1,314",286,
2020,5,50,"8,111",526,121,155,142,86,273,180,328,438,166,129,206,442,"1,250",551,"1,305","1,206",607,
2020,5,60,"8,475",734,179,247,179,123,391,292,426,542,273,192,278,534,"1,053",505,894,917,716,
2020,5,70,"6,175",566,140,184,97,96,289,285,361,461,296,196,211,372,675,382,508,569,487,
2020,5,80,"4,044",396,91,134,83,80,268,254,285,344,239,145,109,267,340,208,273,294,234,
2020,5,90,694,79,20,30,11,14,41,42,41,75,43,32,16,47,43,27,37,52,44,
2020,5,100,47,1,0,0,1,1,1,1,4,7,1,0,5,2,7,3,3,7,3,
2020,6,총,"49,660","3,101",786,"1,038",762,534,"1,741","1,344","1,965","2,585","1,255",856,"1,165","2,560","7,242","3,479","8,344","7,759","3,144",0.0
2020,6,0,"3,157",75,24,30,27,17,64,29,61,60,13,24,33,95,552,271,872,772,138,0.0
2020,6,10,"4,077",163,53,65,47,27,88,43,106,141,51,24,56,171,746,305,964,829,198,0.0
2020,6,20,"3,990",163,47,54,48,27,93,64,116,162,43,37,74,180,708,339,846,782,207,0.0
2020,6,30,"4,453",140,41,47,57,22,86,62,86,131,47,37,72,162,743,351,"1,193",953,223,0.0
2020,6,40,"6,405",266,64,94,79,37,150,90,148,216,82,39,104,279,"1,140",545,"1,447","1,339",286,0.0
2020,6,50,"8,091",521,124,152,137,88,273,183,329,434,169,128,206,443,"1,232",548,"1,303","1,219",602,0.0
2020,6,60,"8,509",732,179,249,177,125,391,291,425,550,272,193,279,539,"1,056",505,893,936,717,0.0
2020,6,70,"6,200",566,143,184,92,97,289,283,364,467,294,196,212,375,676,380,518,574,490,0.0
2020,6,80,"4,036",396,91,134,85,79,267,257,283,339,240,145,109,267,339,206,270,295,234,0.0
2020,6,90,695,78,20,29,12,15,39,41,43,78,43,33,15,47,43,26,35,52,46,0.0
2020,6,100,47,1,0,0,1,0,1,1,4,7,1,0,5,2,7,3,3,8,3,0.0
2020,7,총,"49,632","3,091",784,"1,037",761,,"1,740","1,343","1,960","2,582","1,260",854,"1,157","2,555","7,204","3,492","8,342","7,806","3,133",531
2020,7,0,"3,150",72,21,30,27,,65,30,62,59,13,25,30,94,550,269,871,780,135,17
2020,7,10,"4,059",162,52,64,47,,91,44,103,142,51,24,55,169,734,306,954,836,198,27
2020,7,20,"3,979",159,47,52,49,,90,62,116,159,44,36,75,178,707,338,859,780,203,25
2020,7,30,"4,442",139,40,49,56,,86,61,86,125,47,38,67,165,732,347,"1,190",966,226,22
2020,7,40,"6,381",263,64,93,78,,145,87,146,212,82,38,102,274,"1,135",554,"1,445","1,342",286,35
2020,7,50,"8,087",522,124,152,138,,276,185,324,442,167,127,206,440,"1,219",555,"1,291","1,235",596,88
2020,7,60,"8,525",727,182,246,176,,388,290,430,547,277,191,279,543,"1,059",508,899,943,715,125
2020,7,70,"6,216",570,143,188,91,,292,284,364,466,295,198,213,374,681,378,523,567,491,98
2020,7,80,"4,047",397,90,134,86,,268,258,281,342,240,143,111,270,337,208,270,298,235,79
2020,7,90,699,79,21,29,12,,38,41,44,81,43,34,14,46,43,26,37,51,45,15
2020,7,100,47,1,0,0,1,,1,1,4,7,1,0,5,2,7,3,3,8,3,0
2020,8,총,"49,597","3,082",783,"1,036",758,,"1,742","1,337","1,951","2,579","1,257",856,"1,155","2,563","7,189","3,483","8,321","7,830","3,143",532
2020,8,0,"3,132",72,21,30,28,,63,30,60,59,13,27,31,97,544,264,859,779,138,17
2020,8,10,"4,052",162,52,63,46,,92,44,101,142,49,24,54,166,734,306,946,844,200,27
