년도,월,나이,강원도,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군
2020,1,총,"765,674","142,662","176,311","107,553","44,635","21,625","41,370","32,995","33,684","22,690","18,886","20,473","17,874","21,734","11,380","10,589","14,481","13,114","13,618"
2020,1,0,"53,232","10,832","14,131","6,766","3,345","1,387","2,952","2,013","1,993","1,073",824,988,898,"1,662",925,920,"1,216",650,657
2020,1,10,"68,351","13,391","17,617","9,550","4,307","1,893","3,725","2,602","2,643","1,733","1,382","1,468","1,296","1,925",913,"1,022","1,146",802,936
2020,1,20,"79,532","17,339","21,214","11,490","3,918","1,673","3,901","3,430","2,721","1,773","1,466","1,465","1,260","2,089","1,210","1,049","1,408","1,141",985
2020,1,30,"81,304","17,202","22,359","10,659","4,528","1,995","4,369","2,924","2,870","1,703","1,348","1,545","1,468","2,201","1,214","1,185","1,670",958,"1,106"
2020,1,40,"110,468","21,605","29,103","16,073","7,087","3,083","6,369","4,114","3,958","2,354","2,161","2,468","2,119","2,751","1,278","1,191","1,757","1,387","1,610"
2020,1,50,"131,882","23,548","29,935","18,425","7,625","3,578","7,732","5,533","6,241","4,260","3,447","3,908","3,332","3,509","1,831","1,719","2,558","2,324","2,377"
2020,1,60,"112,984","18,292","21,026","16,515","6,740","3,824","6,059","5,315","6,163","4,504","3,680","4,000","3,344","3,250","1,631","1,479","2,171","2,400","2,591"
2020,1,70,"75,218","11,961","12,063","10,743","4,398","2,698","3,784","4,049","3,907","2,931","2,686","2,721","2,498","2,704","1,402","1,187","1,454","2,033","1,999"
2020,1,80,"44,146","7,068","7,489","6,048","2,301","1,267","2,013","2,551","2,741","1,979","1,629","1,621","1,376","1,341",826,716,932,"1,153","1,095"
2020,1,90,"8,014","1,360","1,291","1,214",367,194,446,429,417,362,229,261,258,270,142,111,160,255,248
2020,1,100,543,64,83,70,19,33,20,35,30,18,34,28,25,32,8,10,9,11,14
2020,2,총,"765,163","142,744","176,675","107,575","44,534","21,535","41,332","32,792","33,550","22,676","18,824","20,431","17,824","21,697","11,339","10,513","14,421","13,081","13,620"
2020,2,0,"53,030","10,814","14,117","6,782","3,309","1,373","2,941","1,985","1,961","1,074",805,983,882,"1,663",925,905,"1,210",642,659
2020,2,10,"67,888","13,349","17,561","9,482","4,277","1,885","3,684","2,558","2,619","1,700","1,376","1,445","1,288","1,907",898,996,"1,129",798,936
2020,2,20,"79,155","17,300","21,249","11,446","3,900","1,637","3,898","3,351","2,669","1,750","1,448","1,460","1,239","2,094","1,198","1,032","1,388","1,122",974
2020,2,30,"80,981","17,167","22,400","10,620","4,499","1,960","4,348","2,888","2,838","1,698","1,331","1,522","1,446","2,197","1,195","1,162","1,661",954,"1,095"
