년도,월,나이,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020,1,총,"26,214","11,113","1,326","1,549","2,570","2,779","2,328","1,526","3,023"
2020,1,0,"1,219",715,43,55,57,123,71,59,96
2020,1,10,"1,968","1,128",76,77,158,200,114,68,147
2020,1,20,"2,165","1,135",89,91,168,211,129,113,229
2020,1,30,"1,850",974,58,79,134,193,144,109,159
2020,1,40,"3,147","1,533",160,166,247,349,199,179,314
2020,1,50,"4,762","1,953",257,284,591,468,390,236,583
2020,1,60,"4,420","1,631",260,279,501,487,435,260,567
2020,1,70,"3,909","1,252",208,313,383,416,476,299,562
2020,1,80,"2,422",686,151,181,283,289,325,177,330
2020,1,90,335,101,24,22,45,40,43,26,34
2020,1,100,17,5,0,2,3,3,2,0,2
2020,2,총,"26,086","11,068","1,318","1,523","2,570","2,773","2,306","1,516","3,012"
2020,2,0,"1,218",714,41,55,56,127,70,62,93
2020,2,10,"1,944","1,124",74,72,156,189,114,67,148
2020,2,20,"2,114","1,113",86,91,161,210,122,107,224
2020,2,30,"1,827",954,60,76,132,194,145,106,160
2020,2,40,"3,099","1,526",157,151,244,353,189,175,304
2020,2,50,"4,762","1,957",258,286,594,464,385,235,583
2020,2,60,"4,423","1,623",260,277,504,483,439,265,572
2020,2,70,"3,922","1,257",209,312,389,422,476,297,560
2020,2,80,"2,421",688,151,179,285,288,321,177,332
2020,2,90,338,106,22,22,46,40,43,25,34
2020,2,100,18,6,0,2,3,3,2,0,2
2020,3,총,"25,976","11,019","1,316","1,532","2,568","2,746","2,305","1,511","2,979"
2020,3,0,"1,207",709,43,52,54,129,70,59,91
2020,3,10,"1,938","1,120",76,72,154,183,115,65,153
2020,3,20,"2,083","1,102",87,90,163,207,119,106,209
2020,3,30,"1,796",946,60,78,127,189,142,104,150
2020,3,40,"3,070","1,510",157,158,245,347,187,172,294
2020,3,50,"4,732","1,953",253,286,591,458,389,229,573
2020,3,60,"4,444","1,625",263,281,506,480,436,273,580
2020,3,70,"3,899","1,251",207,310,389,418,477,293,554
2020,3,80,"2,444",690,149,184,288,290,322,182,339
2020,3,90,344,107,21,19,48,41,46,28,34
2020,3,100,19,6,0,2,3,4,2,0,2
2020,4,총,"25,895","10,980","1,298","1,526","2,571","2,740","2,305","1,501","2,974"
2020,4,0,"1,197",697,43,54,53,127,70,58,95
2020,4,10,"1,926","1,106",76,73,160,180,116,64,151
2020,4,20,"2,051","1,090",82,85,160,200,120,108,206
2020,4,30,"1,777",936,60,76,123,188,146,101,147
2020,4,40,"3,066","1,512",155,160,245,346,186,167,295
2020,4,50,"4,695","1,946",245,280,588,455,384,227,570
2020,4,60,"4,484","1,634",261,284,514,493,439,274,585
2020,4,70,"3,883","1,249",205,310,389,418,471,291,550
2020,4,80,"2,450",697,150,182,287,287,325,182,340
2020,4,90,346,107,21,20,49,42,46,29,32
