년도,월,나이,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020,1,총,"136,268","1,669","2,455","1,810","1,387","1,349","2,584","1,579","1,524","1,186","2,028","1,619","1,195","3,000","3,763","2,909","1,531","6,268","10,772","3,898","2,803","1,533","27,913","6,653","11,825","16,630","9,290","7,095"
2020,1,0,"11,393",51,297,99,40,44,96,44,45,37,58,72,63,119,223,101,49,573,"1,234",212,189,73,"3,671",388,942,"1,512",723,438
2020,1,10,"14,346",75,188,204,65,57,137,94,78,60,111,80,63,237,345,188,48,578,"1,052",285,256,158,"4,045",686,"1,533","2,312",892,519
2020,1,20,"16,213",153,242,135,143,113,216,171,167,84,228,160,97,295,468,365,116,722,"1,274",410,335,201,"3,438",962,"1,628","2,256","1,019",815
2020,1,30,"16,958",134,354,121,95,109,218,108,107,74,193,141,127,292,353,249,151,867,"1,899",486,316,147,"3,970",806,"1,195","2,016","1,344","1,086"
2020,1,40,"23,303",196,424,306,174,168,340,191,176,154,363,248,165,426,537,376,226,"1,031","1,776",640,373,201,"5,448",928,"1,909","3,228","1,875","1,424"
2020,1,50,"23,025",330,384,329,280,271,492,337,316,253,437,276,195,560,587,504,280,"1,015","1,533",652,478,262,"4,034","1,217","2,122","2,773","1,732","1,376"
2020,1,60,"17,684",360,305,323,310,305,536,334,338,259,393,302,241,561,624,544,316,789,"1,195",649,505,252,"2,080","1,026","1,547","1,568","1,120",902
2020,1,70,"9,724",257,182,176,194,173,354,213,207,175,179,244,190,360,475,406,269,517,623,421,269,161,931,493,674,712,457,412
2020,1,80,"3,300",102,75,110,72,93,173,84,78,81,58,83,46,134,141,161,69,165,174,131,77,70,270,137,254,236,111,115
2020,1,90,288,9,4,7,14,14,21,3,11,8,6,12,5,12,9,14,7,10,12,10,4,7,24,9,21,15,12,8
2020,1,100,34,2,0,0,0,2,1,0,1,1,2,1,3,4,1,1,0,1,0,2,1,1,2,1,0,2,5,0
2020,2,총,"135,975","1,669","2,456","1,798","1,384","1,327","2,577","1,579","1,532","1,184","2,029","1,606","1,191","2,975","3,754","2,899","1,528","6,478","10,750","3,876","2,794","1,538","27,800","6,631","11,774","16,558","9,259","7,029"
2020,2,0,"11,290",50,297,95,41,42,91,43,46,36,56,70,60,121,218,102,50,592,"1,228",210,179,76,"3,636",380,940,"1,493",711,427
2020,2,10,"14,274",75,189,197,64,56,139,95,80,60,112,82,67,224,346,183,47,606,"1,044",282,256,158,"4,018",684,"1,528","2,299",878,505
2020,2,20,"16,131",151,240,141,144,112,209,168,167,84,223,153,94,292,466,361,115,745,"1,279",408,335,201,"3,433",951,"1,613","2,227","1,018",801
2020,2,30,"16,790",134,354,121,90,106,214,109,110,71,191,145,129,289,345,247,148,905,"1,874",477,314,148,"3,922",789,"1,172","2,011","1,323","1,052"
2020,2,40,"23,270",202,424,295,176,162,346,186,173,155,362,240,165,428,540,373,225,"1,069","1,798",636,369,200,"5,419",933,"1,907","3,200","1,866","1,421"
2020,2,50,"23,050",331,381,335,277,264,497,341,319,252,445,271,190,554,587,499,277,"1,047","1,517",657,478,263,"4,041","1,217","2,113","2,780","1,748","1,369"
2020,2,60,"17,750",356,312,316,312,302,535,335,340,259,394,305,237,546,620,551,317,814,"1,201",640,512,252,"2,096","1,032","1,545","1,580","1,127",914
2020,2,70,"9,774",252,179,182,194,176,355,215,207,177,181,244,193,369,480,403,272,523,622,425,269,159,936,494,681,712,458,416
2020,2,80,"3,321",107,76,108,73,92,170,85,78,81,57,83,48,136,141,164,70,167,175,129,77,73,272,141,252,237,113,116
2020,2,90,291,9,4,8,13,13,20,2,11,8,6,12,5,12,10,15,7,9,12,10,4,7,25,9,23,17,12,8
2020,2,100,34,2,0,0,0,2,1,0,1,1,2,1,3,4,1,1,0,1,0,2,1,1,2,1,0,2,5,0
2020,3,총,"135,745","1,673","2,439","1,800","1,372","1,325","2,578","1,564","1,517","1,180","2,008","1,593","1,191","2,973","3,721","2,880","1,514","6,543","10,783","3,861","2,783","1,537","27,758","6,618","11,771","16,528","9,250","6,985"
2020,3,0,"11,204",51,297,96,39,44,90,42,42,36,58,73,61,124,212,95,49,597,"1,235",210,172,77,"3,600",383,934,"1,468",702,417
2020,3,10,"14,228",75,186,198,65,54,139,90,83,60,109,76,67,229,341,174,49,603,"1,052",281,251,157,"4,016",681,"1,526","2,285",883,498
2020,3,20,"16,119",153,234,141,140,112,207,168,163,83,217,152,90,288,460,364,114,765,"1,280",411,333,198,"3,438",943,"1,597","2,252","1,014",802
2020,3,30,"16,677",135,354,119,92,107,215,104,102,72,189,146,126,285,345,242,145,928,"1,871",470,310,150,"3,899",778,"1,164","1,983","1,316","1,030"
2020,3,40,"23,175",202,417,298,170,159,349,183,169,151,358,236,166,417,538,369,223,"1,069","1,801",633,374,196,"5,405",932,"1,896","3,190","1,863","1,411"
