년도,월,나이,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020,3,총,"220,718","12,444","14,857","12,562","4,073","2,495","3,757","25,635","19,977","11,500","31,523","21,108","20,219","15,386","25,182"
2020,3,0,"25,507",854,"1,548","1,062",159,74,115,"1,971","2,657",812,"3,558","3,043","3,280","2,455","3,919"
2020,3,10,"22,241","1,090","1,437","1,097",255,137,220,"2,821","2,669","1,055","3,469","2,561","1,746","1,216","2,468"
2020,3,20,"23,051","1,329","1,456","1,221",337,201,332,"3,214","1,899","1,495","3,630","1,816","2,444","1,372","2,305"
2020,3,30,"36,210","1,296","2,282","1,549",333,179,280,"2,880","3,230","1,528","4,969","3,821","4,949","3,640","5,274"
2020,3,40,"39,362","1,840","2,567","1,959",461,231,369,"4,513","4,214","1,945","5,927","4,344","3,431","2,544","5,017"
2020,3,50,"31,029","2,383","2,198","2,097",837,517,760,"4,691","2,348","2,097","4,439","2,363","1,929","1,564","2,806"
2020,3,60,"23,086","1,837","1,890","1,853",810,554,754,"2,745","1,608","1,349","3,001","1,763","1,464","1,472","1,986"
2020,3,70,"12,992","1,072",938,"1,085",530,317,551,"1,776",891,785,"1,681",937,679,795,955
2020,3,80,"6,119",654,442,512,293,225,329,875,397,366,734,396,251,279,366
2020,3,90,"1,071",87,89,122,56,56,43,138,64,64,109,63,46,48,86
2020,3,100,50,2,10,5,2,4,4,11,0,4,6,1,0,1,0
2020,4,총,"221,982","12,409","15,380","13,027","4,088","2,509","3,776","25,653","20,177","11,480","31,583","21,082","20,262","15,401","25,155"
2020,4,0,"25,554",846,"1,634","1,122",163,76,118,"1,958","2,655",805,"3,541","3,031","3,269","2,450","3,886"
2020,4,10,"22,324","1,076","1,486","1,134",254,138,215,"2,810","2,705","1,040","3,465","2,567","1,758","1,211","2,465"
2020,4,20,"23,281","1,320","1,498","1,270",338,199,337,"3,226","1,936","1,503","3,676","1,815","2,464","1,377","2,322"
2020,4,30,"36,375","1,285","2,418","1,663",330,184,280,"2,873","3,264","1,515","4,957","3,785","4,946","3,636","5,239"
