년도,월,나이,함안군,가야읍,칠원읍,함안면,군북면,법수면,대산면,칠서면,칠북면,산인면,여항면
2020,1,총,"33,120","9,525","10,138","1,211","3,260","1,478","1,754","2,867","1,030","1,401",456
2020,1,0,"2,263",730,"1,036",30,163,29,42,181,10,32,10
2020,1,10,"3,275","1,116","1,408",72,178,55,80,235,41,72,18
2020,1,20,"3,340","1,203",928,95,316,122,147,269,81,146,33
2020,1,30,"3,196","1,030","1,103",90,340,99,96,244,62,102,30
2020,1,40,"5,287","1,540","2,031",132,397,189,200,481,115,158,44
2020,1,50,"6,263","1,756","1,708",234,634,338,371,608,224,292,98
2020,1,60,"5,405","1,291","1,196",296,644,351,395,466,260,372,134
2020,1,70,"2,842",595,557,172,378,199,280,281,157,161,62
2020,1,80,"1,151",237,154,86,188,89,133,97,78,63,26
2020,1,90,95,27,16,4,20,7,10,5,2,3,1
2020,1,100,3,0,1,0,2,0,0,0,0,0,0
2020,2,총,"33,043","9,500","10,116","1,202","3,256","1,473","1,749","2,858","1,026","1,404",459
2020,2,0,"2,257",725,"1,034",31,162,30,41,182,11,31,10
2020,2,10,"3,269","1,110","1,404",73,184,53,76,236,43,72,18
2020,2,20,"3,317","1,196",931,87,312,117,148,265,80,148,33
2020,2,30,"3,167","1,030","1,083",87,338,100,92,242,62,101,32
2020,2,40,"5,262","1,526","2,027",131,395,189,202,478,112,156,46
2020,2,50,"6,251","1,755","1,705",235,631,338,369,605,223,295,95
2020,2,60,"5,415","1,296","1,196",292,648,349,398,469,260,372,135
2020,2,70,"2,842",600,557,176,375,198,277,279,155,163,62
2020,2,80,"1,153",232,159,85,187,90,135,97,78,63,27
2020,2,90,107,30,19,5,22,9,11,5,2,3,1
2020,2,100,3,0,1,0,2,0,0,0,0,0,0
2020,3,총,"32,964","9,484","10,096","1,200","3,236","1,474","1,741","2,846","1,021","1,404",462
2020,3,0,"2,236",723,"1,021",31,158,33,41,180,10,29,10
2020,3,10,"3,248","1,106","1,407",70,178,52,71,230,42,74,18
2020,3,20,"3,284","1,189",922,88,304,115,147,259,81,147,32
2020,3,30,"3,134","1,025","1,064",86,333,97,91,245,60,102,31
2020,3,40,"5,239","1,516","2,025",128,393,190,201,472,113,156,45
2020,3,50,"6,255","1,766","1,709",235,632,336,367,601,223,290,96
2020,3,60,"5,429","1,290","1,204",295,647,355,394,475,257,373,139
2020,3,70,"2,868",605,562,174,378,197,282,282,157,167,64
2020,3,80,"1,158",234,160,88,189,90,135,97,76,63,26
2020,3,90,110,30,21,5,22,9,12,5,2,3,1
2020,3,100,3,0,1,0,2,0,0,0,0,0,0
2020,4,총,"32,912","9,462","10,074","1,206","3,231","1,474","1,744","2,845","1,020","1,396",460
2020,4,0,"2,218",715,"1,018",30,156,33,42,174,10,30,10
2020,4,10,"3,237","1,102","1,409",69,174,52,69,229,40,75,18
2020,4,20,"3,273","1,182",917,90,302,118,148,263,80,143,30
2020,4,30,"3,098","1,012","1,045",85,335,99,90,243,59,98,32
2020,4,40,"5,214","1,510","2,014",130,392,187,205,465,114,154,43
2020,4,50,"6,251","1,771","1,715",235,628,332,361,605,221,288,95
2020,4,60,"5,460","1,305","1,207",297,647,356,396,481,259,373,139
2020,4,70,"2,884",600,569,178,382,198,284,281,159,167,66
2020,4,80,"1,165",236,158,87,191,90,137,99,76,65,26
2020,4,90,109,29,21,5,22,9,12,5,2,3,1
2020,4,100,3,0,1,0,2,0,0,0,0,0,0
