년도,월,나이,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020,3,총,"199,099","31,548","38,755","23,370","16,464","22,501","19,152","25,295","22,014"
2020,3,0,"16,026","4,765","3,015","1,770",810,"1,740",852,"1,389","1,685"
2020,3,10,"18,869","2,219","4,246","2,394","1,172","2,851","1,446","2,151","2,390"
2020,3,20,"27,462","3,386","5,669","3,348","2,213","3,068","2,981","3,815","2,982"
2020,3,30,"27,354","6,513","4,819","2,975","2,079","2,605","2,295","3,173","2,895"
2020,3,40,"33,388","5,427","6,641","3,988","2,549","4,039","2,824","3,745","4,175"
2020,3,50,"35,929","4,228","7,339","4,283","3,294","3,921","3,971","5,023","3,870"
2020,3,60,"23,115","3,129","3,947","2,529","2,428","2,508","2,816","3,503","2,255"
2020,3,70,"11,572","1,392","2,015","1,424","1,290","1,188","1,371","1,694","1,198"
2020,3,80,"4,661",408,938,577,528,517,514,693,486
2020,3,90,648,77,120,75,77,59,73,96,71
2020,3,100,75,4,6,7,24,5,9,13,7
2020,4,총,"199,018","31,560","38,711","23,215","16,415","22,497","18,975","25,546","22,099"
2020,4,0,"15,900","4,745","2,957","1,763",795,"1,706",838,"1,402","1,694"
2020,4,10,"18,780","2,210","4,238","2,375","1,148","2,843","1,429","2,154","2,383"
2020,4,20,"27,529","3,395","5,677","3,327","2,224","3,092","2,963","3,845","3,006"
2020,4,30,"27,312","6,485","4,820","2,935","2,083","2,597","2,275","3,236","2,881"
2020,4,40,"33,306","5,450","6,609","3,965","2,511","4,004","2,783","3,803","4,181"
2020,4,50,"35,924","4,237","7,318","4,270","3,283","3,947","3,935","5,037","3,897"
2020,4,60,"23,287","3,149","4,001","2,523","2,456","2,522","2,801","3,557","2,278"
2020,4,70,"11,557","1,400","2,017","1,391","1,283","1,197","1,359","1,706","1,204"
2020,4,80,"4,687",408,943,584,529,523,508,696,496
2020,4,90,659,77,125,75,78,61,75,97,71
2020,4,100,77,4,6,7,25,5,9,13,8
2020,5,총,"198,883","31,606","38,734","23,014","16,403","22,513","18,837","25,660","22,116"
2020,5,0,"15,824","4,736","2,945","1,748",792,"1,689",822,"1,407","1,685"
2020,5,10,"18,658","2,221","4,203","2,346","1,133","2,841","1,404","2,164","2,346"
2020,5,20,"27,570","3,407","5,685","3,312","2,217","3,086","2,944","3,875","3,044"
2020,5,30,"27,198","6,431","4,802","2,911","2,097","2,605","2,241","3,236","2,875"
2020,5,40,"33,182","5,479","6,598","3,924","2,498","3,995","2,746","3,800","4,142"
2020,5,50,"36,004","4,266","7,336","4,229","3,283","3,950","3,929","5,065","3,946"
2020,5,60,"23,389","3,157","4,041","2,507","2,461","2,549","2,802","3,583","2,289"
2020,5,70,"11,594","1,417","2,034","1,372","1,286","1,206","1,358","1,720","1,201"
2020,5,80,"4,718",412,958,583,531,523,506,698,507
2020,5,90,669,76,126,75,80,64,76,99,73
2020,5,100,77,4,6,7,25,5,9,13,8
2020,6,총,"198,461","31,612","38,674","22,725","16,389","22,507","18,732","25,700","22,122"
2020,6,0,"15,746","4,726","2,924","1,721",782,"1,685",811,"1,409","1,688"
2020,6,10,"18,570","2,223","4,193","2,308","1,122","2,838","1,375","2,169","2,342"
2020,6,20,"27,508","3,407","5,668","3,297","2,241","3,083","2,932","3,842","3,038"
2020,6,30,"26,980","6,370","4,769","2,860","2,058","2,600","2,218","3,242","2,863"
2020,6,40,"33,119","5,536","6,553","3,869","2,486","4,000","2,737","3,799","4,139"
2020,6,50,"35,892","4,254","7,320","4,192","3,278","3,936","3,900","5,056","3,956"
2020,6,60,"23,580","3,186","4,109","2,486","2,486","2,574","2,802","3,633","2,304"
2020,6,70,"11,590","1,425","2,044","1,342","1,297","1,196","1,359","1,723","1,204"
2020,6,80,"4,723",408,955,568,536,525,511,712,508
2020,6,90,675,73,133,75,78,65,78,101,72
2020,6,100,78,4,6,7,25,5,9,14,8
2020,7,총,"198,212","31,605","38,678","22,539","16,430","22,514","18,629","25,701","22,116"
2020,7,0,"15,686","4,718","2,902","1,702",784,"1,669",804,"1,411","1,696"
2020,7,10,"18,499","2,235","4,176","2,304","1,130","2,825","1,341","2,165","2,323"
2020,7,20,"27,416","3,410","5,670","3,240","2,235","3,105","2,907","3,815","3,034"
2020,7,30,"26,874","6,328","4,763","2,839","2,071","2,577","2,223","3,213","2,860"
