년도,월,나이,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020,7,70,"9,619",593,949,730,"1,456",881,491,755,604,513,533,510,892,712
2020,7,80,"2,645",155,253,173,541,178,133,275,185,137,136,113,201,165
2020,7,90,194,11,9,9,47,10,20,19,14,14,8,2,18,13
2020,7,100,21,1,2,0,0,0,12,0,0,1,2,1,2,0
2020,8,총,"141,959","7,506","13,656","10,585","19,076","21,257","7,617","15,011","6,191","6,265","5,518","6,318","13,533","9,426"
2020,8,0,"10,085",363,816,527,"1,139","2,166",525,"1,391",253,238,260,474,"1,248",685
2020,8,10,"12,419",343,969,857,"1,692","2,385",665,"2,114",324,355,346,399,"1,255",715
2020,8,20,"20,634","1,108","2,051","1,710","2,518","3,251","1,244","2,152",858,"1,018",793,796,"1,758","1,377"
2020,8,30,"17,828","1,128","1,869","1,154","2,071","2,686",891,"1,513",867,886,668,"1,073","1,751","1,271"
2020,8,40,"20,328",986,"1,837","1,551","2,641","3,113",967,"2,551",806,839,801,832,"2,130","1,274"
2020,8,50,"26,230","1,486","2,697","2,147","3,649","3,989","1,502","2,746","1,130","1,158",979,"1,047","2,212","1,488"
2020,8,60,"21,896","1,326","2,201","1,730","3,309","2,597","1,158","1,487","1,163","1,102",982,"1,066","2,061","1,714"
2020,8,70,"9,642",596,949,725,"1,463",880,494,758,586,516,541,512,901,721
2020,8,80,"2,679",158,255,175,547,180,139,280,189,139,137,116,196,168
2020,8,90,197,11,10,9,47,10,20,19,15,13,9,2,19,13
2020,8,100,21,1,2,0,0,0,12,0,0,1,2,1,2,0
2020,9,총,"141,698","7,515","13,614","10,554","19,058","21,184","7,595","15,003","6,166","6,268","5,502","6,299","13,518","9,422"
2020,9,0,"10,026",363,815,521,"1,141","2,147",517,"1,386",250,238,258,478,"1,235",677
2020,9,10,"12,340",341,957,844,"1,674","2,364",661,"2,108",322,354,337,400,"1,257",721
2020,9,20,"20,587","1,111","2,040","1,713","2,518","3,252","1,235","2,150",853,"1,007",785,789,"1,759","1,375"
2020,9,30,"17,751","1,128","1,849","1,142","2,062","2,675",898,"1,513",859,894,669,"1,067","1,735","1,260"
2020,9,40,"20,247",989,"1,835","1,542","2,626","3,085",961,"2,540",804,839,801,827,"2,131","1,267"
2020,9,50,"26,159","1,480","2,689","2,149","3,639","3,976","1,487","2,754","1,118","1,152",975,"1,037","2,203","1,500"
2020,9,60,"22,002","1,331","2,209","1,735","3,334","2,614","1,170","1,492","1,163","1,110",984,"1,074","2,069","1,717"
2020,9,70,"9,668",601,956,722,"1,465",875,495,759,593,519,542,505,911,725
2020,9,80,"2,692",157,252,177,551,187,138,282,187,139,140,118,197,167
2020,9,90,204,13,10,9,48,9,20,19,17,15,9,3,19,13
2020,9,100,22,1,2,0,0,0,13,0,0,1,2,1,2,0
2020,10,총,"141,291","7,493","13,575","10,524","18,982","21,131","7,578","14,958","6,135","6,247","5,479","6,309","13,479","9,401"
2020,10,0,"9,934",362,809,516,"1,121","2,144",512,"1,359",244,239,250,480,"1,227",671
2020,10,10,"12,287",343,957,844,"1,662","2,349",652,"2,105",315,345,335,400,"1,256",724
2020,10,20,"20,510","1,097","2,030","1,704","2,494","3,243","1,240","2,153",856,"1,002",780,789,"1,752","1,370"
2020,10,30,"17,594","1,111","1,827","1,132","2,064","2,639",898,"1,498",846,885,664,"1,070","1,718","1,242"
2020,10,40,"20,175",998,"1,829","1,522","2,597","3,086",959,"2,516",797,833,804,831,"2,132","1,271"
2020,10,50,"26,026","1,463","2,670","2,151","3,626","3,962","1,480","2,750","1,110","1,154",961,"1,026","2,185","1,488"
2020,10,60,"22,136","1,336","2,229","1,741","3,345","2,640","1,167","1,516","1,169","1,121",986,"1,081","2,081","1,724"
2020,10,70,"9,685",607,961,725,"1,468",871,502,755,592,514,546,508,908,728
2020,10,80,"2,719",161,251,180,557,187,134,288,189,141,141,120,200,170
2020,10,90,203,14,10,9,48,10,21,18,17,12,10,3,18,13
2020,10,100,22,1,2,0,0,0,13,0,0,1,2,1,2,0
2020,11,총,"140,976","7,471","13,543","10,521","18,993","21,068","7,547","14,918","6,100","6,221","5,444","6,316","13,432","9,402"
2020,11,0,"9,889",358,794,519,"1,132","2,139",502,"1,348",235,246,253,478,"1,215",670
2020,11,10,"12,214",346,951,840,"1,651","2,344",640,"2,087",307,340,336,404,"1,239",729
2020,11,20,"20,384","1,086","2,019","1,687","2,479","3,192","1,244","2,164",858,997,772,787,"1,739","1,360"
2020,11,30,"17,502","1,114","1,822","1,139","2,051","2,638",894,"1,478",832,880,647,"1,060","1,712","1,235"
2020,11,40,"20,117",982,"1,834","1,524","2,590","3,081",946,"2,506",790,818,804,837,"2,130","1,275"
2020,11,50,"25,911","1,456","2,646","2,140","3,633","3,939","1,474","2,745","1,100","1,146",957,"1,012","2,171","1,492"
2020,11,60,"22,281","1,343","2,251","1,750","3,369","2,663","1,174","1,531","1,176","1,127",983,"1,101","2,087","1,726"
2020,11,70,"9,710",608,962,729,"1,482",873,503,753,591,511,539,510,919,730
2020,11,80,"2,744",162,253,185,560,189,136,287,193,143,141,123,200,172
2020,11,90,202,15,9,8,46,10,21,19,18,12,10,3,18,13
2020,11,100,22,1,2,0,0,0,13,0,0,1,2,1,2,0
2020,12,총,"140,527","7,454","13,524","10,503","18,907","20,969","7,535","14,875","6,068","6,194","5,427","6,307","13,393","9,371"
2020,12,0,"9,822",356,798,509,"1,130","2,129",502,"1,342",224,237,249,482,"1,195",669
2020,12,10,"12,126",347,949,834,"1,627","2,328",633,"2,068",312,334,329,401,"1,240",724
2020,12,20,"20,266","1,061","2,005","1,700","2,466","3,171","1,248","2,148",857,999,772,773,"1,730","1,336"
2020,12,30,"17,368","1,125","1,816","1,133","2,042","2,593",877,"1,479",822,864,633,"1,054","1,710","1,220"
2020,12,40,"20,069",985,"1,842","1,504","2,557","3,098",950,"2,490",775,830,799,850,"2,115","1,274"
2020,12,50,"25,703","1,444","2,612","2,127","3,598","3,894","1,454","2,738","1,098","1,127",963,"1,002","2,151","1,495"
2020,12,60,"22,435","1,353","2,265","1,771","3,392","2,677","1,195","1,542","1,172","1,136",984,"1,109","2,102","1,737"
2020,12,70,"9,746",601,973,732,"1,484",881,506,759,596,510,540,509,926,729
2020,12,80,"2,767",166,253,184,565,188,136,289,193,145,145,123,205,175
2020,12,90,203,15,9,9,46,10,21,20,19,11,11,3,17,12
2020,12,100,22,1,2,0,0,0,13,0,0,1,2,1,2,0
2021,1,총,"140,245","7,421","13,459","10,492","18,907","20,929","7,515","14,838","6,034","6,187","5,420","6,316","13,346","9,381"
2021,1,0,"9,728",351,775,505,"1,124","2,110",499,"1,331",226,231,241,482,"1,187",666
2021,1,10,"12,079",344,944,831,"1,619","2,336",628,"2,052",310,325,329,402,"1,236",723
2021,1,20,"20,110","1,039","1,991","1,691","2,466","3,146","1,247","2,135",846,"1,003",756,765,"1,701","1,324"
2021,1,30,"17,307","1,122","1,791","1,131","2,038","2,576",861,"1,487",808,874,638,"1,052","1,701","1,228"
2021,1,40,"20,006",975,"1,830","1,489","2,565","3,083",941,"2,483",762,825,801,865,"2,107","1,280"
2021,1,50,"25,592","1,430","2,606","2,137","3,584","3,889","1,454","2,718","1,091","1,115",959,990,"2,132","1,487"
2021,1,60,"22,610","1,376","2,275","1,782","3,404","2,704","1,198","1,562","1,179","1,140",993,"1,117","2,125","1,755"
2021,1,70,"9,779",600,981,728,"1,490",879,513,759,597,513,541,518,932,728
2021,1,80,"2,800",167,255,189,572,196,139,288,196,147,148,122,204,177
2021,1,90,212,16,9,9,45,10,22,23,19,13,12,2,19,13
2021,1,100,22,1,2,0,0,0,13,0,0,1,2,1,2,0
2021,2,총,"139,828","7,402","13,396","10,452","18,853","20,864","7,496","14,836","5,982","6,147","5,413","6,302","13,348","9,337"
2021,2,0,"9,659",343,770,499,"1,114","2,097",494,"1,337",215,228,238,482,"1,189",653
2021,2,10,"11,993",343,936,825,"1,603","2,314",632,"2,049",304,320,326,398,"1,228",715
2021,2,20,"19,910","1,029","1,968","1,672","2,451","3,110","1,234","2,108",837,996,749,750,"1,697","1,309"
2021,2,30,"17,248","1,102","1,781","1,123","2,035","2,583",858,"1,493",791,871,637,"1,049","1,708","1,217"
2021,2,40,"19,960",982,"1,821","1,480","2,547","3,069",942,"2,498",750,814,812,869,"2,096","1,280"
2021,2,50,"25,423","1,417","2,589","2,127","3,568","3,859","1,443","2,698","1,091","1,108",952,980,"2,128","1,463"
2021,2,60,"22,749","1,391","2,271","1,803","3,419","2,745","1,203","1,579","1,179","1,138",997,"1,125","2,131","1,768"
2021,2,70,"9,810",605,987,724,"1,494",882,513,758,597,511,541,521,945,732
2021,2,80,"2,838",172,262,190,575,195,142,292,201,147,146,125,205,186
2021,2,90,216,17,9,9,47,10,22,24,17,13,13,2,19,14
2021,2,100,22,1,2,0,0,0,13,0,0,1,2,1,2,0
2021,3,총,"139,355","7,373","13,319","10,400","18,818","20,792","7,547","14,784","5,949","6,115","5,372","6,252","13,314","9,320"
2021,3,0,"9,599",337,764,483,"1,097","2,083",516,"1,328",216,227,238,483,"1,185",642
2021,3,10,"11,900",338,932,822,"1,599","2,297",629,"2,025",306,310,319,394,"1,221",708
2021,3,20,"19,806","1,031","1,961","1,652","2,436","3,095","1,243","2,102",826,996,745,727,"1,690","1,302"
2021,3,30,"17,171","1,094","1,767","1,123","2,022","2,563",882,"1,498",776,867,625,"1,049","1,696","1,209"
2021,3,40,"19,905",973,"1,818","1,477","2,534","3,077",947,"2,477",750,806,805,868,"2,096","1,277"
2021,3,50,"25,219","1,411","2,561","2,110","3,544","3,804","1,458","2,694","1,079","1,092",946,955,"2,106","1,459"
2021,3,60,"22,850","1,387","2,266","1,807","3,446","2,786","1,200","1,584","1,177","1,146",996,"1,131","2,144","1,780"
2021,3,70,"9,846",615,980,724,"1,510",878,516,762,598,513,541,522,945,742
2021,3,80,"2,851",172,262,193,581,197,140,289,204,146,147,121,211,188
2021,3,90,204,14,8,9,49,12,14,25,17,12,10,2,19,13
2021,3,100,4,1,0,0,0,0,2,0,0,0,0,0,1,0
2021,4,총,"139,491","7,353","13,286","10,369","18,717","20,715","7,950","14,718","5,892","6,104","5,345","6,486","13,259","9,297"
2021,4,0,"9,606",337,758,475,"1,077","2,073",600,"1,300",205,232,233,520,"1,164",632
2021,4,10,"11,879",332,931,819,"1,576","2,292",645,"2,019",302,306,321,412,"1,218",706
2021,4,20,"19,731","1,025","1,960","1,645","2,420","3,066","1,288","2,085",822,977,726,754,"1,667","1,296"
2021,4,30,"17,289","1,090","1,758","1,123","2,016","2,562",988,"1,484",769,869,629,"1,113","1,682","1,206"
2021,4,40,"19,902",978,"1,793","1,474","2,510","3,058","1,001","2,474",740,807,801,909,"2,084","1,273"
2021,4,50,"25,125","1,389","2,545","2,093","3,527","3,761","1,507","2,670","1,074","1,078",940,976,"2,109","1,456"
2021,4,60,"22,978","1,395","2,290","1,808","3,436","2,813","1,235","1,611","1,161","1,157",994,"1,151","2,146","1,781"
2021,4,70,"9,895",618,980,731,"1,515",877,523,761,600,521,545,527,952,745
2021,4,80,"2,875",174,262,193,593,201,146,288,199,146,146,122,217,188
2021,4,90,207,14,9,8,47,12,15,26,20,11,10,2,19,14
2021,4,100,4,1,0,0,0,0,2,0,0,0,0,0,1,0
2021,5,총,"140,032","7,315","13,240","10,355","18,645","20,705","8,097","14,667","5,815","6,097","5,303","7,444","13,123","9,226"
2021,5,0,"9,658",333,764,474,"1,063","2,067",622,"1,282",203,229,222,635,"1,140",624
2021,5,10,"11,862",326,929,814,"1,562","2,284",658,"1,999",299,301,315,467,"1,207",701
2021,5,20,"19,739","1,002","1,931","1,647","2,402","3,047","1,310","2,086",807,977,729,866,"1,647","1,288"
2021,5,30,"17,463","1,101","1,751","1,102","2,004","2,561","1,019","1,477",751,875,611,"1,375","1,652","1,184"
2021,5,40,"19,961",969,"1,784","1,460","2,494","3,050","1,023","2,458",716,803,795,"1,082","2,058","1,269"
2021,5,50,"25,076","1,379","2,520","2,090","3,502","3,745","1,519","2,667","1,060","1,067",934,"1,087","2,066","1,440"
2021,5,60,"23,176","1,390","2,300","1,821","3,451","2,850","1,251","1,615","1,156","1,160",995,"1,248","2,163","1,776"
2021,5,70,"9,984",624,986,747,"1,526",889,523,762,606,525,546,556,954,740
2021,5,80,"2,903",176,267,192,593,201,154,296,198,149,147,126,215,189
2021,5,90,206,14,8,8,48,11,16,25,19,11,9,2,20,15
2021,5,100,4,1,0,0,0,0,2,0,0,0,0,0,1,0
2021,6,총,"140,238","7,307","13,226","10,324","18,614","20,663","8,194","14,649","5,738","6,071","5,306","7,893","13,065","9,188"
2021,6,0,"9,654",334,756,463,"1,066","2,056",624,"1,273",193,227,224,688,"1,132",618
2021,6,10,"11,846",319,923,811,"1,550","2,275",673,"2,000",291,304,315,494,"1,196",695
2021,6,20,"19,709","1,003","1,921","1,643","2,392","3,028","1,315","2,077",786,986,732,900,"1,643","1,283"
2021,6,30,"17,536","1,098","1,742","1,100","2,000","2,554","1,037","1,476",763,849,610,"1,498","1,640","1,169"
2021,6,40,"19,957",954,"1,798","1,441","2,484","3,034","1,043","2,458",694,796,793,"1,148","2,048","1,266"
2021,6,50,"25,036","1,377","2,501","2,095","3,485","3,752","1,526","2,651","1,029","1,058",929,"1,150","2,043","1,440"
2021,6,60,"23,351","1,404","2,324","1,818","3,458","2,862","1,273","1,628","1,158","1,172",998,"1,305","2,177","1,774"
2021,6,70,"10,026",625,984,751,"1,538",892,525,767,607,521,550,578,951,737
2021,6,80,"2,912",177,269,194,594,199,159,295,197,147,146,130,214,191
2021,6,90,208,15,8,8,47,11,17,24,20,11,9,2,21,15
2021,6,100,3,1,0,0,0,0,2,0,0,0,0,0,0,0
2021,7,총,"140,241","7,719","13,066","10,222","18,546","20,608","8,228","14,619","5,617","6,043","5,292","8,055","13,031","9,195"
2021,7,0,"9,657",387,729,451,"1,054","2,046",630,"1,267",190,226,216,711,"1,135",615
2021,7,10,"11,807",338,905,797,"1,539","2,265",680,"1,998",279,302,315,504,"1,190",695
2021,7,20,"19,601","1,044","1,893","1,625","2,377","3,002","1,311","2,059",773,958,735,919,"1,625","1,280"
2021,7,30,"17,582","1,185","1,724","1,076","1,995","2,542","1,049","1,480",738,859,603,"1,544","1,632","1,155"
2021,7,40,"19,932","1,021","1,766","1,419","2,474","3,028","1,046","2,441",665,790,796,"1,164","2,047","1,275"
2021,7,50,"24,976","1,434","2,468","2,084","3,457","3,736","1,523","2,646","1,016","1,062",923,"1,154","2,031","1,442"
2021,7,60,"23,482","1,464","2,326","1,820","3,468","2,884","1,278","1,637","1,138","1,169",997,"1,342","2,171","1,788"
2021,7,70,"10,060",650,978,750,"1,538",896,532,768,598,519,549,585,959,738
2021,7,80,"2,930",180,269,193,596,198,160,298,200,146,149,130,220,191
2021,7,90,211,15,8,7,48,11,17,25,20,12,9,2,21,16
2021,7,100,3,1,0,0,0,0,2,0,0,0,0,0,0,0
2021,8,총,"140,302","7,964","13,002","10,177","18,484","20,574","8,263","14,634","5,574","6,027","5,286","8,116","13,016","9,185"
2021,8,0,"9,612",406,714,436,"1,040","2,036",631,"1,262",186,224,214,721,"1,130",612
2021,8,10,"11,812",359,897,781,"1,536","2,270",676,"2,007",275,304,315,512,"1,186",694
2021,8,20,"19,491","1,079","1,881","1,621","2,348","2,961","1,310","2,044",761,950,739,910,"1,607","1,280"
2021,8,30,"17,630","1,227","1,705","1,069","1,999","2,541","1,057","1,499",727,860,592,"1,567","1,638","1,149"
2021,8,40,"19,917","1,058","1,769","1,405","2,456","3,013","1,063","2,435",657,780,794,"1,177","2,038","1,272"
2021,8,50,"24,971","1,476","2,455","2,087","3,442","3,735","1,526","2,655","1,010","1,053",925,"1,148","2,029","1,430"
2021,8,60,"23,599","1,506","2,324","1,818","3,482","2,906","1,286","1,636","1,139","1,173",996,"1,355","2,183","1,795"
2021,8,70,"10,111",656,977,752,"1,539",902,535,774,599,525,552,592,964,744
2021,8,80,"2,943",181,271,200,592,199,161,297,201,147,150,132,220,192
2021,8,90,213,15,9,8,50,11,16,25,19,11,9,2,21,17
2021,8,100,3,1,0,0,0,0,2,0,0,0,0,0,0,0
2021,9,총,"140,255","8,021","12,989","10,159","18,458","20,550","8,291","14,633","5,549","6,030","5,275","8,123","13,017","9,160"
2021,9,0,"9,579",414,705,433,"1,036","2,031",631,"1,256",183,222,215,730,"1,113",610
2021,9,10,"11,781",365,895,776,"1,529","2,261",679,"1,996",278,299,319,510,"1,182",692
2021,9,20,"19,416","1,081","1,874","1,615","2,344","2,954","1,298","2,043",751,957,722,897,"1,615","1,265"
2021,9,30,"17,628","1,242","1,696","1,061","1,990","2,517","1,080","1,508",720,873,596,"1,575","1,630","1,140"
2021,9,40,"19,874","1,060","1,779","1,402","2,440","2,997","1,062","2,432",652,774,794,"1,172","2,034","1,276"
2021,9,50,"24,949","1,477","2,445","2,090","3,428","3,732","1,532","2,655","1,004","1,053",919,"1,153","2,045","1,416"
2021,9,60,"23,706","1,523","2,342","1,828","3,500","2,938","1,296","1,640","1,133","1,166",996,"1,349","2,188","1,807"
2021,9,70,"10,131",659,971,743,"1,547",910,532,778,605,523,552,599,966,746
2021,9,80,"2,981",184,273,203,595,198,164,299,205,152,154,136,225,193
2021,9,90,207,15,9,8,49,12,15,26,18,11,8,2,19,15
2021,9,100,3,1,0,0,0,0,2,0,0,0,0,0,0,0
2021,10,총,"140,183","8,060","12,977","10,153","18,416","20,514","8,333","14,604","5,530","6,002","5,279","8,165","13,010","9,140"
2021,10,0,"9,557",417,692,426,"1,026","2,018",633,"1,252",184,222,213,744,"1,119",611
2021,10,10,"11,728",366,890,763,"1,519","2,255",687,"1,984",270,298,326,510,"1,176",684
2021,10,20,"19,317","1,083","1,854","1,617","2,340","2,923","1,308","2,029",748,938,726,896,"1,603","1,252"
