년도,월,나이,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020,5,10,"1,350",750,123,76,52,20,21,53,49,134,72
2020,5,20,"2,131",859,307,150,101,83,45,101,124,200,161
2020,5,30,"1,856",736,289,166,102,73,33,78,95,163,121
2020,5,40,"2,918","1,102",425,224,151,109,66,158,192,293,198
2020,5,50,"4,764","1,315",791,482,316,220,135,255,345,508,397
2020,5,60,"4,651","1,013",761,516,391,241,136,278,414,500,401
2020,5,70,"2,649",536,423,243,236,136,105,181,240,298,251
2020,5,80,"1,113",220,133,101,113,83,48,94,82,128,111
2020,5,90,107,20,18,9,17,2,2,10,11,9,9
2020,5,100,6,1,2,0,1,0,1,0,1,0,0
2020,6,총,"22,471","6,989","3,381","2,022","1,515",984,610,"1,247","1,605","2,333","1,785"
2020,6,0,982,475,113,53,42,23,19,34,48,102,73
2020,6,10,"1,340",746,123,77,50,20,21,54,49,134,66
2020,6,20,"2,099",844,299,148,99,81,43,101,126,198,160
2020,6,30,"1,850",729,290,165,104,70,35,77,92,168,120
2020,6,40,"2,903","1,093",420,228,147,108,66,164,190,293,194
2020,6,50,"4,729","1,303",789,481,314,217,133,252,342,501,397
2020,6,60,"4,684","1,020",774,515,393,247,137,277,420,500,401
2020,6,70,"2,657",538,419,247,235,133,104,184,245,298,254
2020,6,80,"1,114",220,134,99,113,83,49,94,81,130,111
2020,6,90,107,20,18,9,17,2,2,10,11,9,9
2020,6,100,6,1,2,0,1,0,1,0,1,0,0
2020,7,총,"22,449","6,980","3,384","2,012","1,515",994,607,"1,248","1,600","2,317","1,792"
2020,7,0,987,478,113,53,44,25,18,34,51,99,72
2020,7,10,"1,328",741,120,78,50,20,22,54,48,131,64
2020,7,20,"2,091",836,305,142,98,77,43,104,124,197,165
2020,7,30,"1,838",720,291,165,105,76,35,77,90,163,116
2020,7,40,"2,890","1,096",419,227,141,111,66,160,189,288,193
2020,7,50,"4,713","1,296",783,477,317,218,132,252,338,501,399
2020,7,60,"4,701","1,024",776,512,396,247,138,279,418,502,409
2020,7,70,"2,673",545,422,248,235,135,103,184,251,296,254
2020,7,80,"1,116",223,135,100,112,82,46,94,80,131,113
2020,7,90,106,20,18,10,16,3,3,10,10,9,7
2020,7,100,6,1,2,0,1,0,1,0,1,0,0
2020,8,총,"22,416","6,989","3,383","2,013","1,512",991,604,"1,237","1,588","2,317","1,782"
2020,8,0,983,470,115,53,44,26,18,34,51,100,72
2020,8,10,"1,309",736,118,77,50,18,21,53,48,126,62
2020,8,20,"2,079",837,306,142,95,76,42,99,122,198,162
2020,8,30,"1,816",723,283,158,107,74,35,75,83,163,115
2020,8,40,"2,877","1,095",419,227,138,114,63,159,190,287,185
2020,8,50,"4,696","1,297",783,479,314,214,132,247,331,500,399
2020,8,60,"4,743","1,037",781,519,397,249,141,279,421,507,412
2020,8,70,"2,675",551,423,247,235,136,99,184,250,295,255
2020,8,80,"1,123",222,135,100,115,80,48,97,81,132,113
2020,8,90,109,20,18,11,16,4,4,10,10,9,7
2020,8,100,6,1,2,0,1,0,1,0,1,0,0
2020,9,총,"22,368","6,993","3,375","1,997","1,514",995,602,"1,232","1,575","2,302","1,783"
2020,9,0,971,466,114,49,44,26,18,37,48,98,71
2020,9,10,"1,294",733,113,73,49,18,21,55,47,124,61
2020,9,20,"2,067",840,302,135,95,76,42,94,121,199,163
2020,9,30,"1,798",722,280,159,105,74,35,73,80,158,112
2020,9,40,"2,871","1,100",416,227,138,115,62,160,188,278,187
2020,9,50,"4,680","1,298",785,473,311,212,132,243,329,502,395
2020,9,60,"4,767","1,041",779,523,402,254,141,279,419,507,422
2020,9,70,"2,681",552,429,246,237,136,95,186,251,295,254
2020,9,80,"1,124",219,137,101,116,80,51,96,81,132,111
2020,9,90,109,21,18,11,16,4,4,9,10,9,7
2020,9,100,6,1,2,0,1,0,1,0,1,0,0
2020,10,총,"22,357","6,972","3,377","1,992","1,520",995,599,"1,236","1,571","2,307","1,788"
2020,10,0,973,464,117,51,44,26,18,37,47,98,71
2020,10,10,"1,284",731,110,72,51,18,20,55,46,122,59
2020,10,20,"2,053",837,294,132,99,74,42,94,121,199,161
2020,10,30,"1,787",704,282,158,105,75,36,71,81,162,113
2020,10,40,"2,854","1,087",415,226,140,114,62,160,185,277,188
2020,10,50,"4,684","1,304",790,472,309,213,131,246,321,502,396
2020,10,60,"4,791","1,049",781,527,403,256,141,278,423,507,426
2020,10,70,"2,692",557,431,243,238,134,93,190,252,299,255
2020,10,80,"1,123",217,138,100,114,81,50,95,84,132,112
2020,10,90,110,21,17,11,16,4,5,10,10,9,7
2020,10,100,6,1,2,0,1,0,1,0,1,0,0
2020,11,총,"22,349","6,959","3,359","1,987","1,523","1,004",611,"1,236","1,572","2,308","1,790"
2020,11,0,971,453,115,52,46,27,18,38,50,99,73
2020,11,10,"1,271",730,106,71,49,19,21,55,46,115,59
2020,11,20,"2,056",839,297,130,103,74,40,95,120,197,161
2020,11,30,"1,788",702,277,155,106,76,38,72,82,165,115
2020,11,40,"2,832","1,085",410,225,137,113,63,157,184,269,189
2020,11,50,"4,681","1,308",779,465,305,219,136,248,319,513,389
2020,11,60,"4,812","1,044",788,532,409,257,145,279,422,506,430
2020,11,70,"2,700",558,430,245,239,135,94,188,253,300,258
2020,11,80,"1,119",216,138,101,111,80,49,94,85,136,109
2020,11,90,113,23,17,11,17,4,6,10,10,8,7
2020,11,100,6,1,2,0,1,0,1,0,1,0,0
2020,12,총,"22,473","6,975","3,375","2,031","1,532","1,014",626,"1,237","1,580","2,307","1,796"
2020,12,0,965,449,111,54,48,26,17,37,52,96,75
2020,12,10,"1,263",724,103,73,47,18,23,56,45,117,57
2020,12,20,"2,100",849,312,145,105,74,39,101,122,196,157
2020,12,30,"1,811",705,284,159,105,85,40,73,84,161,115
2020,12,40,"2,839","1,088",418,227,135,112,65,153,184,266,191
2020,12,50,"4,666","1,307",765,459,307,216,143,249,317,514,389
2020,12,60,"4,875","1,056",790,554,412,264,147,278,424,512,438
2020,12,70,"2,713",556,436,248,242,134,97,187,254,301,258
2020,12,80,"1,125",218,137,102,113,81,49,93,87,136,109
2020,12,90,110,22,17,10,17,4,5,10,10,8,7
2020,12,100,6,1,2,0,1,0,1,0,1,0,0
2021,1,총,"22,429","6,958","3,373","2,029","1,548","1,005",624,"1,231","1,579","2,291","1,791"
2021,1,0,963,443,110,54,48,26,18,36,54,96,78
2021,1,10,"1,259",725,105,71,47,18,23,54,44,116,56
2021,1,20,"2,073",848,309,143,106,73,36,96,117,188,157
2021,1,30,"1,799",698,282,161,104,82,40,73,86,160,113
2021,1,40,"2,815","1,082",420,224,134,109,66,151,181,260,188
2021,1,50,"4,641","1,293",766,455,313,213,136,254,317,511,383
2021,1,60,"4,915","1,068",792,558,416,262,150,278,432,515,444
2021,1,70,"2,715",561,435,249,244,137,100,188,250,297,254
2021,1,80,"1,130",218,136,103,117,80,49,91,86,140,110
2021,1,90,113,21,16,11,18,5,5,10,11,8,8
2021,1,100,6,1,2,0,1,0,1,0,1,0,0
2021,2,총,"22,375","6,928","3,373","2,021","1,543",998,623,"1,239","1,580","2,286","1,784"
2021,2,0,966,441,110,56,48,28,18,38,54,96,77
2021,2,10,"1,250",718,105,66,46,18,23,55,44,116,59
2021,2,20,"2,044",830,309,140,105,72,38,99,113,186,152
2021,2,30,"1,774",693,279,160,99,80,39,68,86,156,114
2021,2,40,"2,822","1,085",422,227,131,107,66,154,182,261,187
2021,2,50,"4,598","1,279",760,452,312,206,135,252,313,507,382
2021,2,60,"4,943","1,076",797,559,423,262,150,281,434,519,442
2021,2,70,"2,723",565,433,250,240,139,99,191,255,297,254
2021,2,80,"1,132",219,140,100,120,80,50,91,86,138,108
2021,2,90,117,21,16,11,18,6,4,10,12,10,9
2021,2,100,6,1,2,0,1,0,1,0,1,0,0
2021,3,총,"22,329","6,921","3,369","2,024","1,527",998,626,"1,233","1,569","2,292","1,770"
2021,3,0,953,430,107,56,46,28,18,38,54,101,75
2021,3,10,"1,239",715,107,68,43,18,24,52,43,112,57
2021,3,20,"2,028",824,308,142,100,68,39,99,112,186,150
2021,3,30,"1,760",689,277,160,95,78,38,67,83,159,114
2021,3,40,"2,789","1,079",421,223,129,109,65,149,177,257,180
2021,3,50,"4,582","1,294",750,448,312,203,134,248,308,503,382
2021,3,60,"5,004","1,084",809,564,425,271,153,288,442,524,444
2021,3,70,"2,732",566,432,252,241,139,100,194,255,303,250
2021,3,80,"1,131",222,144,100,120,78,50,89,82,137,109
2021,3,90,110,18,14,11,16,6,4,9,13,10,9
2021,3,100,1,0,0,0,0,0,1,0,0,0,0
2021,4,총,"22,314","6,912","3,365","2,019","1,535",997,627,"1,233","1,572","2,283","1,771"
2021,4,0,952,431,108,55,45,28,18,38,53,100,76
2021,4,10,"1,221",706,105,68,42,17,24,50,43,111,55
2021,4,20,"2,030",829,305,137,100,70,41,99,111,186,152
2021,4,30,"1,749",685,271,160,96,76,39,67,84,159,112
2021,4,40,"2,777","1,082",419,220,126,105,66,147,178,255,179
2021,4,50,"4,547","1,280",738,452,309,199,132,250,307,498,382
2021,4,60,"5,057","1,094",821,566,439,277,152,287,446,530,445
2021,4,70,"2,732",561,440,248,241,140,100,197,257,297,251
2021,4,80,"1,139",226,144,102,121,79,51,89,80,137,110
2021,4,90,109,18,14,11,16,6,3,9,13,10,9
2021,4,100,1,0,0,0,0,0,1,0,0,0,0
2021,5,총,"22,260","6,875","3,371","2,013","1,526","1,000",623,"1,234","1,575","2,279","1,764"
2021,5,0,941,426,107,54,44,28,18,38,52,101,73
2021,5,10,"1,213",701,102,69,42,17,23,50,44,109,56
2021,5,20,"2,027",829,305,135,100,71,39,102,110,189,147
2021,5,30,"1,728",672,266,158,96,76,39,65,86,159,111
2021,5,40,"2,747","1,072",420,218,127,102,62,144,177,255,170
2021,5,50,"4,532","1,277",734,454,304,205,133,248,308,486,383
2021,5,60,"5,073","1,088",834,565,438,273,154,289,448,533,451
2021,5,70,"2,739",564,441,249,236,144,101,198,254,301,251
2021,5,80,"1,152",228,148,101,123,78,51,91,83,136,113
2021,5,90,108,18,14,10,16,6,3,9,13,10,9
2021,5,100,0,0,0,0,0,0,0,0,0,0,0
2021,6,총,"22,238","6,886","3,356","2,003","1,532",999,624,"1,233","1,566","2,281","1,758"
2021,6,0,928,423,104,56,45,28,19,35,50,100,68
2021,6,10,"1,210",703,102,68,41,17,22,49,45,107,56
2021,6,20,"2,011",826,301,131,102,70,39,104,109,186,143
2021,6,30,"1,732",680,267,154,97,76,38,65,86,158,111
2021,6,40,"2,737","1,074",412,217,128,102,63,141,175,255,170
2021,6,50,"4,501","1,273",726,450,299,201,134,248,302,487,381
2021,6,60,"5,114","1,096",842,563,444,278,154,295,448,538,456
2021,6,70,"2,737",561,441,251,237,144,100,195,253,304,251
2021,6,80,"1,159",232,146,103,123,76,52,92,85,136,114
2021,6,90,109,18,15,10,16,7,3,9,13,10,8
2021,6,100,0,0,0,0,0,0,0,0,0,0,0
2021,7,총,"22,248","6,885","3,354","2,012","1,534",997,623,"1,230","1,571","2,273","1,769"
2021,7,0,935,427,107,57,49,27,18,35,49,99,67
2021,7,10,"1,216",701,105,67,42,17,22,48,46,109,59
2021,7,20,"1,983",820,297,129,96,67,38,103,111,182,140
2021,7,30,"1,735",678,271,156,98,75,35,66,89,156,111
2021,7,40,"2,721","1,070",407,216,127,103,61,138,174,252,173
2021,7,50,"4,488","1,275",718,449,297,202,132,248,301,483,383
2021,7,60,"5,142","1,095",847,571,451,276,160,296,443,541,462
2021,7,70,"2,748",568,442,252,235,146,101,194,258,302,250
2021,7,80,"1,170",232,145,105,123,77,53,93,87,139,116
2021,7,90,110,19,15,10,16,7,3,9,13,10,8
2021,7,100,0,0,0,0,0,0,0,0,0,0,0
2021,8,총,"22,197","6,869","3,345","2,001","1,534",998,624,"1,225","1,570","2,264","1,767"
2021,8,0,931,424,107,61,49,26,18,34,48,98,66
2021,8,10,"1,213",699,107,65,42,18,24,47,43,109,59
2021,8,20,"1,954",816,284,125,92,65,37,104,113,179,139
2021,8,30,"1,719",675,272,154,96,72,34,66,89,150,111
2021,8,40,"2,695","1,061",400,210,127,105,62,136,171,251,172
2021,8,50,"4,494","1,276",716,450,303,205,130,248,304,480,382
2021,8,60,"5,150","1,098",852,565,450,278,160,297,443,544,463
2021,8,70,"2,754",566,447,258,234,144,104,189,256,305,251
2021,8,80,"1,178",233,146,104,125,78,51,95,90,140,116
2021,8,90,109,21,14,9,16,7,4,9,13,8,8
