년도,월,나이,김해시,진영읍,주촌면,진례면,한림면,생림면,상동면,대동면,동상동,회현동,부원동,내외동,북부동,칠산서부동,활천동,삼안동,불암동,장유1동,장유2동,장유3동
2020,1,총,"268,275","27,137","8,163","3,092","3,619","1,815","1,476","3,089","4,964","4,803","5,006","37,841","40,268","4,554","20,556","17,015","3,934","28,335","18,446","34,162"
2020,1,0,"25,467","3,335","1,283",103,110,28,40,106,297,328,300,"2,478","3,803",283,"1,406",864,280,"2,967","1,985","5,471"
2020,1,10,"30,054","2,823",569,166,153,63,85,95,378,291,348,"4,051","5,154",341,"1,929","1,651",420,"3,970","2,559","5,008"
2020,1,20,"31,914","2,554","1,038",265,268,135,135,209,593,537,675,"5,878","5,019",590,"2,916","2,642",489,"3,145","2,065","2,761"
2020,1,30,"35,373","4,499","1,877",253,243,108,100,198,582,631,586,"4,128","5,072",429,"2,199","1,451",407,"3,776","2,535","6,299"
2020,1,40,"50,111","4,889","1,201",350,294,145,145,265,706,613,754,"6,806","8,247",625,"3,466","2,825",667,"6,170","4,105","7,838"
2020,1,50,"45,954","3,961","1,218",661,728,388,323,583,"1,028",926,"1,044","8,140","6,920",957,"4,373","3,825",759,"4,138","2,629","3,353"
2020,1,60,"26,307","2,760",529,581,807,414,349,785,745,759,730,"3,310","3,348",681,"2,364","2,004",522,"2,184","1,415","2,020"
2020,1,70,"14,530","1,392",237,430,559,315,179,497,400,478,378,"1,910","1,719",415,"1,252","1,108",253,"1,293",766,949
2020,1,80,"7,453",788,191,231,401,195,96,295,203,207,162,"1,004",871,206,570,576,121,604,339,393
2020,1,90,"1,055",130,19,50,55,23,22,54,30,30,24,129,109,26,75,66,13,85,48,67
2020,1,100,57,6,1,2,1,1,2,2,2,3,5,7,6,1,6,3,3,3,0,3
2020,2,총,"268,330","27,076","8,353","3,086","3,594","1,818","1,471","3,077","4,926","4,800","4,993","37,749","40,268","4,544","20,472","16,931","3,923","28,285","18,429","34,535"
2020,2,0,"25,384","3,306","1,309",102,107,31,39,106,291,329,291,"2,470","3,780",279,"1,389",859,275,"2,920","1,971","5,530"
2020,2,10,"29,968","2,817",597,167,141,61,84,96,364,283,344,"4,019","5,141",344,"1,904","1,625",415,"3,972","2,557","5,037"
2020,2,20,"31,784","2,532","1,046",261,258,133,134,202,594,536,675,"5,850","4,996",582,"2,917","2,616",487,"3,131","2,059","2,775"
2020,2,30,"35,240","4,465","1,912",255,245,109,96,199,568,629,583,"4,109","5,033",433,"2,161","1,451",400,"3,729","2,506","6,357"
2020,2,40,"50,093","4,900","1,240",338,284,147,146,263,699,608,747,"6,769","8,248",622,"3,436","2,793",661,"6,176","4,098","7,918"
2020,2,50,"46,183","3,976","1,258",664,730,385,320,580,"1,031",930,"1,048","8,158","6,967",951,"4,375","3,814",767,"4,145","2,661","3,423"
2020,2,60,"26,494","2,756",539,586,814,417,351,778,740,756,738,"3,331","3,375",686,"2,379","2,016",522,"2,226","1,432","2,052"
2020,2,70,"14,555","1,407",238,422,550,314,182,501,404,484,377,"1,899","1,728",414,"1,254","1,110",256,"1,290",759,966
2020,2,80,"7,504",786,193,239,407,194,94,296,203,212,161,"1,013",881,207,573,574,123,606,339,403
2020,2,90,"1,068",126,20,50,57,26,23,54,30,29,24,124,113,25,78,70,14,87,47,71
2020,2,100,57,5,1,2,1,1,2,2,2,4,5,7,6,1,6,3,3,3,0,3
2020,3,총,"268,241","27,014","8,497","3,075","3,579","1,805","1,460","3,059","4,915","4,790","4,966","37,589","40,318","4,529","20,412","16,840","3,910","28,270","18,382","34,831"
2020,3,0,"25,251","3,284","1,329",100,101,26,37,102,288,328,295,"2,425","3,773",280,"1,385",850,277,"2,880","1,960","5,531"
2020,3,10,"29,847","2,818",601,167,142,59,81,96,362,280,330,"3,979","5,111",344,"1,889","1,608",412,"3,962","2,548","5,058"
2020,3,20,"31,764","2,507","1,065",257,254,130,131,200,586,528,674,"5,832","5,008",580,"2,913","2,596",481,"3,148","2,042","2,832"
2020,3,30,"35,086","4,431","1,936",252,239,106,95,192,568,625,577,"4,072","5,036",427,"2,138","1,424",399,"3,677","2,468","6,424"
2020,3,40,"49,999","4,877","1,285",333,276,143,144,259,696,605,736,"6,726","8,233",622,"3,400","2,755",655,"6,199","4,070","7,985"
2020,3,50,"46,257","3,980","1,273",660,732,387,315,574,"1,026",933,"1,046","8,137","6,996",939,"4,371","3,803",769,"4,152","2,687","3,477"
2020,3,60,"26,733","2,781",554,592,815,421,352,790,744,758,743,"3,364","3,417",689,"2,395","2,034",517,"2,255","1,440","2,072"
2020,3,70,"14,596","1,420",239,425,547,310,186,499,406,490,376,"1,898","1,724",412,"1,250","1,110",259,"1,298",774,973
2020,3,80,"7,582",787,194,235,410,196,93,295,206,211,160,"1,023",897,210,590,587,124,615,346,403
2020,3,90,"1,069",124,20,52,62,26,24,51,31,28,24,126,117,25,75,70,14,80,47,73
2020,3,100,57,5,1,2,1,1,2,1,2,4,5,7,6,1,6,3,3,4,0,3
2020,4,총,"268,353","27,038","8,605","3,066","3,568","1,796","1,453","3,047","4,920","4,762","4,988","37,541","40,309","4,536","20,319","16,783","3,911","28,215","18,361","35,135"
2020,4,0,"25,160","3,277","1,346",99,101,26,37,103,292,323,295,"2,412","3,756",276,"1,369",841,276,"2,857","1,951","5,523"
2020,4,10,"29,792","2,830",613,167,140,57,79,94,368,272,329,"3,957","5,092",343,"1,873","1,595",406,"3,946","2,538","5,093"
2020,4,20,"31,777","2,478","1,080",257,254,130,127,198,579,522,688,"5,804","5,010",581,"2,910","2,577",488,"3,135","2,048","2,911"
2020,4,30,"34,996","4,433","1,949",249,230,104,97,188,572,622,565,"4,064","5,016",422,"2,124","1,410",394,"3,630","2,454","6,473"
2020,4,40,"49,965","4,904","1,305",332,274,142,137,257,694,597,731,"6,679","8,222",628,"3,360","2,741",658,"6,201","4,067","8,036"
2020,4,50,"46,373","3,981","1,296",658,734,385,316,569,"1,016",930,"1,062","8,144","7,025",939,"4,361","3,802",764,"4,165","2,694","3,532"
2020,4,60,"26,902","2,801",561,589,812,419,350,791,750,756,745,"3,404","3,432",697,"2,407","2,048",519,"2,269","1,438","2,114"
2020,4,70,"14,645","1,415",240,426,548,311,189,501,410,494,380,"1,916","1,725",409,"1,249","1,108",265,"1,313",776,970
2020,4,80,"7,623",791,195,236,411,197,94,295,207,213,164,"1,028",906,214,590,589,124,615,346,408
2020,4,90,"1,065",122,20,52,63,24,25,50,30,29,24,127,119,26,70,69,14,80,49,72
2020,4,100,55,6,0,1,1,1,2,1,2,4,5,6,6,1,6,3,3,4,0,3
2020,5,총,"268,332","27,077","8,707","3,063","3,561","1,806","1,444","3,031","4,915","4,742","4,977","37,468","40,289","4,539","20,267","16,739","3,915","28,137","18,344","35,311"
2020,5,0,"25,047","3,283","1,355",100,98,25,35,101,287,315,293,"2,398","3,738",277,"1,356",838,274,"2,823","1,936","5,515"
2020,5,10,"29,708","2,835",616,161,141,61,79,96,367,272,320,"3,902","5,069",343,"1,874","1,573",410,"3,943","2,540","5,106"
2020,5,20,"31,725","2,461","1,102",256,248,130,120,191,575,519,690,"5,796","5,016",579,"2,890","2,574",480,"3,120","2,032","2,946"
2020,5,30,"34,876","4,436","1,963",249,225,104,95,183,564,609,566,"4,046","4,971",422,"2,108","1,397",397,"3,592","2,450","6,499"
2020,5,40,"49,970","4,924","1,316",327,271,142,136,261,696,595,730,"6,642","8,242",631,"3,340","2,720",657,"6,188","4,055","8,097"
2020,5,50,"46,457","3,987","1,321",654,733,385,316,554,"1,018",926,"1,056","8,165","7,040",930,"4,353","3,801",762,"4,175","2,716","3,565"
2020,5,60,"27,057","2,802",576,594,816,425,350,795,748,760,747,"3,433","3,450",705,"2,418","2,066",526,"2,274","1,438","2,134"
2020,5,70,"14,676","1,427",239,429,544,311,189,503,416,498,376,"1,920","1,737",410,"1,254","1,105",268,"1,303",778,969
2020,5,80,"7,693",792,199,240,423,197,96,296,212,214,169,"1,032",901,215,597,595,123,634,350,408
2020,5,90,"1,069",124,20,52,61,25,26,50,30,30,25,128,119,26,71,67,15,81,49,70
2020,5,100,54,6,0,1,1,1,2,1,2,4,5,6,6,1,6,3,3,4,0,2
2020,6,총,"268,259","27,048","8,792","3,058","3,562","1,803","1,452","3,032","4,907","4,722","4,958","37,373","40,239","4,543","20,243","16,659","3,903","28,123","18,326","35,516"
2020,6,0,"24,952","3,269","1,365",98,94,25,35,100,284,310,287,"2,387","3,731",276,"1,344",821,276,"2,805","1,938","5,507"
