년도,월,나이,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020,1,총,"9,521","6,701",906,495,"1,419"
2020,1,0,446,324,48,15,59
2020,1,10,509,400,42,16,51
2020,1,20,892,649,77,39,127
2020,1,30,973,716,71,37,149
2020,1,40,"1,366","1,031",101,44,190
2020,1,50,"1,975","1,402",202,99,272
2020,1,60,"1,764","1,199",174,111,280
2020,1,70,"1,015",662,108,82,163
2020,1,80,501,275,77,39,110
2020,1,90,69,32,6,13,18
2020,1,100,11,11,0,0,0
2020,2,총,"9,457","6,674",907,487,"1,389"
2020,2,0,434,316,47,16,55
2020,2,10,499,393,40,16,50
2020,2,20,873,630,83,35,125
2020,2,30,952,704,63,38,147
2020,2,40,"1,362","1,032",105,41,184
2020,2,50,"1,962","1,404",201,96,261
2020,2,60,"1,778","1,211",175,114,278
2020,2,70,"1,012",660,109,81,162
2020,2,80,502,279,78,36,109
2020,2,90,72,34,6,14,18
2020,2,100,11,11,0,0,0
2020,3,총,"9,348","6,607",890,470,"1,381"
2020,3,0,426,310,45,16,55
2020,3,10,491,386,40,14,51
2020,3,20,854,619,79,29,127
2020,3,30,933,693,61,36,143
2020,3,40,"1,351","1,026",101,37,187
2020,3,50,"1,928","1,382",199,94,253
2020,3,60,"1,763","1,207",170,113,273
2020,3,70,"1,015",659,111,80,165
2020,3,80,503,280,78,37,108
2020,3,90,73,34,6,14,19
2020,3,100,11,11,0,0,0
2020,4,총,"9,269","6,562",882,477,"1,348"
2020,4,0,428,311,44,19,54
2020,4,10,483,383,39,15,46
2020,4,20,841,618,75,30,118
2020,4,30,920,683,63,37,137
2020,4,40,"1,335","1,021",98,35,181
2020,4,50,"1,906","1,363",198,96,249
2020,4,60,"1,758","1,209",169,112,268
2020,4,70,"1,015",651,113,82,169
2020,4,80,499,279,76,37,107
2020,4,90,73,33,7,14,19
2020,4,100,11,11,0,0,0
2020,5,총,"9,243","6,532",883,473,"1,355"
2020,5,0,420,306,43,17,54
2020,5,10,490,387,38,17,48
2020,5,20,828,606,73,27,122
2020,5,30,922,685,62,37,138
2020,5,40,"1,331","1,017",97,35,182
2020,5,50,"1,895","1,351",200,96,248
2020,5,60,"1,756","1,203",174,110,269
2020,5,70,"1,019",654,113,84,168
2020,5,80,496,278,76,35,107
2020,5,90,75,34,7,15,19
2020,5,100,11,11,0,0,0
2020,6,총,"9,239","6,532",873,461,"1,373"
2020,6,0,419,305,39,19,56
2020,6,10,488,389,37,16,46
2020,6,20,842,609,76,26,131
2020,6,30,919,680,58,38,143
2020,6,40,"1,329","1,019",96,33,181
2020,6,50,"1,888","1,349",197,93,249
2020,6,60,"1,747","1,199",173,104,271
2020,6,70,"1,024",658,114,83,169
2020,6,80,496,279,76,33,108
2020,6,90,76,34,7,16,19
2020,6,100,11,11,0,0,0
2020,7,총,"9,250","6,538",870,467,"1,375"
2020,7,0,425,308,39,19,59
2020,7,10,476,377,38,16,45
2020,7,20,846,619,75,27,125
2020,7,30,933,690,57,40,146
