년도,월,나이,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면,강원도 홍천군 영귀미면
2020,3,총,"33,490","17,240","2,202","1,193","1,130","1,861","1,894","2,781","1,803","1,869","1,517",
2020,3,0,"1,945","1,404",68,14,18,62,45,173,46,60,55,
2020,3,10,"2,612","1,794",74,50,46,104,68,238,66,92,80,
2020,3,20,"2,655","1,702",129,58,58,104,106,191,108,121,78,
2020,3,30,"2,830","1,893",124,47,35,107,89,244,92,108,91,
2020,3,40,"3,893","2,669",144,70,70,152,138,231,141,146,132,
2020,3,50,"6,188","2,910",400,234,249,407,368,485,372,406,357,
2020,3,60,"6,272","2,395",557,309,310,431,509,518,469,407,367,
2020,3,70,"3,869","1,435",356,228,173,247,294,364,287,274,211,
2020,3,80,"2,769",879,293,154,154,219,243,296,185,222,124,
2020,3,90,424,144,55,29,17,25,28,40,34,30,22,
2020,3,100,33,15,2,0,0,3,6,1,3,3,0,
2020,4,총,"33,494","17,260","2,202","1,197","1,127","1,849","1,892","2,795","1,797","1,856","1,519",
2020,4,0,"1,937","1,397",69,14,18,63,44,170,48,60,54,
2020,4,10,"2,593","1,788",75,49,42,101,67,238,65,88,80,
2020,4,20,"2,652","1,708",129,59,57,103,104,192,105,121,74,
2020,4,30,"2,827","1,888",122,47,35,103,89,245,94,110,94,
2020,4,40,"3,892","2,673",145,71,70,149,136,236,143,141,128,
2020,4,50,"6,165","2,912",397,233,246,404,371,483,367,396,356,
2020,4,60,"6,316","2,407",562,309,312,433,513,528,466,411,375,
2020,4,70,"3,868","1,443",356,229,174,247,289,360,288,274,208,
2020,4,80,"2,786",887,290,155,156,216,245,301,184,224,128,
2020,4,90,426,142,56,31,17,27,28,41,34,28,22,
2020,4,100,32,15,1,0,0,3,6,1,3,3,0,
2020,5,총,"33,542","17,290","2,204","1,199","1,136","1,843","1,894","2,810","1,796","1,853","1,517",
2020,5,0,"1,933","1,389",68,16,18,63,45,171,47,61,55,
2020,5,10,"2,573","1,780",73,49,42,99,66,240,63,85,76,
2020,5,20,"2,683","1,734",130,61,56,103,103,194,106,121,75,
2020,5,30,"2,840","1,901",124,46,37,103,88,245,92,111,93,
2020,5,40,"3,879","2,657",147,71,72,145,140,239,144,136,128,
2020,5,50,"6,169","2,919",395,229,247,406,369,485,370,399,350,
2020,5,60,"6,354","2,418",564,311,314,435,518,532,467,414,381,
2020,5,70,"3,864","1,447",353,229,175,246,289,360,287,270,208,
2020,5,80,"2,783",887,291,156,157,212,243,302,185,223,127,
2020,5,90,432,143,58,31,18,28,27,41,32,30,24,
2020,5,100,32,15,1,0,0,3,6,1,3,3,0,
2020,6,총,"33,546","17,276","2,189","1,199","1,128","1,850","1,905","2,833","1,790","1,853","1,523",
2020,6,0,"1,931","1,383",66,16,18,64,46,172,47,63,56,
2020,6,10,"2,547","1,759",74,48,43,101,69,233,64,84,72,
2020,6,20,"2,712","1,751",126,60,53,101,104,207,111,119,80,
2020,6,30,"2,841","1,899",123,48,36,105,90,247,92,108,93,
2020,6,40,"3,864","2,649",143,68,73,145,140,243,140,136,127,
2020,6,50,"6,128","2,917",388,224,241,402,368,480,367,395,346,
2020,6,60,"6,415","2,427",572,318,318,442,518,543,463,424,390,
2020,6,70,"3,862","1,444",348,228,173,246,294,365,289,269,206,
2020,6,80,"2,773",884,289,155,156,211,242,301,182,223,130,
2020,6,90,440,148,58,34,17,30,28,41,32,29,23,
2020,6,100,33,15,2,0,0,3,6,1,3,3,0,
2020,7,총,"33,563","17,281","2,194","1,200","1,132","1,849","1,913","2,833","1,795","1,848","1,518",
2020,7,0,"1,922","1,369",69,16,17,63,51,174,49,59,55,
2020,7,10,"2,547","1,757",74,47,45,101,69,232,63,86,73,
2020,7,20,"2,738","1,767",129,59,52,101,109,213,109,118,81,
2020,7,30,"2,824","1,892",124,49,35,101,85,246,90,110,92,
2020,7,40,"3,855","2,639",139,67,75,146,142,240,143,136,128,
2020,7,50,"6,104","2,917",388,224,241,403,364,474,364,390,339,
2020,7,60,"6,442","2,439",573,318,319,443,522,544,470,424,390,
2020,7,70,"3,865","1,443",350,228,175,246,295,367,287,271,203,
2020,7,80,"2,793",893,288,158,156,214,243,300,183,223,135,
2020,7,90,440,150,58,34,17,28,27,42,34,28,22,
2020,7,100,33,15,2,0,0,3,6,1,3,3,0,
2020,8,총,"33,554","17,260","2,197","1,200","1,136","1,854","1,896","2,838","1,806","1,851","1,516",
2020,8,0,"1,907","1,353",66,16,18,63,50,176,51,59,55,
2020,8,10,"2,532","1,749",74,48,45,99,67,229,64,86,71,
2020,8,20,"2,732","1,765",132,58,51,103,105,212,106,118,82,
2020,8,30,"2,801","1,870",124,52,36,103,81,246,91,109,89,
2020,8,40,"3,852","2,639",143,61,73,141,140,242,145,138,130,
2020,8,50,"6,096","2,927",380,223,241,401,359,476,361,388,340,
2020,8,60,"6,482","2,451",576,319,323,454,521,544,479,427,388,
2020,8,70,"3,864","1,447",350,228,175,241,299,365,288,271,200,
2020,8,80,"2,803",893,287,160,157,217,241,303,183,224,138,
2020,8,90,452,151,62,35,17,29,28,44,35,28,23,
2020,8,100,33,15,3,0,0,3,5,1,3,3,0,
2020,9,총,"33,559","17,247","2,201","1,205","1,142","1,850","1,905","2,838","1,798","1,851","1,522",
2020,9,0,"1,893","1,342",64,16,18,61,54,175,49,59,55,
2020,9,10,"2,531","1,742",74,48,45,101,67,230,65,87,72,
2020,9,20,"2,727","1,772",130,59,53,100,103,208,103,117,82,
2020,9,30,"2,801","1,865",124,54,35,103,85,250,88,108,89,
2020,9,40,"3,842","2,637",143,62,69,140,137,241,143,141,129,
2020,9,50,"6,073","2,911",377,221,244,402,365,473,359,385,336,
2020,9,60,"6,528","2,469",583,321,327,454,522,545,482,432,393,
2020,9,70,"3,860","1,446",350,227,175,240,298,367,287,269,201,
2020,9,80,"2,814",897,290,160,159,218,240,304,183,223,140,
2020,9,90,456,149,63,37,17,28,29,44,36,28,25,
2020,9,100,34,17,3,0,0,3,5,1,3,2,0,
2020,10,총,"33,555","17,249","2,209","1,210","1,135","1,852","1,912","2,837","1,797","1,841","1,513",
2020,10,0,"1,893","1,338",63,16,18,61,58,177,48,59,55,
2020,10,10,"2,519","1,733",77,50,43,99,65,230,65,86,71,
2020,10,20,"2,721","1,773",133,58,55,104,103,203,102,112,78,
2020,10,30,"2,781","1,852",122,54,32,103,87,248,86,108,89,
2020,10,40,"3,847","2,640",144,64,69,143,137,237,146,140,127,
2020,10,50,"6,064","2,920",373,219,239,394,358,478,360,385,338,
2020,10,60,"6,554","2,473",590,325,332,460,527,546,478,431,392,
2020,10,70,"3,867","1,452",352,226,173,240,301,365,288,268,202,
2020,10,80,"2,819",903,289,160,158,217,241,306,186,222,137,
2020,10,90,455,148,63,37,16,28,30,46,35,28,24,
2020,10,100,35,17,3,1,0,3,5,1,3,2,0,
2020,11,총,"33,555","17,253","2,203","1,211","1,137","1,843","1,919","2,829","1,802","1,848","1,510",
2020,11,0,"1,883","1,322",62,17,18,61,57,183,48,61,54,
2020,11,10,"2,517","1,742",72,51,43,98,67,224,64,85,71,
2020,11,20,"2,714","1,774",133,58,54,104,100,202,102,110,77,
2020,11,30,"2,762","1,842",120,51,32,102,87,245,85,111,87,
2020,11,40,"3,854","2,647",142,66,68,141,138,235,147,142,128,
2020,11,50,"6,055","2,911",377,217,238,389,357,476,368,382,340,
2020,11,60,"6,584","2,486",590,326,332,461,533,550,477,437,392,
2020,11,70,"3,869","1,457",349,227,176,242,305,361,283,267,202,
2020,11,80,"2,819",907,291,160,160,214,236,305,188,221,137,
2020,11,90,462,147,64,37,16,28,34,47,37,30,22,
2020,11,100,36,18,3,1,0,3,5,1,3,2,0,
2020,12,총,"33,579","17,269","2,202","1,212","1,140","1,846","1,923","2,822","1,810","1,848","1,507",
2020,12,0,"1,889","1,322",62,17,16,64,58,186,50,60,54,
2020,12,10,"2,507","1,745",71,52,40,96,70,217,62,84,70,
2020,12,20,"2,690","1,768",131,55,56,102,98,194,105,107,74,
2020,12,30,"2,772","1,841",120,51,35,103,89,252,85,108,88,
2020,12,40,"3,840","2,647",142,67,66,136,139,229,144,143,127,
2020,12,50,"6,043","2,906",378,214,239,391,353,475,369,378,340,
2020,12,60,"6,639","2,506",592,331,333,466,533,554,483,447,394,
2020,12,70,"3,869","1,460",346,225,177,243,308,364,281,266,199,
2020,12,80,"2,828",906,298,160,161,214,237,300,192,221,139,
2020,12,90,466,150,59,39,17,28,33,50,36,32,22,
2020,12,100,36,18,3,1,0,3,5,1,3,2,0,
2021,1,총,"33,517","17,221","2,207","1,214","1,133","1,847","1,926","2,812","1,809","1,844","1,504",
2021,1,0,"1,873","1,304",66,20,14,63,56,187,49,60,54,
2021,1,10,"2,483","1,739",72,50,38,94,68,206,61,83,72,
2021,1,20,"2,687","1,765",132,55,54,102,98,198,106,106,71,
2021,1,30,"2,736","1,814",122,50,36,101,89,248,83,105,88,
2021,1,40,"3,830","2,649",142,67,64,137,140,224,142,145,120,
2021,1,50,"6,023","2,897",374,215,237,391,354,472,364,376,343,
2021,1,60,"6,668","2,512",593,332,334,471,535,562,487,449,393,
2021,1,70,"3,881","1,459",347,227,178,242,311,362,287,267,201,
2021,1,80,"2,826",912,297,159,160,214,236,297,191,220,140,
2021,1,90,475,153,59,38,18,29,34,55,36,31,22,
2021,1,100,35,17,3,1,0,3,5,1,3,2,0,
2021,2,총,"33,477","17,139","2,204","1,212","1,135","1,845","1,936","2,842","1,804","1,850","1,510",
2021,2,0,"1,879","1,299",67,20,14,63,56,197,48,62,53,
2021,2,10,"2,448","1,701",73,50,39,90,69,212,60,82,72,
2021,2,20,"2,677","1,760",129,56,50,103,97,200,102,107,73,
2021,2,30,"2,721","1,784",119,49,40,103,92,260,84,102,88,
2021,2,40,"3,819","2,637",144,69,58,139,136,225,143,144,124,
2021,2,50,"5,997","2,892",370,211,236,382,357,473,358,378,340,
2021,2,60,"6,713","2,524",596,334,340,478,536,570,488,453,394,
2021,2,70,"3,861","1,452",349,223,179,241,316,350,289,266,196,
2021,2,80,"2,840",918,294,159,162,212,238,301,190,221,145,
2021,2,90,485,154,60,40,16,31,34,53,39,33,25,
2021,2,100,37,18,3,1,1,3,5,1,3,2,0,
2021,3,총,"33,370","17,036","2,178","1,211","1,135","1,831","1,929","2,918","1,785","1,837","1,510",
2021,3,0,"1,855","1,281",63,19,15,59,59,197,49,60,53,
2021,3,10,"2,497","1,682",73,52,38,90,71,277,59,83,72,
2021,3,20,"2,660","1,751",124,58,48,103,98,206,96,108,68,
2021,3,30,"2,702","1,775",118,51,41,99,93,260,79,96,90,
2021,3,40,"3,777","2,612",144,65,58,140,131,224,140,143,120,
2021,3,50,"5,899","2,850",358,208,230,369,351,468,355,372,338,
2021,3,60,"6,791","2,558",597,337,347,486,542,582,489,454,399,
2021,3,70,"3,826","1,435",345,220,177,241,314,346,288,262,198,
2021,3,80,"2,847",922,294,160,161,209,236,304,192,222,147,
2021,3,90,486,153,59,40,19,32,32,54,36,36,25,
2021,3,100,30,17,3,1,1,3,2,0,2,1,0,
2021,4,총,"33,311","17,017","2,182","1,210","1,131","1,826","1,920","2,908","1,787","1,848","1,482",
2021,4,0,"1,844","1,276",60,20,15,59,58,195,48,62,51,
2021,4,10,"2,484","1,678",73,51,37,89,71,268,59,85,73,
2021,4,20,"2,644","1,733",125,59,50,98,95,209,96,113,66,
2021,4,30,"2,697","1,778",119,52,40,101,91,260,74,96,86,
2021,4,40,"3,762","2,610",144,62,57,141,127,220,142,144,115,
2021,4,50,"5,847","2,831",354,207,223,367,353,462,357,364,329,
2021,4,60,"6,853","2,581",610,339,346,485,543,595,494,463,397,
2021,4,70,"3,815","1,432",341,218,181,243,313,346,282,262,197,
2021,4,80,"2,848",925,294,161,161,208,236,300,195,223,145,
2021,4,90,487,156,59,40,20,32,31,53,38,35,23,
2021,4,100,30,17,3,1,1,3,2,0,2,1,0,
2021,5,총,"33,258","16,988","2,170","1,215","1,130","1,823","1,916","2,905","1,780","1,851","1,480",
2021,5,0,"1,829","1,264",59,20,15,59,56,195,48,60,53,
2021,5,10,"2,475","1,672",72,51,36,88,73,265,58,88,72,
2021,5,20,"2,619","1,725",124,60,49,100,92,201,91,112,65,
2021,5,30,"2,681","1,760",118,52,40,99,91,263,73,98,87,
