년도,월,나이,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020,5,10,794,416,10,32,45,20,37,39,41,97,27,30
2020,5,20,861,404,15,27,26,21,68,68,78,92,25,37
2020,5,30,903,487,14,28,37,30,42,55,57,101,32,20
2020,5,40,"1,167",595,25,39,62,35,72,65,54,136,34,50
2020,5,50,"2,008",768,80,96,117,74,152,125,142,238,109,107
2020,5,60,"2,241",731,104,96,135,92,198,178,188,275,91,153
2020,5,70,"2,072",694,88,101,133,70,167,166,201,197,84,171
2020,5,80,"1,634",531,55,86,125,65,147,138,143,149,76,119
2020,5,90,268,76,11,15,24,5,29,20,21,30,12,25
2020,5,100,18,5,1,0,2,0,2,4,2,1,1,0
2020,6,총,"12,633","5,065",412,551,741,430,955,891,957,"1,383",519,729
2020,6,0,674,369,9,28,38,20,38,37,28,64,27,16
2020,6,10,788,414,10,31,44,19,37,38,41,98,26,30
2020,6,20,858,405,15,28,24,21,69,64,79,91,25,37
2020,6,30,897,482,14,27,38,31,41,54,56,101,33,20
2020,6,40,"1,169",590,25,40,62,35,70,66,56,136,39,50
2020,6,50,"2,000",761,81,97,116,74,151,127,142,239,105,107
2020,6,60,"2,243",736,104,97,136,91,202,174,187,273,93,150
2020,6,70,"2,081",695,88,101,132,70,168,167,199,202,84,175
2020,6,80,"1,634",534,56,86,124,64,147,140,144,147,73,119
2020,6,90,271,74,9,16,25,5,30,20,23,31,13,25
2020,6,100,18,5,1,0,2,0,2,4,2,1,1,0
2020,7,총,"12,604","5,070",414,550,740,430,954,890,944,"1,372",513,727
2020,7,0,673,368,9,28,38,21,39,35,26,64,28,17
2020,7,10,780,412,10,32,42,19,37,39,40,95,25,29
2020,7,20,853,404,15,28,27,21,67,66,76,90,23,36
2020,7,30,894,487,14,26,35,32,40,53,51,100,35,21
2020,7,40,"1,174",589,25,42,62,34,74,67,55,136,39,51
2020,7,50,"1,993",762,82,93,117,74,151,125,143,235,104,107
2020,7,60,"2,232",740,104,96,136,88,199,172,184,273,91,149
2020,7,70,"2,085",695,89,103,132,71,169,167,199,201,84,175
2020,7,80,"1,630",534,56,85,125,65,146,140,146,144,70,119
2020,7,90,272,74,9,17,24,5,30,22,22,33,13,23
2020,7,100,18,5,1,0,2,0,2,4,2,1,1,0
2020,8,총,"12,621","5,076",414,551,737,435,947,894,941,"1,382",515,729
2020,8,0,672,369,9,28,33,22,38,38,26,65,27,17
2020,8,10,778,410,10,32,45,19,36,39,39,94,26,28
2020,8,20,856,402,15,27,28,22,69,66,76,92,22,37
2020,8,30,886,479,14,26,35,33,38,55,49,100,36,21
2020,8,40,"1,170",594,25,42,59,32,72,64,54,139,39,50
2020,8,50,"1,993",760,81,95,118,76,147,126,140,236,104,110
2020,8,60,"2,247",747,106,96,136,89,201,171,187,275,92,147
2020,8,70,"2,082",694,85,102,129,72,169,169,200,203,84,175
2020,8,80,"1,646",541,60,86,128,65,145,140,146,145,69,121
2020,8,90,272,74,8,17,24,5,30,22,22,32,15,23
2020,8,100,19,6,1,0,2,0,2,4,2,1,1,0
2020,9,총,"12,599","5,053",416,556,737,433,949,892,939,"1,390",509,725
2020,9,0,670,365,10,28,32,23,39,38,27,66,26,16
2020,9,10,776,408,10,34,44,19,36,37,39,95,25,29
2020,9,20,852,402,15,26,29,21,69,65,75,91,21,38
2020,9,30,869,468,13,25,34,31,37,54,49,101,37,20
2020,9,40,"1,169",588,26,44,60,30,73,67,52,140,38,51
2020,9,50,"1,981",754,80,95,116,76,148,125,142,235,102,108
2020,9,60,"2,258",754,107,97,139,89,199,172,183,280,92,146
2020,9,70,"2,078",693,83,102,127,74,169,169,200,203,83,175
2020,9,80,"1,651",542,62,86,130,65,145,140,148,144,70,119
2020,9,90,277,73,9,19,24,5,32,22,22,34,14,23
2020,9,100,18,6,1,0,2,0,2,3,2,1,1,0
2020,10,총,"12,596","5,047",417,560,733,435,944,888,943,"1,390",510,729
2020,10,0,656,356,10,28,31,23,38,36,27,63,28,16
2020,10,10,789,415,11,35,42,21,35,37,41,99,24,29
2020,10,20,851,404,16,26,30,21,67,63,74,90,22,38
2020,10,30,856,459,13,25,33,31,36,55,50,99,36,19
2020,10,40,"1,163",586,26,42,59,31,71,65,53,141,39,50
2020,10,50,"1,983",755,78,98,113,75,152,126,143,233,100,110
2020,10,60,"2,267",758,108,98,141,86,200,171,181,282,96,146
2020,10,70,"2,074",689,83,102,128,74,168,169,201,202,80,178
2020,10,80,"1,659",541,62,87,130,68,145,140,150,146,70,120
2020,10,90,280,78,9,19,24,5,30,23,21,34,14,23
2020,10,100,18,6,1,0,2,0,2,3,2,1,1,0
2020,11,총,"12,567","5,030",418,560,734,436,942,889,935,"1,380",512,731
2020,11,0,654,352,10,28,31,22,37,36,29,64,29,16
2020,11,10,786,415,11,37,42,20,35,38,38,96,25,29
2020,11,20,844,407,15,25,31,19,67,62,71,89,21,37
2020,11,30,844,452,12,26,35,31,36,56,47,93,35,21
2020,11,40,"1,156",578,25,43,58,30,69,65,54,143,40,51
2020,11,50,"1,974",752,80,96,111,78,153,125,139,229,99,112
2020,11,60,"2,274",757,109,98,142,89,200,174,180,283,99,143
2020,11,70,"2,069",687,82,103,129,74,166,166,204,204,79,175
2020,11,80,"1,668",546,63,87,131,68,145,142,150,144,70,122
2020,11,90,280,78,10,17,22,5,32,22,21,34,14,25
2020,11,100,18,6,1,0,2,0,2,3,2,1,1,0
2020,12,총,"12,562","5,042",419,562,736,434,939,889,937,"1,375",502,727
2020,12,0,650,354,8,28,31,22,37,36,29,65,26,14
2020,12,10,792,418,12,38,40,21,36,39,38,94,26,30
2020,12,20,842,416,15,25,32,18,66,60,73,79,20,38
2020,12,30,844,457,11,26,35,31,35,56,47,95,32,19
2020,12,40,"1,147",574,26,43,59,32,65,64,53,142,39,50
2020,12,50,"1,965",747,82,97,108,78,154,123,142,228,97,109
2020,12,60,"2,282",761,109,99,145,85,198,175,179,288,97,146
2020,12,70,"2,067",686,83,104,129,73,167,168,202,202,81,172
2020,12,80,"1,677",547,62,85,133,70,145,143,151,147,69,125
2020,12,90,277,76,10,17,22,4,34,22,21,33,14,24
2020,12,100,19,6,1,0,2,0,2,3,2,2,1,0
2021,1,총,"12,546","5,035",418,564,740,428,933,891,939,"1,370",502,726
2021,1,0,645,352,8,28,32,22,36,34,27,66,26,14
2021,1,10,776,411,10,38,39,21,35,39,39,91,23,30
2021,1,20,833,410,15,26,35,18,64,58,74,74,22,37
2021,1,30,845,459,11,25,35,30,35,59,46,96,30,19
2021,1,40,"1,143",575,24,43,58,32,63,65,52,140,41,50
2021,1,50,"1,965",743,83,98,111,72,155,125,144,231,95,108
2021,1,60,"2,295",767,111,100,144,88,198,175,180,289,98,145
2021,1,70,"2,062",686,82,103,127,71,166,169,203,201,81,173
2021,1,80,"1,682",548,63,85,133,71,145,142,149,149,71,126
2021,1,90,281,78,10,18,24,3,34,22,23,31,14,24
2021,1,100,19,6,1,0,2,0,2,3,2,2,1,0
2021,2,총,"12,529","5,011",422,562,739,422,937,894,933,"1,378",505,726
2021,2,0,634,345,8,28,30,19,37,33,25,67,27,15
2021,2,10,780,410,11,38,40,22,37,40,39,91,22,30
