년도,월,나이,부평구,부평1동,부평2동,부평3동,부평4동,부평5동,부평6동,산곡1동,산곡2동,산곡3동,산곡4동,청천1동,청천2동,갈산1동,갈산2동,삼산1동,삼산2동,부개1동,부개2동,부개3동,일신동,십정1동,십정2동
2020,1,총,"510,362","37,961","19,355","13,415","37,408","34,192","14,959","13,505","32,791","23,124","18,577","7,488","35,220","17,058","19,972","35,642","30,163","17,289","17,995","33,211","13,352","13,229","24,456"
2020,1,0,"36,284","2,592","1,109",716,"2,858","2,838","1,021",643,"2,880","1,392","1,329",374,"2,880","1,002","1,371","2,761","2,748",996,"1,259","2,193","1,212",782,"1,328"
2020,1,10,"46,097","3,122","1,497",906,"2,540","2,484",902,"1,050","3,945","2,175","1,968",578,"3,159","1,408","1,591","3,911","4,485","1,216","1,665","3,624","1,104","1,081","1,686"
2020,1,20,"73,282","6,245","2,776","1,800","5,879","5,304","2,186","1,799","4,455","3,074","2,752",970,"5,009","2,594","2,713","5,025","3,825","2,286","2,591","5,215","1,766","1,695","3,323"
2020,1,30,"72,003","6,344","2,841","1,758","6,967","6,512","2,380","1,506","4,087","2,568","2,273",898,"5,271","2,339","3,013","4,412","3,260","2,276","2,379","4,212","1,974","1,569","3,164"
2020,1,40,"80,798","5,824","2,985","1,958","5,752","5,473","2,204","1,886","5,682","3,360","2,972","1,181","5,371","2,550","2,634","6,005","6,190","2,538","2,860","5,662","1,936","2,036","3,739"
2020,1,50,"93,193","6,184","3,519","2,518","6,224","5,540","2,633","2,744","5,935","4,256","3,474","1,593","6,609","3,441","3,770","6,668","5,217","3,130","3,330","6,501","2,302","2,585","5,020"
2020,1,60,"62,360","4,337","2,543","2,018","4,126","3,470","2,033","2,162","3,488","3,305","2,260","1,106","4,143","2,224","2,895","3,871","2,588","2,721","2,256","3,364","1,867","1,955","3,628"
2020,1,70,"30,739","2,148","1,462","1,148","2,079","1,723","1,035","1,112","1,560","1,849",961,552,"1,852","1,009","1,261","1,857","1,200","1,512","1,145","1,626",821,"1,048","1,779"
2020,1,80,"13,387","1,003",537,499,849,722,477,508,645,977,514,182,808,423,616,964,551,556,450,693,315,404,694
2020,1,90,"2,026",149,74,82,119,114,78,80,108,151,72,43,112,64,105,156,98,55,56,116,49,62,83
2020,1,100,193,13,12,12,15,12,10,15,6,17,2,11,6,4,3,12,1,3,4,5,6,12,12
2020,2,총,"508,587","37,922","19,104","13,355","37,386","34,129","14,821","13,452","32,706","23,012","18,542","7,381","35,137","17,033","19,930","35,521","30,097","17,184","17,966","33,057","13,316","13,181","24,355"
2020,2,0,"35,846","2,586","1,075",705,"2,833","2,810","1,002",636,"2,866","1,361","1,320",369,"2,864",972,"1,351","2,724","2,731",971,"1,239","2,154","1,190",778,"1,309"
2020,2,10,"45,704","3,078","1,479",897,"2,521","2,477",888,"1,041","3,935","2,170","1,942",564,"3,122","1,397","1,584","3,870","4,439","1,213","1,664","3,584","1,096","1,077","1,666"
2020,2,20,"72,849","6,256","2,764","1,777","5,876","5,271","2,168","1,801","4,401","3,013","2,736",956,"4,979","2,586","2,693","4,997","3,821","2,261","2,576","5,169","1,755","1,684","3,309"
2020,2,30,"71,474","6,284","2,782","1,751","6,929","6,454","2,349","1,480","4,062","2,579","2,262",882,"5,250","2,345","2,980","4,365","3,263","2,242","2,376","4,191","1,957","1,549","3,142"
2020,2,40,"80,548","5,851","2,927","1,939","5,779","5,511","2,196","1,882","5,686","3,316","2,962","1,159","5,370","2,533","2,638","5,989","6,152","2,519","2,853","5,627","1,931","2,022","3,706"
2020,2,50,"92,888","6,152","3,467","2,515","6,219","5,532","2,599","2,716","5,901","4,249","3,469","1,582","6,586","3,439","3,766","6,683","5,219","3,105","3,328","6,488","2,292","2,580","5,001"
2020,2,60,"62,797","4,389","2,526","2,027","4,161","3,491","2,026","2,188","3,516","3,331","2,287","1,095","4,182","2,240","2,919","3,895","2,622","2,735","2,262","3,397","1,897","1,970","3,641"
2020,2,70,"30,790","2,154","1,455","1,144","2,085","1,725","1,027","1,103","1,570","1,851",973,541,"1,859","1,024","1,271","1,865","1,197","1,516","1,152","1,620",826,"1,047","1,785"
2020,2,80,"13,479","1,007",542,506,854,731,478,505,655,983,517,180,810,429,618,968,555,560,456,711,316,400,698
2020,2,90,"2,014",153,75,82,114,114,78,85,107,142,72,42,109,64,107,152,97,59,55,112,50,62,83
2020,2,100,198,12,12,12,15,13,10,15,7,17,2,11,6,4,3,13,1,3,5,4,6,12,15
2020,3,총,"506,682","37,907","18,757","13,291","37,274","34,076","14,695","13,387","32,597","22,973","18,473","7,311","35,108","16,987","19,881","35,360","29,939","17,172","17,931","32,883","13,256","13,134","24,290"
2020,3,0,"35,512","2,557","1,061",698,"2,795","2,779","1,001",632,"2,845","1,353","1,302",369,"2,842",959,"1,345","2,707","2,698",965,"1,240","2,113","1,178",780,"1,293"
2020,3,10,"45,336","3,044","1,448",892,"2,522","2,465",881,"1,031","3,906","2,147","1,922",561,"3,108","1,383","1,572","3,842","4,394","1,210","1,649","3,538","1,093","1,072","1,656"
2020,3,20,"72,539","6,271","2,681","1,750","5,861","5,259","2,152","1,799","4,379","2,998","2,737",939,"4,975","2,612","2,685","4,969","3,802","2,270","2,563","5,141","1,743","1,677","3,276"
2020,3,30,"70,887","6,241","2,741","1,756","6,869","6,436","2,316","1,462","4,041","2,548","2,240",881,"5,231","2,317","2,961","4,282","3,239","2,207","2,358","4,160","1,940","1,523","3,138"
2020,3,40,"80,011","5,855","2,874","1,929","5,740","5,488","2,177","1,871","5,638","3,308","2,941","1,149","5,346","2,516","2,619","5,966","6,086","2,501","2,852","5,552","1,914","2,019","3,670"
2020,3,50,"92,586","6,140","3,401","2,468","6,227","5,546","2,546","2,699","5,891","4,247","3,462","1,565","6,579","3,412","3,746","6,670","5,232","3,107","3,303","6,494","2,292","2,573","4,986"
2020,3,60,"63,169","4,447","2,499","2,040","4,178","3,513","2,038","2,190","3,539","3,352","2,290","1,092","4,217","2,270","2,935","3,916","2,642","2,757","2,280","3,437","1,898","1,970","3,669"
2020,3,70,"30,859","2,170","1,430","1,155","2,097","1,723","1,027","1,102","1,577","1,868",975,525,"1,872","1,022","1,279","1,873","1,194","1,524","1,156","1,617",826,"1,048","1,799"
2020,3,80,"13,554","1,014",539,508,856,738,470,503,668,988,527,178,818,427,626,971,556,566,468,715,317,397,704
2020,3,90,"2,033",156,72,83,114,117,77,84,106,147,75,41,114,65,110,152,95,61,57,112,49,63,83
