년도,월,나이,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020,3,총,"218,353","37,705","40,041","39,458","16,238","30,070","34,263","10,207","10,371"
2020,3,0,"26,077","4,862","5,615","4,103","2,717","2,770","4,376",781,853
2020,3,10,"23,675","3,954","4,566","6,350","1,203","2,439","3,574",774,815
2020,3,20,"28,150","4,414","4,619","4,960","1,300","4,813","4,910","1,769","1,365"
2020,3,30,"35,242","6,132","6,887","4,333","3,615","4,948","6,096","1,672","1,559"
2020,3,40,"38,301","6,624","7,321","8,713","2,536","4,530","5,549","1,476","1,552"
2020,3,50,"38,372","6,307","6,320","6,842","2,181","6,409","6,207","2,112","1,994"
2020,3,60,"18,074","3,392","2,972","2,375","1,614","2,832","2,318","1,089","1,482"
2020,3,70,"7,075","1,410","1,149","1,219",659,913,800,373,552
2020,3,80,"2,929",524,512,489,347,364,378,141,174
2020,3,90,442,82,79,73,61,51,55,19,22
2020,3,100,16,4,1,1,5,1,0,1,3
2020,4,총,"218,364","37,633","40,039","39,430","16,297","30,023","34,483","10,161","10,298"
2020,4,0,"26,012","4,850","5,596","4,049","2,718","2,782","4,405",774,838
2020,4,10,"23,659","3,938","4,564","6,374","1,223","2,405","3,574",775,806
2020,4,20,"28,065","4,382","4,594","4,953","1,288","4,793","4,949","1,754","1,352"
2020,4,30,"35,145","6,092","6,870","4,289","3,616","4,951","6,115","1,667","1,545"
2020,4,40,"38,367","6,627","7,345","8,703","2,580","4,496","5,606","1,473","1,537"
2020,4,50,"38,354","6,291","6,307","6,870","2,172","6,418","6,221","2,091","1,984"
2020,4,60,"18,257","3,416","3,016","2,403","1,634","2,851","2,363","1,088","1,486"
2020,4,70,"7,108","1,424","1,149","1,224",654,912,814,380,551
2020,4,80,"2,930",526,513,489,346,363,381,138,174
2020,4,90,450,83,84,75,61,51,55,20,21
2020,4,100,17,4,1,1,5,1,0,1,4
2020,5,총,"218,396","37,631","40,016","39,332","16,378","29,985","34,652","10,156","10,246"
2020,5,0,"25,933","4,812","5,581","4,009","2,730","2,775","4,430",771,825
2020,5,10,"23,629","3,939","4,573","6,345","1,241","2,388","3,564",775,804
2020,5,20,"28,018","4,388","4,562","4,947","1,277","4,790","4,960","1,751","1,343"
2020,5,30,"35,023","6,050","6,834","4,238","3,625","4,913","6,174","1,667","1,522"
2020,5,40,"38,396","6,637","7,383","8,671","2,613","4,483","5,614","1,461","1,534"
2020,5,50,"38,450","6,317","6,284","6,916","2,177","6,421","6,263","2,097","1,975"
2020,5,60,"18,401","3,439","3,050","2,414","1,652","2,874","2,394","1,090","1,488"
2020,5,70,"7,147","1,436","1,154","1,222",654,923,821,384,553
2020,5,80,"2,937",528,511,495,343,367,376,139,178
