년도,월,나이,안동시,풍산읍,와룡면,북후면,서후면,풍천면,일직면,남후면,남선면,임하면,길안면,임동면,예안면,도산면,녹전면,중구동,명륜동,용상동,서구동,태화동,평화동,안기동,옥동,송하동,강남동
2020,1,총,"80,722","3,255","2,029","1,468","1,768","2,532","1,490",957,"1,051","1,424","1,386",875,932,784,861,"2,676","2,691","11,274","4,891","6,868","3,367","3,252","11,757","8,152","4,982"
2020,1,0,"5,289",99,45,37,39,103,23,23,23,50,29,12,20,14,9,121,154,924,335,470,228,193,"1,054",743,541
2020,1,10,"6,754",134,93,39,71,127,52,32,47,57,36,29,21,23,36,195,221,"1,180",450,452,267,308,"1,327",830,727
2020,1,20,"7,637",207,129,54,185,259,62,35,74,76,63,37,39,24,33,252,256,"1,348",404,675,288,336,"1,369",902,530
2020,1,30,"7,790",186,87,63,91,252,64,38,54,74,53,25,35,27,27,281,262,"1,288",453,791,322,287,"1,413","1,026",591
2020,1,40,"10,915",244,145,115,147,233,110,64,76,104,55,54,46,42,54,302,355,"1,812",702,926,437,452,"2,037","1,362","1,041"
2020,1,50,"13,278",508,315,241,276,365,221,128,208,229,239,138,190,125,135,415,486,"1,778",782,"1,202",593,647,"1,952","1,456",649
2020,1,60,"12,558",677,425,302,385,449,328,189,215,305,315,209,211,205,204,511,422,"1,403",812,"1,144",616,566,"1,332",916,417
2020,1,70,"9,307",620,406,312,285,408,317,223,178,260,351,201,208,184,187,369,331,901,581,756,383,309,739,518,280
2020,1,80,"6,089",493,329,251,235,289,261,184,146,226,216,152,140,118,155,184,182,556,317,386,180,132,449,340,168
2020,1,90,"1,056",81,51,52,53,45,50,40,30,41,28,14,20,22,21,46,22,81,50,61,51,22,83,56,36
2020,1,100,49,6,4,2,1,2,2,1,0,2,1,4,2,0,0,0,0,3,5,5,2,0,2,3,2
2020,2,총,"80,555","3,247","2,019","1,468","1,758","2,536","1,483",956,"1,047","1,416","1,370",882,932,783,856,"2,647","2,682","11,326","4,847","6,851","3,367","3,244","11,709","8,141","4,988"
2020,2,0,"5,261",99,41,36,39,106,23,22,22,48,28,12,20,14,8,118,152,941,322,471,224,188,"1,043",747,537
2020,2,10,"6,697",136,90,39,69,125,52,32,51,54,36,31,20,24,37,189,222,"1,172",441,452,261,301,"1,310",827,726
2020,2,20,"7,636",206,132,55,174,271,60,37,71,73,63,36,41,23,33,239,253,"1,359",400,679,296,340,"1,361",896,538
2020,2,30,"7,716",184,86,61,93,244,62,38,54,71,51,25,35,26,26,275,255,"1,302",443,778,317,277,"1,395","1,032",586
2020,2,40,"10,888",246,141,112,149,231,105,64,77,104,55,56,44,42,53,300,355,"1,820",696,924,444,450,"2,017","1,352","1,051"
2020,2,50,"13,207",495,314,242,271,358,222,129,208,227,231,141,188,123,136,414,487,"1,772",777,"1,180",590,643,"1,959","1,453",647
2020,2,60,"12,617",686,425,303,388,451,328,189,214,313,310,208,212,206,201,505,425,"1,418",804,"1,157",620,582,"1,337",915,420
2020,2,70,"9,307",610,405,314,284,409,318,220,178,259,352,204,205,185,186,376,326,900,585,759,382,307,744,519,280
2020,2,80,"6,107",497,328,253,234,296,262,183,144,225,214,151,145,117,155,186,183,550,324,384,181,133,456,339,167
2020,2,90,"1,070",82,53,52,56,43,49,41,28,40,29,14,20,23,21,45,24,89,50,62,50,23,85,58,33
2020,2,100,49,6,4,1,1,2,2,1,0,2,1,4,2,0,0,0,0,3,5,5,2,0,2,3,3
2020,3,총,"80,421","3,224","2,006","1,474","1,730","2,535","1,474",951,"1,043","1,399","1,368",868,930,786,857,"2,637","2,668","11,348","4,825","6,830","3,373","3,224","11,649","8,100","5,122"
2020,3,0,"5,236",98,43,37,39,106,24,20,24,44,30,11,20,15,8,119,150,939,317,468,219,183,"1,042",737,543
2020,3,10,"6,665",137,89,40,66,122,51,31,47,56,36,31,19,24,38,184,222,"1,165",442,448,263,298,"1,297",827,732
2020,3,20,"7,586",201,132,53,162,274,61,36,66,72,63,35,40,23,31,236,249,"1,352",400,672,299,337,"1,353",866,573
2020,3,30,"7,643",174,84,62,86,251,60,36,57,65,50,24,36,27,26,273,248,"1,286",435,770,315,268,"1,379","1,024",607
2020,3,40,"10,860",238,132,114,148,230,101,61,77,104,53,53,44,40,53,291,350,"1,845",696,913,448,444,"2,009","1,347","1,069"
2020,3,50,"13,167",505,314,242,267,357,213,127,204,219,228,136,184,124,136,412,484,"1,771",771,"1,184",586,635,"1,942","1,442",684
2020,3,60,"12,664",680,419,304,388,446,330,190,216,315,309,206,214,208,196,510,430,"1,436",802,"1,151",626,590,"1,344",925,429
2020,3,70,"9,290",605,405,309,283,405,320,219,178,257,348,203,205,183,190,372,320,908,580,763,380,310,742,525,280
2020,3,80,"6,177",500,332,260,234,297,261,187,146,226,220,151,146,118,159,196,191,552,324,392,185,136,449,348,167
2020,3,90,"1,084",80,52,52,57,45,51,43,28,38,30,14,20,24,20,44,24,91,53,64,50,23,90,56,35
2020,3,100,49,6,4,1,0,2,2,1,0,3,1,4,2,0,0,0,0,3,5,5,2,0,2,3,3
2020,4,총,"80,315","3,212","2,006","1,466","1,710","2,550","1,466",948,"1,039","1,386","1,356",866,929,782,850,"2,635","2,655","11,352","4,825","6,807","3,367","3,223","11,615","8,085","5,185"
2020,4,0,"5,198",97,43,38,39,101,25,18,22,39,30,11,19,14,7,121,149,938,312,468,219,180,"1,037",729,542
2020,4,10,"6,626",137,88,38,56,123,50,30,46,54,37,31,18,23,37,179,223,"1,159",445,443,262,296,"1,295",824,732
2020,4,20,"7,571",202,133,49,159,277,61,37,66,74,63,35,37,22,30,229,248,"1,354",403,657,295,333,"1,353",867,587
2020,4,30,"7,629",171,85,61,84,264,59,35,55,64,47,23,38,25,25,277,241,"1,286",430,762,310,266,"1,378","1,027",616
2020,4,40,"10,807",229,130,112,142,231,98,60,74,101,49,53,46,37,52,295,345,"1,840",695,908,450,445,"1,993","1,343","1,079"
2020,4,50,"13,119",501,309,239,262,355,211,126,202,215,221,135,181,126,135,408,480,"1,773",777,"1,184",581,636,"1,929","1,429",704
2020,4,60,"12,731",681,420,308,393,447,324,194,217,318,309,206,218,211,195,508,437,"1,439",803,"1,152",631,597,"1,350",930,443
2020,4,70,"9,280",600,408,303,280,407,323,214,181,255,349,202,203,178,189,375,323,912,575,770,380,308,740,531,274
2020,4,80,"6,219",510,332,267,238,295,261,190,148,224,220,152,149,121,161,199,186,557,329,395,187,139,447,344,168
2020,4,90,"1,086",78,54,50,57,48,52,43,28,40,30,13,18,25,19,44,23,91,51,63,50,23,91,58,37
2020,4,100,49,6,4,1,0,2,2,1,0,2,1,5,2,0,0,0,0,3,5,5,2,0,2,3,3
2020,5,총,"80,215","3,208","2,006","1,469","1,722","2,551","1,461",936,"1,039","1,387","1,359",862,925,781,854,"2,632","2,642","11,319","4,840","6,792","3,361","3,221","11,589","8,056","5,203"
2020,5,0,"5,179",97,43,37,46,99,24,18,23,39,30,11,18,14,9,118,152,937,315,469,216,175,"1,028",720,541
2020,5,10,"6,604",139,88,40,56,122,49,29,45,56,38,28,19,23,38,175,219,"1,158",445,440,261,295,"1,285",828,728
2020,5,20,"7,517",197,133,48,154,279,60,36,67,73,62,36,35,22,30,231,244,"1,340",407,641,296,331,"1,348",856,591
2020,5,30,"7,609",171,84,62,87,261,57,33,56,66,48,21,36,25,25,278,238,"1,272",433,764,315,268,"1,372","1,019",618
2020,5,40,"10,772",228,134,113,144,235,96,60,72,101,50,52,46,34,51,290,342,"1,826",699,909,446,439,"1,984","1,337","1,084"
2020,5,50,"13,094",503,306,239,264,349,208,128,199,212,223,132,179,123,138,400,481,"1,781",769,"1,172",578,639,"1,935","1,427",709
2020,5,60,"12,764",674,418,310,389,452,330,192,223,317,309,207,219,214,192,505,438,"1,440",808,"1,159",632,601,"1,353",929,453
2020,5,70,"9,267",601,407,300,281,406,318,211,176,256,347,201,201,177,185,388,316,915,573,771,380,310,744,532,271
2020,5,80,"6,264",511,334,269,241,298,264,187,150,223,220,155,152,124,167,202,187,557,336,399,187,139,448,347,167
2020,5,90,"1,096",81,55,50,60,48,53,41,28,42,31,14,18,25,19,45,25,90,49,63,48,24,91,58,38
2020,5,100,49,6,4,1,0,2,2,1,0,2,1,5,2,0,0,0,0,3,6,5,2,0,1,3,3
2020,6,총,"80,056","3,206","2,001","1,469","1,711","2,544","1,455",927,"1,038","1,381","1,360",860,923,784,851,"2,634","2,631","11,312","4,829","6,786","3,333","3,202","11,561","8,031","5,227"
2020,6,0,"5,161",95,44,36,44,98,23,16,22,39,30,11,18,14,9,118,146,940,313,465,209,174,"1,033",718,546
2020,6,10,"6,578",135,85,39,53,120,47,29,44,55,39,27,19,23,37,175,215,"1,156",446,443,265,292,"1,280",822,732
2020,6,20,"7,466",197,128,49,151,277,63,34,68,72,60,35,32,23,30,230,246,"1,327",403,645,291,321,"1,338",857,589
2020,6,30,"7,557",170,88,63,86,262,56,31,55,64,49,21,35,26,25,273,238,"1,275",431,759,302,264,"1,360",999,625
2020,6,40,"10,764",234,132,111,143,240,97,59,71,102,51,52,44,31,50,292,339,"1,826",696,910,450,437,"1,982","1,329","1,086"
2020,6,50,"13,059",501,307,239,263,344,202,129,197,213,221,131,183,126,136,401,480,"1,770",764,"1,177",567,634,"1,928","1,428",718
2020,6,60,"12,820",681,418,314,388,452,334,190,226,317,311,210,219,214,196,510,439,"1,452",812,"1,157",632,604,"1,355",935,454
2020,6,70,"9,253",595,405,300,282,404,318,209,176,254,345,199,199,179,182,388,314,920,572,770,379,312,744,537,270
2020,6,80,"6,254",510,335,266,240,297,262,188,151,221,222,155,154,123,165,203,187,554,337,396,189,140,448,343,168
2020,6,90,"1,097",83,56,51,61,48,51,41,28,42,31,14,18,25,21,44,27,89,49,59,47,24,92,60,36
2020,6,100,47,5,3,1,0,2,2,1,0,2,1,5,2,0,0,0,0,3,6,5,2,0,1,3,3
2020,7,총,"80,151","3,197","1,997","1,464","1,703","2,849","1,451",923,"1,038","1,382","1,359",853,920,783,848,"2,631","2,628","11,296","4,811","6,764","3,331","3,183","11,505","8,013","5,222"
2020,7,0,"5,165",94,42,37,44,151,23,16,23,37,30,11,19,14,9,116,144,939,313,459,209,171,"1,021",702,541
2020,7,10,"6,578",137,87,38,52,147,46,27,43,54,38,26,19,20,38,175,215,"1,143",438,446,265,294,"1,284",823,723
2020,7,20,"7,486",196,126,50,143,346,63,33,67,75,58,34,32,26,27,227,246,"1,316",400,643,287,311,"1,332",858,590
2020,7,30,"7,553",166,89,63,85,321,56,29,54,63,49,21,34,25,25,274,236,"1,281",427,754,295,262,"1,330",993,621
2020,7,40,"10,797",234,132,110,144,293,94,58,70,100,51,52,42,31,49,289,337,"1,818",698,904,456,438,"1,984","1,324","1,089"
2020,7,50,"13,044",503,304,238,260,369,204,131,201,213,218,128,183,126,136,399,481,"1,762",754,"1,171",572,630,"1,917","1,421",723
2020,7,60,"12,862",679,422,309,388,463,331,189,225,319,314,211,219,214,198,515,438,"1,463",820,"1,157",634,598,"1,352",947,457
2020,7,70,"9,256",592,403,301,282,411,317,209,173,255,342,197,198,179,180,389,314,921,573,770,374,317,743,541,275
2020,7,80,"6,264",508,334,267,243,299,264,187,155,221,227,154,154,123,165,203,190,560,333,395,190,139,450,338,165
2020,7,90,"1,099",83,55,50,62,47,51,43,27,43,31,14,18,25,21,44,27,90,49,60,47,23,91,63,35
2020,7,100,47,5,3,1,0,2,2,1,0,2,1,5,2,0,0,0,0,3,6,5,2,0,1,3,3
2020,8,총,"80,214","3,185","1,995","1,458","1,695","3,078","1,448",922,"1,046","1,383","1,354",853,917,783,845,"2,619","2,612","11,262","4,788","6,758","3,316","3,182","11,499","7,995","5,221"
2020,8,0,"5,153",93,42,36,44,187,24,16,25,36,29,11,19,13,9,115,140,925,309,455,207,169,"1,017",695,537
2020,8,10,"6,571",131,84,36,52,165,46,28,43,54,36,26,19,21,38,163,215,"1,149",434,450,257,291,"1,290",823,720
2020,8,20,"7,514",198,130,52,139,383,60,31,67,75,59,33,32,25,26,232,243,"1,303",402,637,288,313,"1,336",855,595
2020,8,30,"7,552",159,89,62,81,384,54,29,58,62,49,22,32,26,25,269,228,"1,280",426,749,294,263,"1,307",989,615
2020,8,40,"10,774",230,126,108,141,321,96,57,67,99,48,52,42,32,47,285,336,"1,807",694,899,452,444,"1,988","1,314","1,089"
2020,8,50,"13,067",505,310,235,258,391,203,134,205,214,219,127,183,125,135,400,480,"1,767",745,"1,165",568,622,"1,920","1,428",728
2020,8,60,"12,902",682,422,309,392,480,332,187,222,319,312,210,218,215,196,517,438,"1,456",823,"1,170",636,602,"1,352",951,461
2020,8,70,"9,253",594,401,303,283,415,321,208,175,256,338,199,199,176,183,388,316,917,569,770,372,318,742,537,273
2020,8,80,"6,266",505,331,266,242,300,258,189,156,221,232,154,153,124,165,205,188,564,332,398,193,136,454,334,166
2020,8,90,"1,116",83,57,50,63,50,52,42,28,45,31,14,18,26,21,45,28,91,49,60,47,24,92,66,34
2020,8,100,46,5,3,1,0,2,2,1,0,2,1,5,2,0,0,0,0,3,5,5,2,0,1,3,3
2020,9,총,"80,225","3,179","1,992","1,447","1,707","3,168","1,451",916,"1,039","1,384","1,351",855,912,782,852,"2,605","2,607","11,243","4,787","6,778","3,293","3,192","11,480","7,972","5,233"
2020,9,0,"5,123",92,44,32,45,192,24,17,27,36,29,11,19,13,9,113,138,916,308,457,202,170,"1,003",696,530
2020,9,10,"6,579",131,83,36,54,175,48,28,43,53,35,25,19,20,39,160,218,"1,147",433,451,256,292,"1,283",827,723
2020,9,20,"7,518",195,129,47,142,394,62,31,62,75,57,33,29,27,27,225,244,"1,307",399,644,278,313,"1,343",857,598
2020,9,30,"7,525",159,91,61,81,406,54,28,57,63,50,22,33,24,25,267,223,"1,280",425,748,284,259,"1,297",974,614
2020,9,40,"10,763",226,126,107,140,335,97,56,64,99,48,53,40,31,49,283,339,"1,793",694,901,448,452,"1,983","1,315","1,084"
2020,9,50,"13,029",501,303,230,259,402,203,132,207,209,217,129,183,123,134,402,476,"1,760",737,"1,169",565,621,"1,913","1,414",740
2020,9,60,"12,989",686,425,316,396,494,331,184,221,323,316,209,219,217,197,514,442,"1,460",831,"1,173",641,606,"1,369",954,465
2020,9,70,"9,241",598,399,298,280,417,318,208,174,257,337,200,196,176,185,388,312,923,568,769,375,316,742,530,275
2020,9,80,"6,269",504,330,267,245,300,260,187,153,222,230,154,154,125,166,206,188,558,337,397,193,139,454,334,166
2020,9,90,"1,141",82,58,52,65,51,51,44,31,45,31,14,18,26,21,47,27,96,50,64,49,24,92,68,35
2020,9,100,48,5,4,1,0,2,3,1,0,2,1,5,2,0,0,0,0,3,5,5,2,0,1,3,3
2020,10,총,"80,165","3,168","1,991","1,446","1,706","3,204","1,441",905,"1,034","1,383","1,349",857,908,784,852,"2,604","2,606","11,231","4,774","6,765","3,291","3,188","11,468","7,960","5,250"
2020,10,0,"5,091",93,45,31,45,199,25,17,26,34,29,11,19,13,10,112,137,907,305,459,198,164,993,689,530
2020,10,10,"6,577",128,82,36,54,176,47,26,43,56,34,25,19,20,39,160,215,"1,143",430,449,254,292,"1,284",833,732
2020,10,20,"7,532",190,131,47,141,403,60,32,63,77,57,32,29,27,28,226,247,"1,305",393,646,281,314,"1,349",848,606
2020,10,30,"7,461",156,89,60,81,423,51,27,56,62,49,22,33,22,24,261,221,"1,276",424,739,278,255,"1,287",966,599
2020,10,40,"10,750",224,125,107,139,333,98,55,62,99,49,52,37,33,49,280,339,"1,789",696,889,449,449,"1,983","1,316","1,098"
2020,10,50,"12,990",505,299,227,253,412,198,131,207,206,218,131,181,122,130,404,470,"1,759",733,"1,168",567,624,"1,898","1,406",741
2020,10,60,"13,061",684,427,320,403,489,331,180,224,325,313,209,220,217,200,522,447,"1,464",831,"1,187",644,609,"1,381",965,469
2020,10,70,"9,236",592,401,299,279,418,314,204,171,256,336,200,196,177,184,384,315,928,567,768,373,317,751,532,274
2020,10,80,"6,283",509,331,266,249,299,263,186,152,220,231,154,154,127,167,207,188,561,338,391,196,139,455,335,165
2020,10,90,"1,135",82,57,52,62,50,51,46,30,46,32,16,18,26,21,48,27,96,52,64,49,25,85,67,33
