년도,월,나이,정선군,정선읍,고한읍,사북읍,신동읍,신동읍함백출장소,남면,북평면,임계면,화암면,여량면
2020,1,총,"17,874","5,333","2,238","2,311",915,864,"1,520","1,282","1,670",770,971
2020,1,0,898,329,137,148,44,27,70,53,58,13,19
2020,1,10,"1,296",505,124,185,66,57,97,91,73,49,49
2020,1,20,"1,260",443,169,188,54,54,90,65,90,43,64
2020,1,30,"1,468",481,316,251,47,45,119,68,73,29,39
2020,1,40,"2,119",797,267,340,83,74,165,137,117,61,78
2020,1,50,"3,332",923,352,422,183,151,339,247,355,162,198
2020,1,60,"3,344",813,450,409,172,177,323,249,356,176,219
2020,1,70,"2,498",623,283,253,173,164,194,198,304,131,175
2020,1,80,"1,376",333,117,101,82,93,101,143,206,89,111
2020,1,90,258,77,17,13,11,18,22,31,35,16,18
2020,1,100,25,9,6,1,0,4,0,0,3,1,1
2020,2,총,"17,824","5,321","2,234","2,303",909,855,"1,513","1,282","1,664",777,966
2020,2,0,882,329,133,148,43,25,69,50,55,12,18
2020,2,10,"1,288",501,127,185,63,57,94,94,73,47,47
2020,2,20,"1,239",429,164,188,57,51,88,65,90,46,61
2020,2,30,"1,446",475,315,246,45,44,114,69,72,27,39
2020,2,40,"2,126",805,271,336,80,74,168,137,117,63,75
2020,2,50,"3,301",915,344,421,183,148,329,245,348,165,203
2020,2,60,"3,368",819,449,409,174,177,331,252,361,178,218
2020,2,70,"2,497",622,289,254,171,164,194,195,302,133,173
2020,2,80,"1,390",339,118,102,83,92,104,143,209,89,111
2020,2,90,262,78,18,13,10,19,22,32,34,16,20
2020,2,100,25,9,6,1,0,4,0,0,3,1,1
2020,3,총,"17,810","5,296","2,236","2,295",903,854,"1,532","1,291","1,665",779,959
2020,3,0,880,323,134,147,42,26,73,51,55,13,16
2020,3,10,"1,281",486,129,182,62,55,96,102,72,48,49
2020,3,20,"1,237",438,165,184,54,50,87,64,91,48,56
2020,3,30,"1,439",467,310,244,43,44,122,69,71,27,42
2020,3,40,"2,119",796,274,334,80,72,170,140,119,63,71
2020,3,50,"3,282",918,340,418,181,147,324,240,343,164,207
2020,3,60,"3,406",816,459,420,175,182,339,255,366,177,217
2020,3,70,"2,487",626,287,253,173,164,192,193,298,133,168
2020,3,80,"1,393",335,115,100,84,91,107,145,212,89,115
2020,3,90,261,82,17,12,9,19,22,32,35,16,17
2020,3,100,25,9,6,1,0,4,0,0,3,1,1
2020,4,총,"17,804","5,295","2,244","2,290",901,851,"1,527","1,292","1,666",777,961
2020,4,0,878,324,131,149,41,26,72,51,55,13,16
2020,4,10,"1,278",486,130,181,64,53,98,97,73,47,49
2020,4,20,"1,236",434,167,179,52,53,88,69,91,48,55
2020,4,30,"1,423",466,305,240,40,40,122,68,71,27,44
2020,4,40,"2,107",796,273,332,80,74,167,138,119,62,66
2020,4,50,"3,269",910,347,418,180,146,323,237,339,161,208
2020,4,60,"3,432",824,462,424,175,180,339,259,369,179,221
2020,4,70,"2,489",627,288,253,176,166,189,193,296,133,168
2020,4,80,"1,400",334,118,101,84,89,108,147,214,89,116
2020,4,90,265,85,17,11,9,20,20,33,36,17,17
2020,4,100,27,9,6,2,0,4,1,0,3,1,1
2020,5,총,"17,801","5,297","2,248","2,287",896,848,"1,527","1,294","1,669",779,956
2020,5,0,865,319,131,146,36,27,71,50,56,13,16
2020,5,10,"1,277",490,134,179,65,51,96,98,72,46,46
2020,5,20,"1,235",435,164,179,51,53,89,70,91,49,54
2020,5,30,"1,418",465,307,237,40,39,120,67,71,27,45
2020,5,40,"2,101",795,273,331,79,72,167,136,120,62,66
2020,5,50,"3,261",908,345,420,179,146,323,239,338,160,203
2020,5,60,"3,455",831,462,430,176,182,341,260,369,179,225
2020,5,70,"2,491",626,291,252,173,166,188,194,296,136,169
2020,5,80,"1,404",335,117,100,88,88,111,148,215,88,114
2020,5,90,266,84,18,11,9,20,20,31,38,18,17
2020,5,100,28,9,6,2,0,4,1,1,3,1,1
2020,6,총,"17,810","5,287","2,252","2,290",899,845,"1,535","1,297","1,663",786,956
2020,6,0,865,315,131,145,37,25,74,51,57,13,17
2020,6,10,"1,264",491,132,177,63,53,95,94,69,44,46
2020,6,20,"1,242",434,165,178,52,52,90,69,96,52,54
2020,6,30,"1,413",458,308,236,41,39,123,70,68,27,43
2020,6,40,"2,094",797,271,329,78,71,169,133,115,66,65
2020,6,50,"3,252",903,346,423,179,145,321,241,334,160,200
2020,6,60,"3,486",832,462,435,179,185,345,262,376,179,231
2020,6,70,"2,495",625,294,254,173,165,187,197,295,137,168
2020,6,80,"1,407",338,119,99,88,86,111,149,213,89,115
2020,6,90,263,84,18,12,9,20,19,30,37,18,16
2020,6,100,29,10,6,2,0,4,1,1,3,1,1
2020,7,총,"17,783","5,280","2,239","2,290",894,849,"1,539","1,294","1,664",777,957
2020,7,0,856,315,128,144,37,24,73,51,56,12,16
2020,7,10,"1,259",488,132,177,60,55,96,92,69,44,46
2020,7,20,"1,242",429,166,178,53,50,89,71,99,50,57
2020,7,30,"1,386",450,306,231,40,40,120,67,66,26,40
2020,7,40,"2,091",797,265,329,77,72,173,135,112,65,66
2020,7,50,"3,237",901,344,423,181,144,323,237,331,156,197
2020,7,60,"3,509",840,460,437,178,188,348,264,379,182,233
2020,7,70,"2,497",625,294,257,169,166,187,196,296,135,172
2020,7,80,"1,413",338,120,100,88,87,112,152,215,88,113
2020,7,90,264,87,18,12,11,19,17,28,38,18,16
2020,7,100,29,10,6,2,0,4,1,1,3,1,1
2020,8,총,"17,771","5,275","2,230","2,286",894,849,"1,538","1,297","1,662",781,959
2020,8,0,851,309,129,142,36,24,73,52,56,14,16
2020,8,10,"1,255",485,128,176,61,55,98,93,68,44,47
2020,8,20,"1,234",437,160,177,52,49,85,71,98,48,57
2020,8,30,"1,373",444,298,233,39,42,117,67,66,28,39
2020,8,40,"2,096",797,271,331,75,71,176,134,112,64,65
2020,8,50,"3,223",905,343,413,177,146,320,237,330,155,197
2020,8,60,"3,516",837,459,440,183,186,346,266,379,185,235
2020,8,70,"2,505",622,295,259,171,165,191,197,297,135,173
2020,8,80,"1,417",339,122,101,89,88,113,149,215,88,113
2020,8,90,271,89,19,12,11,19,18,30,38,19,16
2020,8,100,30,11,6,2,0,4,1,1,3,1,1
2020,9,총,"17,754","5,287","2,224","2,277",889,851,"1,537","1,297","1,657",777,958
2020,9,0,850,306,129,143,36,25,74,52,56,14,15
2020,9,10,"1,243",482,127,177,62,54,94,93,64,43,47
2020,9,20,"1,233",445,157,172,51,48,85,72,100,46,57
2020,9,30,"1,363",439,296,234,37,41,117,65,66,29,39
2020,9,40,"2,103",803,273,328,76,72,176,133,113,65,64
2020,9,50,"3,196",900,341,412,176,146,311,237,324,152,197
2020,9,60,"3,533",844,454,438,179,186,355,269,382,188,238
