년도,월,나이,전라북도,전주시,완산구,덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군
2020,1,총,"903,385","322,524","165,234","157,290","136,268","142,991","54,624","39,877","41,594","47,293","12,973","12,058","11,141","14,457","13,737","27,439","26,409"
2020,1,0,"69,811","28,664","13,148","15,516","11,393","10,576","3,521","2,798","2,422","3,817",694,681,636,781,863,"1,528","1,437"
2020,1,10,"94,138","38,269","19,613","18,656","14,346","15,070","5,378","3,936","3,337","4,440",911,942,855,982,"1,162","2,425","2,085"
2020,1,20,"114,897","48,451","25,499","22,952","16,213","20,124","5,933","4,283","4,145","4,974","1,158","1,052",971,"1,393","1,179","2,540","2,481"
2020,1,30,"101,416","41,691","20,312","21,379","16,958","15,912","4,999","3,412","3,770","5,162",877,966,892,"1,203","1,084","2,223","2,267"
2020,1,40,"141,872","53,029","26,210","26,819","23,303","22,113","8,136","5,751","5,870","7,589","1,697","1,680","1,534","1,883","1,950","3,741","3,596"
2020,1,50,"156,378","51,745","27,422","24,323","23,025","25,364","10,086","7,339","7,712","8,623","2,642","2,340","2,156","2,767","2,537","5,070","4,972"
2020,1,60,"120,213","34,736","19,014","15,722","17,684","19,078","8,044","6,197","7,005","6,768","2,424","2,125","2,035","2,535","2,306","4,608","4,668"
2020,1,70,"72,087","18,623","10,087","8,536","9,724","10,340","5,684","4,019","4,819","4,032","1,710","1,427","1,326","1,845","1,697","3,553","3,288"
2020,1,80,"29,557","6,701","3,599","3,102","3,300","3,965","2,573","1,927","2,243","1,727",754,769,670,966,863,"1,614","1,485"
2020,1,90,"2,851",585,314,271,288,427,251,205,260,154,97,71,62,95,96,135,125
2020,1,100,165,30,16,14,34,22,19,10,11,7,9,5,4,7,0,2,5
2020,2,총,"902,365","322,798","165,374","157,424","135,975","142,534","54,541","39,875","41,483","47,315","12,950","12,047","11,095","14,372","13,721","27,338","26,321"
2020,2,0,"69,401","28,627","13,172","15,455","11,290","10,475","3,500","2,789","2,387","3,787",692,678,627,767,859,"1,509","1,414"
2020,2,10,"93,659","38,159","19,544","18,615","14,274","14,928","5,362","3,915","3,317","4,449",900,938,843,973,"1,157","2,383","2,061"
2020,2,20,"114,347","48,383","25,430","22,953","16,131","19,967","5,888","4,250","4,076","4,976","1,145","1,051",965,"1,371","1,181","2,501","2,462"
2020,2,30,"100,972","41,722","20,408","21,314","16,790","15,784","4,964","3,408","3,771","5,133",871,957,879,"1,176","1,066","2,212","2,239"
2020,2,40,"141,899","53,167","26,223","26,944","23,270","22,081","8,134","5,760","5,853","7,607","1,688","1,671","1,529","1,862","1,953","3,739","3,585"
2020,2,50,"156,239","51,752","27,411","24,341","23,050","25,314","10,063","7,345","7,680","8,623","2,646","2,342","2,134","2,743","2,529","5,049","4,969"
2020,2,60,"120,763","34,906","19,104","15,802","17,750","19,177","8,069","6,222","7,068","6,790","2,426","2,137","2,045","2,555","2,320","4,616","4,682"
2020,2,70,"72,364","18,715","10,121","8,594","9,774","10,386","5,702","4,044","4,816","4,059","1,715","1,421","1,333","1,857","1,692","3,555","3,295"
2020,2,80,"29,695","6,750","3,626","3,124","3,321","3,972","2,591","1,925","2,247","1,728",761,775,673,966,867,"1,633","1,486"
2020,2,90,"2,861",588,319,269,291,428,248,207,257,156,97,72,63,95,97,139,123
2020,2,100,165,29,16,13,34,22,20,10,11,7,9,5,4,7,0,2,5
2020,3,총,"901,252","322,755","165,361","157,394","135,745","142,205","54,501","39,814","41,441","47,328","12,931","12,017","11,096","14,293","13,671","27,238","26,217"
2020,3,0,"68,995","28,517","13,138","15,379","11,204","10,397","3,474","2,785","2,377","3,763",687,677,626,750,840,"1,494","1,404"
2020,3,10,"93,186","37,982","19,444","18,538","14,228","14,858","5,326","3,892","3,299","4,431",891,919,847,966,"1,162","2,344","2,041"
2020,3,20,"114,357","48,494","25,525","22,969","16,119","19,900","5,931","4,238","4,084","4,989","1,141","1,045",967,"1,327","1,174","2,504","2,444"
