년도,월,나이,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020,1,총,"92,587","7,627","6,646","7,911","14,757","6,064","13,857","10,078","5,412","6,188","14,047"
2020,1,0,"5,110",370,452,330,859,357,667,603,168,263,"1,041"
2020,1,10,"5,973",613,610,351,994,435,828,675,239,359,869
2020,1,20,"12,167",928,707,918,"1,569",603,"2,608","1,493","1,024",817,"1,500"
2020,1,30,"12,023",858,681,917,"1,748",762,"2,084","1,384",755,850,"1,984"
2020,1,40,"13,036","1,175","1,110",943,"1,928",864,"1,919","1,488",646,950,"2,013"
2020,1,50,"15,245","1,312","1,232","1,306","2,505","1,023","2,052","1,551",812,999,"2,453"
2020,1,60,"15,270","1,186","1,015","1,601","2,736","1,088","1,970","1,450",910,972,"2,342"
2020,1,70,"9,102",733,551,"1,034","1,540",639,"1,169",988,583,622,"1,243"
2020,1,80,"3,968",382,214,449,745,249,480,391,233,308,517
2020,1,90,640,64,68,58,125,39,75,49,37,43,82
2020,1,100,53,6,6,4,8,5,5,6,5,5,3
2020,2,총,"93,078","7,634","6,668","7,909","14,765","6,057","13,874","10,083","5,425","6,185","14,478"
2020,2,0,"5,168",369,458,325,863,357,658,605,169,266,"1,098"
2020,2,10,"5,982",618,602,352,990,433,820,667,242,365,893
2020,2,20,"12,288",941,709,912,"1,571",601,"2,653","1,486","1,041",809,"1,565"
2020,2,30,"12,066",850,697,902,"1,746",758,"2,077","1,391",745,844,"2,056"
2020,2,40,"13,151","1,176","1,116",947,"1,919",871,"1,912","1,504",648,952,"2,106"
2020,2,50,"15,264","1,316","1,228","1,301","2,500","1,016","2,043","1,533",812,996,"2,519"
2020,2,60,"15,349","1,175","1,022","1,614","2,742","1,092","1,982","1,461",909,974,"2,378"
2020,2,70,"9,127",739,548,"1,035","1,553",637,"1,157",993,581,625,"1,259"
2020,2,80,"3,998",380,216,459,750,249,490,389,238,307,520
2020,2,90,633,64,65,58,123,39,78,48,35,42,81
2020,2,100,52,6,7,4,8,4,4,6,5,5,3
2020,3,총,"93,161","7,612","6,653","7,905","14,723","6,047","13,900","10,037","5,434","6,162","14,688"
2020,3,0,"5,148",368,452,327,857,355,653,598,169,259,"1,110"
2020,3,10,"5,951",608,602,356,975,426,817,657,243,360,907
2020,3,20,"12,354",941,700,910,"1,570",607,"2,704","1,477","1,049",811,"1,585"
2020,3,30,"12,054",849,684,897,"1,743",746,"2,063","1,391",741,840,"2,100"
2020,3,40,"13,122","1,148","1,120",937,"1,909",867,"1,910","1,490",649,934,"2,158"
2020,3,50,"15,231","1,318","1,229","1,290","2,485","1,018","2,023","1,520",812,995,"2,541"
2020,3,60,"15,389","1,184","1,017","1,617","2,747","1,091","1,991","1,459",906,980,"2,397"
2020,3,70,"9,198",745,556,"1,044","1,554",647,"1,167","1,000",588,624,"1,273"
2020,3,80,"4,021",381,221,463,748,246,491,392,239,312,528
2020,3,90,642,64,66,60,127,40,77,47,33,42,86
2020,3,100,51,6,6,4,8,4,4,6,5,5,3
2020,4,총,"93,241","7,601","6,663","7,901","14,715","6,045","13,905","10,064","5,436","6,148","14,763"
2020,4,0,"5,154",367,457,326,850,355,651,596,169,256,"1,127"
2020,4,10,"5,935",604,602,354,974,425,814,652,247,361,902
2020,4,20,"12,349",935,701,908,"1,559",596,"2,727","1,492","1,044",801,"1,586"
2020,4,30,"12,103",851,680,894,"1,763",756,"2,047","1,405",745,840,"2,122"
2020,4,40,"13,076","1,134","1,118",933,"1,897",863,"1,910","1,490",639,931,"2,161"
2020,4,50,"15,192","1,315","1,236","1,275","2,463","1,011","2,014","1,509",810,997,"2,562"
2020,4,60,"15,457","1,193","1,015","1,627","2,768","1,088","2,002","1,466",910,978,"2,410"
2020,4,70,"9,233",749,556,"1,056","1,559",660,"1,166","1,005",588,624,"1,270"
2020,4,80,"4,039",380,226,462,749,246,491,395,245,313,532
2020,4,90,653,67,66,61,127,41,79,48,34,42,88
2020,4,100,50,6,6,5,6,4,4,6,5,5,3
2020,5,총,"93,214","7,589","6,674","7,899","14,659","6,020","13,911","10,051","5,442","6,147","14,822"
2020,5,0,"5,131",367,459,321,842,354,642,594,173,252,"1,127"
2020,5,10,"5,885",601,601,350,959,424,800,644,241,360,905
2020,5,20,"12,384",935,704,904,"1,560",590,"2,745","1,495","1,059",799,"1,593"
2020,5,30,"12,094",846,680,895,"1,753",754,"2,048","1,398",748,834,"2,138"
2020,5,40,"13,038","1,131","1,116",930,"1,875",858,"1,913","1,492",631,929,"2,163"
2020,5,50,"15,177","1,313","1,240","1,284","2,456","1,001","2,004","1,506",801,999,"2,573"
2020,5,60,"15,436","1,190","1,009","1,625","2,767","1,086","2,004","1,461",908,982,"2,404"
2020,5,70,"9,297",752,563,"1,054","1,561",664,"1,175","1,012",596,626,"1,294"
2020,5,80,"4,058",380,229,467,754,244,496,397,245,316,530
2020,5,90,664,68,67,64,126,41,80,46,35,45,92
2020,5,100,50,6,6,5,6,4,4,6,5,5,3
2020,6,총,"93,287","7,606","6,674","7,886","14,613","6,013","13,953","10,091","5,440","6,112","14,899"
2020,6,0,"5,120",376,451,319,832,359,641,591,172,255,"1,124"
2020,6,10,"5,848",596,601,342,960,421,794,628,239,355,912
2020,6,20,"12,434",947,700,908,"1,545",579,"2,775","1,528","1,065",791,"1,596"
2020,6,30,"12,130",857,685,881,"1,748",750,"2,070","1,418",746,828,"2,147"
2020,6,40,"13,027","1,117","1,107",930,"1,874",853,"1,916","1,481",637,930,"2,182"
2020,6,50,"15,125","1,321","1,239","1,278","2,430","1,000","1,997","1,512",797,984,"2,567"
2020,6,60,"15,495","1,186","1,018","1,627","2,780","1,090","2,006","1,467",906,980,"2,435"
2020,6,70,"9,332",752,563,"1,066","1,565",674,"1,175","1,011",592,622,"1,312"
2020,6,80,"4,062",379,238,464,749,242,496,404,245,317,528
2020,6,90,664,69,66,65,126,41,79,46,35,44,93
2020,6,100,50,6,6,6,4,4,4,5,6,6,3
2020,7,총,"93,169","7,577","6,639","7,895","14,585","5,979","13,980","10,098","5,409","6,088","14,919"
2020,7,0,"5,083",374,439,315,823,359,639,587,166,248,"1,133"
2020,7,10,"5,805",585,598,337,955,408,794,627,234,361,906
2020,7,20,"12,436",938,693,922,"1,529",577,"2,798","1,524","1,076",784,"1,595"
2020,7,30,"12,112",857,677,883,"1,747",739,"2,070","1,415",750,821,"2,153"
2020,7,40,"13,008","1,115","1,097",926,"1,866",851,"1,920","1,481",631,936,"2,185"
2020,7,50,"15,071","1,318","1,241","1,270","2,432",996,"1,982","1,518",780,974,"2,560"
2020,7,60,"15,523","1,186","1,022","1,637","2,779","1,086","2,008","1,474",897,984,"2,450"
2020,7,70,"9,343",750,560,"1,067","1,573",675,"1,190","1,016",584,615,"1,313"
2020,7,80,"4,073",381,238,468,753,242,493,407,249,316,526
2020,7,90,665,67,68,64,124,42,82,44,36,43,95
2020,7,100,50,6,6,6,4,4,4,5,6,6,3
2020,8,총,"93,251","7,580","6,614","7,854","14,539","5,946","13,970","10,066","5,315","6,476","14,891"
2020,8,0,"5,075",372,432,306,825,351,627,573,158,297,"1,134"
2020,8,10,"5,817",596,597,333,949,408,786,626,226,397,899
2020,8,20,"12,427",934,682,929,"1,516",567,"2,831","1,544","1,055",800,"1,569"
2020,8,30,"12,104",860,672,875,"1,732",723,"2,060","1,400",737,903,"2,142"
2020,8,40,"13,046","1,122","1,093",911,"1,865",850,"1,921","1,476",617,"1,016","2,175"
2020,8,50,"15,038","1,312","1,237","1,255","2,423",997,"1,969","1,505",760,"1,030","2,550"
2020,8,60,"15,602","1,184","1,032","1,640","2,789","1,087","2,016","1,467",893,"1,028","2,466"
2020,8,70,"9,338",748,550,"1,064","1,557",678,"1,179","1,018",587,633,"1,324"
2020,8,80,"4,089",381,243,470,758,239,497,406,240,322,533
2020,8,90,664,65,69,65,121,42,80,46,36,44,96
2020,8,100,51,6,7,6,4,4,4,5,6,6,3
2020,9,총,"93,436","7,581","6,598","7,845","14,519","5,918","13,939","9,989","5,240","6,889","14,918"
2020,9,0,"5,076",373,431,303,820,352,622,554,154,333,"1,134"
2020,9,10,"5,822",593,600,330,941,403,780,633,217,420,905
2020,9,20,"12,484",939,681,926,"1,513",556,"2,849","1,551","1,055",848,"1,566"
2020,9,30,"12,079",850,667,864,"1,712",723,"2,038","1,382",723,990,"2,130"
2020,9,40,"13,080","1,127","1,093",909,"1,863",840,"1,917","1,463",611,"1,056","2,201"
2020,9,50,"15,045","1,307","1,233","1,245","2,411",991,"1,958","1,500",751,"1,104","2,545"
2020,9,60,"15,656","1,191","1,024","1,653","2,809","1,080","2,003","1,446",867,"1,112","2,471"
2020,9,70,"9,378",747,552,"1,072","1,562",687,"1,189","1,011",577,646,"1,335"
2020,9,80,"4,105",383,241,472,760,238,500,399,245,332,535
2020,9,90,660,65,69,65,123,44,79,45,34,43,93
2020,9,100,51,6,7,6,5,4,4,5,6,5,3
2020,10,총,"93,389","7,570","6,591","7,803","14,506","5,898","13,903","10,008","5,185","7,056","14,869"
2020,10,0,"5,065",374,420,301,820,344,616,554,150,365,"1,121"
2020,10,10,"5,798",591,602,321,937,400,772,640,213,423,899
2020,10,20,"12,496",936,686,915,"1,517",563,"2,831","1,543","1,056",876,"1,573"
2020,10,30,"12,033",849,661,854,"1,711",712,"2,039","1,399",706,"1,005","2,097"
2020,10,40,"13,004","1,113","1,087",899,"1,846",828,"1,899","1,457",607,"1,073","2,195"
2020,10,50,"15,046","1,317","1,230","1,245","2,407",987,"1,962","1,496",733,"1,131","2,538"
2020,10,60,"15,720","1,192","1,034","1,645","2,804","1,089","2,007","1,461",869,"1,140","2,479"
2020,10,70,"9,384",743,551,"1,080","1,569",687,"1,193","1,006",569,653,"1,333"
2020,10,80,"4,133",386,246,470,767,237,501,401,244,341,540
2020,10,90,661,64,67,68,123,47,79,46,32,44,91
2020,10,100,49,5,7,5,5,4,4,5,6,5,3
