년도,월,나이,서구,검암경서동,연희동,청라1동,청라2동,청라3동,가정1동,가정2동,가정3동,석남1동,석남2동,석남3동,신현원창동,가좌1동,가좌2동,가좌3동,가좌4동,검단동,불로대곡동,원당동,당하동,오류왕길동,마전동,아라동
2020,3,총,"544,034","46,307","42,216","31,468","49,088","27,068","28,508","6,713","10,081","22,966","13,773","15,155","32,685","12,010","20,871","16,632","11,014","33,234","22,929","24,501","28,510","24,848","23,457",
2020,3,0,"52,316","4,956","2,608","4,072","7,177","4,260","3,431",359,518,"1,331",798,678,"2,885",600,"1,501",750,797,"2,901","2,073","2,677","3,166","2,459","2,319",
2020,3,10,"57,269","4,508","3,748","4,391","6,184","3,499","2,141",472,823,"1,654",960,"1,371","3,113",899,"2,032","1,356",792,"3,500","2,917","3,516","3,346","2,720","3,327",
2020,3,20,"73,429","6,593","6,805","3,816","5,839","2,884","3,563","1,079","1,665","3,388","1,846","2,358","4,502","1,686","3,158","2,320","1,499","4,770","2,849","2,629","3,861","3,176","3,143",
2020,3,30,"81,906","8,739","5,144","6,083","8,627","5,005","5,206",917,"1,192","3,004","1,659","1,663","4,655","1,489","2,658","1,896","1,728","4,865","2,657","3,537","4,800","3,397","2,985",
2020,3,40,"96,275","8,559","6,677","6,457","9,880","5,397","4,487",868,"1,422","3,396","1,983","2,304","5,133","1,910","3,079","2,346","1,620","5,961","4,598","5,676","5,520","4,401","4,601",
2020,3,50,"93,186","6,812","8,870","3,917","6,504","3,563","4,681","1,642","2,325","4,821","2,851","3,274","6,177","2,555","4,115","3,456","2,077","5,808","3,833","3,357","4,425","4,384","3,739",
2020,3,60,"54,577","3,780","4,877","1,755","3,256","1,689","3,127",933,"1,355","3,291","2,199","2,071","4,065","1,677","2,733","2,689","1,567","3,221","2,088","1,728","2,012","2,548","1,916",
2020,3,70,"23,503","1,656","2,197",644,"1,113",503,"1,274",273,511,"1,405","1,001",985,"1,501",835,"1,053","1,231",603,"1,494","1,284",937,907,"1,143",953,
2020,3,80,"9,905",600,"1,092",290,434,226,500,130,240,582,414,398,557,311,457,510,264,607,580,381,409,522,401,
2020,3,90,"1,563",97,188,41,71,41,91,33,28,84,58,52,90,45,83,71,61,97,45,58,62,95,72,
2020,3,100,105,7,10,2,3,1,7,7,2,10,4,1,7,3,2,7,6,10,5,5,2,3,1,
2020,4,총,"543,994","46,341","42,128","31,505","49,181","27,101","28,533","6,701","10,062","22,989","13,738","15,085","32,596","12,089","20,815","16,624","10,977","33,234","22,954","24,534","28,506","24,858","23,443",
2020,4,0,"52,115","4,964","2,587","4,052","7,170","4,232","3,424",354,515,"1,327",799,673,"2,879",610,"1,490",752,785,"2,869","2,072","2,658","3,169","2,435","2,299",
2020,4,10,"57,170","4,509","3,720","4,392","6,183","3,531","2,130",461,810,"1,650",951,"1,353","3,096",901,"2,019","1,344",791,"3,491","2,917","3,520","3,359","2,731","3,311",
2020,4,20,"73,430","6,577","6,795","3,824","5,874","2,882","3,583","1,084","1,658","3,375","1,816","2,358","4,468","1,697","3,130","2,321","1,496","4,783","2,867","2,658","3,838","3,181","3,165",
2020,4,30,"81,731","8,704","5,141","6,080","8,625","4,998","5,172",915,"1,197","3,001","1,668","1,639","4,648","1,500","2,664","1,885","1,720","4,830","2,661","3,527","4,805","3,378","2,973",
2020,4,40,"96,118","8,571","6,608","6,468","9,909","5,409","4,510",865,"1,415","3,391","1,958","2,291","5,122","1,917","3,056","2,336","1,609","5,986","4,579","5,635","5,517","4,389","4,577",
2020,4,50,"93,229","6,832","8,865","3,933","6,534","3,571","4,685","1,640","2,327","4,822","2,844","3,249","6,124","2,573","4,098","3,449","2,052","5,803","3,844","3,405","4,417","4,403","3,759",
2020,4,60,"54,936","3,816","4,914","1,761","3,257","1,702","3,146",939,"1,361","3,322","2,213","2,087","4,105","1,684","2,757","2,697","1,578","3,236","2,095","1,738","2,027","2,572","1,929",
2020,4,70,"23,630","1,659","2,209",655,"1,127",507,"1,278",274,504,"1,419","1,013",979,"1,499",842,"1,054","1,246",617,"1,518","1,280",946,904,"1,144",956,
2020,4,80,"9,950",603,"1,089",296,427,226,506,128,245,584,415,404,557,317,461,513,263,610,586,384,407,528,401,
2020,4,90,"1,582",100,190,42,72,42,92,34,28,88,57,51,91,45,84,74,60,98,48,58,61,95,72,
2020,4,100,103,6,10,2,3,1,7,7,2,10,4,1,7,3,2,7,6,10,5,5,2,2,1,
2020,5,총,"544,010","46,389","41,981","31,609","49,160","27,236","28,524","6,715","10,053","22,957","13,697","15,017","32,530","12,091","20,759","16,644","10,988","33,244","22,972","24,576","28,517","24,897","23,454",
