년도,월,나이,서구,검암경서동,연희동,청라1동,청라2동,청라3동,가정1동,가정2동,가정3동,석남1동,석남2동,석남3동,신현원창동,가좌1동,가좌2동,가좌3동,가좌4동,검단동,불로대곡동,원당동,당하동,오류왕길동,마전동,아라동
2021,1,70,"24,475","1,742","2,272",664,"1,125",576,"1,329",297,504,"1,516","1,035",959,"1,593",859,"1,073","1,277",649,"1,595","1,319",977,923,"1,215",976,
2021,1,80,"10,305",618,"1,133",294,435,223,536,133,243,575,393,411,567,344,489,560,281,661,621,398,431,530,429,
2021,1,90,"1,677",103,190,41,81,49,102,33,28,93,69,52,94,43,96,98,57,92,59,63,63,98,73,
2021,1,100,111,4,16,2,4,1,7,7,3,10,4,2,6,3,3,7,6,12,6,4,2,2,0,
2021,2,총,"541,164","45,717","41,246","31,435","48,888","30,470","28,299","6,584","9,797","22,692","13,312","14,141","32,102","12,250","20,374","16,500","10,853","33,014","22,762","24,627","28,280","24,653","23,168",
2021,2,0,"49,151","4,540","2,364","3,821","6,724","4,695","3,282",327,450,"1,218",672,592,"2,741",620,"1,385",658,774,"2,644","1,879","2,502","2,908","2,250","2,105",
2021,2,10,"56,424","4,454","3,508","4,439","6,369","3,869","2,121",400,745,"1,557",914,"1,228","2,976",876,"1,919","1,244",802,"3,447","2,810","3,525","3,311","2,656","3,254",
2021,2,20,"72,084","6,442","6,550","3,908","5,711","3,263","3,454","1,013","1,569","3,227","1,721","2,165","4,291","1,726","2,930","2,358","1,347","4,701","2,847","2,767","3,821","3,115","3,158",
2021,2,30,"78,606","8,236","4,908","5,696","8,106","5,594","4,866",910,"1,203","2,954","1,542","1,534","4,451","1,584","2,519","1,808","1,631","4,641","2,521","3,293","4,509","3,244","2,856",
2021,2,40,"95,247","8,512","6,223","6,538","10,133","6,184","4,571",817,"1,313","3,199","1,882","2,071","4,962","1,844","3,040","2,256","1,623","5,842","4,464","5,579","5,476","4,322","4,396",
2021,2,50,"93,479","6,932","8,678","4,086","6,667","3,970","4,660","1,618","2,247","4,734","2,745","2,957","6,000","2,516","3,980","3,358","1,982","5,800","3,980","3,695","4,579","4,411","3,884",
2021,2,60,"59,457","4,111","5,390","1,937","3,525","2,047","3,374","1,030","1,496","3,596","2,320","2,168","4,406","1,833","2,936","2,869","1,694","3,584","2,251","1,816","2,250","2,795","2,029",
2021,2,70,"24,518","1,747","2,275",669,"1,129",578,"1,340",295,500,"1,522","1,042",955,"1,602",859,"1,074","1,279",649,"1,587","1,316",978,927,"1,215",980,
2021,2,80,"10,378",632,"1,139",297,440,220,526,135,240,578,400,416,568,345,493,564,287,663,630,405,431,538,431,
2021,2,90,"1,703",107,195,42,79,49,98,33,30,97,69,52,98,44,95,99,58,92,58,63,66,104,75,
2021,2,100,117,4,16,2,5,1,7,6,4,10,5,3,7,3,3,7,6,13,6,4,2,3,0,
2021,3,총,"540,532","45,670","41,191","31,428","48,839","30,608","28,254","6,598","9,785","22,644","13,268","14,066","31,961","12,262","20,268","16,524","10,828","32,972","22,739","24,628","28,224","24,632","23,143",
2021,3,0,"48,857","4,500","2,347","3,806","6,673","4,700","3,259",329,451,"1,204",667,585,"2,728",626,"1,357",648,776,"2,640","1,860","2,480","2,889","2,236","2,096",
2021,3,10,"56,316","4,442","3,481","4,424","6,387","3,887","2,129",397,739,"1,561",916,"1,209","2,974",874,"1,904","1,241",795,"3,440","2,801","3,539","3,279","2,650","3,247",
2021,3,20,"71,901","6,462","6,542","3,940","5,658","3,271","3,453","1,028","1,566","3,198","1,701","2,149","4,207","1,726","2,906","2,366","1,337","4,704","2,836","2,776","3,821","3,098","3,156",
2021,3,30,"78,273","8,182","4,903","5,666","8,077","5,592","4,842",912,"1,201","2,971","1,543","1,521","4,434","1,575","2,500","1,785","1,630","4,600","2,513","3,275","4,486","3,224","2,841",
2021,3,40,"95,040","8,493","6,183","6,534","10,129","6,228","4,562",823,"1,291","3,189","1,882","2,074","4,961","1,837","3,018","2,253","1,605","5,830","4,453","5,548","5,432","4,325","4,390",
2021,3,50,"93,345","6,954","8,671","4,104","6,683","3,981","4,629","1,596","2,241","4,689","2,700","2,929","5,953","2,519","3,951","3,374","1,966","5,813","3,983","3,732","4,599","4,391","3,887",
2021,3,60,"60,071","4,140","5,445","1,943","3,566","2,094","3,415","1,043","1,518","3,639","2,347","2,173","4,427","1,850","2,967","2,901","1,716","3,624","2,270","1,825","2,284","2,842","2,042",
2021,3,70,"24,534","1,739","2,269",665,"1,135",589,"1,343",290,499,"1,520","1,047",961,"1,608",862,"1,073","1,284",650,"1,572","1,324",976,929,"1,214",985,
2021,3,80,"10,404",648,"1,141",303,446,214,521,138,244,573,396,411,567,348,497,569,289,656,636,408,435,539,425,
2021,3,90,"1,713",106,197,41,80,51,98,36,33,96,68,52,98,42,92,100,58,87,60,66,69,109,74,
2021,3,100,78,4,12,2,5,1,3,6,2,4,1,2,4,3,3,3,6,6,3,3,1,4,0,
2021,4,총,"540,532","45,620","41,085","31,455","48,799","30,811","28,229","6,598","9,796","22,604","13,272","14,029","31,920","12,255","20,268","16,547","10,727","32,949","22,721","24,597","28,186","24,985","23,079",
2021,4,0,"48,591","4,483","2,318","3,799","6,611","4,703","3,251",327,446,"1,179",662,581,"2,703",617,"1,350",651,768,"2,623","1,850","2,465","2,862","2,280","2,062",
2021,4,10,"56,265","4,433","3,456","4,402","6,405","3,911","2,145",396,741,"1,558",913,"1,207","2,972",876,"1,902","1,228",788,"3,431","2,791","3,540","3,274","2,663","3,233",
2021,4,20,"71,827","6,420","6,496","3,936","5,652","3,346","3,440","1,035","1,570","3,188","1,715","2,133","4,200","1,725","2,886","2,369","1,303","4,691","2,837","2,779","3,816","3,141","3,149",
2021,4,30,"78,137","8,186","4,911","5,678","8,042","5,577","4,805",918,"1,200","2,956","1,530","1,527","4,400","1,563","2,516","1,801","1,622","4,587","2,507","3,234","4,454","3,285","2,838",
2021,4,40,"95,050","8,481","6,155","6,505","10,115","6,311","4,582",818,"1,297","3,186","1,875","2,049","4,954","1,839","3,012","2,253","1,585","5,817","4,447","5,545","5,441","4,415","4,368",
2021,4,50,"93,279","6,941","8,626","4,135","6,690","3,993","4,606","1,586","2,234","4,668","2,685","2,930","5,929","2,520","3,949","3,362","1,944","5,827","4,000","3,753","4,597","4,422","3,882",
2021,4,60,"60,545","4,175","5,505","1,972","3,602","2,114","3,439","1,053","1,523","3,659","2,366","2,190","4,470","1,861","2,979","2,921","1,722","3,639","2,273","1,822","2,304","2,892","2,064",
2021,4,70,"24,561","1,746","2,256",676,"1,145",589,"1,334",288,497,"1,521","1,058",947,"1,620",859,"1,076","1,280",645,"1,585","1,322",976,934,"1,224",983,
2021,4,80,"10,481",645,"1,149",309,449,217,524,135,253,588,399,408,568,351,504,580,293,657,630,413,435,546,428,
2021,4,90,"1,722",106,201,41,83,49,100,36,32,97,68,55,100,41,91,99,55,87,61,67,68,113,72,
2021,4,100,74,4,12,2,5,1,3,6,3,4,1,2,4,3,3,3,2,5,3,3,1,4,0,
2021,5,총,"540,790","45,577","41,061","31,521","48,863","31,016","28,205","6,580","9,767","22,584","13,243","13,972","31,857","12,218","20,208","16,547","10,696","32,958","22,693","24,605","28,195","25,350","23,074",
2021,5,0,"48,382","4,447","2,302","3,807","6,549","4,719","3,233",331,437,"1,167",646,570,"2,688",614,"1,346",658,766,"2,600","1,844","2,454","2,854","2,293","2,057",
2021,5,10,"56,252","4,430","3,455","4,391","6,440","3,934","2,139",390,740,"1,571",911,"1,205","2,956",869,"1,877","1,228",780,"3,431","2,775","3,545","3,280","2,684","3,221",
2021,5,20,"71,777","6,397","6,493","3,950","5,667","3,362","3,437","1,037","1,554","3,183","1,707","2,099","4,196","1,717","2,874","2,347","1,286","4,696","2,829","2,772","3,812","3,198","3,164",
2021,5,30,"78,025","8,121","4,909","5,669","8,036","5,600","4,782",915,"1,205","2,939","1,516","1,541","4,369","1,556","2,530","1,809","1,629","4,565","2,499","3,225","4,447","3,363","2,800",
2021,5,40,"94,885","8,484","6,123","6,498","10,114","6,382","4,586",799,"1,292","3,187","1,870","2,017","4,961","1,821","2,986","2,250","1,561","5,802","4,399","5,523","5,425","4,455","4,350",
2021,5,50,"93,435","6,971","8,596","4,171","6,722","4,010","4,614","1,590","2,219","4,642","2,699","2,908","5,901","2,501","3,930","3,342","1,934","5,855","4,044","3,777","4,608","4,494","3,907",
2021,5,60,"61,079","4,215","5,546","2,007","3,650","2,147","3,459","1,056","1,535","3,685","2,362","2,212","4,493","1,885","2,988","2,933","1,742","3,671","2,283","1,842","2,329","2,947","2,092",
2021,5,70,"24,580","1,747","2,258",676,"1,139",594,"1,324",285,496,"1,525","1,060",948,"1,622",858,"1,075","1,293",646,"1,573","1,318",981,926,"1,252",984,
2021,5,80,"10,570",651,"1,167",310,460,218,527,135,253,583,402,414,568,356,505,586,295,669,636,415,445,550,425,
2021,5,90,"1,730",110,199,41,81,49,100,36,33,98,68,56,100,38,94,98,55,91,63,68,68,110,74,
2021,5,100,75,4,13,1,5,1,4,6,3,4,2,2,3,3,3,3,2,5,3,3,1,4,0,
2021,6,총,"541,304","45,551","41,021","31,537","48,905","31,170","28,177","6,553","9,773","22,503","13,213","13,971","31,847","12,195","20,200","16,534","10,658","32,981","22,692","24,510","28,156","25,458","23,074",625.0
2021,6,0,"48,198","4,408","2,279","3,790","6,502","4,714","3,236",332,433,"1,151",633,574,"2,684",611,"1,338",659,755,"2,589","1,813","2,426","2,831","2,297","2,049",94.0
2021,6,10,"56,257","4,422","3,443","4,411","6,471","3,967","2,132",382,744,"1,567",908,"1,198","2,965",857,"1,870","1,211",764,"3,413","2,782","3,545","3,274","2,675","3,195",61.0
2021,6,20,"71,730","6,382","6,448","3,966","5,656","3,393","3,416","1,044","1,545","3,141","1,704","2,099","4,170","1,729","2,852","2,337","1,277","4,698","2,828","2,758","3,805","3,238","3,195",49.0
2021,6,30,"77,915","8,072","4,914","5,613","8,016","5,597","4,761",903,"1,205","2,934","1,504","1,545","4,357","1,545","2,551","1,810","1,619","4,564","2,477","3,188","4,405","3,371","2,785",179.0
2021,6,40,"95,034","8,498","6,131","6,518","10,126","6,432","4,611",807,"1,299","3,172","1,866","2,014","4,967","1,814","2,957","2,256","1,553","5,804","4,381","5,514","5,418","4,454","4,330",112.0
2021,6,50,"93,446","6,994","8,546","4,212","6,747","4,026","4,583","1,553","2,208","4,610","2,693","2,895","5,888","2,482","3,916","3,331","1,921","5,873","4,060","3,767","4,628","4,511","3,927",75.0
2021,6,60,"61,670","4,251","5,605","2,004","3,691","2,171","3,480","1,073","1,552","3,715","2,375","2,237","4,519","1,907","3,028","2,960","1,759","3,701","2,317","1,845","2,345","2,987","2,106",42.0
2021,6,70,"24,637","1,754","2,265",672,"1,150",601,"1,329",283,500,"1,525","1,057",942,"1,623",850,"1,081","1,280",654,"1,573","1,328",983,936,"1,259",986,6.0
2021,6,80,"10,619",656,"1,180",310,461,220,525,133,252,588,402,409,569,361,510,594,300,670,638,412,445,551,429,4.0
2021,6,90,"1,721",110,197,40,80,48,100,37,32,96,69,56,101,36,94,93,54,90,65,69,68,111,72,3.0
2021,6,100,77,4,13,1,5,1,4,6,3,4,2,2,4,3,3,3,2,6,3,3,1,4,0,0.0
2021,7,총,"542,635","45,497","40,945","31,501","48,895","31,304","28,166","6,525","9,710","22,482","13,172","13,946","31,825","12,202","20,178","16,526","10,632","32,884","22,745","24,378","28,107","25,437","22,992","2,586"
2021,7,0,"48,301","4,377","2,271","3,784","6,457","4,705","3,220",331,426,"1,133",632,572,"2,677",615,"1,320",664,753,"2,558","1,803","2,377","2,794","2,291","2,021",520
2021,7,10,"56,306","4,428","3,420","4,405","6,530","3,991","2,141",367,725,"1,564",900,"1,192","2,967",852,"1,865","1,200",752,"3,381","2,778","3,523","3,268","2,672","3,170",215
2021,7,20,"71,584","6,326","6,442","3,938","5,624","3,396","3,391","1,047","1,550","3,143","1,693","2,068","4,147","1,733","2,833","2,328","1,263","4,672","2,831","2,760","3,815","3,214","3,200",170
2021,7,30,"78,172","7,998","4,877","5,600","7,976","5,617","4,718",902,"1,194","2,926","1,494","1,565","4,337","1,547","2,555","1,811","1,616","4,550","2,491","3,147","4,366","3,363","2,759",763
2021,7,40,"95,247","8,526","6,097","6,491","10,161","6,460","4,632",798,"1,276","3,168","1,845","2,007","4,986","1,804","2,937","2,239","1,545","5,764","4,380","5,473","5,395","4,461","4,299",503
2021,7,50,"93,621","7,015","8,512","4,234","6,758","4,066","4,587","1,544","2,197","4,559","2,687","2,878","5,861","2,482","3,924","3,336","1,919","5,882","4,086","3,776","4,650","4,496","3,928",244
2021,7,60,"62,197","4,292","5,667","2,020","3,695","2,204","3,503","1,079","1,555","3,760","2,381","2,258","4,554","1,918","3,046","2,966","1,764","3,726","2,331","1,851","2,367","3,017","2,122",121
2021,7,70,"24,721","1,764","2,267",674,"1,156",597,"1,344",285,499,"1,529","1,064",941,"1,619",851,"1,081","1,284",665,"1,573","1,334",983,936,"1,256",990,29
2021,7,80,"10,692",654,"1,181",314,456,218,525,130,255,596,407,408,575,363,520,601,301,684,644,418,446,550,430,16
2021,7,90,"1,715",114,200,40,78,49,101,35,29,100,67,55,97,34,94,94,52,87,64,67,69,112,73,4
2021,7,100,79,3,11,1,4,1,4,7,4,4,2,2,5,3,3,3,2,7,3,3,1,5,0,1
2021,8,총,"544,726","45,505","40,847","31,486","48,860","31,357","28,096","6,503","9,668","22,430","13,130","13,894","31,784","12,167","20,120","16,516","10,583","32,844","22,703","24,252","28,042","25,423","22,934","5,582"
2021,8,0,"48,484","4,334","2,235","3,767","6,375","4,685","3,204",326,424,"1,111",628,562,"2,663",608,"1,316",668,754,"2,529","1,773","2,322","2,764","2,292","1,997","1,147"
2021,8,10,"56,473","4,427","3,429","4,410","6,575","4,024","2,150",366,715,"1,542",906,"1,187","2,958",841,"1,860","1,197",738,"3,370","2,765","3,505","3,272","2,666","3,138",432
2021,8,20,"71,523","6,310","6,402","3,934","5,592","3,380","3,335","1,041","1,540","3,139","1,681","2,039","4,118","1,726","2,797","2,327","1,257","4,631","2,842","2,761","3,812","3,189","3,200",470
2021,8,30,"78,677","7,980","4,853","5,606","7,937","5,601","4,693",893,"1,184","2,916","1,479","1,566","4,304","1,551","2,541","1,825","1,592","4,557","2,459","3,084","4,330","3,353","2,733","1,640"
2021,8,40,"95,513","8,516","6,056","6,460","10,166","6,462","4,623",788,"1,255","3,158","1,823","1,984","4,989","1,788","2,930","2,237","1,542","5,744","4,364","5,447","5,381","4,473","4,279","1,048"
2021,8,50,"93,849","7,049","8,486","4,249","6,770","4,119","4,587","1,538","2,199","4,543","2,688","2,876","5,848","2,459","3,897","3,325","1,905","5,903","4,096","3,787","4,641","4,488","3,942",454
2021,8,60,"62,777","4,336","5,719","2,035","3,730","2,216","3,523","1,086","1,562","3,777","2,379","2,279","4,601","1,947","3,075","2,965","1,761","3,754","2,354","1,866","2,384","3,033","2,135",260
2021,8,70,"24,841","1,776","2,268",668,"1,166",604,"1,349",290,500,"1,538","1,068",938,"1,621",844,"1,080","1,277",672,"1,572","1,341",985,941,"1,252","1,000",91
2021,8,80,"10,779",654,"1,190",319,464,214,527,133,255,601,408,404,579,366,525,599,308,687,643,424,451,561,436,31
2021,8,90,"1,731",120,198,37,81,51,101,35,30,101,68,57,98,34,97,93,52,90,63,68,65,110,74,8
2021,8,100,79,3,11,1,4,1,4,7,4,4,2,2,5,3,2,3,2,7,3,3,1,6,0,1
2021,9,총,"549,053","45,440","40,718","31,463","48,880","31,376","28,067","6,479","9,677","22,424","13,098","13,864","31,751","12,176","20,089","16,554","10,550","32,801","22,595","23,987","27,951","25,471","22,854","10,788"
2021,9,0,"48,989","4,286","2,203","3,741","6,350","4,673","3,191",321,416,"1,093",624,549,"2,660",608,"1,290",677,746,"2,499","1,725","2,283","2,728","2,271","1,992","2,063"
2021,9,10,"56,724","4,417","3,389","4,402","6,591","4,030","2,158",359,709,"1,543",899,"1,183","2,953",845,"1,861","1,194",733,"3,350","2,731","3,419","3,249","2,685","3,113",911
2021,9,20,"71,771","6,286","6,388","3,924","5,582","3,368","3,320","1,034","1,540","3,112","1,664","2,022","4,090","1,724","2,779","2,336","1,250","4,611","2,841","2,745","3,836","3,181","3,175",963
2021,9,30,"79,804","7,948","4,850","5,604","7,911","5,588","4,665",895,"1,193","2,937","1,470","1,568","4,288","1,550","2,518","1,825","1,587","4,556","2,429","3,034","4,296","3,352","2,715","3,025"
2021,9,40,"96,224","8,512","5,994","6,449","10,185","6,486","4,630",780,"1,255","3,148","1,822","1,988","4,965","1,789","2,932","2,231","1,534","5,723","4,327","5,371","5,347","4,479","4,263","2,014"
2021,9,50,"94,376","7,061","8,483","4,262","6,796","4,123","4,605","1,528","2,201","4,525","2,674","2,869","5,837","2,447","3,898","3,313","1,911","5,925","4,132","3,789","4,648","4,499","3,931",919
2021,9,60,"63,456","4,377","5,749","2,053","3,741","2,237","3,507","1,101","1,574","3,814","2,392","2,281","4,644","1,963","3,096","2,994","1,760","3,759","2,354","1,863","2,394","3,061","2,154",588
2021,9,70,"24,963","1,770","2,266",673,"1,162",601,"1,353",289,497,"1,540","1,068",933,"1,623",841,"1,090","1,284",667,"1,577","1,338",980,934,"1,260",998,219
2021,9,80,"10,911",657,"1,188",314,476,216,535,129,258,607,414,412,586,371,526,604,309,700,653,427,453,566,438,72
2021,9,90,"1,753",123,197,40,81,52,99,36,30,101,69,57,100,35,97,93,51,94,62,73,65,110,75,13
2021,9,100,82,3,11,1,5,2,4,7,4,4,2,2,5,3,2,3,2,7,3,3,1,7,0,1
2021,10,총,"552,338","45,439","40,702","31,493","48,899","31,418","28,046","6,487","9,643","22,404","13,043","13,847","31,698","12,251","20,017","16,566","10,524","32,792","22,543","23,925","27,839","25,493","22,802","14,467"
2021,10,0,"49,318","4,250","2,198","3,730","6,306","4,669","3,183",327,416,"1,085",617,538,"2,643",609,"1,275",681,744,"2,471","1,704","2,250","2,690","2,274","1,962","2,696"
2021,10,10,"56,911","4,401","3,357","4,421","6,595","4,043","2,166",359,697,"1,536",895,"1,180","2,957",847,"1,859","1,188",721,"3,342","2,698","3,387","3,222","2,678","3,103","1,259"
2021,10,20,"72,018","6,288","6,397","3,922","5,597","3,373","3,279","1,025","1,529","3,088","1,654","2,035","4,069","1,748","2,746","2,333","1,239","4,611","2,841","2,748","3,815","3,186","3,168","1,327"
2021,10,30,"80,455","7,943","4,841","5,602","7,879","5,542","4,652",897,"1,197","2,932","1,471","1,572","4,262","1,558","2,502","1,846","1,585","4,563","2,414","3,034","4,281","3,356","2,702","3,824"
2021,10,40,"96,774","8,525","5,960","6,438","10,196","6,539","4,615",781,"1,250","3,140","1,814","1,983","4,953","1,799","2,934","2,209","1,534","5,706","4,291","5,309","5,298","4,472","4,252","2,776"
2021,10,50,"94,869","7,063","8,491","4,282","6,820","4,139","4,608","1,533","2,188","4,515","2,655","2,854","5,830","2,455","3,890","3,314","1,909","5,917","4,143","3,818","4,655","4,495","3,937","1,358"
2021,10,60,"64,007","4,403","5,789","2,063","3,768","2,232","3,531","1,106","1,584","3,851","2,375","2,273","4,658","1,976","3,099","3,004","1,766","3,794","2,380","1,873","2,411","3,084","2,158",829
2021,10,70,"25,133","1,781","2,254",678,"1,175",607,"1,362",286,489,"1,542","1,072",942,"1,632",851,"1,093","1,292",666,"1,577","1,341",989,950,"1,262","1,004",288
2021,10,80,"10,995",656,"1,212",315,479,221,545,132,259,606,420,409,588,367,523,597,309,707,667,433,450,566,444,90
2021,10,90,"1,780",125,193,41,79,51,100,34,30,105,68,59,103,38,95,100,49,98,61,81,66,113,72,19
2021,10,100,78,4,10,1,5,2,5,7,4,4,2,2,3,3,1,2,2,6,3,3,1,7,0,1
2021,11,총,"553,962","45,487","40,709","31,483","48,867","31,513","27,992","6,476","9,607","22,376","13,052","13,838","31,637","12,305","20,002","16,589","10,510","32,779","22,559","23,971","27,788","25,517","22,775","16,130"
2021,11,0,"49,328","4,239","2,184","3,713","6,256","4,645","3,169",327,413,"1,076",615,538,"2,634",616,"1,267",676,732,"2,458","1,680","2,251","2,670","2,264","1,936","2,969"
2021,11,10,"57,100","4,400","3,352","4,415","6,619","4,074","2,170",362,686,"1,540",899,"1,167","2,963",840,"1,852","1,184",720,"3,338","2,698","3,375","3,221","2,702","3,087","1,436"
2021,11,20,"72,070","6,284","6,422","3,914","5,598","3,368","3,256","1,014","1,514","3,071","1,643","2,039","4,033","1,766","2,731","2,336","1,234","4,597","2,848","2,758","3,803","3,187","3,164","1,490"
2021,11,30,"80,585","7,917","4,846","5,602","7,794","5,551","4,613",905,"1,182","2,921","1,470","1,581","4,243","1,571","2,502","1,862","1,581","4,528","2,424","3,035","4,256","3,342","2,697","4,162"
2021,11,40,"97,117","8,552","5,933","6,412","10,244","6,564","4,625",776,"1,248","3,139","1,817","1,963","4,954","1,801","2,927","2,204","1,529","5,708","4,257","5,303","5,308","4,477","4,242","3,134"
2021,11,50,"95,185","7,097","8,481","4,311","6,848","4,159","4,578","1,528","2,184","4,512","2,661","2,851","5,804","2,460","3,881","3,311","1,907","5,941","4,178","3,841","4,641","4,500","3,956","1,555"
2021,11,60,"64,425","4,432","5,812","2,078","3,779","2,251","3,559","1,109","1,595","3,851","2,381","2,286","4,685","1,986","3,122","3,018","1,776","3,812","2,397","1,887","2,420","3,089","2,176",924
2021,11,70,"25,220","1,776","2,240",678,"1,169",622,"1,366",293,490,"1,543","1,074",936,"1,628",855,"1,104","1,298",671,"1,576","1,343","1,001",953,"1,263","1,004",337
2021,11,80,"11,054",659,"1,232",320,478,225,550,129,261,611,423,414,585,369,521,595,306,717,669,434,448,570,440,98
2021,11,90,"1,809",127,197,39,76,52,101,33,30,108,67,61,105,40,94,103,52,99,62,83,67,116,73,24
2021,11,100,69,4,10,1,6,2,5,0,4,4,2,2,3,1,1,2,2,5,3,3,1,7,0,1
2021,12,총,"555,380","45,483","40,677","31,513","48,916","31,609","28,007","6,505","9,616","22,322","13,044","13,825","31,643","12,442","19,994","16,604","10,502","32,853","22,596","23,987","27,799","25,551","22,801","17,091"
2021,12,0,"49,272","4,213","2,169","3,694","6,242","4,639","3,145",331,410,"1,068",609,531,"2,628",622,"1,252",668,730,"2,461","1,665","2,234","2,655","2,259","1,931","3,116"
2021,12,10,"57,186","4,375","3,337","4,430","6,606","4,094","2,194",362,686,"1,532",893,"1,146","2,959",848,"1,848","1,196",717,"3,336","2,701","3,381","3,212","2,691","3,087","1,555"
2021,12,20,"72,140","6,277","6,405","3,897","5,605","3,383","3,267","1,018","1,516","3,056","1,635","2,049","4,003","1,798","2,719","2,316","1,223","4,603","2,852","2,768","3,800","3,205","3,149","1,596"
2021,12,30,"80,789","7,932","4,862","5,606","7,742","5,546","4,587",910,"1,171","2,920","1,474","1,584","4,249","1,609","2,516","1,873","1,578","4,545","2,429","3,043","4,260","3,319","2,687","4,347"
2021,12,40,"97,411","8,579","5,918","6,437","10,273","6,590","4,628",780,"1,252","3,126","1,811","1,967","4,972","1,808","2,914","2,203","1,529","5,698","4,269","5,289","5,298","4,503","4,245","3,322"
2021,12,50,"95,472","7,118","8,482","4,315","6,876","4,173","4,590","1,522","2,173","4,492","2,668","2,839","5,797","2,477","3,887","3,317","1,903","5,966","4,203","3,854","4,653","4,504","3,989","1,674"
2021,12,60,"64,760","4,436","5,808","2,092","3,822","2,280","3,568","1,125","1,616","3,856","2,391","2,282","4,705","2,000","3,131","3,034","1,777","3,837","2,404","1,892","2,436","3,113","2,175",980
2021,12,70,"25,323","1,773","2,247",682,"1,181",626,"1,362",292,499,"1,548","1,076",947,"1,633",863,"1,109","1,297",681,"1,582","1,333",995,960,"1,260","1,021",356
2021,12,80,"11,136",651,"1,240",320,488,227,553,132,258,609,420,418,590,374,523,592,307,725,673,445,458,573,441,119
2021,12,90,"1,821",124,199,39,75,50,108,33,31,111,65,60,104,41,94,106,55,95,64,83,66,117,76,25
2021,12,100,70,5,10,1,6,1,5,0,4,4,2,2,3,2,1,2,2,5,3,3,1,7,0,1
