년도,월,나이,하남시,천현동,신장1동,신장2동,덕풍1동,덕풍2동,덕풍3동,풍산동,감북동,위례동,춘궁동,초이동,미사1동,미사2동,감일동
2020,1,총,"273,587","7,711","6,371","45,753","16,446","19,565","25,620","28,537","6,439","19,275","4,077","3,713","41,802","48,278",
2020,1,0,"29,609",371,308,"4,006","1,003","1,150","2,259","4,647",628,"2,620",149,172,"4,956","7,340",
2020,1,10,"23,729",449,407,"4,070","1,197","1,331","2,665","2,721",462,"1,739",210,199,"3,460","4,819",
2020,1,20,"32,477",981,961,"5,287","2,241","2,589","3,031","2,968",681,"2,310",481,456,"6,375","4,116",
2020,1,30,"46,893","1,015",970,"6,808","2,354","2,918","3,479","5,501","1,087","3,551",454,453,"9,564","8,739",
2020,1,40,"47,500","1,030",854,"7,341","2,353","2,651","4,444","5,406","1,010","3,586",580,508,"7,735","10,002",
2020,1,50,"40,421","1,501","1,242","7,266","3,061","3,703","4,166","3,615","1,110","2,892",819,779,"4,508","5,759",
2020,1,60,"31,921","1,437",938,"6,465","2,566","3,155","3,246","2,292",857,"1,787",752,685,"3,187","4,554",
2020,1,70,"14,782",616,474,"3,256","1,179","1,440","1,650",881,387,587,394,313,"1,464","2,141",
2020,1,80,"5,220",252,188,"1,065",415,526,584,379,182,163,201,132,457,676,
2020,1,90,931,51,23,176,64,94,89,103,26,38,30,15,94,128,
2020,1,100,104,8,6,13,13,8,7,24,9,2,7,1,2,4,
2020,2,총,"275,384","7,718","6,443","45,764","16,445","19,506","25,608","28,811","7,500","19,212","4,079","3,703","42,375","48,220",
2020,2,0,"29,743",367,314,"3,983",995,"1,141","2,235","4,652",864,"2,617",144,172,"4,953","7,306",
2020,2,10,"23,835",443,409,"4,080","1,192","1,313","2,646","2,734",568,"1,735",209,199,"3,489","4,818",
2020,2,20,"32,722",979,975,"5,250","2,249","2,574","3,041","3,042",742,"2,258",485,450,"6,581","4,096",
2020,2,30,"47,137","1,015",981,"6,816","2,349","2,917","3,477","5,513","1,353","3,511",449,449,"9,695","8,612",
2020,2,40,"48,090","1,026",871,"7,364","2,354","2,652","4,434","5,512","1,205","3,623",579,512,"7,865","10,093",
2020,2,50,"40,540","1,513","1,247","7,253","3,054","3,666","4,169","3,646","1,200","2,871",811,773,"4,562","5,775",
2020,2,60,"32,123","1,446",948,"6,482","2,577","3,163","3,262","2,316",905,"1,805",767,689,"3,212","4,551",
2020,2,70,"14,863",613,480,"3,280","1,179","1,443","1,649",879,425,590,393,309,"1,462","2,161",
2020,2,80,"5,285",259,189,"1,070",420,530,595,385,203,162,204,135,463,670,
2020,2,90,939,49,23,172,62,98,93,108,26,38,31,13,91,135,
2020,2,100,107,8,6,14,14,9,7,24,9,2,7,2,2,3,
2020,3,총,"277,431","7,720","6,440","45,794","16,430","19,496","25,621","29,047","8,619","19,200","4,062","3,691","43,044","48,267",
2020,3,0,"29,853",366,315,"3,994",997,"1,127","2,218","4,634","1,045","2,619",139,178,"4,954","7,267",
