년도,월,나이,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 장전제3동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020,1,총,"121,738","3,227","5,200","5,795","4,150","4,651","8,836","9,148","7,029","8,724","14,499",0.0,"1,153","5,191","15,511","10,180","17,870",574
2020,1,0,"6,810",60,200,190,143,158,439,647,293,537,"1,313",0.0,39,282,662,668,"1,136",43
2020,1,10,"9,104",161,272,307,190,264,718,724,407,608,"1,152",0.0,55,349,"1,123",994,"1,723",57
2020,1,20,"15,646",283,555,564,406,439,"1,203","1,185",768,"2,304","1,697",0.0,93,475,"2,179","1,207","2,254",34
2020,1,30,"13,029",231,478,508,414,416,948,"1,146",768,935,"2,078",0.0,78,503,"1,494","1,133","1,853",46
2020,1,40,"16,829",366,596,639,440,547,"1,312","1,284",913,"1,072","2,414",0.0,123,682,"1,990","1,599","2,759",93
2020,1,50,"22,332",623,"1,088","1,232",851,829,"1,661","1,676","1,290","1,240","2,147",0.0,229,955,"3,150","1,941","3,325",95
2020,1,60,"20,042",766,"1,143","1,221",940,"1,002","1,311","1,366","1,436","1,084","1,797",0.0,241,"1,021","2,559","1,424","2,627",104
2020,1,70,"11,613",483,588,784,536,675,794,689,793,612,"1,151",0.0,177,586,"1,549",786,"1,350",60
2020,1,80,"5,320",220,232,300,190,294,386,365,300,285,541,0.0,103,289,693,366,723,33
2020,1,90,860,24,38,38,38,26,59,63,60,40,136,0.0,13,44,105,56,112,8
2020,1,100,153,10,10,12,2,1,5,3,1,7,73,0.0,2,5,7,6,8,1
2020,2,총,"121,602","3,211","5,180","5,772","4,138","4,626","8,845","9,122","6,991","8,748","14,499",,"1,141","5,183","15,475","10,207","17,893",571
2020,2,0,"6,788",58,200,182,140,161,444,637,296,528,"1,317",,39,275,652,661,"1,153",45
2020,2,10,"9,124",159,266,304,188,259,710,729,398,639,"1,144",,54,346,"1,143",997,"1,732",56
2020,2,20,"15,614",283,556,561,404,424,"1,220","1,170",774,"2,319","1,694",,88,472,"2,166","1,207","2,242",34
2020,2,30,"12,911",227,467,499,404,416,935,"1,136",752,921,"2,064",,77,504,"1,470","1,143","1,848",48
2020,2,40,"16,834",360,590,636,438,543,"1,312","1,302",915,"1,068","2,431",,123,691,"1,979","1,589","2,767",90
2020,2,50,"22,244",624,"1,077","1,225",847,823,"1,664","1,655","1,273","1,240","2,136",,225,952,"3,136","1,950","3,324",93
2020,2,60,"20,056",762,"1,144","1,228",944,"1,003","1,316","1,362","1,425","1,080","1,805",,240,"1,013","2,563","1,444","2,623",104
2020,2,70,"11,659",482,590,787,537,678,799,690,798,618,"1,153",,177,594,"1,554",780,"1,363",59
2020,2,80,"5,346",218,241,299,195,290,381,372,299,290,548,,102,291,697,375,715,33
2020,2,90,873,28,39,39,39,28,59,66,60,38,134,,13,41,108,55,118,8
2020,2,100,153,10,10,12,2,1,5,3,1,7,73,,3,4,7,6,8,1
2020,3,총,"121,334","3,182","5,159","5,770","4,130","4,605","8,856","9,033","6,965","8,807","14,492",,"1,138","5,173","15,422","10,201","17,832",569
