년도,월,나이,연수구,옥련1동,옥련2동,선학동,연수1동,연수2동,연수3동,청학동,동춘1동,동춘2동,동춘3동,송도1동,송도2동,송도3동,송도4동,송도5동
2020,5,40,"32,433","1,593","1,684","1,332","1,979","1,542","1,117","2,048","2,055","1,455","1,592","3,092","4,026","4,899","4,019",
2020,5,50,"31,106","1,880","1,990","1,700","2,223","1,913","1,471","2,744","2,268","1,714","1,712","3,119","2,868","2,952","2,552",
2020,5,60,"18,307","1,151","1,191","1,440","1,367","1,347","1,184","1,859","1,410","1,045",967,"1,693","1,096","1,331","1,226",
2020,5,70,"6,885",567,542,564,559,481,478,781,444,359,392,579,339,455,345,
2020,5,80,"2,232",201,183,180,153,175,195,274,140,125,128,160,119,118,81,
2020,5,90,283,24,22,20,17,26,22,28,24,14,21,25,15,18,7,
2020,5,100,14,0,2,0,0,1,2,5,3,1,0,0,0,0,0,
2020,6,총,"185,258","10,023","10,515","9,153","11,279","10,727","8,130","13,246","12,879","9,357","9,334","18,028","17,991","23,991","20,605",
2020,6,0,"18,806",774,799,503,554,770,564,719,"1,220",779,836,"1,645","2,484","3,698","3,461",
2020,6,10,"21,324","1,037","1,181",584,937,914,704,952,"1,371","1,075","1,482","2,758","3,242","2,998","2,089",
2020,6,20,"26,342","1,542","1,651","1,461","1,874","1,827","1,149","2,021","1,941","1,461","1,360","2,960","1,876","2,932","2,287",
2020,6,30,"27,332","1,253","1,270","1,367","1,631","1,730","1,234","1,803","2,005","1,332",854,"2,005","1,911","4,517","4,420",
2020,6,40,"32,464","1,582","1,681","1,328","1,970","1,554","1,119","2,048","2,042","1,449","1,593","3,074","4,007","4,923","4,094",
2020,6,50,"31,053","1,871","1,975","1,698","2,200","1,887","1,463","2,735","2,259","1,710","1,707","3,108","2,888","2,981","2,571",
2020,6,60,"18,463","1,167","1,203","1,442","1,378","1,354","1,196","1,880","1,430","1,047",959,"1,708","1,109","1,347","1,243",
2020,6,70,"6,933",571,547,570,563,488,484,782,443,364,394,582,338,456,351,
2020,6,80,"2,244",201,183,180,155,176,193,274,141,126,128,163,121,121,82,
2020,6,90,284,25,23,20,17,26,22,28,24,13,21,25,15,18,7,
2020,6,100,13,0,2,0,0,1,2,4,3,1,0,0,0,0,0,
2020,7,총,"186,133","9,994","10,523","9,132","11,257","10,699","8,111","13,197","12,841","9,301","9,307","17,973","17,969","24,047","21,782",
2020,7,0,"18,960",775,797,498,549,765,550,718,"1,216",760,825,"1,636","2,482","3,708","3,681",
2020,7,10,"21,367","1,028","1,184",580,936,908,702,939,"1,368","1,057","1,483","2,740","3,224","3,015","2,203",
2020,7,20,"26,337","1,530","1,655","1,444","1,856","1,808","1,141","2,010","1,924","1,466","1,356","2,951","1,887","2,917","2,392",
2020,7,30,"27,491","1,238","1,261","1,358","1,626","1,736","1,228","1,807","1,997","1,320",842,"1,995","1,899","4,527","4,657",
2020,7,40,"32,636","1,578","1,695","1,333","1,948","1,546","1,117","2,026","2,046","1,438","1,583","3,071","3,995","4,916","4,344",
2020,7,50,"31,154","1,861","1,962","1,687","2,223","1,875","1,459","2,719","2,251","1,698","1,718","3,098","2,900","3,005","2,698",
2020,7,60,"18,649","1,181","1,208","1,453","1,384","1,362","1,204","1,891","1,427","1,064",958,"1,716","1,106","1,361","1,334",
2020,7,70,"6,977",578,550,574,567,496,488,782,444,355,390,575,340,458,380,
2020,7,80,"2,266",201,185,185,153,175,198,274,142,129,129,166,121,122,86,
2020,7,90,283,24,24,20,15,27,22,27,23,13,23,25,15,18,7,
2020,7,100,13,0,2,0,0,1,2,4,3,1,0,0,0,0,0,
2020,8,총,"188,008","9,938","10,474","9,110","11,189","10,671","8,058","13,159","12,812","9,246","9,254","17,903","17,947","23,939","24,308",
2020,8,0,"19,201",752,799,490,543,751,536,702,"1,208",738,814,"1,634","2,470","3,664","4,100",
2020,8,10,"21,549","1,026","1,173",576,930,910,687,939,"1,357","1,046","1,468","2,708","3,226","3,017","2,486",
2020,8,20,"26,479","1,522","1,633","1,439","1,819","1,808","1,142","2,013","1,922","1,456","1,345","2,949","1,877","2,909","2,645",
2020,8,30,"27,840","1,222","1,254","1,341","1,611","1,729","1,212","1,790","1,983","1,315",842,"1,994","1,902","4,475","5,170",
2020,8,40,"32,992","1,580","1,690","1,333","1,935","1,538","1,099","2,005","2,030","1,424","1,572","3,040","4,003","4,883","4,860",
2020,8,50,"31,382","1,837","1,952","1,684","2,214","1,867","1,453","2,722","2,250","1,693","1,702","3,090","2,879","3,009","3,030",
2020,8,60,"18,962","1,200","1,214","1,469","1,403","1,370","1,220","1,894","1,441","1,075",967,"1,711","1,119","1,382","1,497",
2020,8,70,"7,015",574,544,574,566,494,489,783,452,354,392,579,334,461,419,
2020,8,80,"2,292",202,189,185,152,175,196,280,142,131,130,172,122,121,95,
2020,8,90,283,23,24,19,16,28,22,27,24,13,22,26,15,18,6,
2020,8,100,13,0,2,0,0,1,2,4,3,1,0,0,0,0,0,
2020,9,총,"189,440","9,897","10,460","9,092","11,159","10,636","8,037","13,130","12,773","9,190","9,241","17,979","17,908","23,930","26,008",
2020,9,0,"19,324",758,795,491,525,742,528,684,"1,195",718,813,"1,629","2,456","3,619","4,371",
