년도,월,나이,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020,3,총,"720,460","48,750","147,355","104,881","215,039","204,435"
2020,3,0,"64,161","3,436","11,955","9,271","17,765","21,734"
2020,3,10,"84,260","3,812","17,375","11,795","23,601","27,677"
2020,3,20,"108,487","7,155","23,297","14,685","32,998","30,352"
2020,3,30,"96,986","6,462","19,331","13,299","29,542","28,352"
2020,3,40,"121,414","7,125","24,253","16,939","34,338","38,759"
2020,3,50,"115,943","7,607","24,358","15,910","35,448","32,620"
2020,3,60,"74,336","6,638","15,489","12,550","24,279","15,380"
2020,3,70,"40,300","4,467","8,318","7,676","12,683","7,156"
2020,3,80,"13,315","1,868","2,718","2,502","4,037","2,190"
2020,3,90,"1,206",169,252,241,335,209
2020,3,100,52,11,9,13,13,6
2020,4,총,"720,536","48,743","147,198","104,745","215,038","204,812"
2020,4,0,"63,870","3,433","11,911","9,204","17,671","21,651"
2020,4,10,"84,007","3,786","17,277","11,798","23,516","27,630"
2020,4,20,"108,720","7,139","23,326","14,628","33,082","30,545"
2020,4,30,"96,789","6,473","19,257","13,235","29,456","28,368"
2020,4,40,"121,319","7,130","24,197","16,916","34,310","38,766"
2020,4,50,"116,096","7,603","24,353","15,931","35,486","32,723"
2020,4,60,"74,659","6,653","15,530","12,572","24,377","15,527"
2020,4,70,"40,386","4,457","8,337","7,673","12,731","7,188"
2020,4,80,"13,425","1,887","2,743","2,533","4,063","2,199"
2020,4,90,"1,211",169,258,242,333,209
2020,4,100,54,13,9,13,13,6
2020,5,총,"720,300","49,015","147,074","104,351","214,894","204,966"
2020,5,0,"63,618","3,459","11,871","9,146","17,606","21,536"
2020,5,10,"83,574","3,792","17,159","11,704","23,371","27,548"
2020,5,20,"108,939","7,237","23,349","14,572","33,093","30,688"
2020,5,30,"96,596","6,511","19,205","13,154","29,359","28,367"
2020,5,40,"121,039","7,154","24,095","16,848","34,265","38,677"
2020,5,50,"116,270","7,625","24,377","15,895","35,522","32,851"
2020,5,60,"74,935","6,682","15,639","12,535","24,427","15,652"
