년도,월,나이,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020,3,총,"64,039","7,258","6,436","8,100","10,913","3,869","1,736","3,088","8,354","4,215","6,899","3,171"
2020,3,0,"4,200",527,297,418,900,145,108,105,569,364,641,126
2020,3,10,"5,326",636,522,665,974,239,120,180,747,437,574,232
2020,3,20,"6,803",763,756,850,"1,248",441,174,275,866,476,638,316
2020,3,30,"7,433",872,616,835,"1,529",372,191,252,998,538,952,278
2020,3,40,"10,358","1,279",962,"1,294","1,854",559,266,385,"1,408",744,"1,170",437
2020,3,50,"10,354","1,216","1,089","1,326","1,637",712,262,538,"1,310",733,"1,065",466
2020,3,60,"9,804",989,"1,080","1,320","1,496",697,295,620,"1,223",534,954,596
2020,3,70,"6,529",621,753,946,908,447,210,460,847,265,580,492
2020,3,80,"2,748",299,300,393,313,235,95,232,321,98,268,194
2020,3,90,410,46,50,48,43,21,14,34,56,21,52,25
2020,3,100,74,10,11,5,11,1,1,7,9,5,5,9
2020,4,총,"63,866","7,252","6,392","8,044","10,923","3,842","1,747","3,085","8,317","4,216","6,887","3,161"
2020,4,0,"4,162",528,294,405,904,143,109,102,554,359,639,125
2020,4,10,"5,285",629,519,652,964,232,119,178,745,440,573,234
2020,4,20,"6,789",769,748,847,"1,258",439,179,275,857,477,626,314
2020,4,30,"7,395",869,603,812,"1,543",370,192,251,999,539,946,271
2020,4,40,"10,326","1,278",951,"1,286","1,845",554,267,381,"1,412",747,"1,167",438
2020,4,50,"10,325","1,214","1,087","1,321","1,632",710,263,536,"1,307",727,"1,062",466
2020,4,60,"9,795",987,"1,074","1,327","1,497",690,295,624,"1,212",534,962,593
2020,4,70,"6,537",625,753,943,911,451,211,460,842,266,586,489
2020,4,80,"2,766",295,303,397,315,231,97,235,323,101,271,198
2020,4,90,411,48,49,48,43,21,14,36,57,21,50,24
2020,4,100,75,10,11,6,11,1,1,7,9,5,5,9
2020,5,총,"63,795","7,225","6,377","8,058","10,919","3,848","1,735","3,082","8,318","4,195","6,890","3,148"
2020,5,0,"4,139",518,292,403,907,143,104,100,545,353,648,126
2020,5,10,"5,254",624,517,647,958,237,113,177,748,436,570,227
2020,5,20,"6,768",769,742,846,"1,252",437,178,272,862,475,618,317
2020,5,30,"7,361",862,602,817,"1,537",372,189,247,990,534,941,270
2020,5,40,"10,292","1,262",946,"1,280","1,853",551,265,380,"1,412",749,"1,161",433
2020,5,50,"10,306","1,213","1,087","1,314","1,621",712,263,536,"1,317",716,"1,066",461
2020,5,60,"9,828",993,"1,068","1,343","1,502",689,298,630,"1,208",537,967,593
2020,5,70,"6,584",629,755,952,920,453,212,463,845,270,593,492
2020,5,80,"2,778",296,308,403,314,232,98,234,326,98,273,196
2020,5,90,410,49,49,47,44,21,14,36,56,22,48,24
2020,5,100,75,10,11,6,11,1,1,7,9,5,5,9
2020,6,총,"63,546","7,184","6,363","8,005","10,894","3,844","1,723","3,092","8,282","4,161","6,868","3,130"
2020,6,0,"4,069",507,291,386,904,145,101,98,531,346,638,122
2020,6,10,"5,209",615,513,644,946,229,112,178,754,431,566,221
2020,6,20,"6,750",769,733,839,"1,250",433,179,281,855,474,625,312
2020,6,30,"7,278",854,600,807,"1,534",377,183,242,970,516,932,263
2020,6,40,"10,274","1,246",947,"1,275","1,849",537,264,383,"1,422",751,"1,169",431
2020,6,50,"10,248","1,209","1,088","1,298","1,611",713,257,536,"1,306",711,"1,054",465
2020,6,60,"9,848","1,001","1,069","1,343","1,504",699,299,634,"1,204",538,965,592
2020,6,70,"6,598",627,754,956,923,451,214,463,849,271,595,495
2020,6,80,"2,776",296,305,403,317,238,99,234,325,95,270,194
2020,6,90,421,50,52,48,45,21,14,36,57,23,49,26
2020,6,100,75,10,11,6,11,1,1,7,9,5,5,9
2020,7,총,"63,309","7,189","6,343","7,983","10,860","3,829","1,724","3,078","8,225","4,127","6,854","3,097"
2020,7,0,"4,013",506,280,384,902,141,99,94,525,336,631,115
2020,7,10,"5,169",620,513,632,934,232,110,184,741,426,562,215
2020,7,20,"6,713",770,732,833,"1,241",427,177,277,855,466,630,305
2020,7,30,"7,201",851,595,814,"1,528",369,184,234,949,504,916,257
2020,7,40,"10,224","1,242",936,"1,266","1,839",537,264,388,"1,411",746,"1,168",427
2020,7,50,"10,239","1,203","1,087","1,294","1,618",716,260,532,"1,303",717,"1,049",460
2020,7,60,"9,852","1,012","1,070","1,336","1,497",699,301,635,"1,210",533,968,591
2020,7,70,"6,631",631,760,965,936,447,214,457,845,276,604,496
2020,7,80,"2,768",294,307,405,309,238,98,236,320,95,270,196
2020,7,90,426,50,52,48,45,22,16,35,58,23,51,26
2020,7,100,73,10,11,6,11,1,1,6,8,5,5,9
2020,8,총,"63,093","7,169","6,308","7,937","10,841","3,828","1,727","3,066","8,195","4,095","6,833","3,094"
2020,8,0,"3,941",492,277,377,887,144,102,92,517,326,617,110
2020,8,10,"5,135",612,504,629,930,228,110,181,744,417,567,213
2020,8,20,"6,699",770,728,827,"1,241",427,176,280,844,464,632,310
2020,8,30,"7,112",848,591,792,"1,512",369,182,237,939,493,899,250
2020,8,40,"10,194","1,236",922,"1,261","1,829",537,267,380,"1,414",741,"1,173",434
2020,8,50,"10,194","1,190","1,085","1,290","1,632",708,259,527,"1,294",715,"1,036",458
2020,8,60,"9,894","1,034","1,072","1,337","1,500",705,300,633,"1,207",538,975,593
2020,8,70,"6,643",633,762,961,942,448,213,457,848,279,606,494
2020,8,80,"2,777",294,304,409,312,239,101,237,323,94,270,194
2020,8,90,431,50,52,48,45,22,16,36,57,23,53,29
2020,8,100,73,10,11,6,11,1,1,6,8,5,5,9
2020,9,총,"62,957","7,160","6,278","7,929","10,817","3,815","1,716","3,049","8,180","4,093","6,831","3,089"
2020,9,0,"3,907",491,272,381,880,143,96,90,515,321,610,108
2020,9,10,"5,104",615,498,627,925,224,115,177,731,417,568,207
2020,9,20,"6,667",770,721,814,"1,228",425,173,281,849,466,626,314
2020,9,30,"7,056",837,580,795,"1,501",370,181,234,931,489,887,251
2020,9,40,"10,146","1,226",917,"1,252","1,821",536,266,382,"1,403",737,"1,173",433
2020,9,50,"10,174","1,186","1,083","1,292","1,629",700,256,527,"1,299",719,"1,029",454
