년도,월,나이,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020,3,총,"6,604,216","592,212","137,404","183,769","87,122","183,917","475,573","115,942","108,267","251,364","230,145","283,772","120,689","163,083","416,279","160,092","251,764","47,183","318,138","170,224","147,914","547,153","237,938","153,330","155,885","29,647","100,226","353,851","109,753","227,639","138,920","82,586","138,107","536,849","123,961","222,057","190,831","223,704","104,850","89,270","220,718","398,842","182,968","110,189","69,803","54,668","20,694","30,272","58,349"
2020,3,0,"573,313","49,574","9,415","16,532","5,011","18,616","34,790","7,774","6,762","20,254","16,900","20,445","8,025","12,420","29,556","12,420","23,705","3,231","22,674","11,893","10,781","41,528","19,243","10,575","11,710","2,180","7,738","32,564","12,092","22,884","10,740","6,522","14,630","51,182","10,741","21,968","18,473","21,984","9,523","7,131","25,507","51,687","17,470","9,710","4,360","3,710","1,392","1,799","3,685"
2020,3,10,"652,379","58,943","14,310","16,458","7,111","21,064","43,913","8,560","8,478","26,875","21,014","26,407","9,437","16,970","35,553","15,773","25,579","4,383","32,320","17,159","15,161","52,495","20,616","14,747","17,132","3,005","9,105","37,622","12,127","24,075","13,416","7,324","11,710","59,489","11,973","24,934","22,582","23,355","10,694","8,765","22,241","46,025","16,315","11,617","6,125","4,731","1,511","2,205","4,542"
2020,3,20,"844,001","88,197","20,029","26,373","13,550","28,245","64,375","16,116","15,068","33,191","30,869","38,482","16,709","21,773","57,691","19,533","31,915","5,081","49,482","26,735","22,747","73,542","30,293","22,236","21,013","3,767","13,427","39,997","14,131","30,465","18,326","10,917","16,153","64,605","15,339","26,565","22,701","26,269","12,746","9,767","23,051","45,679","20,882","12,283","7,527","5,493","1,961","2,688","4,700"
2020,3,30,"931,351","88,301","16,272","28,694","11,552","31,783","68,527","16,318","14,768","37,441","29,264","38,665","16,058","22,607","58,234","22,157","35,675","5,054","39,252","20,247","19,005","71,910","33,157","19,853","18,900","3,878","13,491","46,431","18,350","34,234","19,092","11,115","23,633","75,413","16,341","31,651","27,421","31,213","14,363","10,643","36,210","72,395","28,147","13,311","6,694","5,640","1,850","2,723","5,486"
2020,3,40,"1,130,045","101,976","23,625","29,946","13,567","34,838","80,773","17,407","16,147","47,219","37,316","46,462","17,654","28,808","65,649","27,648","42,892","7,163","54,524","29,106","25,418","95,609","39,227","27,642","28,740","4,784","16,803","64,261","19,931","40,514","23,208","12,892","22,957","101,494","20,525","43,086","37,883","38,449","16,901","13,970","39,362","73,541","30,676","18,826","9,799","7,744","2,281","3,684","7,956"
2020,3,50,"1,088,466","98,243","24,716","31,712","15,172","26,643","78,268","19,897","19,675","38,696","40,129","51,338","22,496","28,842","77,008","26,475","40,208","7,696","61,361","32,825","28,536","97,509","41,127","28,170","28,212","5,228","18,227","56,144","15,674","39,123","24,682","15,470","20,580","78,379","20,517","31,644","26,218","33,356","16,911","14,568","31,029","51,008","30,434","17,565","13,302","9,569","3,381","5,419","10,182"
2020,3,60,"722,837","57,475","14,827","19,034","11,068","12,546","55,166","16,133","14,832","24,201","27,647","34,210","16,593","17,617","52,774","19,814","25,768","6,429","31,521","16,763","14,758","55,984","26,693","14,915","14,376","3,373","11,542","40,193","9,380","19,615","15,723","10,210","16,601","53,173","14,656","21,123","17,394","23,254","11,909","11,667","23,086","31,620","22,281","13,433","10,554","8,568","3,499","5,555","10,813"
2020,3,70,"408,315","30,600","8,590","9,287","6,483","6,240","31,121","9,035","8,146","13,940","17,112","16,970","8,601","8,369","24,481","10,169","15,705","5,079","16,027","9,230","6,797","34,940","16,939","8,803","9,198","1,974","6,396","23,573","5,252","10,101","8,158","4,796","7,542","34,703","8,389","13,989","12,325","15,767","6,917","7,262","12,992","16,367","10,889","8,485","6,701","5,364","2,789","3,596","6,487"
2020,3,80,"213,123","15,785","4,664","4,801","3,010","3,310","15,270","3,866","3,578","7,826","8,397","9,110","4,345","4,765","12,847","5,154","8,777","2,595","9,321","5,310","4,011","20,085","9,017","5,391","5,677","1,150","2,962","11,028","2,422","5,617","4,704","2,753","3,485","15,334","4,578","5,905","4,851","8,468","4,147","4,703","6,119","8,952","4,881","4,186","3,980","3,217","1,710","2,203","3,761"
