년도,월,나이,남구,신정1동,신정2동,신정3동,신정4동,신정5동,달동,삼산동,삼호동,무거동,옥동,대현동,수암동,선암동,야음장생포동
2020,1,총,"158,711","9,406","12,318","8,022","11,555","4,135","13,800","23,828","10,778","16,203","12,500","15,548","8,364","7,425","4,829"
2020,1,0,"12,046",453,939,625,972,223,836,"1,880",583,"1,166",914,"1,827",768,649,211
2020,1,10,"15,243",564,"1,479",589,"1,223",289,"1,100","2,231",927,"1,851","1,495","1,637",896,695,267
2020,1,20,"20,707","1,150","1,516",969,"1,438",597,"1,872","3,531","1,522","2,533","1,520","1,673","1,085",875,426
2020,1,30,"20,429",980,"1,465","1,005","1,505",536,"1,840","3,684","1,118","1,763","1,363","2,546","1,164","1,030",430
2020,1,40,"27,375","1,188","2,402","1,267","2,022",647,"2,195","4,459","1,751","3,052","2,399","2,759","1,445","1,228",561
2020,1,50,"30,996","1,999","2,320","1,627","2,047",859,"2,882","4,539","2,413","3,322","2,639","2,459","1,605","1,404",881
2020,1,60,"19,592","1,810","1,325","1,175","1,434",589,"1,863","2,383","1,443","1,513","1,390","1,658",927,952,"1,130"
2020,1,70,"8,252",874,593,517,635,274,761,746,658,647,517,698,310,381,641
2020,1,80,"3,515",334,231,205,235,103,398,322,321,309,228,257,136,188,248
2020,1,90,533,50,47,41,42,18,50,50,42,46,35,31,27,23,31
2020,1,100,23,4,1,2,2,0,3,3,0,1,0,3,1,0,3
2020,2,총,"158,687","9,416","12,344","8,001","11,454","4,134","13,757","23,767","10,711","16,119","12,914","15,506","8,434","7,330","4,800"
2020,2,0,"12,038",447,968,623,949,225,828,"1,857",570,"1,153",985,"1,818",781,627,207
2020,2,10,"15,156",573,"1,473",585,"1,206",285,"1,083","2,210",911,"1,839","1,514","1,642",890,676,269
2020,2,20,"20,611","1,143","1,495",951,"1,429",589,"1,850","3,528","1,518","2,525","1,569","1,648","1,082",868,416
2020,2,30,"20,446",967,"1,472","1,003","1,493",537,"1,848","3,670","1,101","1,748","1,470","2,522","1,195",998,422
2020,2,40,"27,306","1,208","2,410","1,256","2,000",643,"2,183","4,442","1,733","3,008","2,456","2,753","1,444","1,214",556
2020,2,50,"30,990","1,986","2,321","1,625","2,025",859,"2,868","4,547","2,397","3,311","2,695","2,456","1,626","1,396",878
