년도,월,나이,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020,3,총,"40,836","5,388","3,347","2,979","16,615","1,554","3,324","2,401","1,075","2,585","1,568"
2020,3,0,"3,652",391,157,103,"2,630",21,126,69,38,72,45
2020,3,10,"4,519",611,208,157,"2,832",89,226,97,52,151,96
2020,3,20,"4,433",746,318,301,"1,821",136,428,198,96,253,136
2020,3,30,"4,774",544,257,222,"2,842",108,262,175,90,152,122
2020,3,40,"6,786",802,482,372,"3,537",170,447,318,137,332,189
2020,3,50,"6,817",974,670,697,"1,921",348,641,517,195,497,357
2020,3,60,"5,119",731,600,603,701,295,626,486,244,515,318
2020,3,70,"3,404",437,463,384,259,254,401,383,164,438,221
2020,3,80,"1,230",144,176,127,67,121,158,145,52,166,74
2020,3,90,98,8,16,12,4,12,9,13,7,9,8
2020,3,100,4,0,0,1,1,0,0,0,0,0,2
2020,4,총,"40,860","5,382","3,322","2,967","16,724","1,550","3,316","2,390","1,067","2,580","1,562"
2020,4,0,"3,646",394,153,100,"2,633",21,125,66,37,73,44
2020,4,10,"4,510",603,211,157,"2,835",88,230,97,50,147,92
2020,4,20,"4,438",749,309,300,"1,850",136,419,194,95,251,135
2020,4,30,"4,776",542,253,217,"2,862",109,259,173,90,148,123
2020,4,40,"6,787",792,476,371,"3,571",168,444,312,136,332,185
2020,4,50,"6,809",978,668,688,"1,930",347,635,517,196,497,353
2020,4,60,"5,156",735,597,613,709,296,636,490,240,517,323
2020,4,70,"3,400",435,466,381,261,253,400,381,164,435,224
2020,4,80,"1,239",146,174,127,68,122,159,146,53,171,73
2020,4,90,95,8,15,12,4,10,9,14,6,9,8
2020,4,100,4,0,0,1,1,0,0,0,0,0,2
2020,5,총,"40,920","5,382","3,327","2,963","16,805","1,551","3,315","2,385","1,065","2,573","1,554"
2020,5,0,"3,628",392,152,99,"2,625",21,121,67,36,73,42
2020,5,10,"4,519",604,212,153,"2,849",88,229,97,50,145,92
2020,5,20,"4,449",748,307,300,"1,870",137,419,190,94,248,136
2020,5,30,"4,776",545,253,217,"2,872",108,258,169,86,146,122
2020,5,40,"6,773",780,468,371,"3,593",169,440,311,134,327,180
2020,5,50,"6,836",977,674,687,"1,948",346,640,517,198,495,354
2020,5,60,"5,178",741,599,612,713,296,642,493,244,517,321
2020,5,70,"3,424",441,471,387,262,253,401,380,164,441,224
2020,5,80,"1,242",147,176,125,68,123,157,148,53,172,73
2020,5,90,91,7,15,11,4,10,8,13,6,9,8
2020,5,100,4,0,0,1,1,0,0,0,0,0,2
2020,6,총,"40,940","5,372","3,318","2,954","16,869","1,558","3,306","2,387","1,058","2,562","1,556"
2020,6,0,"3,610",394,155,97,"2,612",20,116,66,34,75,41
2020,6,10,"4,514",598,207,154,"2,855",87,228,100,49,145,91
2020,6,20,"4,467",751,307,295,"1,900",136,419,187,93,243,136
2020,6,30,"4,789",542,252,217,"2,883",109,259,172,85,148,122
2020,6,40,"6,740",779,459,369,"3,593",168,430,309,131,325,177
2020,6,50,"6,821",971,672,682,"1,958",347,640,513,196,483,359
2020,6,60,"5,220",748,599,614,724,303,650,494,247,518,323
2020,6,70,"3,440",438,477,387,270,255,397,384,164,444,224
2020,6,80,"1,244",144,175,127,69,122,160,149,53,172,73
2020,6,90,91,7,15,11,4,11,7,13,6,9,8
2020,6,100,4,0,0,1,1,0,0,0,0,0,2
2020,7,총,"40,886","5,349","3,310","2,947","16,874","1,551","3,299","2,383","1,052","2,567","1,554"
2020,7,0,"3,581",393,152,91,"2,595",20,113,66,34,75,42
2020,7,10,"4,495",589,206,154,"2,854",84,228,97,47,147,89
2020,7,20,"4,469",743,308,297,"1,908",136,418,190,89,244,136
2020,7,30,"4,742",533,243,218,"2,864",108,262,170,86,145,113
2020,7,40,"6,755",780,466,367,"3,612",167,427,302,131,322,181
2020,7,50,"6,813",974,660,679,"1,970",349,635,514,193,484,355
2020,7,60,"5,242",744,607,615,730,297,651,496,249,523,330
2020,7,70,"3,449",439,478,391,267,258,396,387,163,445,225
2020,7,80,"1,240",145,174,123,69,121,160,147,54,173,74
2020,7,90,96,9,16,11,4,11,9,14,6,9,7
2020,7,100,4,0,0,1,1,0,0,0,0,0,2
2020,8,총,"41,659","5,314","4,441","2,941","16,565","1,551","3,299","2,389","1,052","2,554","1,553"
2020,8,0,"3,756",381,430,93,"2,506",18,112,68,35,71,42
2020,8,10,"4,586",586,354,152,"2,805",85,226,98,47,145,88
