년도,월,나이,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020,1,총,"310,353","18,349","17,061","17,655","18,696","38,000","24,666","16,183","14,434","22,832","27,546","16,530","26,052","18,928","33,421"
2020,1,0,"20,473","1,365","1,507",800,824,"1,884","1,705",844,898,"1,435","1,474","2,251","2,067","1,567","1,852"
2020,1,10,"24,592","1,602","1,143","1,228",971,"2,693","1,980","1,237","1,170","1,890","2,366","1,481","2,170","2,005","2,656"
2020,1,20,"48,918","2,312","2,465","2,854","6,685","7,627","3,202","2,187","1,882","2,954","4,142","1,668","3,838","2,218","4,884"
2020,1,30,"44,937","2,521","3,034","2,552","3,207","5,964","3,578","2,037","1,942","2,849","3,614","2,655","3,843","2,599","4,542"
2020,1,40,"48,172","3,017","2,771","2,577","1,998","5,579","3,905","2,340","2,197","3,466","4,284","3,161","4,190","3,407","5,280"
2020,1,50,"49,573","3,057","2,843","3,059","2,025","5,538","4,129","2,770","2,611","4,028","4,690","2,239","3,948","3,032","5,604"
2020,1,60,"36,955","2,112","1,720","2,354","1,375","4,207","3,183","2,272","1,869","3,167","3,572","1,604","2,972","2,093","4,455"
2020,1,70,"24,239","1,472","1,036","1,393","1,029","2,957","1,987","1,602","1,247","1,994","2,233",982,"2,012","1,370","2,925"
2020,1,80,"10,666",761,445,673,471,"1,335",862,781,536,892,"1,005",422,846,551,"1,086"
2020,1,90,"1,551",100,70,132,86,188,122,93,77,138,146,52,144,75,128
2020,1,100,277,30,27,33,25,28,13,20,5,19,20,15,22,11,9
2020,2,총,"311,327","18,318","17,061","17,629","18,748","37,977","24,645","16,111","14,384","22,939","27,465","16,438","27,355","18,921","33,336"
2020,2,0,"20,553","1,342","1,503",783,816,"1,855","1,681",825,887,"1,463","1,440","2,269","2,307","1,552","1,830"
2020,2,10,"24,635","1,588","1,146","1,219","1,004","2,695","1,981","1,220","1,153","1,886","2,358","1,448","2,293","2,007","2,637"
2020,2,20,"49,059","2,313","2,463","2,862","6,743","7,659","3,194","2,181","1,877","2,929","4,148","1,645","3,944","2,216","4,885"
