년도,월,나이,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020,3,총,"143,226","3,619","4,063","3,660","1,174",791,959,"1,340","1,501","1,546","1,700","2,553","2,175","2,219","1,286",814,"1,656","2,351","3,536","11,428","4,592","5,882","20,088","4,378","12,096","7,490","12,892","7,766","3,298","16,373"
2020,3,0,"10,027",199,287,143,37,17,7,38,63,54,106,165,35,91,29,13,42,160,161,868,196,239,"1,918",489,840,672,"1,162",333,287,"1,376"
2020,3,10,"14,029",320,311,271,72,27,51,79,69,67,73,189,90,126,54,42,68,184,210,"1,067",312,398,"2,200",431,"1,370","1,073","1,734",615,339,"2,187"
2020,3,20,"16,751",280,356,298,79,49,58,79,94,62,149,223,125,180,119,45,159,220,441,"1,180",631,630,"2,374",418,"1,594","1,088","1,604","1,735",339,"2,142"
2020,3,30,"14,243",273,389,249,55,25,43,56,93,59,123,212,80,152,53,37,121,278,341,"1,190",389,464,"2,417",613,"1,231",880,"1,606",621,404,"1,789"
2020,3,40,"21,002",387,490,364,94,51,63,87,124,107,136,250,146,219,90,49,179,326,391,"1,672",562,701,"3,210",693,"1,930","1,586","2,704",818,504,"3,069"
2020,3,50,"24,565",608,715,628,203,114,158,173,233,253,261,464,350,375,257,122,270,435,542,"2,059",979,"1,008","3,372",639,"2,443","1,186","2,136","1,198",520,"2,864"
2020,3,60,"19,576",677,687,662,210,179,213,304,291,357,313,478,466,419,237,175,363,388,694,"1,711",803,"1,116","2,346",551,"1,512",483,"1,048","1,062",404,"1,427"
2020,3,70,"13,213",476,449,537,224,153,182,276,299,306,284,333,447,315,215,170,282,212,459,"1,044",447,909,"1,357",359,682,337,557,778,254,870
2020,3,80,"8,330",336,326,423,163,144,152,210,207,243,226,206,367,289,192,132,138,120,257,560,229,364,765,158,411,161,296,497,189,569
2020,3,90,"1,407",58,53,78,33,30,30,38,27,35,28,31,64,53,37,26,30,26,38,70,41,52,125,26,81,24,41,97,56,79
2020,3,100,83,5,0,7,4,2,2,0,1,3,1,2,5,0,3,3,4,2,2,7,3,1,4,1,2,0,4,12,2,1
2020,4,총,"143,167","3,609","4,070","3,658","1,178",787,967,"1,334","1,494","1,551","1,707","2,551","2,179","2,229","1,288",816,"1,659","2,348","3,536","11,444","4,591","5,863","20,075","4,364","12,103","7,486","12,878","7,751","3,290","16,361"
2020,4,0,"9,979",195,288,147,38,17,8,38,63,52,109,161,34,91,30,12,42,160,162,864,198,246,"1,905",481,835,668,"1,156",327,281,"1,371"
