년도,월,나이,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동,경기도 하남시 감일동
2020,1,총,"137,533","4,218","3,286","22,598","8,324","9,849","12,768","14,210","3,397","9,400","2,295","2,133","21,257","23,798",
2020,1,0,"15,120",184,156,"2,008",524,592,"1,184","2,375",314,"1,294",73,93,"2,583","3,740",
2020,1,10,"12,136",238,219,"2,127",653,670,"1,384","1,376",233,842,118,106,"1,743","2,427",
2020,1,20,"16,771",554,512,"2,727","1,189","1,409","1,630","1,516",377,"1,167",266,257,"3,082","2,085",
2020,1,30,"23,643",605,568,"3,469","1,276","1,605","1,791","2,554",569,"1,571",286,288,"5,031","4,030",
2020,1,40,"24,955",616,466,"3,689","1,225","1,355","2,199","2,854",563,"1,849",370,327,"4,166","5,276",
2020,1,50,"19,916",849,627,"3,447","1,427","1,823","1,990","1,764",600,"1,375",490,448,"2,284","2,792",
2020,1,60,"15,563",764,453,"3,066","1,254","1,544","1,560","1,131",476,925,409,395,"1,443","2,143",
2020,1,70,"7,377",305,211,"1,606",594,680,790,475,193,318,192,164,755,"1,094",
2020,1,80,"1,814",90,69,411,163,157,216,132,60,49,84,50,148,185,
2020,1,90,210,11,3,45,17,11,23,23,9,10,6,5,22,25,
2020,1,100,28,2,2,3,2,3,1,10,3,0,1,0,0,1,
2020,2,총,"138,362","4,220","3,318","22,578","8,323","9,815","12,763","14,335","3,917","9,359","2,292","2,125","21,546","23,771",
2020,2,0,"15,167",182,160,"1,989",520,591,"1,170","2,368",432,"1,290",70,92,"2,570","3,733",
2020,2,10,"12,173",233,217,"2,122",645,661,"1,374","1,389",293,842,115,102,"1,756","2,424",
2020,2,20,"16,854",553,521,"2,707","1,198","1,397","1,638","1,544",405,"1,134",269,256,"3,163","2,069",
2020,2,30,"23,748",604,574,"3,473","1,273","1,601","1,790","2,556",694,"1,549",283,281,"5,104","3,966",
2020,2,40,"25,286",615,467,"3,706","1,228","1,363","2,196","2,909",662,"1,871",368,328,"4,254","5,319",
2020,2,50,"19,981",857,634,"3,425","1,422","1,798","1,999","1,787",638,"1,364",484,447,"2,323","2,803",
2020,2,60,"15,660",768,459,"3,083","1,261","1,548","1,560","1,145",497,929,419,400,"1,452","2,139",
2020,2,70,"7,415",302,213,"1,614",591,683,789,473,215,321,191,162,753,"1,108",
2020,2,80,"1,837",93,68,412,166,156,222,131,69,49,86,53,149,183,
2020,2,90,211,11,3,43,16,14,24,23,9,10,6,4,22,26,
2020,2,100,30,2,2,4,3,3,1,10,3,0,1,0,0,1,
2020,3,총,"139,324","4,215","3,317","22,592","8,317","9,804","12,753","14,462","4,485","9,359","2,281","2,103","21,853","23,783",
2020,3,0,"15,223",181,160,"1,994",519,587,"1,159","2,355",530,"1,290",68,96,"2,568","3,716",
2020,3,10,"12,278",231,214,"2,117",648,658,"1,367","1,405",340,850,111,103,"1,778","2,456",
2020,3,20,"17,050",562,515,"2,698","1,195","1,399","1,649","1,586",458,"1,124",269,259,"3,266","2,070",
2020,3,30,"23,919",598,571,"3,486","1,266","1,594","1,785","2,597",839,"1,539",277,278,"5,179","3,910",
2020,3,40,"25,506",614,475,"3,695","1,240","1,363","2,201","2,927",755,"1,884",366,316,"4,323","5,347",
2020,3,50,"20,023",844,636,"3,424","1,420","1,776","1,998","1,804",687,"1,359",485,438,"2,332","2,820",
2020,3,60,"15,723",775,460,"3,084","1,246","1,563","1,542","1,145",547,930,421,398,"1,470","2,142",
2020,3,70,"7,487",306,210,"1,625",599,689,799,480,235,324,192,159,762,"1,107",
2020,3,80,"1,867",91,70,419,166,159,228,130,76,49,86,52,153,188,
2020,3,90,218,11,4,46,15,13,24,23,15,10,5,4,22,26,
2020,3,100,30,2,2,4,3,3,1,10,3,0,1,0,0,1,
2020,4,총,"140,443","4,211","3,337","22,565","8,285","9,812","12,741","14,486","1,570","9,396","2,277","2,102","22,045","23,797","3,819"
2020,4,0,"15,320",189,155,"1,982",510,590,"1,155","2,333",61,"1,285",67,92,"2,568","3,678",655
2020,4,10,"12,366",229,216,"2,097",640,650,"1,355","1,422",82,867,110,102,"1,769","2,488",339
