년도,월,나이,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020,3,총,"26,716","10,733","2,430","3,693",949,864,680,"1,231","1,149","2,014","2,609",252,112
2020,3,0,"1,907","1,056",93,354,44,46,19,44,42,65,131,6,7
2020,3,10,"2,261","1,236",150,273,91,40,29,112,40,84,196,7,3
2020,3,20,"2,851","1,303",228,504,87,63,50,105,73,148,268,19,3
2020,3,30,"2,597","1,139",168,516,77,64,59,82,76,166,229,14,7
2020,3,40,"3,878","1,757",319,516,118,98,72,178,119,263,364,54,20
2020,3,50,"4,793","1,738",492,682,167,166,146,256,213,377,476,56,24
2020,3,60,"4,090","1,321",412,442,174,168,149,193,217,435,486,66,27
2020,3,70,"3,038",866,377,296,125,136,106,174,223,360,333,23,19
2020,3,80,"1,201",290,174,102,57,76,46,81,140,108,118,7,2
2020,3,90,96,27,14,7,9,7,4,6,6,8,8,0,0
2020,3,100,4,0,3,1,0,0,0,0,0,0,0,0,0
2020,4,총,"26,693","10,740","2,418","3,688",960,867,676,"1,225","1,153","2,000","2,604",251,111
2020,4,0,"1,915","1,061",94,354,45,45,20,44,44,64,132,6,6
2020,4,10,"2,238","1,230",145,273,90,37,28,111,40,82,192,7,3
2020,4,20,"2,841","1,296",227,499,88,64,49,101,72,150,272,20,3
2020,4,30,"2,592","1,133",165,525,80,64,58,79,77,165,225,14,7
2020,4,40,"3,870","1,757",315,516,121,101,72,177,121,258,358,54,20
2020,4,50,"4,782","1,745",494,674,166,164,144,258,209,371,479,54,24
2020,4,60,"4,115","1,333",416,443,179,170,150,194,219,436,482,66,27
2020,4,70,"3,037",866,374,297,124,138,103,174,224,358,337,23,19
2020,4,80,"1,203",292,170,101,58,77,48,81,141,107,119,7,2
2020,4,90,96,27,15,5,9,7,4,6,6,9,8,0,0
2020,4,100,4,0,3,1,0,0,0,0,0,0,0,0,0
2020,5,총,"26,687","10,724","2,416","3,675",964,872,683,"1,219","1,159","2,005","2,610",249,111
2020,5,0,"1,937","1,068",95,351,45,48,21,44,48,65,140,6,6
2020,5,10,"2,226","1,223",142,274,93,39,26,110,42,80,187,7,3
2020,5,20,"2,843","1,299",231,497,87,62,51,99,70,151,276,17,3
2020,5,30,"2,574","1,130",165,522,80,59,59,78,77,161,222,15,6
2020,5,40,"3,849","1,738",310,512,123,102,72,175,121,264,358,54,20
2020,5,50,"4,764","1,744",494,668,167,165,142,253,206,370,475,56,24
2020,5,60,"4,137","1,334",415,446,181,175,155,198,224,437,479,65,28
2020,5,70,"3,043",867,376,298,124,135,105,174,220,361,341,23,19
2020,5,80,"1,213",293,170,102,55,80,48,81,145,107,124,6,2
2020,5,90,97,28,15,4,9,7,4,7,6,9,8,0,0
2020,5,100,4,0,3,1,0,0,0,0,0,0,0,0,0
2020,6,총,"26,665","10,713","2,406","3,679",968,868,686,"1,214","1,156","2,010","2,608",248,109
2020,6,0,"1,940","1,067",93,353,48,49,24,44,50,63,137,6,6
2020,6,10,"2,227","1,220",141,277,98,38,26,110,42,78,187,7,3
2020,6,20,"2,842","1,304",230,490,88,64,49,98,69,155,274,18,3
2020,6,30,"2,549","1,113",163,520,77,56,62,76,75,159,228,14,6
2020,6,40,"3,819","1,724",307,516,120,99,72,173,121,260,352,55,20
2020,6,50,"4,757","1,746",490,667,168,163,141,251,205,372,476,55,23
2020,6,60,"4,182","1,342",421,453,181,178,157,202,225,448,483,64,28
2020,6,70,"3,032",876,372,296,125,134,103,169,215,362,338,23,19
2020,6,80,"1,217",293,172,102,54,80,48,84,148,104,125,6,1
2020,6,90,96,28,14,4,9,7,4,7,6,9,8,0,0
2020,6,100,4,0,3,1,0,0,0,0,0,0,0,0,0
