년도,월,나이,강릉시,주문진읍,성산면,왕산면,구정면,강동면,옥계면,사천면,연곡면,홍제동,중앙동,옥천동,교1동,교2동,포남1동,포남2동,초당동,송정동,내곡동,강남동,성덕동,경포동
2020,1,총,"213,328","16,379","3,423","1,618","4,074","4,436","3,669","4,530","6,617","15,519","5,136","3,411","26,146","7,973","10,657","13,499","4,897","8,453","17,004","18,502","28,944","8,441"
2020,1,0,"14,023",640,132,34,200,113,137,203,400,"1,410",196,108,"1,895",414,474,676,293,720,"1,561","1,039","2,654",724
2020,1,10,"20,044","1,041",204,44,267,228,177,222,501,"1,591",324,184,"3,285",678,812,"1,348",447,901,"1,699","1,706","3,649",736
2020,1,20,"25,337","1,482",308,105,346,453,285,455,495,"1,850",613,306,"3,489",927,"1,314","1,732",609,946,"2,764","2,053","3,405","1,400"
2020,1,30,"22,197","1,183",207,82,332,302,253,388,613,"2,190",478,296,"2,649",776,987,"1,321",545,"1,046","2,315","1,757","3,465","1,012"
2020,1,40,"32,879","2,066",402,128,472,474,350,592,993,"2,660",639,435,"4,700","1,100","1,467","2,053",773,"1,418","2,637","2,723","5,442","1,355"
2020,1,50,"36,820","3,113",705,342,759,820,729,852,"1,166","2,395",830,621,"4,440","1,469","2,048","2,559",975,"1,402","2,539","3,213","4,552","1,291"
2020,1,60,"31,635","3,291",666,442,817,910,811,918,"1,260","1,802",977,693,"2,954","1,391","1,883","2,171",654,"1,150","1,950","2,804","3,097",994
2020,1,70,"19,433","2,259",436,281,517,671,573,538,756,"1,067",670,529,"1,793",798,"1,138","1,089",358,554,999,"2,096","1,697",614
2020,1,80,"9,343","1,086",306,138,299,390,311,303,370,472,324,214,817,362,463,474,211,267,466,959,855,256
2020,1,90,"1,519",197,53,22,61,68,40,54,59,78,79,25,117,51,68,76,31,48,71,140,122,59
2020,1,100,98,21,4,0,4,7,3,5,4,4,6,0,7,7,3,0,1,1,3,12,6,0
2020,2,총,"213,273","16,360","3,425","1,617","4,062","4,396","3,644","4,521","6,605","15,558","5,116","3,392","26,089","7,971","10,592","13,425","4,884","8,788","16,923","18,485","28,845","8,575"
2020,2,0,"13,992",632,128,33,197,103,132,193,399,"1,441",194,109,"1,896",408,460,669,293,764,"1,537","1,033","2,631",740
2020,2,10,"19,954","1,024",203,44,265,223,176,226,498,"1,587",323,177,"3,265",682,805,"1,316",443,934,"1,691","1,705","3,603",764
2020,2,20,"25,188","1,486",305,105,345,439,279,445,494,"1,828",606,307,"3,460",916,"1,296","1,720",604,990,"2,700","2,046","3,413","1,404"
2020,2,30,"22,133","1,172",214,79,331,295,250,384,602,"2,187",467,298,"2,635",777,978,"1,303",542,"1,110","2,290","1,746","3,436","1,037"
2020,2,40,"32,846","2,064",404,126,468,473,341,592,986,"2,660",638,424,"4,683","1,099","1,455","2,027",772,"1,475","2,652","2,725","5,398","1,384"
2020,2,50,"36,776","3,095",701,341,751,816,728,849,"1,164","2,411",828,615,"4,419","1,466","2,032","2,548",963,"1,448","2,524","3,221","4,550","1,306"
2020,2,60,"31,922","3,305",670,449,828,912,817,925,"1,267","1,824",978,693,"3,001","1,398","1,898","2,203",665,"1,178","1,981","2,804","3,118","1,008"
2020,2,70,"19,386","2,269",435,281,518,668,566,538,755,"1,057",670,527,"1,776",799,"1,130","1,076",358,561,"1,002","2,088","1,701",611
2020,2,80,"9,437","1,095",311,138,291,393,311,311,378,481,324,217,825,367,465,483,210,277,472,963,866,259
2020,2,90,"1,540",197,50,21,63,67,41,54,58,78,82,25,123,51,69,80,33,50,71,142,123,62
2020,2,100,99,21,4,0,5,7,3,4,4,4,6,0,6,8,4,0,1,1,3,12,6,0
2020,3,총,"213,143","16,344","3,424","1,619","4,063","4,390","3,635","4,517","6,579","15,495","5,107","3,387","26,052","7,927","10,615","13,393","4,872","8,865","16,870","18,416","28,914","8,659"
2020,3,0,"13,933",633,127,33,196,106,132,195,380,"1,438",189,107,"1,884",400,464,641,296,776,"1,529","1,024","2,622",761
2020,3,10,"19,832","1,025",198,45,263,214,167,233,498,"1,566",317,177,"3,243",670,798,"1,302",432,942,"1,664","1,681","3,617",780
2020,3,20,"25,110","1,477",308,102,343,436,280,436,491,"1,812",608,308,"3,473",918,"1,301","1,713",601,997,"2,664","2,029","3,435","1,378"
2020,3,30,"22,038","1,173",211,81,330,301,246,388,598,"2,150",452,289,"2,633",771,962,"1,296",536,"1,119","2,264","1,739","3,453","1,046"
2020,3,40,"32,746","2,051",400,124,476,467,342,589,977,"2,655",639,426,"4,651","1,084","1,468","2,014",762,"1,483","2,655","2,698","5,375","1,410"
2020,3,50,"36,769","3,081",698,344,734,813,724,844,"1,164","2,418",831,609,"4,412","1,463","2,034","2,548",960,"1,454","2,536","3,208","4,574","1,320"
2020,3,60,"32,161","3,319",672,448,845,919,823,927,"1,268","1,839",990,692,"3,027","1,384","1,904","2,220",682,"1,204","2,006","2,825","3,139","1,028"
2020,3,70,"19,369","2,260",443,281,513,667,566,533,757,"1,050",668,537,"1,763",806,"1,149","1,085",357,554,"1,000","2,075","1,697",608
2020,3,80,"9,517","1,105",310,140,293,392,311,314,386,485,325,217,834,369,463,488,210,282,475,985,869,264
2020,3,90,"1,568",199,53,21,65,68,41,55,56,78,82,25,126,54,68,86,35,53,74,138,127,64
2020,3,100,100,21,4,0,5,7,3,3,4,4,6,0,6,8,4,0,1,1,3,14,6,0
2020,4,총,"213,037","16,330","3,412","1,614","4,090","4,393","3,626","4,508","6,622","15,464","5,110","3,391","26,050","7,919","10,596","13,315","4,889","8,912","16,817","18,376","28,926","8,677"
