년도,월,나이,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020,1,총,"61,946","1,008","2,838","1,250","2,048","2,385","2,591","1,098","3,768","7,069","8,275","6,778","5,199","5,215","6,107","6,317"
2020,1,0,"3,742",103,117,55,113,101,74,28,100,323,609,430,312,436,392,549
2020,1,10,"3,709",29,90,53,93,156,105,15,170,500,547,500,320,446,267,418
2020,1,20,"8,942",78,226,156,334,642,356,99,609,"1,173","1,054",993,793,753,928,748
2020,1,30,"10,305",224,282,198,349,363,404,153,649,"1,206","1,213","1,117",892,654,"1,417","1,184"
2020,1,40,"9,450",224,393,191,290,324,331,128,622,"1,071","1,277",991,836,821,916,"1,035"
2020,1,50,"10,649",149,630,208,333,307,507,250,724,"1,163","1,349","1,156",967,939,920,"1,047"
2020,1,60,"8,486",134,629,225,296,252,441,269,482,898,"1,207",889,619,680,725,740
2020,1,70,"4,651",46,291,116,165,168,269,107,298,545,712,459,341,321,409,404
2020,1,80,"1,692",16,125,37,59,61,84,37,96,172,265,214,108,143,119,156
2020,1,90,255,4,36,8,13,11,15,8,15,15,37,26,11,18,14,24
2020,1,100,65,1,19,3,3,0,5,4,3,3,5,3,0,4,0,12
2020,2,총,"61,964","1,016","2,826","1,255","2,052","2,376","2,601","1,103","3,762","7,074","8,277","6,756","5,197","5,227","6,108","6,334"
2020,2,0,"3,694",101,112,54,109,101,74,30,96,319,600,414,309,432,389,554
2020,2,10,"3,677",30,91,56,95,161,108,15,165,494,543,490,311,445,268,405
2020,2,20,"8,963",86,231,162,342,634,359,100,602,"1,167","1,045",999,799,752,926,759
2020,2,30,"10,290",215,273,191,342,358,411,157,654,"1,217","1,211","1,109",890,652,"1,435","1,175"
2020,2,40,"9,461",232,391,194,290,329,335,129,621,"1,068","1,289",988,830,812,911,"1,042"
2020,2,50,"10,673",151,628,208,337,306,496,247,724,"1,168","1,358","1,164",974,954,911,"1,047"
2020,2,60,"8,508",133,631,225,293,248,443,269,484,897,"1,206",890,624,689,721,755
2020,2,70,"4,671",48,289,117,168,167,270,105,303,548,717,458,340,324,411,406
2020,2,80,"1,706",16,126,37,60,62,84,39,95,178,264,215,108,145,122,155
2020,2,90,256,3,35,8,13,10,16,8,15,15,39,26,12,18,14,24
2020,2,100,65,1,19,3,3,0,5,4,3,3,5,3,0,4,0,12
2020,3,총,"61,839","1,020","2,807","1,265","2,028","2,376","2,604","1,099","3,751","7,082","8,235","6,727","5,187","5,238","6,107","6,313"
2020,3,0,"3,652",98,112,53,106,100,72,30,99,317,575,411,310,429,392,548
2020,3,10,"3,648",33,90,61,95,161,107,14,157,494,534,481,308,439,269,405
2020,3,20,"8,959",85,230,162,339,646,355,98,605,"1,173","1,044",997,794,762,915,754
2020,3,30,"10,231",211,271,189,332,348,411,164,658,"1,210","1,192","1,109",887,654,"1,438","1,157"
2020,3,40,"9,429",234,378,190,287,332,339,126,609,"1,081","1,282",993,827,804,895,"1,052"
2020,3,50,"10,669",158,618,215,336,301,493,248,719,"1,156","1,374","1,150",969,957,930,"1,045"
2020,3,60,"8,513",132,634,226,286,248,454,262,490,903,"1,195",893,625,693,722,750
2020,3,70,"4,706",49,291,120,170,167,271,107,301,549,730,453,344,334,409,411
2020,3,80,"1,708",16,129,38,59,63,81,38,95,181,264,210,111,144,123,156
2020,3,90,260,3,35,8,15,10,16,8,15,15,40,27,12,18,14,24
2020,3,100,64,1,19,3,3,0,5,4,3,3,5,3,0,4,0,11
2020,4,총,"61,770","1,022","2,805","1,258","2,025","2,387","2,627","1,102","3,751","7,078","8,208","6,720","5,181","5,202","6,102","6,302"
2020,4,0,"3,627",97,114,51,107,99,71,27,101,319,562,408,305,423,395,548
2020,4,10,"3,624",35,87,62,95,158,108,15,157,490,532,477,304,436,266,402
2020,4,20,"8,929",83,230,158,340,660,353,96,598,"1,184","1,044",991,790,747,904,751
2020,4,30,"10,209",209,274,193,331,349,418,163,657,"1,205","1,182","1,111",888,646,"1,438","1,145"
2020,4,40,"9,410",240,383,185,283,331,340,127,607,"1,070","1,281",982,825,808,898,"1,050"
2020,4,50,"10,678",157,610,217,330,305,502,249,719,"1,150","1,374","1,162",970,947,930,"1,056"
2020,4,60,"8,517",130,630,224,287,248,455,268,495,903,"1,200",896,624,691,722,744
2020,4,70,"4,731",51,294,120,173,163,276,108,302,556,722,452,351,339,411,413
2020,4,80,"1,721",16,129,37,61,64,83,37,97,182,267,211,111,143,124,159
2020,4,90,260,3,35,8,15,10,16,8,15,16,39,27,13,18,14,23
2020,4,100,64,1,19,3,3,0,5,4,3,3,5,3,0,4,0,11
2020,5,총,"61,747","1,020","2,806","1,273","2,037","2,384","2,646","1,106","3,750","7,047","8,204","6,715","5,193","5,197","6,086","6,283"
2020,5,0,"3,610",95,112,52,104,101,71,27,106,313,557,404,305,420,398,545
2020,5,10,"3,609",35,88,63,94,160,111,14,157,485,528,472,301,436,266,399
2020,5,20,"8,921",84,230,163,348,662,364,96,594,"1,180","1,053",988,778,746,894,741
2020,5,30,"10,208",210,276,195,333,349,418,170,656,"1,203","1,174","1,117",893,643,"1,430","1,141"
2020,5,40,"9,388",239,379,190,277,323,342,127,594,"1,072","1,274",971,836,809,903,"1,052"
2020,5,50,"10,678",157,610,210,340,306,498,245,726,"1,147","1,379","1,169",970,944,926,"1,051"
2020,5,60,"8,532",129,634,231,287,248,457,269,494,895,"1,200",897,630,695,720,746
2020,5,70,"4,744",51,292,121,173,162,281,109,308,552,725,452,350,341,412,415
2020,5,80,"1,730",16,132,37,62,63,81,37,97,181,271,215,117,140,122,159
2020,5,90,263,3,34,8,16,10,17,8,15,16,39,27,13,19,15,23
2020,5,100,64,1,19,3,3,0,6,4,3,3,4,3,0,4,0,11
2020,6,총,"61,697","1,019","2,783","1,271","2,049","2,376","2,659","1,102","3,756","7,027","8,180","6,715","5,189","5,186","6,092","6,293"
2020,6,0,"3,601",92,112,54,103,99,71,28,107,311,562,399,302,419,399,543
2020,6,10,"3,571",32,88,59,97,162,109,12,155,474,519,473,296,434,262,399
2020,6,20,"8,911",84,226,164,357,657,369,98,603,"1,185","1,041",987,767,741,896,736
2020,6,30,"10,219",213,275,196,334,351,429,166,657,"1,208","1,169","1,118",906,642,"1,423","1,132"
2020,6,40,"9,351",239,376,188,277,314,341,127,587,"1,062","1,261",969,824,810,908,"1,068"
2020,6,50,"10,663",158,597,211,342,310,504,238,728,"1,145","1,377","1,166",976,940,923,"1,048"
2020,6,60,"8,568",130,632,230,288,243,448,274,499,887,"1,212",904,639,696,731,755
2020,6,70,"4,750",51,292,122,170,166,286,109,305,554,717,454,350,341,417,416
2020,6,80,"1,739",16,132,36,62,64,78,38,98,182,281,216,116,141,118,161
2020,6,90,260,3,34,8,16,10,18,8,14,16,37,26,13,18,15,24
2020,6,100,64,1,19,3,3,0,6,4,3,3,4,3,0,4,0,11
2020,7,총,"61,644","1,018","2,774","1,265","2,060","2,379","2,653","1,111","3,772","7,001","8,165","6,711","5,181","5,183","6,079","6,292"
2020,7,0,"3,591",91,114,53,104,99,70,27,111,304,564,395,297,420,395,547
2020,7,10,"3,555",31,91,57,98,160,106,12,153,467,517,472,298,434,265,394
2020,7,20,"8,903",87,220,163,361,657,371,92,611,"1,187","1,041",979,769,738,889,738
2020,7,30,"10,181",208,276,198,336,353,434,171,656,"1,202","1,158","1,124",904,627,"1,411","1,123"
2020,7,40,"9,354",239,382,189,279,317,341,130,583,"1,051","1,247",973,817,815,915,"1,076"
2020,7,50,"10,646",159,583,211,342,308,498,239,735,"1,143","1,377","1,167",983,937,917,"1,047"
2020,7,60,"8,573",130,624,226,287,240,450,278,499,889,"1,219",905,635,701,735,755
2020,7,70,"4,771",52,298,122,173,168,282,111,308,558,715,453,349,347,419,416
2020,7,80,"1,744",17,132,36,62,67,78,39,98,181,284,215,115,142,117,161
2020,7,90,262,3,35,7,15,10,17,8,15,16,39,25,14,18,16,24
2020,7,100,64,1,19,3,3,0,6,4,3,3,4,3,0,4,0,11
2020,8,총,"61,651","1,029","2,762","1,269","2,072","2,366","2,671","1,109","3,800","7,009","8,147","6,693","5,176","5,192","6,054","6,302"
2020,8,0,"3,595",92,114,53,102,101,69,25,114,308,563,392,296,421,394,551
2020,8,10,"3,529",32,86,57,98,156,105,12,150,468,511,468,294,434,263,395
2020,8,20,"8,889",94,220,165,362,650,375,89,619,"1,177","1,043",976,764,739,888,728
2020,8,30,"10,173",206,273,200,346,346,438,173,666,"1,195","1,157","1,118",914,623,"1,389","1,129"
2020,8,40,"9,333",239,377,191,280,315,348,130,581,"1,056","1,239",962,805,813,920,"1,077"
2020,8,50,"10,621",159,576,210,343,311,495,239,739,"1,144","1,363","1,162",983,940,914,"1,043"
2020,8,60,"8,626",134,626,228,287,239,458,275,499,899,"1,229",916,637,705,735,759
2020,8,70,"4,789",52,300,119,173,168,282,115,313,559,712,450,354,351,419,422
2020,8,80,"1,766",17,135,36,64,70,77,39,101,184,286,221,115,144,114,163
2020,8,90,265,3,35,7,14,10,18,8,15,16,40,25,14,18,18,24
2020,8,100,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2020,9,총,"61,526","1,024","2,753","1,265","2,079","2,367","2,669","1,099","3,824","6,987","8,121","6,692","5,170","5,163","6,030","6,283"
2020,9,0,"3,570",93,110,51,103,99,70,25,120,300,563,392,295,411,391,547
2020,9,10,"3,494",31,85,58,94,153,106,12,151,461,504,465,291,432,259,392
2020,9,20,"8,897",93,227,159,369,662,366,86,626,"1,184","1,033",974,775,724,891,728
2020,9,30,"10,098",205,262,207,344,343,445,174,667,"1,184","1,148","1,112",897,626,"1,379","1,105"
2020,9,40,"9,323",237,378,190,280,312,347,128,580,"1,057","1,230",969,806,805,910,"1,094"
2020,9,50,"10,585",158,573,208,345,307,495,237,745,"1,139","1,368","1,151",986,935,908,"1,030"
2020,9,60,"8,657",132,625,226,290,241,456,274,503,904,"1,230",929,634,716,736,761
2020,9,70,"4,786",53,299,120,173,169,282,112,312,554,707,450,357,347,423,428
2020,9,80,"1,779",18,138,36,63,71,77,39,102,185,292,222,113,145,115,163
2020,9,90,272,3,36,7,15,10,19,8,15,16,42,25,16,18,18,24
2020,9,100,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2020,10,총,"61,432","1,022","2,749","1,265","2,078","2,364","2,674","1,106","3,830","6,967","8,119","6,684","5,149","5,152","6,020","6,253"
2020,10,0,"3,557",94,111,52,101,99,72,25,119,297,556,394,291,414,387,545
2020,10,10,"3,483",30,88,59,96,149,104,12,152,458,506,457,288,432,255,397
2020,10,20,"8,867",89,226,161,368,666,364,83,634,"1,171","1,024",977,774,722,895,713
2020,10,30,"10,058",209,265,203,347,343,443,180,664,"1,179","1,145","1,108",886,620,"1,380","1,086"
