년도,월,나이,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020,1,총,"26,174","12,460",920,926,"1,469",792,850,389,704,565,502,"1,773",906,"1,631","2,287"
2020,1,0,"1,471","1,077",31,19,58,17,16,10,11,18,11,71,9,35,88
2020,1,10,"2,245","1,452",53,48,101,36,34,17,34,42,19,132,26,83,168
2020,1,20,"2,418","1,333",52,62,159,66,57,26,66,45,36,165,56,110,185
2020,1,30,"2,349","1,377",62,65,110,30,50,19,52,34,27,136,58,127,202
2020,1,40,"3,759","2,044",117,104,205,86,85,29,88,49,45,228,114,198,367
2020,1,50,"5,015","2,212",176,172,290,152,175,69,157,102,116,339,214,354,487
2020,1,60,"4,615","1,704",229,203,286,192,198,87,147,136,116,403,199,353,362
2020,1,70,"2,968",906,148,166,184,132,160,90,95,76,82,218,159,268,284
2020,1,80,"1,220",328,48,80,66,75,61,39,52,55,45,75,68,92,136
2020,1,90,110,24,4,7,10,6,14,3,2,8,4,6,3,11,8
2020,1,100,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,2,총,"26,101","12,429",916,920,"1,476",786,842,384,707,564,506,"1,766",904,"1,622","2,279"
2020,2,0,"1,457","1,064",30,18,60,17,15,9,11,18,11,71,9,35,89
2020,2,10,"2,239","1,450",51,45,99,36,33,17,35,41,22,134,28,82,166
2020,2,20,"2,378","1,321",51,61,160,60,55,23,64,45,35,158,55,108,182
2020,2,30,"2,326","1,359",64,64,107,33,51,19,54,32,28,134,57,127,197
2020,2,40,"3,744","2,035",115,102,210,85,85,31,87,49,43,230,112,197,363
2020,2,50,"5,009","2,215",173,170,290,148,174,67,157,102,120,341,215,350,487
2020,2,60,"4,636","1,713",231,207,289,194,198,87,149,137,115,398,197,353,368
2020,2,70,"2,962",911,146,163,182,130,159,90,96,77,82,219,160,267,280
2020,2,80,"1,230",333,50,83,68,75,59,37,51,55,45,75,68,92,139
2020,2,90,116,25,5,7,11,8,13,4,3,8,4,6,3,11,8
2020,2,100,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,3,총,"26,058","12,395",920,920,"1,475",786,843,386,704,561,508,"1,776",902,"1,615","2,267"
2020,3,0,"1,440","1,053",30,18,61,16,13,10,10,18,10,69,10,33,89
2020,3,10,"2,234","1,445",52,45,98,37,31,17,36,39,23,138,29,82,162
2020,3,20,"2,368","1,315",51,59,161,60,55,23,64,45,32,163,53,107,180
2020,3,30,"2,305","1,339",63,63,108,36,51,18,54,30,30,134,57,125,197
2020,3,40,"3,725","2,029",113,102,203,82,84,33,87,51,44,227,109,202,359
2020,3,50,"5,009","2,215",174,170,289,150,180,68,157,104,117,344,218,339,484
2020,3,60,"4,640","1,719",233,209,292,189,197,86,146,133,121,398,194,356,367
2020,3,70,"2,970",915,148,165,183,130,159,91,93,77,82,221,160,265,281
2020,3,80,"1,249",338,51,83,69,78,60,37,54,56,44,76,69,94,140
2020,3,90,114,24,5,6,11,8,13,3,3,8,4,6,3,12,8
2020,3,100,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,4,총,"26,053","12,408",921,919,"1,475",790,844,387,702,560,511,"1,776",903,"1,606","2,251"
2020,4,0,"1,421","1,038",30,18,60,16,13,10,10,18,11,69,10,32,86
