년도,월,나이,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020,1,총,"14,706","4,107",984,848,"1,271",722,990,632,"2,270","1,264",893,725
2020,1,0,595,245,34,17,26,13,20,17,128,38,38,19
2020,1,10,"1,018",333,64,35,71,25,39,38,244,105,38,26
2020,1,20,"1,177",371,51,38,80,31,66,33,293,94,57,63
2020,1,30,837,343,38,23,59,26,42,21,167,49,36,33
2020,1,40,"1,419",514,78,61,97,46,71,40,266,143,52,51
2020,1,50,"2,245",611,149,128,189,123,169,87,341,187,140,121
2020,1,60,"2,308",607,185,150,212,119,179,107,299,171,140,139
2020,1,70,"2,571",589,203,190,246,169,205,142,282,231,191,123
2020,1,80,"2,134",411,161,167,242,146,157,125,217,211,170,127
2020,1,90,393,80,19,38,48,24,42,22,33,35,30,22
2020,1,100,9,3,2,1,1,0,0,0,0,0,1,1
2020,2,총,"14,660","4,113",982,849,"1,255",712,994,632,"2,261","1,255",892,715
2020,2,0,590,241,34,18,25,13,19,17,129,37,37,20
2020,2,10,"1,014",334,64,36,69,25,41,39,241,102,37,26
2020,2,20,"1,149",367,50,38,77,31,68,32,284,91,56,55
2020,2,30,833,347,38,23,57,23,42,21,165,48,37,32
2020,2,40,"1,421",517,79,61,94,44,74,38,270,144,50,50
2020,2,50,"2,250",612,147,128,190,122,167,90,343,186,144,121
2020,2,60,"2,297",608,184,148,211,118,176,106,300,172,138,136
2020,2,70,"2,551",586,205,189,238,162,207,142,279,229,192,122
2020,2,80,"2,151",415,161,169,246,150,158,126,219,208,168,131
2020,2,90,394,83,18,38,47,23,42,21,31,38,32,21
2020,2,100,10,3,2,1,1,1,0,0,0,0,1,1
