년도,월,나이,경주시,감포읍,안강읍,건천읍,외동읍,양북면,양남면,내남면,산내면,서면,현곡면,강동면,천북면,중부동,황오동,성건동,황남동,선도동,월성동,용강동,황성동,동천동,불국동,보덕동,문무대왕면
2020,1,총,"255,253","5,602","25,816","9,681","18,737","4,431","6,379","4,865","3,278","3,312","21,674","6,490","5,558","5,520","6,815","14,456","5,152","15,109","6,064","21,651","29,614","23,357","9,848","1,844",
2020,1,0,"16,887",164,"1,319",383,"1,020",248,316,107,57,70,"2,392",206,229,229,195,511,112,"1,273",389,"2,713","2,797","1,405",680,72,
2020,1,10,"21,926",222,"2,237",528,"1,100",207,356,221,87,145,"2,532",377,360,338,380,937,233,"1,787",359,"2,459","3,924","2,437",597,103,
2020,1,20,"27,846",414,"2,623",806,"1,871",468,633,321,164,205,"2,394",542,539,601,702,"2,127",408,"1,936",512,"2,499","3,846","3,169",898,168,
2020,1,30,"26,434",359,"1,977",730,"2,038",527,519,280,150,177,"3,097",438,524,551,582,"1,400",357,"1,608",581,"3,117","3,498","2,528","1,247",149,
2020,1,40,"37,821",649,"3,592","1,093","2,598",413,779,452,212,345,"3,811",787,690,693,812,"1,934",554,"2,663",790,"3,892","5,576","3,951","1,300",235,
2020,1,50,"47,083","1,051","5,182","1,778","3,840",681,"1,357",947,636,589,"3,438","1,317","1,067",978,"1,249","2,508",930,"2,738","1,068","3,648","5,388","4,551","1,801",341,
2020,1,60,"38,993","1,224","4,257","2,004","3,247",796,"1,232","1,101",907,746,"2,209","1,286","1,007","1,043","1,432","2,637","1,120","1,670","1,118","1,970","2,778","3,172","1,656",381,
2020,1,70,"24,004",950,"2,894","1,433","1,829",614,740,811,644,652,"1,119",900,720,730,982,"1,713",866,904,772,866,"1,128","1,454","1,022",261,
2020,1,80,"12,573",495,"1,562",813,"1,053",415,379,557,364,350,601,559,375,318,419,615,505,470,422,418,591,625,555,112,
2020,1,90,"1,596",73,162,105,135,60,67,65,54,31,78,76,45,31,52,72,60,58,52,64,85,64,87,20,
2020,1,100,90,1,11,8,6,2,1,3,3,2,3,2,2,8,10,2,7,2,1,5,3,1,5,2,
2020,2,총,"254,853","5,595","25,708","9,640","18,834","4,415","6,311","4,842","3,283","3,295","21,806","6,481","5,626","5,501","6,805","14,410","5,050","15,141","6,021","21,620","29,513","23,314","9,809","1,833",
2020,2,0,"16,775",163,"1,312",376,"1,028",245,303,102,58,69,"2,416",201,240,224,195,501,108,"1,259",379,"2,680","2,781","1,393",671,71,
