년도,월,나이,강동구,강일동,상일동,명일제1동,명일제2동,고덕제1동,고덕제2동,암사제1동,암사제2동,암사제3동,천호제1동,천호제2동,천호제3동,성내제1동,성내제2동,성내제3동,길동,둔촌제1동,둔촌제2동,상일제1동,상일제2동
2020,1,총,"217,545","15,391","7,250","13,032","8,758","13,718","10,297","18,009","7,261","9,119","13,869","17,415","13,545","9,900","12,041","11,699","22,489",128,"13,624",,
2020,1,0,"17,030","1,401",628,"1,119",616,"1,759","1,178","1,213",686,"1,079",807,"1,008",798,832,647,747,"1,434",5,"1,073",,
2020,1,10,"20,521","2,295",871,"1,448","1,439","1,999",932,"1,490",498,"1,019","1,023","1,063",729,951,642,"1,180","1,685",4,"1,253",,
2020,1,20,"29,767","1,964",953,"1,702","1,181","1,442","1,200","2,579",988,"1,038","1,986","2,408","1,885","1,373","1,801","1,866","3,351",10,"2,040",,
2020,1,30,"34,312","1,533","1,009","2,129",907,"1,889","1,743","2,919","1,395","1,246","2,208","3,268","2,462","1,634","2,289","1,853","3,773",15,"2,040",,
2020,1,40,"35,455","2,695","1,139","2,068","1,431","2,764","1,700","2,915","1,174","1,657","2,185","2,675","2,116","1,682","1,874","1,814","3,529",26,"2,011",,
2020,1,50,"34,816","2,465","1,225","1,973","1,419","1,849","1,600","3,049","1,064","1,305","2,303","3,067","2,332","1,465","1,989","1,877","3,593",18,"2,223",,
2020,1,60,"27,788","1,739",923,"1,638","1,177","1,307","1,270","2,325",823,"1,141","2,007","2,313","1,943","1,153","1,625","1,383","3,131",26,"1,864",,
2020,1,70,"13,874",920,409,749,463,509,528,"1,191",497,495,"1,073","1,246",999,623,905,787,"1,585",15,880,,
2020,1,80,"3,548",331,85,182,107,167,124,291,121,123,254,332,260,164,247,169,371,7,213,,
2020,1,90,376,44,7,22,18,22,19,33,13,12,20,28,16,23,18,20,34,1,26,,
2020,1,100,58,4,1,2,0,11,3,4,2,4,3,7,5,0,4,3,3,1,1,,
2020,2,총,"220,464","15,425","10,096","13,024","8,725","13,662","10,625","17,968","7,434","9,082","13,815","17,377","13,438","9,908","12,034","11,664","22,464",127,"13,596",,
2020,2,0,"17,542","1,395","1,171","1,112",620,"1,757","1,224","1,204",727,"1,075",795,993,778,833,635,733,"1,410",5,"1,075",,
2020,2,10,"20,785","2,291","1,189","1,449","1,427","1,993",975,"1,475",522,"1,014",997,"1,051",720,957,634,"1,178","1,668",4,"1,241",,
2020,2,20,"29,855","1,974","1,181","1,685","1,156","1,422","1,225","2,562",997,"1,019","1,975","2,398","1,871","1,364","1,809","1,853","3,348",10,"2,006",,
2020,2,30,"34,828","1,547","1,511","2,137",914,"1,861","1,798","2,922","1,425","1,250","2,196","3,264","2,428","1,615","2,285","1,824","3,785",15,"2,051",,
2020,2,40,"36,208","2,696","1,748","2,076","1,436","2,787","1,789","2,905","1,207","1,658","2,181","2,673","2,097","1,702","1,882","1,814","3,520",25,"2,012",,
2020,2,50,"35,088","2,468","1,517","1,964","1,401","1,824","1,633","3,057","1,084","1,300","2,298","3,054","2,332","1,455","1,974","1,889","3,597",19,"2,222",,
2020,2,60,"28,137","1,746","1,198","1,636","1,175","1,306","1,299","2,314",833,"1,127","2,020","2,326","1,938","1,169","1,634","1,393","3,133",25,"1,865",,
2020,2,70,"13,991",932,473,755,468,515,536,"1,197",503,496,"1,072","1,246",990,627,903,790,"1,591",15,882,,
2020,2,80,"3,590",330,97,184,109,164,124,293,122,128,258,337,262,164,256,167,373,7,215,,
2020,2,90,379,42,10,24,19,22,19,34,12,11,19,28,17,22,18,20,35,1,26,,
2020,2,100,61,4,1,2,0,11,3,5,2,4,4,7,5,0,4,3,4,1,1,,
2020,3,총,"223,189","15,366","13,611","12,911","8,662","13,551","10,702","17,885","7,511","9,022","13,782","17,351","13,285","9,860","11,995","11,646","22,372",127,"13,550",,
2020,3,0,"17,987","1,352","1,807","1,099",606,"1,741","1,229","1,171",743,"1,075",783,979,767,835,632,725,"1,377",5,"1,061",,
