년도,월,나이,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼남면,울산광역시 울주군 삼동면,울산광역시 울주군 삼남읍
2020,1,총,"107,911","8,861","14,204","13,808","35,413","9,388","3,940","3,763","2,003","1,575","3,915","10,172",869,
2020,1,0,"9,212",784,"1,273","1,363","3,467",932,274,151,64,30,132,717,25,
2020,1,10,"11,100",800,"1,426","1,606","4,887",823,239,196,90,63,187,755,28,
2020,1,20,"11,558",974,"1,565","1,487","4,101","1,078",320,357,124,69,319,"1,110",54,
2020,1,30,"12,793","1,131","1,631","1,817","4,310","1,327",427,292,130,94,271,"1,319",44,
2020,1,40,"18,613","1,467","2,356","2,567","7,617","1,468",443,374,191,104,455,"1,498",73,
2020,1,50,"19,353","1,618","2,596","2,315","5,973","1,616",719,809,400,261,848,"2,046",152,
2020,1,60,"13,255","1,134","1,796","1,351","2,929","1,169",775,753,476,363,828,"1,468",213,
2020,1,70,"7,066",582,899,763,"1,330",596,450,482,270,301,478,768,147,
2020,1,80,"4,167",314,553,472,690,312,250,299,207,235,322,409,104,
2020,1,90,765,50,103,66,107,64,42,50,48,55,73,79,28,
2020,1,100,29,7,6,1,2,3,1,0,3,0,2,3,1,
2020,2,총,"107,716","8,813","14,217","13,796","35,334","9,361","3,919","3,750","2,013","1,576","3,898","10,181",858,
2020,2,0,"9,158",767,"1,263","1,367","3,457",917,268,149,65,31,129,720,25,
2020,2,10,"10,988",795,"1,406","1,592","4,840",812,241,191,90,62,186,747,26,
2020,2,20,"11,504",965,"1,564","1,478","4,096","1,073",311,348,125,65,311,"1,118",50,
2020,2,30,"12,668","1,115","1,630","1,787","4,246","1,321",423,293,131,93,265,"1,317",47,
2020,2,40,"18,595","1,458","2,359","2,579","7,605","1,466",435,373,192,108,455,"1,496",69,
2020,2,50,"19,420","1,618","2,620","2,323","6,001","1,626",717,810,399,258,843,"2,052",153,
2020,2,60,"13,343","1,144","1,808","1,365","2,952","1,168",780,762,484,369,831,"1,471",209,
2020,2,70,"7,055",582,904,763,"1,331",586,448,477,271,299,479,768,147,
2020,2,80,"4,185",311,555,475,690,320,252,297,207,235,327,410,106,
2020,2,90,771,51,102,66,114,69,43,50,46,56,70,79,25,
2020,2,100,29,7,6,1,2,3,1,0,3,0,2,3,1,
2020,3,총,"107,800","8,798","14,202","13,784","35,365","9,396","3,923","3,756","2,015","1,588","3,898","10,221",854,
2020,3,0,"9,121",759,"1,258","1,363","3,443",910,266,152,65,31,128,723,23,
2020,3,10,"10,952",796,"1,395","1,586","4,835",806,239,191,90,63,187,740,24,
2020,3,20,"11,532",970,"1,555","1,476","4,113","1,083",317,346,124,66,310,"1,120",52,
2020,3,30,"12,632","1,100","1,617","1,768","4,238","1,325",426,293,130,94,264,"1,332",45,
2020,3,40,"18,504","1,452","2,357","2,575","7,556","1,466",437,369,189,108,444,"1,486",65,
2020,3,50,"19,501","1,614","2,620","2,331","6,050","1,639",714,804,398,261,841,"2,071",158,
2020,3,60,"13,456","1,148","1,821","1,381","2,983","1,177",777,772,487,373,848,"1,481",208,
2020,3,70,"7,070",584,908,760,"1,328",594,452,474,275,299,477,772,147,
2020,3,80,"4,226",313,564,478,702,322,253,303,208,235,328,413,107,
2020,3,90,777,55,101,65,115,71,41,52,46,58,69,80,24,
2020,3,100,29,7,6,1,2,3,1,0,3,0,2,3,1,
2020,4,총,"107,951","8,796","14,211","13,778","35,403","9,425","3,942","3,758","2,020","1,592","3,901","10,267",858,
2020,4,0,"9,110",753,"1,259","1,352","3,441",917,269,154,66,31,128,718,22,
2020,4,10,"10,942",799,"1,383","1,585","4,836",806,239,187,89,65,189,738,26,
2020,4,20,"11,568",972,"1,558","1,474","4,115","1,091",314,345,125,66,306,"1,148",54,
2020,4,30,"12,614","1,102","1,620","1,753","4,222","1,329",435,290,131,95,261,"1,331",45,
2020,4,40,"18,443","1,440","2,357","2,572","7,524","1,455",445,369,186,105,448,"1,478",64,
2020,4,50,"19,581","1,619","2,615","2,338","6,094","1,652",713,804,400,263,846,"2,078",159,
2020,4,60,"13,538","1,154","1,829","1,395","3,011","1,175",779,777,489,376,847,"1,496",210,
2020,4,70,"7,094",582,911,761,"1,335",602,451,477,278,300,474,779,144,
2020,4,80,"4,253",313,573,481,708,324,255,302,207,235,328,417,110,
2020,4,90,780,55,100,66,115,71,41,53,47,56,72,81,23,
2020,4,100,28,7,6,1,2,3,1,0,2,0,2,3,1,
2020,5,총,"107,825","8,781","14,251","13,769","35,307","9,405","3,933","3,752","2,020","1,591","3,905","10,252",859,
2020,5,0,"9,071",747,"1,267","1,342","3,413",919,261,150,70,31,126,724,21,
2020,5,10,"10,897",794,"1,382","1,583","4,816",795,245,184,88,66,186,732,26,
2020,5,20,"11,526",974,"1,559","1,477","4,090","1,088",307,347,125,66,310,"1,130",53,
2020,5,30,"12,552","1,084","1,620","1,755","4,185","1,326",434,284,129,90,260,"1,338",47,
2020,5,40,"18,402","1,448","2,350","2,567","7,512","1,444",444,371,184,111,440,"1,470",61,
2020,5,50,"19,614","1,621","2,636","2,337","6,114","1,655",716,802,401,259,845,"2,067",161,
2020,5,60,"13,573","1,149","1,838","1,399","3,018","1,180",770,778,490,376,854,"1,509",212,
2020,5,70,"7,126",587,916,759,"1,337",598,462,479,279,300,478,786,145,
2020,5,80,"4,252",316,575,483,705,324,251,305,205,238,330,412,108,
2020,5,90,784,54,102,66,115,72,42,52,47,54,74,82,24,
2020,5,100,28,7,6,1,2,4,1,0,2,0,2,2,1,
2020,6,총,"107,764","8,768","14,224","13,717","35,294","9,409","3,923","3,747","2,017","1,598","3,929","10,274",864,
2020,6,0,"9,019",739,"1,256","1,324","3,398",916,259,148,69,33,128,725,24,
2020,6,10,"10,888",796,"1,377","1,587","4,806",793,245,187,88,63,191,729,26,
2020,6,20,"11,491",969,"1,560","1,467","4,090","1,085",304,339,124,70,308,"1,124",51,
2020,6,30,"12,478","1,074","1,610","1,745","4,143","1,325",432,283,128,90,261,"1,339",48,
2020,6,40,"18,388","1,443","2,350","2,554","7,518","1,439",437,360,182,111,453,"1,480",61,
2020,6,50,"19,604","1,625","2,617","2,331","6,115","1,663",716,813,403,259,839,"2,062",161,
2020,6,60,"13,675","1,153","1,862","1,404","3,050","1,188",775,779,493,377,859,"1,521",214,
2020,6,70,"7,164",589,915,758,"1,354",604,465,478,276,304,483,793,145,
2020,6,80,"4,240",315,571,478,703,321,246,308,206,237,332,415,108,
2020,6,90,789,58,100,68,115,71,43,52,46,54,73,84,25,
2020,6,100,28,7,6,1,2,4,1,0,2,0,2,2,1,
2020,7,총,"107,807","8,786","14,231","13,719","35,265","9,423","3,922","3,747","2,027","1,599","3,935","10,287",866,
2020,7,0,"8,984",738,"1,243","1,321","3,387",912,257,144,69,32,129,726,26,
2020,7,10,"10,863",797,"1,381","1,581","4,785",797,239,183,89,64,191,728,28,
2020,7,20,"11,496",967,"1,560","1,475","4,088","1,087",298,342,125,71,309,"1,123",51,
2020,7,30,"12,458","1,081","1,612","1,748","4,140","1,316",432,279,126,90,251,"1,335",48,
2020,7,40,"18,371","1,443","2,348","2,539","7,502","1,450",436,361,183,111,452,"1,487",59,
2020,7,50,"19,604","1,621","2,616","2,329","6,126","1,658",713,814,412,257,845,"2,054",159,
2020,7,60,"13,760","1,165","1,875","1,418","3,056","1,198",787,785,492,376,864,"1,526",218,
2020,7,70,"7,181",589,918,759,"1,357",604,464,476,277,304,490,799,144,
2020,7,80,"4,268",320,571,477,707,327,252,310,205,240,329,422,108,
2020,7,90,794,58,101,71,115,70,43,53,47,54,73,85,24,
2020,7,100,28,7,6,1,2,4,1,0,2,0,2,2,1,
2020,8,총,"107,809","8,781","14,251","13,728","35,245","9,418","3,919","3,737","2,023","1,599","3,928","10,312",868,
2020,8,0,"8,926",738,"1,241","1,315","3,367",902,251,136,66,33,125,724,28,
2020,8,10,"10,848",790,"1,386","1,593","4,776",787,242,180,87,64,193,722,28,
2020,8,20,"11,464",965,"1,550","1,464","4,092","1,079",295,345,127,71,307,"1,119",50,
2020,8,30,"12,377","1,070","1,604","1,743","4,093","1,320",427,279,124,88,247,"1,335",47,
2020,8,40,"18,394","1,451","2,364","2,552","7,494","1,444",443,349,181,110,453,"1,492",61,
2020,8,50,"19,622","1,613","2,614","2,325","6,156","1,665",703,818,419,254,838,"2,059",158,
2020,8,60,"13,871","1,176","1,891","1,431","3,074","1,209",796,784,492,383,870,"1,547",218,
2020,8,70,"7,188",591,914,762,"1,362",607,466,476,273,303,490,800,144,
2020,8,80,"4,291",322,578,471,715,330,251,316,205,239,330,425,109,
2020,8,90,799,58,102,71,114,71,44,54,47,54,73,87,24,
2020,8,100,29,7,7,1,2,4,1,0,2,0,2,2,1,
2020,9,총,"107,796","8,769","14,232","13,728","35,254","9,427","3,916","3,731","2,028","1,597","3,919","10,321",874,
2020,9,0,"8,876",735,"1,237","1,307","3,337",902,248,133,66,33,123,725,30,
2020,9,10,"10,830",783,"1,377","1,602","4,784",782,241,179,89,61,187,716,29,
2020,9,20,"11,480",964,"1,546","1,455","4,118","1,079",296,347,127,69,310,"1,117",52,
2020,9,30,"12,293","1,063","1,594","1,733","4,060","1,312",427,278,124,91,239,"1,324",48,
2020,9,40,"18,345","1,439","2,346","2,559","7,470","1,442",443,349,185,106,450,"1,495",61,
2020,9,50,"19,645","1,616","2,618","2,319","6,182","1,671",699,808,414,258,841,"2,065",154,
2020,9,60,"13,967","1,186","1,911","1,444","3,095","1,222",792,791,497,386,870,"1,552",221,
2020,9,70,"7,219",595,913,762,"1,373",608,471,477,270,301,493,811,145,
2020,9,80,"4,309",323,577,475,717,335,252,316,207,239,329,430,109,
2020,9,90,803,58,106,71,116,70,46,53,47,53,75,84,24,
2020,9,100,29,7,7,1,2,4,1,0,2,0,2,2,1,
2020,10,총,"107,750","8,763","14,256","13,723","35,221","9,415","3,902","3,721","2,028","1,595","3,924","10,324",878,
2020,10,0,"8,802",734,"1,235","1,284","3,309",897,242,130,68,32,122,717,32,
