년도,월,나이,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020,7,100,17,9,0,0,0,1,0,0,1,1,2,0,1,1,1
2020,8,총,"51,630","24,602","1,783","1,849","2,776","1,600","1,669",879,"1,441","1,138","1,018","3,631","1,776","3,114","4,354"
2020,8,0,"2,693","1,967",46,29,103,26,28,18,34,30,27,149,21,65,150
2020,8,10,"4,083","2,642",90,86,183,68,58,34,64,69,34,273,50,143,289
2020,8,20,"3,966","2,263",82,95,250,91,90,46,99,70,54,278,92,175,281
2020,8,30,"4,039","2,500",93,88,186,72,80,38,83,47,40,252,79,174,307
2020,8,40,"6,523","3,827",185,154,325,134,131,51,130,80,69,426,166,290,555
2020,8,50,"9,214","4,321",307,302,497,288,312,129,269,184,186,644,368,583,824
2020,8,60,"9,505","3,650",446,445,576,344,381,198,299,258,233,782,378,713,802
2020,8,70,"6,802","2,192",323,379,390,309,311,203,231,188,203,509,353,567,644
2020,8,80,"4,173","1,081",183,235,224,235,239,141,200,176,145,277,236,352,449
2020,8,90,615,150,28,36,42,32,39,21,31,35,25,41,32,51,52
2020,8,100,17,9,0,0,0,1,0,0,1,1,2,0,1,1,1
2020,9,총,"51,539","24,562","1,777","1,850","2,767","1,604","1,667",874,"1,448","1,134","1,010","3,618","1,777","3,103","4,348"
2020,9,0,"2,676","1,949",46,30,101,26,28,18,37,30,27,148,23,65,148
2020,9,10,"4,073","2,634",89,85,184,68,61,33,63,69,33,274,50,144,286
2020,9,20,"3,950","2,259",80,92,253,91,90,45,101,69,53,264,93,174,286
2020,9,30,"3,972","2,447",94,89,185,71,76,37,83,46,42,251,80,171,300
2020,9,40,"6,495","3,818",178,156,314,136,133,49,132,78,68,424,166,289,554
2020,9,50,"9,184","4,330",301,300,494,286,304,125,266,182,180,649,362,581,824
2020,9,60,"9,571","3,689",455,447,577,347,386,202,305,258,232,783,379,710,801
2020,9,70,"6,789","2,190",321,380,390,312,309,201,230,188,200,504,351,566,647
2020,9,80,"4,188","1,086",184,234,226,231,238,143,199,177,148,279,241,350,452
2020,9,90,623,151,29,37,42,35,42,21,31,36,25,42,31,52,49
2020,9,100,18,9,0,0,1,1,0,0,1,1,2,0,1,1,1
2020,10,총,"51,477","24,552","1,765","1,859","2,756","1,600","1,675",866,"1,446","1,137","1,007","3,611","1,775","3,089","4,339"
2020,10,0,"2,647","1,932",42,28,99,25,32,18,37,30,28,144,23,62,147
2020,10,10,"4,087","2,633",91,99,187,65,62,32,60,70,34,275,49,144,286
2020,10,20,"3,948","2,281",79,92,247,88,89,44,99,69,50,264,91,171,284
2020,10,30,"3,929","2,425",89,91,184,68,75,38,84,46,40,246,78,163,302
2020,10,40,"6,429","3,784",176,148,309,137,133,44,132,77,67,424,166,287,545
2020,10,50,"9,174","4,333",301,298,491,281,304,125,266,181,179,648,360,581,826
