년도,월,나이,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면,강원도 영월군 산솔면
2020,1,총,"20,154","10,891",583,778,911,"1,139","1,214",714,938,"1,964","1,022",
2020,1,0,940,736,14,12,18,22,26,20,21,48,23,
2020,1,10,"1,616","1,200",18,26,41,39,54,32,38,127,41,
2020,1,20,"1,954","1,346",33,49,60,81,78,67,62,127,51,
2020,1,30,"1,641","1,058",31,42,37,73,87,50,81,134,48,
2020,1,40,"2,710","1,616",78,94,95,139,152,92,118,209,117,
2020,1,50,"4,118","2,061",139,190,237,260,251,166,205,397,212,
2020,1,60,"3,952","1,570",131,211,240,287,336,164,207,505,301,
2020,1,70,"2,215",905,91,110,132,158,154,85,137,269,174,
2020,1,80,903,360,44,39,49,73,62,36,61,131,48,
2020,1,90,91,34,3,4,2,4,12,2,8,15,7,
2020,1,100,14,5,1,1,0,3,2,0,0,2,0,
2020,2,총,"20,145","10,883",582,776,905,"1,134","1,204",718,950,"1,978","1,015",
2020,2,0,927,729,14,12,17,19,24,21,22,46,23,
2020,2,10,"1,610","1,194",17,26,40,42,55,31,36,129,40,
2020,2,20,"1,943","1,335",31,46,60,81,75,72,62,132,49,
2020,2,30,"1,630","1,049",31,43,34,70,87,50,84,132,50,
2020,2,40,"2,710","1,614",77,91,92,140,150,92,121,222,111,
2020,2,50,"4,115","2,068",141,188,237,255,251,167,205,391,212,
2020,2,60,"3,977","1,585",133,215,243,286,334,160,215,509,297,
2020,2,70,"2,217",905,90,110,132,160,153,84,136,270,177,
2020,2,80,914,366,44,40,47,74,63,39,61,131,49,
2020,2,90,88,33,3,4,3,4,10,2,8,14,7,
2020,2,100,14,5,1,1,0,3,2,0,0,2,0,
2020,3,총,"20,110","10,872",573,777,906,"1,125","1,208",718,953,"1,967","1,011",
2020,3,0,927,727,14,12,18,17,24,21,24,48,22,
2020,3,10,"1,604","1,196",17,26,40,37,56,30,35,126,41,
2020,3,20,"1,919","1,320",31,45,57,82,77,71,64,124,48,
2020,3,30,"1,625","1,051",30,47,33,67,82,50,84,131,50,
2020,3,40,"2,673","1,596",74,85,95,136,151,90,117,216,113,
2020,3,50,"4,108","2,061",136,192,237,259,251,169,207,392,204,
2020,3,60,"4,011","1,605",132,212,240,289,339,163,219,513,299,
2020,3,70,"2,221",910,90,110,136,157,154,83,133,269,179,
2020,3,80,915,366,45,43,46,74,62,39,60,132,48,
2020,3,90,93,35,3,4,4,4,10,2,10,14,7,
2020,3,100,14,5,1,1,0,3,2,0,0,2,0,
2020,4,총,"20,002","10,807",571,773,899,"1,123","1,201",714,949,"1,954","1,011",
2020,4,0,918,723,14,12,17,16,22,21,24,48,21,
