년도,월,나이,춘천시,신북읍,동면,동산면,신동면,남면,서면,사북면,북산면,동내면,남산면,교동,조운동,약사명동,근화동,소양동,후평1동,후평2동,후평3동,효자1동,효자2동,효자3동,석사동,퇴계동,강남동,신사우동
2020,1,총,"281,468","7,893","19,684","1,501","2,585","1,098","3,926","2,588",965,"17,448","3,577","3,632","2,980","2,420","8,986","10,162","12,027","15,320","21,421","4,712","11,979","4,691","36,147","48,198","17,043","20,485"
2020,1,0,"22,246",388,"2,355",30,107,20,123,81,20,"1,617",98,108,91,102,977,842,576,"1,367","1,793",356,450,170,"2,805","4,382","1,305","2,083"
2020,1,10,"27,920",506,"2,403",65,145,37,200,157,22,"1,749",176,202,151,137,707,813,910,"1,561","2,109",427,729,273,"4,635","6,080","1,491","2,235"
2020,1,20,"36,921",868,"1,909",130,270,45,278,177,42,"2,206",271,846,422,278,"1,065","1,275","1,884","2,187","2,716",553,"2,629","1,052","5,121","6,059","2,230","2,408"
2020,1,30,"34,799",706,"2,605",107,213,71,240,115,37,"2,511",281,437,318,244,"1,472","1,354","1,397","2,232","2,940",540,"1,304",622,"4,013","6,125","2,237","2,678"
2020,1,40,"42,909",945,"3,595",121,270,92,352,235,70,"2,889",375,393,377,289,"1,194","1,434","1,603","2,271","3,175",726,"1,470",537,"6,292","8,403","2,474","3,327"
2020,1,50,"47,032","1,474","3,034",281,517,226,768,526,202,"2,794",720,537,526,445,"1,331","1,784","2,116","2,492","3,525",807,"1,851",729,"6,194","8,027","3,011","3,115"
2020,1,60,"35,515","1,360","2,183",372,542,258,906,612,279,"2,010",843,514,502,401,"1,040","1,302","1,790","1,596","2,737",612,"1,660",627,"3,714","4,994","2,361","2,300"
2020,1,70,"21,220",970,"1,015",227,285,195,583,423,193,"1,042",522,375,355,308,766,848,"1,135",993,"1,518",449,"1,183",423,"2,110","2,575","1,257","1,470"
2020,1,80,"11,012",590,481,153,211,130,387,220,87,541,246,194,196,171,367,430,524,521,788,206,619,228,"1,089","1,335",571,727
2020,1,90,"1,782",82,102,14,24,23,82,42,13,85,42,24,39,42,63,70,87,94,118,36,76,28,168,207,100,121
2020,1,100,112,4,2,1,1,1,7,0,0,4,3,2,3,3,4,10,5,6,2,0,8,2,6,11,6,21
2020,2,총,"281,759","7,869","19,700","1,485","2,581","1,096","3,902","2,587",964,"17,381","3,562","3,616","2,957","2,403","8,982","10,101","11,995","15,254","21,454","4,694","11,983","4,674","36,053","48,972","17,007","20,487"
2020,2,0,"22,256",385,"2,335",29,107,20,127,81,20,"1,589",94,108,84,101,986,831,563,"1,353","1,795",355,440,172,"2,788","4,504","1,311","2,078"
2020,2,10,"27,815",498,"2,412",62,142,37,199,154,22,"1,736",170,206,148,133,701,804,902,"1,544","2,117",421,736,260,"4,599","6,137","1,464","2,211"
2020,2,20,"36,898",861,"1,904",128,268,45,265,178,41,"2,181",268,833,421,280,"1,045","1,262","1,897","2,182","2,694",552,"2,626","1,048","5,126","6,138","2,243","2,412"
2020,2,30,"34,798",702,"2,587",101,213,71,239,119,39,"2,495",282,427,315,240,"1,493","1,340","1,388","2,203","2,952",525,"1,291",626,"3,990","6,269","2,217","2,674"
2020,2,40,"42,956",953,"3,590",122,268,90,353,232,69,"2,882",369,393,369,283,"1,193","1,434","1,596","2,274","3,194",732,"1,482",536,"6,243","8,516","2,467","3,316"
2020,2,50,"47,036","1,466","3,060",275,516,225,759,524,202,"2,786",716,535,529,438,"1,315","1,770","2,109","2,484","3,506",798,"1,841",717,"6,223","8,124","2,998","3,120"
