년도,월,나이,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020,1,총,"25,294","14,579","1,565",715,975,"1,179","1,603","2,109","1,106","1,463"
2020,1,0,"1,306","1,061",38,20,20,18,33,52,29,35
2020,1,10,"1,921","1,494",66,30,35,27,68,109,43,49
2020,1,20,"1,991","1,431",85,27,42,29,70,119,82,106
2020,1,30,"1,990","1,481",77,30,22,47,71,115,66,81
2020,1,40,"2,924","2,215",125,30,65,45,96,147,62,139
2020,1,50,"4,326","2,428",298,135,150,215,250,380,197,273
2020,1,60,"4,553","2,120",354,154,236,274,383,448,241,343
2020,1,70,"3,396","1,429",272,130,193,237,325,365,202,243
2020,1,80,"2,458",786,205,134,168,255,272,322,159,157
2020,1,90,409,128,43,24,42,29,33,51,25,34
2020,1,100,20,6,2,1,2,3,2,1,0,3
2020,2,총,"25,238","14,563","1,558",713,972,"1,174","1,594","2,104","1,101","1,459"
2020,2,0,"1,294","1,060",37,20,17,17,32,50,29,32
2020,2,10,"1,915","1,493",66,32,36,26,64,108,42,48
2020,2,20,"1,964","1,419",80,27,40,29,68,115,82,104
2020,2,30,"1,969","1,470",76,31,23,43,70,115,59,82
2020,2,40,"2,927","2,223",125,31,66,48,95,149,60,130
2020,2,50,"4,302","2,417",296,133,143,213,248,375,198,279
2020,2,60,"4,575","2,125",360,155,239,268,384,456,244,344
2020,2,70,"3,388","1,433",267,128,192,237,325,363,199,244
2020,2,80,"2,468",781,208,133,173,258,271,322,164,158
2020,2,90,416,136,42,22,41,32,34,50,24,35
2020,2,100,20,6,1,1,2,3,3,1,0,3
2020,3,총,"25,195","14,535","1,564",713,968,"1,167","1,591","2,098","1,105","1,454"
2020,3,0,"1,290","1,051",38,19,17,17,35,52,29,32
2020,3,10,"1,910","1,490",65,31,35,25,65,108,42,49
2020,3,20,"1,923","1,396",80,26,39,25,67,111,80,99
2020,3,30,"1,959","1,463",77,30,23,43,68,112,61,82
2020,3,40,"2,920","2,219",126,33,64,48,97,146,58,129
2020,3,50,"4,280","2,403",297,132,143,211,240,375,200,279
2020,3,60,"4,606","2,147",363,154,240,268,384,458,247,345
2020,3,70,"3,387","1,437",265,129,195,234,326,362,196,243
2020,3,80,"2,483",784,211,135,172,262,272,322,167,158
2020,3,90,417,139,41,23,38,31,34,51,25,35
2020,3,100,20,6,1,1,2,3,3,1,0,3
2020,4,총,"25,170","14,524","1,568",712,967,"1,166","1,575","2,090","1,107","1,461"
2020,4,0,"1,282","1,042",40,19,17,17,35,52,28,32
2020,4,10,"1,899","1,484",63,31,35,24,64,104,44,50
2020,4,20,"1,911","1,392",82,24,41,25,64,107,78,98
2020,4,30,"1,943","1,450",79,28,23,43,65,112,61,82
2020,4,40,"2,931","2,226",126,35,65,47,96,148,60,128
2020,4,50,"4,245","2,409",289,132,138,209,229,367,194,278
2020,4,60,"4,646","2,147",370,156,242,272,390,467,252,350
2020,4,70,"3,384","1,443",260,129,192,234,323,360,197,246
2020,4,80,"2,492",787,218,135,173,261,273,318,168,159
2020,4,90,415,138,40,22,37,31,33,54,25,35
2020,4,100,22,6,1,1,4,3,3,1,0,3
2020,5,총,"25,184","14,531","1,568",713,970,"1,167","1,568","2,098","1,110","1,459"
2020,5,0,"1,285","1,042",41,19,18,17,34,55,28,31
2020,5,10,"1,884","1,470",63,31,36,23,62,105,43,51
2020,5,20,"1,906","1,391",80,24,41,26,63,110,80,91
2020,5,30,"1,943","1,452",77,27,23,44,66,112,60,82
2020,5,40,"2,915","2,213",126,34,63,46,95,147,61,130
2020,5,50,"4,249","2,414",288,132,139,212,228,361,197,278
2020,5,60,"4,667","2,162",373,158,244,270,388,472,253,347
2020,5,70,"3,394","1,451",259,129,191,233,323,362,197,249
2020,5,80,"2,498",792,220,135,173,261,273,316,166,162
2020,5,90,421,138,40,23,38,32,33,57,25,35
2020,5,100,22,6,1,1,4,3,3,1,0,3
2020,6,총,"25,217","14,547","1,574",717,966,"1,169","1,565","2,098","1,125","1,456"
2020,6,0,"1,288","1,042",42,17,18,16,33,58,31,31
2020,6,10,"1,882","1,468",64,33,37,21,62,104,43,50
2020,6,20,"1,928","1,401",83,25,40,29,64,113,85,88
2020,6,30,"1,930","1,446",77,27,23,41,66,110,59,81
2020,6,40,"2,911","2,207",125,35,63,48,93,148,65,127
2020,6,50,"4,248","2,417",288,132,139,210,226,360,194,282
2020,6,60,"4,703","2,174",375,162,244,276,390,472,259,351
2020,6,70,"3,385","1,456",258,129,186,232,323,358,197,246
2020,6,80,"2,497",793,220,132,175,260,272,316,167,162
2020,6,90,423,137,41,24,37,33,33,58,25,35
2020,6,100,22,6,1,1,4,3,3,1,0,3
2020,7,총,"25,194","14,546","1,564",714,968,"1,173","1,560","2,093","1,115","1,461"
2020,7,0,"1,287","1,040",42,17,18,16,32,58,30,34
2020,7,10,"1,867","1,457",62,32,38,21,63,102,43,49
2020,7,20,"1,927","1,408",82,26,42,31,62,108,82,86
2020,7,30,"1,915","1,428",75,28,25,40,66,114,57,82
2020,7,40,"2,923","2,217",124,35,63,49,93,147,64,131
2020,7,50,"4,246","2,422",287,131,135,212,227,360,191,281
2020,7,60,"4,717","2,178",373,164,247,278,390,474,257,356
2020,7,70,"3,381","1,454",257,128,186,231,321,359,200,245
2020,7,80,"2,491",800,221,126,176,259,271,312,166,160
2020,7,90,419,137,40,26,34,33,32,58,25,34
2020,7,100,21,5,1,1,4,3,3,1,0,3
2020,8,총,"25,209","14,577","1,569",711,964,"1,177","1,564","2,092","1,099","1,456"
2020,8,0,"1,285","1,043",41,17,19,15,32,58,29,31
2020,8,10,"1,858","1,450",62,31,35,23,65,101,41,50
2020,8,20,"1,933","1,416",83,25,42,31,61,111,79,85
2020,8,30,"1,904","1,416",77,28,24,41,65,114,57,82
2020,8,40,"2,935","2,233",120,33,65,48,95,146,63,132
2020,8,50,"4,240","2,427",287,133,132,210,226,361,184,280
2020,8,60,"4,723","2,175",377,164,248,283,391,473,257,355
2020,8,70,"3,405","1,471",257,128,187,230,324,363,200,245
2020,8,80,"2,477",799,224,126,174,258,270,303,165,158
2020,8,90,427,142,40,26,33,35,31,61,24,35
2020,8,100,22,5,1,0,5,3,4,1,0,3
2020,9,총,"25,197","14,582","1,560",706,962,"1,172","1,570","2,085","1,100","1,460"
2020,9,0,"1,284","1,038",41,17,20,14,33,57,30,34
2020,9,10,"1,848","1,444",62,30,35,23,65,96,41,52
2020,9,20,"1,919","1,413",81,26,40,32,55,112,78,82
2020,9,30,"1,910","1,421",77,28,27,39,67,112,56,83
2020,9,40,"2,920","2,228",117,33,63,46,92,143,64,134
2020,9,50,"4,218","2,426",287,132,129,208,228,356,183,269
2020,9,60,"4,751","2,186",380,160,249,287,395,476,257,361
2020,9,70,"3,412","1,478",249,132,184,228,325,367,202,247
2020,9,80,"2,479",797,226,122,177,256,272,304,165,160
2020,9,90,434,146,39,26,33,36,34,61,24,35
2020,9,100,22,5,1,0,5,3,4,1,0,3
2020,10,총,"25,177","14,571","1,557",711,958,"1,171","1,568","2,082","1,101","1,458"
2020,10,0,"1,268","1,029",40,19,20,13,32,55,27,33
2020,10,10,"1,846","1,449",62,30,34,24,67,94,39,47
2020,10,20,"1,919","1,410",81,26,38,32,55,113,79,85
2020,10,30,"1,882","1,399",78,30,28,40,66,107,54,80
2020,10,40,"2,916","2,226",117,34,62,43,89,145,65,135
2020,10,50,"4,208","2,431",283,131,128,203,227,356,184,265
2020,10,60,"4,773","2,191",382,162,246,292,399,478,258,365
2020,10,70,"3,424","1,487",249,131,188,229,325,368,203,244
2020,10,80,"2,487",797,226,122,176,258,271,305,167,165
2020,10,90,433,147,38,26,33,34,34,60,25,36
2020,10,100,21,5,1,0,5,3,3,1,0,3
2020,11,총,"25,125","14,533","1,559",709,958,"1,171","1,571","2,076","1,096","1,452"
2020,11,0,"1,251","1,018",38,19,20,13,32,55,25,31
2020,11,10,"1,839","1,442",64,29,33,24,67,90,40,50
2020,11,20,"1,905","1,408",77,24,38,30,57,115,73,83
2020,11,30,"1,862","1,384",79,29,28,42,62,107,55,76
2020,11,40,"2,907","2,220",118,34,60,40,92,142,65,136
2020,11,50,"4,187","2,424",280,132,130,202,225,354,180,260
2020,11,60,"4,806","2,197",387,164,248,297,404,479,262,368
2020,11,70,"3,434","1,493",250,131,187,230,324,370,205,244
2020,11,80,"2,480",794,225,121,176,256,273,304,166,165
2020,11,90,434,149,40,26,33,34,32,59,25,36
2020,11,100,20,4,1,0,5,3,3,1,0,3
2020,12,총,"25,038","14,479","1,555",705,949,"1,166","1,564","2,070","1,091","1,459"
2020,12,0,"1,239","1,012",37,19,19,13,30,53,25,31
