년도,월,나이,서울특별시,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2020,1,총,"9,733,509","151,215","126,201","229,385","300,410","351,263","346,080","396,755","442,471","313,705","332,753","532,662","479,457","310,353","373,951","457,887","591,599","406,751","233,066","367,916","395,636","499,869","431,050","545,938","676,341","440,795"
2020,1,0,"660,410","8,182","7,346","14,127","21,815","21,484","21,998","24,518","30,758","17,325","20,492","35,664","31,457","20,473","26,370","33,101","43,742","30,392","13,696","25,303","26,445","24,804","35,903","38,734","53,456","32,825"
2020,1,10,"816,346","11,714","7,294","16,395","21,302","27,382","25,087","28,368","38,948","23,475","27,411","56,546","40,443","24,592","29,583","52,430","47,111","31,384","15,701","24,722","29,253","30,494","45,892","60,401","61,511","38,907"
2020,1,20,"1,457,376","23,442","18,465","32,991","45,891","61,836","55,081","56,209","66,322","43,382","44,909","74,446","65,952","48,918","60,761","60,828","87,436","55,667","36,362","56,789","66,395","107,649","56,518","75,871","95,851","59,405"
2020,1,30,"1,507,127","20,356","20,575","38,086","50,723","58,135","51,328","59,297","61,794","40,734","43,112","67,174","69,358","44,937","65,509","59,517","102,806","64,547","35,694","65,931","63,887","88,627","66,532","85,483","114,515","68,470"
2020,1,40,"1,562,505","23,030","18,551","36,263","47,086","54,418","52,427","59,286","72,461","48,885","50,921","89,818","78,154","48,172","62,471","80,716","93,357","64,514","34,199","55,607","60,445","70,776","78,736","100,391","110,834","70,987"
2020,1,50,"1,539,740","25,710","20,932","36,595","48,403","55,590","54,549","70,742","69,926","53,550","58,438","88,884","77,268","49,573","54,258","77,333","88,931","63,860","41,286","56,131","59,199","69,477","62,874","80,401","104,410","71,420"
2020,1,60,"1,194,854","19,236","17,016","27,599","35,307","40,640","44,950","55,258","53,168","44,382","47,617","65,280","61,384","36,955","38,184","54,699","73,920","53,617","31,646","44,664","47,640","57,657","46,667","58,005","80,961","58,402"
2020,1,70,"687,085","12,563","10,407","17,192","20,461","22,020","28,006","30,438","33,351","29,673","27,166","36,683","38,279","24,239","24,396","27,266","37,751","30,643","17,545","26,394","29,206","36,348","26,657","33,036","38,698","28,667"
2020,1,80,"261,722","5,705","4,580","8,246","8,082","8,338","10,832","10,930","13,458","10,656","10,935","15,645","14,747","10,666","10,556","10,229","13,997","10,564","5,996","10,623","11,179","12,140","9,278","11,145","13,452","9,743"
2020,1,90,"40,019","1,018",841,"1,534","1,105","1,217","1,537","1,521","1,921","1,406","1,588","2,265","2,012","1,551","1,546","1,598","2,326","1,403",772,"1,481","1,692","1,588","1,781","2,198","2,380","1,738"
2020,1,100,"6,325",259,194,357,235,203,285,188,364,237,164,257,403,277,317,170,222,160,169,271,295,309,212,273,273,231
2020,2,총,"9,736,962","151,309","126,259","229,677","299,797","351,032","346,072","396,314","442,483","313,289","332,083","531,840","479,005","311,327","374,315","457,332","590,419","406,245","232,827","370,108","395,201","499,587","431,336","546,436","675,782","446,887"
2020,2,0,"658,355","8,130","7,261","14,093","21,541","21,314","21,824","24,271","30,617","17,167","20,270","35,587","31,174","20,553","26,225","33,210","43,273","30,117","13,529","25,451","26,170","24,462","35,952","38,979","53,345","33,840"
2020,2,10,"813,563","11,652","7,281","16,314","21,223","27,246","25,097","28,144","38,918","23,313","27,194","56,205","40,161","24,635","29,566","52,165","46,816","31,132","15,545","24,741","29,185","30,422","45,825","60,254","61,102","39,427"
2020,2,20,"1,455,903","23,436","18,492","33,036","45,723","61,890","55,144","56,093","66,407","43,320","44,762","73,959","65,999","49,059","60,842","60,393","87,203","55,517","36,391","57,153","66,339","107,757","56,281","75,503","95,425","59,779"
2020,2,30,"1,505,729","20,325","20,510","38,197","50,517","57,843","51,255","59,121","61,677","40,466","42,866","67,047","69,081","45,105","65,400","59,409","102,315","64,375","35,652","66,436","63,626","88,518","66,448","85,434","114,492","69,614"
2020,2,40,"1,563,968","23,051","18,573","36,233","46,926","54,467","52,345","59,204","72,270","48,827","50,736","89,654","78,112","48,319","62,640","80,817","93,333","64,374","34,115","55,973","60,407","70,617","78,925","100,856","110,851","72,343"
2020,2,50,"1,539,385","25,703","20,982","36,688","48,430","55,523","54,489","70,626","69,979","53,524","58,370","88,754","77,142","49,616","54,357","76,968","88,711","63,852","41,174","56,422","59,170","69,370","62,999","80,301","104,278","71,957"
2020,2,60,"1,200,518","19,383","17,070","27,716","35,466","40,854","45,144","55,554","53,374","44,543","47,872","65,544","61,682","37,186","38,360","54,969","74,245","53,863","31,805","44,918","47,785","57,838","46,770","58,212","81,252","59,113"
