년도,월,나이,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2020,3,총,"30,938","19,191",488,207,918,502,888,"1,632","1,405",761,504,790,768,"1,115","1,769"
2020,3,0,"1,837","1,531",4,7,26,12,18,64,31,15,7,24,15,30,53
2020,3,10,"3,093","2,546",28,8,40,14,30,101,75,32,21,30,32,40,96
2020,3,20,"3,683","2,717",36,5,58,31,49,181,125,53,48,59,68,88,165
2020,3,30,"2,491","1,757",43,14,54,13,51,136,107,36,31,26,42,73,108
2020,3,40,"4,480","3,159",61,25,87,52,104,194,174,79,52,92,75,113,213
2020,3,50,"6,137","3,511",100,43,219,125,215,326,303,160,108,196,167,253,411
2020,3,60,"4,610","2,087",95,46,195,111,184,337,325,174,115,163,168,242,368
2020,3,70,"3,069","1,301",87,39,146,86,152,201,182,132,73,134,131,179,226
2020,3,80,"1,386",527,34,17,86,54,73,85,73,71,43,56,64,84,119
2020,3,90,150,54,0,3,7,4,11,7,10,9,6,10,6,13,10
2020,3,100,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,4,총,"30,920","19,196",486,205,923,500,878,"1,633","1,407",761,503,790,764,"1,101","1,773"
2020,4,0,"1,832","1,529",4,7,26,12,18,62,31,15,8,24,15,27,54
2020,4,10,"3,066","2,522",28,8,39,13,28,101,76,33,19,30,31,38,100
2020,4,20,"3,690","2,724",39,5,58,29,52,181,124,53,50,57,66,88,164
2020,4,30,"2,472","1,752",41,12,54,14,51,133,106,36,30,26,41,69,107
2020,4,40,"4,454","3,139",61,25,89,51,100,195,176,77,51,93,76,110,211
2020,4,50,"6,153","3,535",98,43,218,125,210,327,302,159,108,198,165,252,413
2020,4,60,"4,639","2,105",94,46,199,112,184,339,327,175,115,162,169,243,369
2020,4,70,"3,062","1,304",85,38,145,85,151,200,182,132,72,133,131,177,227
2020,4,80,"1,401",535,36,18,86,55,72,88,72,72,44,57,64,84,118
2020,4,90,149,50,0,3,9,4,11,7,11,9,6,10,6,13,10
2020,4,100,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,5,총,"30,939","19,228",479,204,919,500,875,"1,631","1,415",758,509,793,760,"1,094","1,774"
2020,5,0,"1,823","1,524",4,7,23,12,19,62,33,13,8,24,15,27,52
2020,5,10,"3,061","2,500",26,8,43,12,28,100,77,35,19,30,32,37,114
2020,5,20,"3,666","2,718",38,5,55,29,52,181,117,52,52,56,62,84,165
2020,5,30,"2,475","1,765",38,11,55,14,51,133,109,33,30,27,42,66,101
2020,5,40,"4,457","3,152",60,26,90,53,99,192,175,76,52,92,73,111,206
2020,5,50,"6,171","3,549",98,42,212,124,209,328,312,155,110,196,166,251,419
2020,5,60,"4,665","2,123",95,46,200,111,184,338,326,178,114,168,170,244,368
2020,5,70,"3,071","1,309",83,39,148,82,150,202,183,134,74,132,130,177,228
2020,5,80,"1,401",537,37,17,83,59,71,88,73,73,44,58,64,84,113
2020,5,90,147,50,0,3,10,4,11,7,10,9,6,10,6,13,8
2020,5,100,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,6,총,"30,997","19,260",483,206,917,504,876,"1,625","1,418",760,511,793,767,"1,110","1,767"
2020,6,0,"1,817","1,520",4,8,22,13,19,61,31,14,8,24,16,27,50
2020,6,10,"3,049","2,496",25,8,43,11,26,100,74,31,19,30,34,39,113
2020,6,20,"3,672","2,719",37,5,54,30,54,181,120,54,52,54,64,84,164
2020,6,30,"2,482","1,761",38,11,55,14,52,131,112,33,32,30,42,69,102
2020,6,40,"4,449","3,144",65,26,88,52,96,192,173,76,53,92,71,117,204
2020,6,50,"6,175","3,562",98,43,212,126,211,323,311,157,110,192,168,250,412
2020,6,60,"4,732","2,157",97,46,205,111,186,342,326,179,113,173,174,249,374
2020,6,70,"3,075","1,311",82,39,147,82,149,201,188,133,75,133,128,178,229
2020,6,80,"1,399",540,37,17,81,60,71,87,73,74,43,57,65,83,111
2020,6,90,145,49,0,3,10,5,11,7,10,9,6,8,5,14,8
2020,6,100,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,7,총,"30,996","19,276",479,202,925,504,869,"1,610","1,423",755,516,792,769,"1,109","1,767"
2020,7,0,"1,816","1,517",5,7,21,13,19,61,34,14,8,23,17,27,50
2020,7,10,"3,046","2,496",25,8,44,11,25,98,73,31,19,30,33,39,114
2020,7,20,"3,656","2,710",37,4,56,30,54,182,122,51,52,54,64,82,158
2020,7,30,"2,473","1,756",35,11,59,14,49,125,112,34,32,29,44,72,101
2020,7,40,"4,431","3,137",64,27,84,53,93,190,174,74,52,90,70,118,205
2020,7,50,"6,189","3,587",100,43,214,126,208,323,309,154,112,194,168,242,409
2020,7,60,"4,757","2,169",95,44,209,110,190,337,325,181,116,175,174,253,379
2020,7,70,"3,075","1,310",81,39,148,81,146,200,189,133,76,133,129,178,232
2020,7,80,"1,407",543,37,17,81,61,73,87,76,74,43,57,63,84,111
2020,7,90,144,50,0,2,9,5,11,7,9,9,6,7,7,14,8
2020,7,100,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,8,총,"30,993","19,273",480,200,923,502,868,"1,606","1,427",759,515,798,764,"1,112","1,766"
2020,8,0,"1,815","1,517",5,6,20,13,19,59,37,15,8,23,17,27,49
2020,8,10,"3,029","2,482",25,9,45,10,23,98,72,32,18,30,33,40,112
2020,8,20,"3,658","2,710",38,4,56,31,52,184,123,51,53,55,63,80,158
2020,8,30,"2,443","1,735",34,11,57,14,48,121,111,33,32,30,43,73,101
2020,8,40,"4,417","3,126",64,26,84,53,91,192,174,76,49,91,71,117,203
2020,8,50,"6,174","3,583",102,43,212,123,206,318,309,152,116,192,166,245,407
