년도,월,나이,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020,4,10,"3,178",180,30,92,25,235,76,83,63,35,80,46,237,323,520,86,"1,067"
2020,4,20,"3,429",263,42,96,12,82,116,144,93,56,115,72,313,349,533,120,"1,023"
2020,4,30,"3,201",217,28,88,23,66,90,66,73,55,133,86,339,363,440,146,988
2020,4,40,"4,753",340,66,144,41,111,167,120,148,111,198,126,396,465,711,202,"1,407"
2020,4,50,"6,236",557,129,284,92,210,278,206,290,184,340,249,467,583,773,308,"1,286"
2020,4,60,"6,235",554,129,367,119,287,339,272,306,265,362,299,500,598,674,314,850
2020,4,70,"3,986",427,74,261,66,186,256,149,234,135,287,196,314,411,386,231,373
2020,4,80,"1,663",161,37,133,29,122,134,90,111,73,120,77,115,128,157,86,90
2020,4,90,156,15,2,19,1,13,14,7,10,4,10,14,10,6,13,2,16
2020,4,100,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020,5,총,"34,927","2,813",560,"1,531",416,"1,332","1,506","1,152","1,360",961,"1,698","1,196","2,907","3,449","4,566","1,558","7,922"
2020,5,0,"2,124",102,21,48,9,33,45,28,31,45,40,35,211,220,365,53,838
2020,5,10,"3,157",180,31,90,26,225,74,82,63,35,80,45,241,319,518,88,"1,060"
2020,5,20,"3,412",256,42,97,11,81,116,141,94,54,115,70,309,355,531,121,"1,019"
2020,5,30,"3,177",214,29,85,21,64,90,62,73,54,136,84,341,362,436,145,981
2020,5,40,"4,751",342,62,147,43,112,166,116,149,110,198,124,397,464,709,202,"1,410"
2020,5,50,"6,219",554,131,278,92,205,274,208,287,182,345,247,464,584,780,311,"1,277"
2020,5,60,"6,237",552,130,371,119,288,339,269,308,267,357,298,502,598,664,319,856
2020,5,70,"4,004",431,74,261,65,188,256,149,233,137,292,196,314,408,391,235,374
2020,5,80,"1,675",163,38,135,29,123,133,89,111,73,120,81,119,130,158,82,91
