년도,월,나이,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021,11,30,"2,863",196,27,84,21,49,88,61,71,49,111,69,283,327,390,131,906
2021,11,40,"4,598",333,56,140,36,116,177,97,130,108,182,105,395,465,691,200,"1,367"
2021,11,50,"6,147",510,131,275,113,192,266,214,267,180,347,253,451,563,744,302,"1,339"
2021,11,60,"6,875",659,145,407,147,312,372,289,365,314,401,328,510,635,739,352,900
2021,11,70,"4,012",385,78,242,59,194,253,161,227,140,274,196,319,420,402,238,424
2021,11,80,"1,882",208,38,153,34,129,153,94,116,77,129,91,139,148,164,99,110
2021,11,90,167,17,2,19,0,14,14,7,13,8,12,13,8,8,19,4,9
2021,11,100,9,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1
2021,12,총,"34,919","2,791",571,"1,564",473,"1,289","1,547","1,178","1,387","1,027","1,692","1,202","2,798","3,396","4,499","1,591","7,914"
2021,12,0,"1,954",98,18,54,3,22,44,21,31,40,31,39,193,208,325,51,776
2021,12,10,"2,945",178,32,87,25,180,66,83,55,42,76,47,213,301,487,85,988
2021,12,20,"3,456",223,41,103,16,79,113,146,98,60,122,65,300,338,515,127,"1,110"
2021,12,30,"2,856",198,28,86,23,52,86,64,70,48,113,69,281,312,410,125,891
2021,12,40,"4,574",325,57,138,39,115,179,95,132,106,182,102,386,460,696,203,"1,359"
2021,12,50,"6,153",501,132,273,119,189,266,214,273,184,352,246,451,566,733,307,"1,347"
2021,12,60,"6,883",662,145,402,151,312,372,291,367,321,401,334,508,627,745,352,893
2021,12,70,"4,033",384,79,250,63,197,254,162,228,140,274,195,318,425,400,235,429
2021,12,80,"1,887",204,37,152,34,129,153,95,118,78,127,92,138,150,168,101,111
2021,12,90,173,18,2,19,0,14,14,7,13,8,12,13,10,9,20,5,9
2021,12,100,5,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1
