년도,월,나이,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동
2020,3,90,474,253,27,11,16,8,8,5,15,9,11,12,14,10,13,15,22,38,19,221,39,21,19,30,15,11,15,14,12,15,12,12,6,,
2020,3,100,44,21,0,0,0,0,1,0,1,1,4,0,2,2,2,4,1,2,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0,,
2020,4,총,"333,525","131,359","12,400","2,241","2,185","2,244","1,725","1,251","3,231","1,161","2,948","1,962","4,667","4,939","8,957","12,423","23,048","28,003","17,974","202,166","12,963","11,690","10,636","4,684","8,617","13,754","7,079","18,977","9,323","20,528","34,657","20,710","28,548",,
2020,4,0,"32,463","10,966",940,80,62,74,44,26,129,17,95,53,248,157,547,"1,212","2,624","3,189","1,469","21,497",724,"1,020",751,163,434,536,511,"1,833",763,"2,990","5,393","1,808","4,571",,
2020,4,10,"36,032","13,966","1,511",129,120,126,91,52,189,53,166,93,428,407,763,"1,702","3,133","3,614","1,389","22,066","1,278","1,270","1,015",327,556,766,651,"2,747","1,316","2,942","4,750","2,004","2,444",,
2020,4,20,"49,857","18,841","1,529",245,215,233,149,117,500,88,298,253,647,673,"1,436","1,695","3,345","3,822","3,596","31,016","1,627","1,432","1,451",571,"1,332","3,215","1,281","3,139","1,443","2,681","4,342","4,419","4,083",,
2020,4,30,"56,401","17,965","1,359",196,167,202,132,116,363,60,305,246,506,576,"1,316","1,303","3,765","4,378","2,975","38,436","1,295","1,699","1,648",476,"1,331","3,427","1,065","2,688","1,218","3,519","7,465","4,260","8,345",,
2020,4,40,"57,491","22,349","2,417",288,253,289,214,160,433,128,412,287,684,739,"1,500","2,331","4,558","5,080","2,576","35,142","2,207","2,295","2,017",690,"1,388","2,140",992,"3,242","1,544","3,932","6,672","3,356","4,667",,
2020,4,50,"52,466","22,540","2,315",445,477,499,367,270,605,277,637,409,938,"1,006","1,663","2,147","3,433","4,159","2,893","29,926","2,336","1,998","1,889","1,012","1,728","1,943","1,212","3,195","1,679","2,786","4,273","2,952","2,923",,
2020,4,60,"30,119","14,838","1,342",483,495,445,395,266,588,262,569,379,679,728,"1,138","1,256","1,478","2,413","1,922","15,281","1,883","1,215","1,121",784,"1,117","1,175",911,"1,451",900,"1,158","1,243","1,220","1,103",,
